ID;Vissoort;Perioden;AanvoerVerseVis_1;AanvoerDiepvriesvis_2
0;2;1994 januari;.                                 ;.                                 
1;2;1994 februari;.                                 ;.                                 
2;2;1994 maart;.                                 ;.                                 
3;2;1994 april;.                                 ;.                                 
4;2;1994 mei;3                                 ;.                                 
5;2;1994 juni;.                                 ;.                                 
6;2;1994 juli;.                                 ;.                                 
7;2;1994 augustus;.                                 ;.                                 
8;2;1994 september;.                                 ;.                                 
9;2;1994 oktober;.                                 ;.                                 
10;2;1994 november;.                                 ;.                                 
11;2;1994 december;.                                 ;.                                 
12;2;1994;3                                 ;.                                 
13;2;1995 januari;.                                 ;.                                 
14;2;1995 februari;.                                 ;.                                 
15;2;1995 maart;.                                 ;.                                 
16;2;1995 april;.                                 ;.                                 
17;2;1995 mei;12                                ;.                                 
18;2;1995 juni;9                                 ;.                                 
19;2;1995 juli;.                                 ;.                                 
20;2;1995 augustus;.                                 ;.                                 
21;2;1995 september;.                                 ;.                                 
22;2;1995 oktober;.                                 ;.                                 
23;2;1995 november;.                                 ;.                                 
24;2;1995 december;.                                 ;.                                 
25;2;1995;20                                ;.                                 
26;2;1996 januari;.                                 ;.                                 
27;2;1996 februari;.                                 ;.                                 
28;2;1996 maart;.                                 ;.                                 
29;2;1996 april;.                                 ;.                                 
30;2;1996 mei;.                                 ;.                                 
31;2;1996 juni;5                                 ;.                                 
32;2;1996 juli;.                                 ;.                                 
33;2;1996 augustus;.                                 ;.                                 
34;2;1996 september;.                                 ;.                                 
35;2;1996 oktober;.                                 ;.                                 
36;2;1996 november;.                                 ;.                                 
37;2;1996 december;.                                 ;.                                 
38;2;1996;6                                 ;.                                 
39;2;1997 januari;.                                 ;.                                 
40;2;1997 februari;.                                 ;.                                 
41;2;1997 maart;.                                 ;.                                 
42;2;1997 april;.                                 ;.                                 
43;2;1997 mei;1                                 ;.                                 
44;2;1997 juni;.                                 ;.                                 
45;2;1997 juli;.                                 ;.                                 
46;2;1997 augustus;.                                 ;.                                 
47;2;1997 september;.                                 ;.                                 
48;2;1997 oktober;.                                 ;.                                 
49;2;1997 november;.                                 ;.                                 
50;2;1997 december;.                                 ;.                                 
51;2;1997;1                                 ;.                                 
52;2;1998 januari;.                                 ;.                                 
53;2;1998 februari;.                                 ;.                                 
54;2;1998 maart;.                                 ;.                                 
55;2;1998 april;.                                 ;.                                 
56;2;1998 mei;.                                 ;.                                 
57;2;1998 juni;7                                 ;.                                 
58;2;1998 juli;.                                 ;.                                 
59;2;1998 augustus;.                                 ;.                                 
60;2;1998 september;.                                 ;.                                 
61;2;1998 oktober;.                                 ;.                                 
62;2;1998 november;.                                 ;.                                 
63;2;1998 december;.                                 ;.                                 
64;2;1998;7                                 ;.                                 
65;2;1999 januari;.                                 ;.                                 
66;2;1999 februari;.                                 ;.                                 
67;2;1999 maart;.                                 ;.                                 
68;2;1999 april;.                                 ;.                                 
69;2;1999 mei;.                                 ;.                                 
70;2;1999 juni;.                                 ;.                                 
71;2;1999 juli;.                                 ;.                                 
72;2;1999 augustus;.                                 ;.                                 
73;2;1999 september;.                                 ;.                                 
74;2;1999 oktober;.                                 ;.                                 
75;2;1999 november;.                                 ;.                                 
76;2;1999 december;.                                 ;.                                 
77;2;1999;.                                 ;.                                 
78;2;2000 januari;.                                 ;.                                 
79;2;2000 februari;.                                 ;.                                 
80;2;2000 maart;.                                 ;.                                 
81;2;2000 april;.                                 ;.                                 
82;2;2000 mei;.                                 ;.                                 
83;2;2000 juni;.                                 ;.                                 
84;2;2000 juli;.                                 ;.                                 
85;2;2000 augustus;.                                 ;.                                 
86;2;2000 september;.                                 ;.                                 
87;2;2000 oktober;.                                 ;.                                 
88;2;2000 november;.                                 ;.                                 
89;2;2000 december;.                                 ;.                                 
90;2;2000;.                                 ;.                                 
91;2;2001 januari;.                                 ;.                                 
92;2;2001 februari;.                                 ;.                                 
93;2;2001 maart;.                                 ;.                                 
94;2;2001 april;.                                 ;.                                 
95;2;2001 mei;2                                 ;.                                 
96;2;2001 juni;1                                 ;.                                 
97;2;2001 juli;.                                 ;.                                 
98;2;2001 augustus;.                                 ;.                                 
99;2;2001 september;.                                 ;.                                 
100;2;2001 oktober;.                                 ;.                                 
101;2;2001 november;.                                 ;.                                 
102;2;2001 december;.                                 ;.                                 
103;2;2001;3                                 ;.                                 
104;2;2002 januari;.                                 ;.                                 
105;2;2002 februari;.                                 ;.                                 
106;2;2002 maart;.                                 ;.                                 
107;2;2002 april;.                                 ;.                                 
108;2;2002 mei;.                                 ;.                                 
109;2;2002 juni;.                                 ;.                                 
110;2;2002 juli;.                                 ;.                                 
111;2;2002 augustus;.                                 ;.                                 
112;2;2002 september;.                                 ;.                                 
113;2;2002 oktober;.                                 ;.                                 
114;2;2002 november;.                                 ;.                                 
115;2;2002 december;.                                 ;.                                 
116;2;2002;.                                 ;.                                 
117;2;2003 januari;.                                 ;.                                 
118;2;2003 februari;.                                 ;.                                 
119;2;2003 maart;.                                 ;.                                 
120;2;2003 april;.                                 ;.                                 
121;2;2003 mei;.                                 ;.                                 
122;2;2003 juni;.                                 ;.                                 
123;2;2003 juli;.                                 ;.                                 
124;2;2003 augustus;.                                 ;.                                 
125;2;2003 september;.                                 ;.                                 
126;2;2003 oktober;.                                 ;.                                 
127;2;2003 november;.                                 ;.                                 
128;2;2003 december;.                                 ;.                                 
129;2;2003;.                                 ;.                                 
130;2;2004 januari;.                                 ;.                                 
131;2;2004 februari;.                                 ;.                                 
132;2;2004 maart;.                                 ;.                                 
133;2;2004 april;.                                 ;.                                 
134;2;2004 mei;.                                 ;.                                 
135;2;2004 juni;.                                 ;.                                 
136;2;2004 juli;.                                 ;.                                 
137;2;2004 augustus;.                                 ;.                                 
138;2;2004 september;.                                 ;.                                 
139;2;2004 oktober;.                                 ;.                                 
140;2;2004 november;.                                 ;.                                 
141;2;2004 december;.                                 ;.                                 
142;2;2004;.                                 ;.                                 
143;2;2005 januari;.                                 ;.                                 
144;2;2005 februari;.                                 ;.                                 
145;2;2005 maart;.                                 ;.                                 
146;2;2005 april;.                                 ;.                                 
147;2;2005 mei;.                                 ;.                                 
148;2;2005 juni;.                                 ;.                                 
149;2;2005 juli;.                                 ;.                                 
150;2;2005 augustus;.                                 ;.                                 
151;2;2005 september;.                                 ;.                                 
152;2;2005 oktober;.                                 ;.                                 
153;2;2005 november;.                                 ;.                                 
154;2;2005 december;.                                 ;.                                 
155;2;2005;.                                 ;.                                 
156;2;2006 januari;.                                 ;.                                 
157;2;2006 februari;.                                 ;.                                 
158;2;2006 maart;.                                 ;.                                 
159;2;2006 april;.                                 ;.                                 
160;2;2006 mei;.                                 ;.                                 
161;2;2006 juni;.                                 ;.                                 
162;2;2006 juli;.                                 ;.                                 
163;2;2006 augustus;.                                 ;.                                 
164;2;2006 september;.                                 ;.                                 
165;2;2006 oktober;.                                 ;.                                 
166;2;2006 november;.                                 ;.                                 
167;2;2006 december;.                                 ;.                                 
168;2;2006;.                                 ;.                                 
169;2;2007 januari;.                                 ;.                                 
170;2;2007 februari;.                                 ;.                                 
171;2;2007 maart;.                                 ;.                                 
172;2;2007 april;.                                 ;.                                 
173;2;2007 mei;.                                 ;.                                 
174;2;2007 juni;.                                 ;.                                 
175;2;2007 juli;.                                 ;.                                 
176;2;2007 augustus;.                                 ;.                                 
177;2;2007 september;.                                 ;.                                 
178;2;2007 oktober;.                                 ;.                                 
179;2;2007 november;.                                 ;.                                 
180;2;2007 december;.                                 ;.                                 
181;2;2007;.                                 ;.                                 
182;2;2008 januari;.                                 ;.                                 
183;2;2008 februari;.                                 ;.                                 
184;2;2008 maart;.                                 ;.                                 
185;2;2008 april;.                                 ;.                                 
186;2;2008 mei;.                                 ;.                                 
187;2;2008 juni;.                                 ;.                                 
188;2;2008 juli;.                                 ;.                                 
189;2;2008 augustus;.                                 ;.                                 
190;2;2008 september;.                                 ;.                                 
191;2;2008 oktober;.                                 ;.                                 
192;2;2008 november;.                                 ;.                                 
193;2;2008 december;.                                 ;.                                 
194;2;2008;.                                 ;.                                 
195;2;2009 januari;.                                 ;.                                 
196;2;2009 februari;.                                 ;.                                 
197;2;2009 maart;.                                 ;.                                 
198;2;2009 april;.                                 ;.                                 
199;2;2009 mei;.                                 ;.                                 
200;2;2009 juni;.                                 ;.                                 
201;2;2009 juli;.                                 ;.                                 
202;2;2009 augustus;.                                 ;.                                 
203;2;2009 september;.                                 ;.                                 
204;2;2009 oktober;.                                 ;.                                 
205;2;2009 november;.                                 ;.                                 
206;2;2009 december;.                                 ;.                                 
207;2;2009;.                                 ;.                                 
208;2;2010 januari;.                                 ;.                                 
209;2;2010 februari;0                                 ;.                                 
210;2;2010 maart;0                                 ;0                                 
211;2;2010 april;.                                 ;.                                 
212;2;2010 mei;0                                 ;0                                 
213;2;2010 juni;1                                 ;0                                 
214;2;2010 juli;0                                 ;0                                 
215;2;2010 augustus;.                                 ;.                                 
216;2;2010 september;.                                 ;.                                 
217;2;2010 oktober;.                                 ;.                                 
218;2;2010 november;.                                 ;.                                 
219;2;2010 december;.                                 ;.                                 
220;2;2010;1                                 ;0                                 
221;2;2011 januari;.                                 ;.                                 
222;2;2011 februari;.                                 ;.                                 
223;2;2011 maart;.                                 ;.                                 
224;2;2011 april;.                                 ;.                                 
225;2;2011 mei;4                                 ;.                                 
226;2;2011 juni;1                                 ;.                                 
227;2;2011 juli;.                                 ;.                                 
228;2;2011 augustus;.                                 ;.                                 
229;2;2011 september;.                                 ;.                                 
230;2;2011 oktober;.                                 ;.                                 
231;2;2011 november;.                                 ;28                                
232;2;2011 december;0                                 ;1                                 
233;2;2011;5                                 ;29                                
234;2;2012 januari;.                                 ;.                                 
235;2;2012 februari;.                                 ;.                                 
