ID;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
0;H Transportation and storage;2005 1st quarter;76.3;
1;H Transportation and storage;2005 2nd quarter;84.3;
2;H Transportation and storage;2005 3rd quarter;85.2;
3;H Transportation and storage;2005 4th quarter;90.0;
4;H Transportation and storage;2005;84.0;
5;H Transportation and storage;2006 1st quarter;82.4;7.9
6;H Transportation and storage;2006 2nd quarter;88.6;5.0
7;H Transportation and storage;2006 3rd quarter;87.9;3.1
8;H Transportation and storage;2006 4th quarter;92.7;2.9
9;H Transportation and storage;2006;87.9;4.6
10;H Transportation and storage;2007 1st quarter;87.5;6.2
11;H Transportation and storage;2007 2nd quarter;95.4;7.7
12;H Transportation and storage;2007 3rd quarter;96.4;9.7
13;H Transportation and storage;2007 4th quarter;100.4;8.4
14;H Transportation and storage;2007;94.9;8.1
15;H Transportation and storage;2008 1st quarter;92.3;5.4
16;H Transportation and storage;2008 2nd quarter;100.4;5.2
17;H Transportation and storage;2008 3rd quarter;100.0;3.7
18;H Transportation and storage;2008 4th quarter;100.6;0.1
19;H Transportation and storage;2008;98.3;3.6
20;H Transportation and storage;2009 1st quarter;82.1;-11.0
21;H Transportation and storage;2009 2nd quarter;86.1;-14.3
22;H Transportation and storage;2009 3rd quarter;86.3;-13.7
23;H Transportation and storage;2009 4th quarter;88.9;-11.6
24;H Transportation and storage;2009;85.9;-12.7
25;H Transportation and storage;2010 1st quarter;80.4;-2.1
26;H Transportation and storage;2010 2nd quarter;87.9;2.1
27;H Transportation and storage;2010 3rd quarter;90.8;5.2
28;H Transportation and storage;2010 4th quarter;93.3;4.9
29;H Transportation and storage;2010;88.1;2.6
30;H Transportation and storage;2011 1st quarter;85.3;6.2
31;H Transportation and storage;2011 2nd quarter;93.1;5.9
32;H Transportation and storage;2011 3rd quarter;93.6;3.1
33;H Transportation and storage;2011 4th quarter;95.4;2.3
34;H Transportation and storage;2011;91.8;4.3
35;H Transportation and storage;2012 1st quarter;88.7;3.9
36;H Transportation and storage;2012 2nd quarter;96.2;3.4
37;H Transportation and storage;2012 3rd quarter;96.5;3.1
38;H Transportation and storage;2012 4th quarter;97.3;2.0
39;H Transportation and storage;2012;94.7;3.1
40;H Transportation and storage;2013 1st quarter;88.8;0.1
41;H Transportation and storage;2013 2nd quarter;96.1;-0.2
42;H Transportation and storage;2013 3rd quarter;97.9;1.4
43;H Transportation and storage;2013 4th quarter;99.2;1.9
44;H Transportation and storage;2013;95.5;0.9
45;H Transportation and storage;2014 1st quarter;90.2;1.6
46;H Transportation and storage;2014 2nd quarter;98.4;2.4
47;H Transportation and storage;2014 3rd quarter;100.6;2.7
48;H Transportation and storage;2014 4th quarter;101.3;2.1
49;H Transportation and storage;2014;97.6;2.2
50;H Transportation and storage;2015 1st quarter;92.3;2.4
51;H Transportation and storage;2015 2nd quarter;100.5;2.2
52;H Transportation and storage;2015 3rd quarter;102.6;2.0
53;H Transportation and storage;2015 4th quarter;104.6;3.3
54;H Transportation and storage;2015;100.0;2.5
55;H Transportation and storage;2016 1st quarter;93.0;0.8
56;H Transportation and storage;2016 2nd quarter;99.8;-0.7
