ID;Branches;Perioden;Koplopers_1;Achterblijvers_2;Betrouwbaarheidsmarge_3;Koplopers_4;Achterblijvers_5;Betrouwbaarheidsmarge_6;Koplopers_7;Achterblijvers_8;Betrouwbaarheidsmarge_9;Koplopers_10;Achterblijvers_11;Betrouwbaarheidsmarge_12;Koplopers_13;Achterblijvers_14;Betrouwbaarheidsmarge_15;Koplopers_16;Achterblijvers_17;Betrouwbaarheidsmarge_18;Koplopers_19;Achterblijvers_20;Betrouwbaarheidsmarge_21;Koplopers_22;Achterblijvers_23;Betrouwbaarheidsmarge_24;Koplopers_25;Achterblijvers_26;Betrouwbaarheidsmarge_27;Koplopers_28;Achterblijvers_29;Betrouwbaarheidsmarge_30;Koplopers_31;Achterblijvers_32;Betrouwbaarheidsmarge_33;Koplopers_34;Achterblijvers_35;Betrouwbaarheidsmarge_36;Koplopers_37;Achterblijvers_38;Betrouwbaarheidsmarge_39
0;28 Machine-industrie;2009;66;43;0.09;39725;28990;0.0;310;210;0.18;18260;9200;0.12;;;;1005;-1010;0.51;0.143;-0.636;0.01;3550;335;0.0;41585;12780;0.1;20;28;0.11;14;-12;0.0;23;-185;0.15;0.61;1.32;0.0
1;28 Machine-industrie;2010;89;50;0.01;41370;33205;0.01;380;177;0.0;34535;13185;0.06;4065.0;-1010.0;0.0;2225;-1225;0.13;;;;3385;785;0.02;56635;17630;0.05;21;38;0.0;14;-11;0.0;24;-54;0.17;0.55;1.03;0.0
2;46 Groothandel;2009;24;18;0.0;47885;26950;0.0;280;95;0.0;24455;4760;0.0;1645.0;-295.0;0.0;1650;-370;0.0;0.126;-1.781;0.15;2195;355;0.0;20170;3775;0.0;18;25;0.0;17;-17;0.0;54;-37;0.0;0.61;1.14;0.0
3;46 Groothandel;2010;32;27;0.04;50820;25710;0.0;330;100;0.0;40985;6395;0.0;2650.0;-60.0;0.0;2675;-40;0.0;0.138;-0.241;0.0;2835;540;0.0;31540;5865;0.0;20;30;0.0;14;-5;0.0;37;-34;0.01;0.58;0.9;0.0
4;47 Detailhandel;2009;41;48;0.39;26080;15795;0.0;120;35;0.0;17485;7550;0.02;905.0;-15.0;0.0;865;-10;0.0;0.112;-0.136;0.0;780;455;0.06;8225;4590;0.18;25;37;0.0;13;-13;0.0;-1;-271;0.32;0.84;1.04;0.13
5;47 Detailhandel;2010;56;41;0.08;26590;14800;0.0;85;30;0.01;22935;6560;0.0;1380.0;50.0;0.0;1310;50;0.0;0.093;-0.03;0.0;1105;450;0.01;8675;2960;0.02;31;38;0.05;9;-2;0.0;37;10;0.17;0.78;0.97;0.02
6;49 Vervoer over land;2009;41;74;0.0;40595;19730;0.0;135;90;0.26;10240;3365;0.0;295.0;-75.0;0.03;115;-85;0.42;0.059;-0.223;0.04;730;195;0.02;7085;2365;0.0;43;39;0.27;4;-1;0.31;-10;-1;0.63;0.76;0.85;0.17
7;49 Vervoer over land;2010;58;87;0.05;39585;20575;0.0;145;90;0.19;14935;4790;0.0;1375.0;-5.0;0.16;1245;-45;0.18;0.042;-0.31;0.27;800;540;0.49;9260;3150;0.0;47;39;0.06;-2;-1;0.75;-63;-124;0.66;0.78;0.84;0.31
8;62 IT-dienstverlening;2009;45;26;0.03;58475;27860;0.0;500;160;0.0;17340;2530;0.0;1885.0;-105.0;0.0;2150;-75;0.0;0.223;-0.446;0.0;2005;265;0.0;26450;2055;0.01;7;19;0.0;27;-65;0.0;62;8;0.12;0.67;1.43;0.0
9;62 IT-dienstverlening;2010;36;22;0.02;61985;25675;0.0;535;160;0.0;12065;1850;0.0;1510.0;-145.0;0.0;1300;-175;0.0;0.193;-0.21;0.0;1450;200;0.0;19820;1875;0.01;10;20;0.0;18;-20;0.0;1;-39;0.41;0.65;1.05;0.0
