ID;Geslacht;Leeftijd;Herkomstland;VerblijfsduurInNederland;Perioden;BevolkingGeborenBuitenNederland_1
0;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;Totaal;2022;2550837
1;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;Totaal;2023;2776950
2;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;Totaal;2024;2914939
3;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;Minder dan 1 jaar;2022;219483
4;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;Minder dan 1 jaar;2023;346079
5;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;Minder dan 1 jaar;2024;288563
6;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;1 jaar;2022;148191
7;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;1 jaar;2023;183632
8;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;1 jaar;2024;286074
9;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;2 jaar;2022;153580
10;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;2 jaar;2023;130762
11;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;2 jaar;2024;160878
12;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;3 jaar;2022;123342
13;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;3 jaar;2023;139233
14;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;3 jaar;2024;117742
15;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;4 jaar;2022;112927
16;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;4 jaar;2023;114813
17;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;4 jaar;2024;129293
18;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;5 jaar;2022;110503
19;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;5 jaar;2023;107025
20;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;5 jaar;2024;108281
21;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;6 jaar;2022;90630
22;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;6 jaar;2023;106408
23;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;6 jaar;2024;102638
24;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;7 jaar;2022;70691
25;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;7 jaar;2023;87526
