ID;BankenSBI2008;Perioden;Ondernemingen_1;LokaleBedrijfseenheid_2;TotaalWerkzamePersonen_3;WerkzameVrouwen_4;WerkzameMannen_5;NoordNederland_6;OostNederland_7;WestNederland_8;ZuidNederland_9;WerknemersInVTE_10;AantalGelduitgifteautomaten_11;TotaalBaten_12;TotaalRenteEnSoortgelijkeBaten_13;RenteBatenVastRentendeWaardepapieren_14;OverigeRenteEnSoortgelijkeBaten_15;TotaalOpbrengstenUitWaardepapieren_16;OpbrengstenUitAandelen_17;OverigeOpbrengstenUitWaardepapieren_18;Provisiebaten_19;ResultaatUitFinancieleTransacties_20;OverigeBaten_21;TotaalLasten_22;TotaalRenteEnSoortgelijkeLasten_23;RenteEnSoortgelLastenUitgegevenObl_24;OverigeRenteEnSoortgelijkeLasten_25;Provisielasten_26;TotaalAlgemeneAdministratieveUitgaven_27;OverigeAdministratieveUitgaven_28;TotaalPersoneelskosten_29;LonenEnSalarissen_30;SocialeLasten_31;OverigeBedrijfslasten_32;WaardeverVanVordEnToevOnttr_33;OverigeWaardeveranderingen_34;ResultaatUitGewoneActiviteiten_35;ResultaatBuitengewoneBatenEnLasten_36;Belastingen_37;WinstVerliesBoekjaar_38;Productiewaarde_39;ToegevoegdeWaardeTegenBasisprijzen_40;BrutoInvesteringenInMaterieleActiva_41;TotaleAankoopVanGoederenEnDiensten_42
30;6411;2008;1;3.0;1614;579.0;1035.0;;;;;1498.0;;;;;;;;;;;;;;;;;;;124;120.0;4.0;;;;;;;;1955;1843;31;112
31;6411;2009;1;3.0;1640;594.0;1046.0;;;;;1513.0;;;;;;;;;;;;;;;;;;;125;122.0;3.0;;;;;;;;1934;1824;61;111
32;6411;2010;1;2.0;1676;;;;;;;1538.0;;;;;;;;;;;;;;;;;;;169;126.0;43.0;;;;;;;;2063;1935;42;128
33;6411;2011;1;2.0;1725;;;;;;;1589.0;;;;;;;;;;;;;;;;;;;184;130.0;54.0;;;;;;;;1690;1596;30;95
34;6411;2012;1;2.0;1755;;;;;;;1625.0;;;;;;;;;;;;;;;;;;;186;134.0;52.0;;;;;;;;2375;2273;27;102
35;6411;2013;1;;1808;;;;;;;1659.0;;;;;;;;;;;;;;;;;;;194;141.0;53.0;;;;;;;;1443;1312;32;131
36;6411;2014;1;;1812;;;;;;;1692.0;;;;;;;;;;;;;;;;;;;191;135.0;56.0;;;;;;;;1286;1132;38;154
37;6411;2015;1;;1853;;;;;;;1707.0;;;;;;;;;;;;;;;;;;;186;138.0;48.0;;;;;;;;986;866;45;120
38;6419;1997;90;7161.0;113200;;;9000.0;16800.0;67000.0;20400.0;109900.0;6397.0;45251.0;38462.0;;;1739.0;310.0;1429.0;3273.0;1006.0;771.0;45250.0;27747.0;;;0.0;10056.0;5339.0;4717;4136.0;581.0;18.0;913.0;906.0;5611.0;12.0;1117.0;4505.0;17504;12147;1208;5357
39;6419;1998;85;6854.0;121000;;;9600.0;18000.0;71600.0;21800.0;117500.0;6568.0;50496.0;43568.0;;;1170.0;318.0;852.0;3787.0;1016.0;955.0;50495.0;32050.0;;;0.0;10862.0;5720.0;5142;4203.0;938.0;10.0;862.0;1081.0;5631.0;-1.0;1132.0;4497.0;18446;12715;1458;5730
40;6419;1999;85;6449.0;126000;;;10000.0;18800.0;74500.0;22700.0;122700.0;6673.0;55775.0;45976.0;;;2831.0;546.0;2285.0;4130.0;1468.0;1370.0;55775.0;33618.0;;;0.0;11765.0;5884.0;5881;4904.0;977.0;53.0;997.0;1096.0;8246.0;20.0;1408.0;6858.0;19871;13934;1211;5937
41;6419;2000;87;6152.0;140400;67392.0;73008.0;11137.0;21316.0;83923.0;24023.0;127636.0;6921.0;67241.0;54689.0;;;3767.0;834.0;2933.0;5200.0;1839.0;1746.0;67242.0;41975.0;;;0.0;13737.0;7041.0;6696;5639.0;1057.0;14.0;591.0;1184.0;9741.0;-714.0;1153.0;7874.0;22334;15279;2402;7055
