ID;Leeftijden;Herkomstgroepering;Perioden;WanbetalersZorgverzekering_1;WanbetalersZorgverzekeringRelatief_2
0;20300;Totaal herkomstgroepering;2006;190210;1.5
1;20300;Totaal herkomstgroepering;2007;240250;1.9
2;20300;Totaal herkomstgroepering;2008;256690;2.0
3;20300;Totaal herkomstgroepering;2009;318480;2.4
4;20300;Autochtoon;2006;118600;1.1
5;20300;Autochtoon;2007;139000;1.3
6;20300;Autochtoon;2008;146260;1.4
7;20300;Autochtoon;2009;178360;1.7
8;20300;Allochtoon;2006;71610;3.0
9;20300;Allochtoon;2007;101250;4.2
10;20300;Allochtoon;2008;110430;4.4
11;20300;Allochtoon;2009;140130;5.5
12;20300;Marokko;2006;7910;3.9
13;20300;Marokko;2007;12000;5.7
14;20300;Marokko;2008;13440;6.3
15;20300;Marokko;2009;17160;7.8
16;20300;(voormalige) Nederlandse Antillen, Aruba;2006;8610;9.6
17;20300;(voormalige) Nederlandse Antillen, Aruba;2007;12150;13.2
18;20300;(voormalige) Nederlandse Antillen, Aruba;2008;13560;14.3
19;20300;(voormalige) Nederlandse Antillen, Aruba;2009;16730;16.9
20;20300;Suriname;2006;14230;5.8
21;20300;Suriname;2007;20460;8.2
22;20300;Suriname;2008;22560;8.9
23;20300;Suriname;2009;27910;10.7
24;20300;Turkije;2006;8030;3.3
25;20300;Turkije;2007;12070;4.8
26;20300;Turkije;2008;13220;5.1
27;20300;Turkije;2009;16740;6.3
28;20300;Overige niet-westerse allochtonen;2006;12200;3.2
29;20300;Overige niet-westerse allochtonen;2007;17410;4.4
30;20300;Overige niet-westerse allochtonen;2008;18750;4.5
31;20300;Overige niet-westerse allochtonen;2009;24830;5.6
32;20300;Overige westerse allochtonen;2006;20630;1.7
33;20300;Overige westerse allochtonen;2007;27160;2.2
34;20300;Overige westerse allochtonen;2008;28890;2.3
35;20300;Overige westerse allochtonen;2009;36760;2.9
36;53110;Totaal herkomstgroepering;2006;85480;2.5
37;53110;Totaal herkomstgroepering;2007;109470;3.2
38;53110;Totaal herkomstgroepering;2008;115040;3.4
39;53110;Totaal herkomstgroepering;2009;141810;4.1
40;53110;Autochtoon;2006;46400;1.8
41;53110;Autochtoon;2007;54910;2.2
42;53110;Autochtoon;2008;56730;2.3
43;53110;Autochtoon;2009;68760;2.7
44;53110;Allochtoon;2006;39080;4.6
45;53110;Allochtoon;2007;54560;6.3
