ID;KenmerkVanExporteur;Perioden;GroeiUitvoer_1;BijdrageAanTotaleGroeiUitvoer_2
0;A Landbouw, bosbouw en visserij;2012;243897.0;0.1
1;A Landbouw, bosbouw en visserij;2013;466075.0;0.1
2;A Landbouw, bosbouw en visserij;2014;11155.0;0.0
3;A Landbouw, bosbouw en visserij;2015;;
4;A Landbouw, bosbouw en visserij;2016;416630.0;0.1
5;A Landbouw, bosbouw en visserij;2017;-20429.0;0.0
6;A Landbouw, bosbouw en visserij;2018;45251.0;0.0
7;A Landbouw, bosbouw en visserij;2019;293233.0;0.1
8;A Landbouw, bosbouw en visserij;2020;165849.0;0.0
9;A Landbouw, bosbouw en visserij;2021;335926.0;0.1
10;A Landbouw, bosbouw en visserij;2022;;
11;01 Landbouw;2012;168711.0;0.0
12;01 Landbouw;2013;481202.0;0.1
13;01 Landbouw;2014;-24397.0;0.0
14;01 Landbouw;2015;;
15;01 Landbouw;2016;400534.0;0.1
16;01 Landbouw;2017;-23089.0;0.0
17;01 Landbouw;2018;-12781.0;0.0
18;01 Landbouw;2019;293384.0;0.1
19;01 Landbouw;2020;190996.0;0.0
20;01 Landbouw;2021;297122.0;0.1
21;01 Landbouw;2022;;
22;02 Bosbouw;2012;-2406.0;0.0
23;02 Bosbouw;2013;-2038.0;0.0
24;02 Bosbouw;2014;368.0;0.0
25;02 Bosbouw;2015;;
26;02 Bosbouw;2016;-223.0;0.0
27;02 Bosbouw;2017;-1125.0;0.0
28;02 Bosbouw;2018;-495.0;0.0
29;02 Bosbouw;2019;708.0;0.0
30;02 Bosbouw;2020;-298.0;0.0
31;02 Bosbouw;2021;9966.0;0.0
32;02 Bosbouw;2022;;
33;03 Visserij;2012;77593.0;0.0
34;03 Visserij;2013;-13089.0;0.0
35;03 Visserij;2014;35185.0;0.0
36;03 Visserij;2015;;
37;03 Visserij;2016;16320.0;0.0
38;03 Visserij;2017;3784.0;0.0
39;03 Visserij;2018;58527.0;0.0
40;03 Visserij;2019;-858.0;0.0
41;03 Visserij;2020;-24849.0;0.0
42;03 Visserij;2021;28838.0;0.0
43;03 Visserij;2022;;
44;B Delfstoffenwinning;2012;-3412395.0;-0.8
45;B Delfstoffenwinning;2013;76086.0;0.0
46;B Delfstoffenwinning;2014;-130361.0;0.0
47;B Delfstoffenwinning;2015;;
48;B Delfstoffenwinning;2016;228336.0;0.1
49;B Delfstoffenwinning;2017;305795.0;0.1
50;B Delfstoffenwinning;2018;-193036.0;0.0
51;B Delfstoffenwinning;2019;56620.0;0.0
52;B Delfstoffenwinning;2020;-177253.0;0.0
53;B Delfstoffenwinning;2021;1818.0;0.0
54;B Delfstoffenwinning;2022;;
55;06 Winning van aardolie en aardgas;2012;-3400178.0;-0.8
56;06 Winning van aardolie en aardgas;2013;5071.0;0.0
57;06 Winning van aardolie en aardgas;2014;49102.0;0.0
58;06 Winning van aardolie en aardgas;2015;;
59;06 Winning van aardolie en aardgas;2016;28329.0;0.0
60;06 Winning van aardolie en aardgas;2017;369431.0;0.1
61;06 Winning van aardolie en aardgas;2018;-121773.0;0.0
62;06 Winning van aardolie en aardgas;2019;48929.0;0.0
63;06 Winning van aardolie en aardgas;2020;-107893.0;0.0
64;06 Winning van aardolie en aardgas;2021;-53858.0;0.0
65;06 Winning van aardolie en aardgas;2022;;
