ID;Werkloosheidsduur;Persoonskenmerken;Perioden;WerklozeBeroepsbevolking_1
0;Totaal werkloosheidsduur;Totaal personen;2013 1e kwartaal;735
1;Totaal werkloosheidsduur;Totaal personen;2013 2e kwartaal;747
2;Totaal werkloosheidsduur;Totaal personen;2013 3e kwartaal;764
3;Totaal werkloosheidsduur;Totaal personen;2013 4e kwartaal;768
4;Totaal werkloosheidsduur;Totaal personen;2013;754
5;Totaal werkloosheidsduur;Totaal personen;2014 1e kwartaal;817
6;Totaal werkloosheidsduur;Totaal personen;2014 2e kwartaal;770
7;Totaal werkloosheidsduur;Totaal personen;2014 3e kwartaal;724
8;Totaal werkloosheidsduur;Totaal personen;2014 4e kwartaal;738
9;Totaal werkloosheidsduur;Totaal personen;2014;762
10;Totaal werkloosheidsduur;Totaal personen;2015 1e kwartaal;777
11;Totaal werkloosheidsduur;Totaal personen;2015 2e kwartaal;730
12;Totaal werkloosheidsduur;Totaal personen;2015 3e kwartaal;692
13;Totaal werkloosheidsduur;Totaal personen;2015 4e kwartaal;698
14;Totaal werkloosheidsduur;Totaal personen;2015;724
15;Totaal werkloosheidsduur;Totaal personen;2016 1e kwartaal;711
16;Totaal werkloosheidsduur;Totaal personen;2016 2e kwartaal;665
17;Totaal werkloosheidsduur;Totaal personen;2016 3e kwartaal;612
18;Totaal werkloosheidsduur;Totaal personen;2016 4e kwartaal;595
19;Totaal werkloosheidsduur;Totaal personen;2016;646
20;Totaal werkloosheidsduur;Totaal personen;2017 1e kwartaal;609
21;Totaal werkloosheidsduur;Totaal personen;2017 2e kwartaal;559
22;Totaal werkloosheidsduur;Totaal personen;2017 3e kwartaal;517
23;Totaal werkloosheidsduur;Totaal personen;2017 4e kwartaal;498
24;Totaal werkloosheidsduur;Totaal personen;2017;546
25;Totaal werkloosheidsduur;Totaal personen;2018 1e kwartaal;503
26;Totaal werkloosheidsduur;Totaal personen;2018 2e kwartaal;462
27;Totaal werkloosheidsduur;Totaal personen;2018 3e kwartaal;439
28;Totaal werkloosheidsduur;Totaal personen;2018 4e kwartaal;431
29;Totaal werkloosheidsduur;Totaal personen;2018;459
30;Totaal werkloosheidsduur;Totaal personen;2019 1e kwartaal;450
31;Totaal werkloosheidsduur;Totaal personen;2019 2e kwartaal;415
32;Totaal werkloosheidsduur;Totaal personen;2019 3e kwartaal;412
33;Totaal werkloosheidsduur;Totaal personen;2019 4e kwartaal;416
34;Totaal werkloosheidsduur;Totaal personen;2019;423
35;Totaal werkloosheidsduur;Totaal personen;2020 1e kwartaal;410
36;Totaal werkloosheidsduur;Totaal personen;2020 2e kwartaal;460
37;Totaal werkloosheidsduur;Totaal personen;2020 3e kwartaal;508
38;Totaal werkloosheidsduur;Totaal personen;2020 4e kwartaal;481
39;Totaal werkloosheidsduur;Totaal personen;2020;465
40;Totaal werkloosheidsduur;Totaal personen;2021 1e kwartaal;464
41;Totaal werkloosheidsduur;Totaal personen;2021 2e kwartaal;416
42;Totaal werkloosheidsduur;Totaal personen;2021 3e kwartaal;389
43;Totaal werkloosheidsduur;Totaal personen;2021 4e kwartaal;364
44;Totaal werkloosheidsduur;Totaal personen;2021;408
45;Totaal werkloosheidsduur;Totaal personen;2022 1e kwartaal;356
46;Totaal werkloosheidsduur;Totaal personen;2022 2e kwartaal;329
47;Totaal werkloosheidsduur;Totaal personen;2022 3e kwartaal;366
48;Totaal werkloosheidsduur;Totaal personen;2022 4e kwartaal;350
49;Totaal werkloosheidsduur;Totaal personen;2022;350
50;Totaal werkloosheidsduur;Totaal personen;2023 1e kwartaal;371
51;Totaal werkloosheidsduur;Totaal personen;2023 2e kwartaal;348
52;Totaal werkloosheidsduur;Totaal personen;2023 3e kwartaal;366
53;Totaal werkloosheidsduur;Totaal personen;2023 4e kwartaal;349
54;Totaal werkloosheidsduur;Totaal personen;2023;359
55;Totaal werkloosheidsduur;Totaal personen;2024 1e kwartaal;386
56;Totaal werkloosheidsduur;Totaal personen;2024 2e kwartaal;365
57;Totaal werkloosheidsduur;Totaal personen;2024 3e kwartaal;377
58;Totaal werkloosheidsduur;Totaal personen;2024 4e kwartaal;362
59;Totaal werkloosheidsduur;Totaal personen;2024;372
60;Totaal werkloosheidsduur;Geslacht: Mannen;2013 1e kwartaal;382
61;Totaal werkloosheidsduur;Geslacht: Mannen;2013 2e kwartaal;393
62;Totaal werkloosheidsduur;Geslacht: Mannen;2013 3e kwartaal;398
63;Totaal werkloosheidsduur;Geslacht: Mannen;2013 4e kwartaal;400
64;Totaal werkloosheidsduur;Geslacht: Mannen;2013;393
65;Totaal werkloosheidsduur;Geslacht: Mannen;2014 1e kwartaal;421
