ID;RegioS;AutochtonenAllochtonen;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Herkomst (land);10805.3;17.8
1;Nederland;Herkomst: Nederland;9098.9;17.9
2;Nederland;Herkomst: Niet-Nederland;1706.4;16.9
3;Nederland;Herkomst: Westers land;936.1;18.5
4;Nederland;Herkomst: Niet-westers land;770.3;14.9
5;Noord-Nederland;Herkomst (land);1122.7;16.5
6;Noord-Nederland;Herkomst: Nederland;1036.7;16.6
7;Noord-Nederland;Herkomst: Niet-Nederland;86.0;15.8
8;Noord-Nederland;Herkomst: Westers land;59.9;16.6
9;Noord-Nederland;Herkomst: Niet-westers land;26.1;13.9
10;Oost-Nederland;Herkomst (land);2237.4;17.1
11;Oost-Nederland;Herkomst: Nederland;1958.6;17.2
12;Oost-Nederland;Herkomst: Niet-Nederland;278.8;16.1
13;Oost-Nederland;Herkomst: Westers land;170.5;17.2
14;Oost-Nederland;Herkomst: Niet-westers land;108.3;14.3
15;West-Nederland;Herkomst (land);5055.3;18.6
16;West-Nederland;Herkomst: Nederland;4055.5;18.9
17;West-Nederland;Herkomst: Niet-Nederland;999.8;17.5
18;West-Nederland;Herkomst: Westers land;467.6;20.0
19;West-Nederland;Herkomst: Niet-westers land;532.3;15.2
20;Zuid-Nederland;Herkomst (land);2389.9;17.3
21;Zuid-Nederland;Herkomst: Nederland;2048.2;17.5
22;Zuid-Nederland;Herkomst: Niet-Nederland;341.7;16.1
23;Zuid-Nederland;Herkomst: Westers land;238.1;17.0
24;Zuid-Nederland;Herkomst: Niet-westers land;103.6;14.1
25;Groningen;Herkomst (land);381.8;16.4
26;Groningen;Herkomst: Nederland;345.4;16.4
27;Groningen;Herkomst: Niet-Nederland;36.4;15.7
28;Groningen;Herkomst: Westers land;23.9;16.7
29;Groningen;Herkomst: Niet-westers land;12.5;13.8
30;Friesland;Herkomst (land);418.6;16.5
31;Friesland;Herkomst: Nederland;391.5;16.6
32;Friesland;Herkomst: Niet-Nederland;27.1;15.4
33;Friesland;Herkomst: Westers land;18.7;16.2
34;Friesland;Herkomst: Niet-westers land;8.4;13.6
35;Drenthe;Herkomst (land);322.3;16.7
36;Drenthe;Herkomst: Nederland;299.8;16.7
37;Drenthe;Herkomst: Niet-Nederland;22.5;16.4
38;Drenthe;Herkomst: Westers land;17.4;17.1
39;Drenthe;Herkomst: Niet-westers land;5.2;14.3
40;Overijssel;Herkomst (land);722.7;16.5
41;Overijssel;Herkomst: Nederland;637.0;16.7
42;Overijssel;Herkomst: Niet-Nederland;85.7;15.3
43;Overijssel;Herkomst: Westers land;52.8;16.4
44;Overijssel;Herkomst: Niet-westers land;32.9;13.4
45;Flevoland;Herkomst (land);219.3;17.6
46;Flevoland;Herkomst: Nederland;177.1;17.8
47;Flevoland;Herkomst: Niet-Nederland;42.2;16.6
48;Flevoland;Herkomst: Westers land;17.5;18.0
49;Flevoland;Herkomst: Niet-westers land;24.7;15.7
50;Gelderland;Herkomst (land);1295.4;17.3
51;Gelderland;Herkomst: Nederland;1144.4;17.4
52;Gelderland;Herkomst: Niet-Nederland;150.9;16.4
53;Gelderland;Herkomst: Westers land;100.2;17.5
54;Gelderland;Herkomst: Niet-westers land;50.7;14.3
55;Utrecht;Herkomst (land);774.1;19.1
