ID;Bestemming;Voertuigcategorie;Perioden;TotaalAantalUitgevallenVoertuigen_1;JongerDan1Jaar_2;k_1Jaar_3;k_2Jaar_4;k_3Jaar_5;k_4Jaar_6;k_5Jaar_7;k_6Jaar_8;k_7Jaar_9;k_8Jaar_10;k_9Jaar_11;k_10Jaar_12;k_11Jaar_13;k_12Jaar_14;k_13Jaar_15;k_14Jaar_16;k_15Jaar_17;k_16Jaar_18;k_17Jaar_19;k_18Jaar_20;k_19Jaar_21;k_20Jaar_22;k_21Jaar_23;k_22Jaar_24;k_23Jaar_25;k_24Jaar_26;k_25JaarEnOuder_27;Onbekend_28
0;Uitval totaal;Personenauto's;1996;375449;3598;2274;2946;3459;5545;6533;9553;13443;17015;24618;33276;38294;47753;52104;41300;26931;18148;14034;7427;3675;1467;842;420;332;192;250;20
1;Uitval totaal;Personenauto's;1997;396453;2851;2168;2580;4423;4807;7000;9744;14672;18816;22985;32496;42434;48845;53464;49073;33233;18345;10879;8314;4569;2203;981;607;318;249;391;6
2;Uitval totaal;Personenauto's;1998;360276;2783;1618;2260;3491;4575;4472;6548;9480;14253;18789;23672;33792;46880;50716;47675;37860;22643;11102;6330;5062;2890;1512;655;403;219;582;14
3;Uitval totaal;Personenauto's;1999;377138;2489;1488;1982;3085;3972;5038;4852;7305;10544;15736;21788;28270;47289;60444;56190;43308;29522;15437;6973;3811;3102;1843;1058;515;341;750;6
4;Uitval totaal;Bedrijfsauto's;1996;48552;548;590;800;2257;3178;3177;3410;3500;3675;5212;5312;4359;3217;2042;1593;1321;1167;1004;698;488;294;187;149;104;70;200;0
5;Uitval totaal;Bedrijfsauto's;1997;52142;526;465;771;1195;2773;3991;4006;4150;4037;4367;5497;5287;4235;2840;1620;1377;1164;1066;871;587;416;241;184;130;110;232;4
6;Uitval totaal;Bedrijfsauto's;1998;46658;552;525;661;962;1442;2572;3972;3667;3958;3806;3792;4632;4810;3515;2071;1311;1005;845;728;605;420;260;167;91;84;202;3
7;Uitval totaal;Bedrijfsauto's;1999;44093;821;482;686;1018;1454;1633;2478;3429;3454;3728;3240;3208;4712;4482;3168;1660;972;836;621;542;464;346;229;125;93;153;59
8;Demontage;Personenauto's;1996;253357;357;1016;1370;1083;910;1224;1884;2703;4146;7992;15564;25265;37700;45141;37514;25107;17015;13442;7107;3532;1399;796;391;310;179;209;1
9;Demontage;Personenauto's;1997;259116;326;1044;1275;1698;1310;1147;1621;2461;3796;6041;12995;25248;36665;44982;43949;30602;17147;10132;7912;4319;2088;920;565;297;235;341;0
