ID;KnelpuntenInkoop;SBI93Bedrijfsgrootte;BedrijvenZonderElektronischeInkoop_1;BedrijvenMetElektronischeInkoop_2
0;Weinig toeleveranciers;1;7;10
1;Weinig toeleveranciers;2;7;10
2;Weinig toeleveranciers;3;9;8
3;Weinig toeleveranciers;4;6;9
4;Weinig toeleveranciers;5;2;12
5;Weinig toeleveranciers;6;21;24
6;Weinig toeleveranciers;11;0;0
7;Weinig toeleveranciers;7;10;9
8;Weinig toeleveranciers;8;11;7
9;Weinig toeleveranciers;9;8;10
10;Weinig toeleveranciers;10;6;9
11;Weinig toeleveranciers;12;13;6
12;Weinig toeleveranciers;13;14;4
13;Weinig toeleveranciers;14;10;10
14;Weinig toeleveranciers;15;14;5
15;Weinig toeleveranciers;16;9;14
16;Weinig toeleveranciers;17;7;16
17;Weinig toeleveranciers;18;13;10
18;Weinig toeleveranciers;19;4;8
19;Weinig toeleveranciers;20;9;3
20;Weinig toeleveranciers;21;9;1
21;Weinig toeleveranciers;22;9;2
22;Weinig toeleveranciers;23;11;15
23;Weinig toeleveranciers;24;4;6
24;Weinig toeleveranciers;25;3;6
25;Weinig toeleveranciers;26;5;5
26;Weinig toeleveranciers;27;7;5
27;Weinig toeleveranciers;28;3;10
28;Weinig toeleveranciers;29;2;12
29;Weinig toeleveranciers;30;4;5
30;Weinig toeleveranciers;31;4;12
31;Weinig toeleveranciers;32;8;11
32;Weinig toeleveranciers;33;5;9
33;Weinig toeleveranciers;34;8;8
34;Weinig toeleveranciers;35;9;9
35;Weinig toeleveranciers;36;5;10
36;Weinig toeleveranciers;37;8;7
37;Weinig toeleveranciers;38;6;12
38;Toename afleveringskosten;1;3;5
39;Toename afleveringskosten;2;4;6
40;Toename afleveringskosten;3;3;4
41;Toename afleveringskosten;4;2;2
42;Toename afleveringskosten;5;1;6
43;Toename afleveringskosten;6;4;0
44;Toename afleveringskosten;11;0;0
45;Toename afleveringskosten;7;5;6
46;Toename afleveringskosten;8;7;5
47;Toename afleveringskosten;9;3;10
48;Toename afleveringskosten;10;2;3
49;Toename afleveringskosten;12;9;5
50;Toename afleveringskosten;13;9;6
51;Toename afleveringskosten;14;7;3
52;Toename afleveringskosten;15;3;2
53;Toename afleveringskosten;16;2;7
54;Toename afleveringskosten;17;2;8
55;Toename afleveringskosten;18;2;3
56;Toename afleveringskosten;19;5;1
57;Toename afleveringskosten;20;5;4
58;Toename afleveringskosten;21;6;6
59;Toename afleveringskosten;22;3;1
60;Toename afleveringskosten;23;0;0
61;Toename afleveringskosten;24;2;3
62;Toename afleveringskosten;25;2;4
63;Toename afleveringskosten;26;1;2
64;Toename afleveringskosten;27;2;2
65;Toename afleveringskosten;28;1;3
66;Toename afleveringskosten;29;1;3
67;Toename afleveringskosten;30;2;2
68;Toename afleveringskosten;31;2;2
69;Toename afleveringskosten;32;4;6
70;Toename afleveringskosten;33;3;6
71;Toename afleveringskosten;34;3;4
72;Toename afleveringskosten;35;4;2
73;Toename afleveringskosten;36;2;1
74;Toename afleveringskosten;37;3;2
75;Toename afleveringskosten;38;2;2
76;Betaling onzeker;1;5;12
77;Betaling onzeker;2;5;14
78;Betaling onzeker;3;5;9
79;Betaling onzeker;4;4;9
80;Betaling onzeker;5;4;10
81;Betaling onzeker;6;8;0
82;Betaling onzeker;11;0;12
83;Betaling onzeker;7;8;12
84;Betaling onzeker;8;11;11
85;Betaling onzeker;9;5;13
86;Betaling onzeker;10;4;11
87;Betaling onzeker;12;9;20
88;Betaling onzeker;13;9;25
89;Betaling onzeker;14;8;8
90;Betaling onzeker;15;5;16
91;Betaling onzeker;16;3;12
92;Betaling onzeker;17;2;14
93;Betaling onzeker;18;4;8
94;Betaling onzeker;19;5;5
95;Betaling onzeker;20;6;7
96;Betaling onzeker;21;6;8
97;Betaling onzeker;22;7;3
98;Betaling onzeker;23;7;12
99;Betaling onzeker;24;4;12
100;Betaling onzeker;25;4;13
101;Betaling onzeker;26;5;8
102;Betaling onzeker;27;2;9
103;Betaling onzeker;28;3;12
104;Betaling onzeker;29;2;14
105;Betaling onzeker;30;0;11
106;Betaling onzeker;31;4;7
107;Betaling onzeker;32;6;14
108;Betaling onzeker;33;4;13
109;Betaling onzeker;34;5;10
110;Betaling onzeker;35;5;9
111;Betaling onzeker;36;4;9
112;Betaling onzeker;37;6;9
113;Betaling onzeker;38;2;8
114;Logistieke problemen;1;5;6
115;Logistieke problemen;2;5;7
116;Logistieke problemen;3;5;6
117;Logistieke problemen;4;4;6
118;Logistieke problemen;5;2;14
119;Logistieke problemen;6;4;0
120;Logistieke problemen;11;0;12
121;Logistieke problemen;7;8;10
122;Logistieke problemen;8;9;10
123;Logistieke problemen;9;6;10
