ID;Client;BuildingPhases;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
797;Total;Production of building projects;2021 3rd quarter;4760;976;3784;2684.0;69.0;241.0;162.0;237.0;113.0;18.0;94.0;113.0;52.0
798;Total;Production of building projects;2021 October;1951;407;1543;1083.0;29.0;105.0;66.0;98.0;44.0;11.0;39.0;48.0;20.0
799;Total;Production of building projects;2021 November;2086;444;1642;1142.0;32.0;114.0;74.0;103.0;49.0;13.0;39.0;53.0;22.0
800;Total;Production of building projects;2021 December;1634;347;1287;894.0;25.0;90.0;59.0;83.0;37.0;11.0;29.0;41.0;18.0
801;Total;Production of building projects;2021 4th quarter;5671;1199;4472;3119.0;86.0;309.0;199.0;285.0;131.0;34.0;107.0;143.0;60.0
802;Total;Production of building projects;2021;20528;4301;16227;11390.0;313.0;1054.0;772.0;1010.0;487.0;76.0;401.0;495.0;229.0
803;Total;Production of building projects;2022 January;1700;363;1337;927.0;27.0;95.0;60.0;90.0;36.0;11.0;29.0;42.0;19.0
804;Total;Production of building projects;2022 February;1748;374;1374;955.0;28.0;101.0;62.0;92.0;37.0;9.0;30.0;41.0;19.0
805;Total;Production of building projects;2022 March;2176;463;1713;1183.0;36.0;132.0;78.0;114.0;47.0;11.0;37.0;51.0;23.0
806;Total;Production of building projects;2022 1st quarter;5624;1200;4424;3064.0;92.0;328.0;200.0;297.0;120.0;31.0;97.0;134.0;60.0
807;Total;Production of building projects;2022 April;1672;357;1315;909.0;27.0;107.0;60.0;82.0;36.0;9.0;29.0;39.0;17.0
808;Total;Production of building projects;2022 May;1887;407;1480;1016.0;30.0;127.0;67.0;90.0;41.0;10.0;33.0;46.0;19.0
809;Total;Production of building projects;2022 June;1963;428;1535;1051.0;29.0;136.0;66.0;90.0;42.0;9.0;34.0;49.0;28.0
810;Total;Production of building projects;2022 2nd quarter;5521;1192;4330;2976.0;86.0;371.0;193.0;262.0;119.0;27.0;95.0;134.0;65.0
811;Total;Production of building projects;2022 July;1793;395;1398;959.0;25.0;120.0;57.0;88.0;38.0;7.0;30.0;42.0;31.0
812;Total;Production of building projects;2022 August;980;211;769;525.0;14.0;71.0;31.0;55.0;21.0;4.0;16.0;22.0;11.0
813;Total;Production of building projects;2022 September;2145;465;1680;1139.0;30.0;169.0;69.0;113.0;45.0;10.0;38.0;45.0;23.0
814;Total;Production of building projects;2022 3rd quarter;4918;1071;3848;2623.0;69.0;360.0;156.0;256.0;104.0;21.0;85.0;109.0;64.0
815;Total;Production of building projects;2022 October;2038;483;1555;1045.0;28.0;153.0;66.0;99.0;44.0;9.0;39.0;50.0;22.0
816;Total;Production of building projects;2022 November;2125;514;1612;1086.0;28.0;155.0;65.0;109.0;46.0;9.0;37.0;54.0;23.0
817;Total;Production of building projects;2022 December;1317;298;1019;695.0;18.0;99.0;42.0;64.0;29.0;6.0;22.0;29.0;15.0
818;Total;Production of building projects;2022 4th quarter;5480;1294;4186;2826.0;74.0;408.0;173.0;272.0;119.0;25.0;97.0;133.0;60.0
819;Total;Production of building projects;2022;21543;4756;16787;11489.0;321.0;1467.0;723.0;1087.0;462.0;105.0;374.0;510.0;250.0
820;Total;Production of building projects;2023 January;1581;360;1221;826.0;22.0;117.0;52.0;77.0;37.0;7.0;27.0;38.0;19.0
821;Total;Production of building projects;2023 February;1704;388;1316;896.0;24.0;107.0;57.0;89.0;40.0;8.0;32.0;39.0;23.0
822;Total;Production of building projects;2023 March;2029;450;1579;1044.0;28.0;164.0;61.0;111.0;45.0;12.0;39.0;47.0;29.0
823;Total;Production of building projects;2023 1st quarter;5314;1197;4116;2766.0;74.0;389.0;169.0;277.0;122.0;28.0;98.0;124.0;70.0
824;Total;Production of building projects;2023 April;1580;343;1238;789.0;21.0;160.0;48.0;87.0;36.0;10.0;28.0;39.0;21.0
825;Total;Production of building projects;2023 May;1794;392;1403;938.0;24.0;119.0;57.0;103.0;45.0;13.0;34.0;46.0;24.0
826;Total;Production of building projects;2023 June;2066;436;1631;1072.0;26.0;135.0;64.0;139.0;59.0;15.0;43.0;51.0;27.0
827;Total;Production of building projects;2023 2nd quarter;5441;1170;4271;2800.0;70.0;414.0;168.0;328.0;139.0;38.0;104.0;137.0;72.0
828;Total;Production of building projects;2023 July;1636;339;1297;838.0;20.0;105.0;50.0;121.0;51.0;12.0;36.0;43.0;20.0
829;Total;Production of building projects;2023 August;977;211;766;496.0;12.0;66.0;37.0;60.0;29.0;7.0;22.0;26.0;11.0
830;Total;Production of building projects;2023 September;1997;435;1562;1004.0;26.0;139.0;84.0;120.0;59.0;14.0;44.0;49.0;23.0
831;Total;Production of building projects;2023 3rd quarter;4610;984;3626;2338.0;58.0;310.0;171.0;302.0;138.0;33.0;102.0;118.0;54.0
832;Total;Production of building projects;2023 October;1910;416;1494;983.0;25.0;126.0;58.0;114.0;59.0;15.0;45.0;47.0;22.0
833;Total;Production of building projects;2023 November;1876;412;1464;969.0;25.0;123.0;57.0;110.0;56.0;15.0;45.0;44.0;21.0
834;Total;Production of building projects;2023 December;1381;305;1077;718.0;20.0;90.0;43.0;81.0;39.0;11.0;30.0;30.0;15.0
835;Total;Production of building projects;2023 4th quarter;5167;1132;4035;2670.0;70.0;338.0;158.0;305.0;154.0;41.0;120.0;121.0;59.0
836;Total;Production of building projects;2023;20532;4484;16048;10574.0;273.0;1451.0;666.0;1212.0;553.0;140.0;425.0;500.0;254.0
837;Total;Production of building projects;2024 January;1388;307;1081;714.0;22.0;89.0;44.0;82.0;39.0;11.0;29.0;29.0;21.0
838;Total;Production of building projects;2024 February;1754;389;1365;897.0;23.0;105.0;60.0;111.0;50.0;14.0;37.0;37.0;33.0
839;Total;Production of building projects;2024 March;1778;404;1374;914.0;23.0;92.0;63.0;118.0;51.0;14.0;39.0;39.0;21.0
840;Total;Production of building projects;2024 1st quarter;4920;1100;3820;2525.0;68.0;286.0;167.0;312.0;140.0;38.0;105.0;105.0;75.0
841;Total;Production of building projects;2024 April;1826;412;1414;955.0;24.0;86.0;61.0;114.0;53.0;13.0;46.0;41.0;22.0
842;Total;Production of building projects;2024 May;1810;406;1404;949.0;25.0;86.0;60.0;113.0;52.0;13.0;48.0;38.0;20.0
843;Total;Production of building projects;2024 June;1818;400;1419;971.0;26.0;90.0;60.0;103.0;53.0;13.0;41.0;42.0;20.0
844;Total;Production of building projects;2024 2nd quarter;5454;1217;4237;2875.0;75.0;261.0;181.0;329.0;158.0;39.0;135.0;120.0;62.0
845;Total;Production of building projects;2024 July;1866;387;1479;1007.0;27.0;94.0;67.0;112.0;54.0;13.0;41.0;44.0;19.0
846;Total;Production of building projects;2024 August;997;207;790;535.0;16.0;52.0;38.0;63.0;28.0;7.0;20.0;20.0;10.0
847;Total;Production of building projects;2024 September;2072;431;1641;1099.0;35.0;112.0;72.0;142.0;61.0;16.0;41.0;41.0;23.0
848;Total;Production of building projects;2024 3rd quarter;4935;1025;3910;2640.0;78.0;258.0;178.0;317.0;143.0;36.0;102.0;105.0;53.0
849;Total;Production of building projects;2024 October;2134;447;1687;1116.0;36.0;117.0;76.0;150.0;64.0;18.0;42.0;43.0;24.0
850;Total;Production of building projects;2024 November;1952;410;1542;1029.0;32.0;108.0;70.0;131.0;57.0;16.0;39.0;38.0;22.0
851;Total;Production of building projects;2024 December;1608;326;1281;862.0;26.0;90.0;51.0;112.0;49.0;12.0;32.0;31.0;18.0
852;Total;Production of building projects;2024 4th quarter;5693;1183;4510;3007.0;94.0;314.0;196.0;393.0;170.0;46.0;113.0;113.0;64.0
853;Total;Production of building projects;2024;21003;4526;16477;11047.0;316.0;1119.0;722.0;1352.0;611.0;160.0;455.0;443.0;253.0
854;Total;Production of building projects;2025 January;1902;381;1520;1027.0;30.0;103.0;59.0;129.0;56.0;22.0;38.0;36.0;20.0
855;Total;Remaining production of buildings;2015 January;7671;1629;6042;3209.0;157.0;259.0;480.0;274.0;313.0;145.0;328.0;506.0;371.0
856;Total;Remaining production of buildings;2015 February;7784;1702;6082;3231.0;147.0;242.0;470.0;266.0;433.0;140.0;306.0;483.0;364.0
857;Total;Remaining production of buildings;2015 March;7651;1631;6020;3271.0;139.0;226.0;454.0;257.0;409.0;130.0;285.0;484.0;364.0
858;Total;Remaining production of buildings;2015 1st quarter;7651;1631;6020;3271.0;139.0;226.0;454.0;257.0;409.0;130.0;285.0;484.0;364.0
859;Total;Remaining production of buildings;2015 April;8056;1704;6352;3629.0;137.0;223.0;470.0;279.0;395.0;122.0;287.0;452.0;359.0
860;Total;Remaining production of buildings;2015 May;8727;1793;6934;4160.0;136.0;261.0;463.0;320.0;387.0;114.0;270.0;468.0;356.0
861;Total;Remaining production of buildings;2015 June;8940;1819;7121;4314.0;132.0;250.0;453.0;314.0;454.0;111.0;298.0;458.0;337.0
862;Total;Remaining production of buildings;2015 2nd quarter;8940;1819;7121;4314.0;132.0;250.0;453.0;314.0;454.0;111.0;298.0;458.0;337.0
863;Total;Remaining production of buildings;2015 July;8996;1836;7160;4241.0;128.0;260.0;458.0;413.0;452.0;105.0;327.0;451.0;326.0
864;Total;Remaining production of buildings;2015 August;9437;1966;7471;4518.0;155.0;265.0;471.0;406.0;476.0;101.0;317.0;440.0;323.0
865;Total;Remaining production of buildings;2015 September;9111;1893;7218;4300.0;160.0;258.0;443.0;428.0;475.0;94.0;318.0;426.0;316.0
866;Total;Remaining production of buildings;2015 3rd quarter;9111;1893;7218;4300.0;160.0;258.0;443.0;428.0;475.0;94.0;318.0;426.0;316.0
867;Total;Remaining production of buildings;2015 October;9004;1874;7130;4153.0;157.0;242.0;434.0;415.0;602.0;88.0;310.0;428.0;301.0
868;Total;Remaining production of buildings;2015 November;8723;1786;6937;4063.0;151.0;233.0;439.0;410.0;584.0;81.0;289.0;406.0;281.0
869;Total;Remaining production of buildings;2015 December;8714;1844;6870;4024.0;148.0;239.0;433.0;402.0;556.0;75.0;278.0;446.0;268.0
870;Total;Remaining production of buildings;2015 4th quarter;8714;1844;6870;4024.0;148.0;239.0;433.0;402.0;556.0;75.0;278.0;446.0;268.0
871;Total;Remaining production of buildings;2015;8714;1844;6870;4024.0;148.0;239.0;433.0;402.0;556.0;75.0;278.0;446.0;268.0
872;Total;Remaining production of buildings;2016 January;8686;1860;6826;3957.0;135.0;243.0;460.0;407.0;528.0;127.0;279.0;438.0;252.0
873;Total;Remaining production of buildings;2016 February;8582;1808;6774;3907.0;122.0;242.0;496.0;400.0;517.0;119.0;290.0;437.0;245.0
874;Total;Remaining production of buildings;2016 March;8352;1801;6551;3759.0;121.0;249.0;463.0;384.0;499.0;111.0;295.0;429.0;241.0
875;Total;Remaining production of buildings;2016 1st quarter;8352;1801;6551;3759.0;121.0;249.0;463.0;384.0;499.0;111.0;295.0;429.0;241.0
876;Total;Remaining production of buildings;2016 April;8224;1778;6446;3715.0;124.0;270.0;465.0;382.0;467.0;102.0;286.0;416.0;222.0
877;Total;Remaining production of buildings;2016 May;8319;1792;6527;3757.0;140.0;265.0;499.0;410.0;451.0;95.0;280.0;413.0;215.0
878;Total;Remaining production of buildings;2016 June;8189;1786;6403;3664.0;150.0;268.0;492.0;397.0;477.0;86.0;274.0;391.0;204.0
879;Total;Remaining production of buildings;2016 2nd quarter;8189;1786;6403;3664.0;150.0;268.0;492.0;397.0;477.0;86.0;274.0;391.0;204.0
880;Total;Remaining production of buildings;2016 July;8409;1807;6601;3791.0;151.0;264.0;516.0;398.0;466.0;83.0;266.0;477.0;189.0
881;Total;Remaining production of buildings;2016 August;9075;1983;7092;4112.0;170.0;302.0;563.0;439.0;458.0;81.0;281.0;481.0;203.0
882;Total;Remaining production of buildings;2016 September;8921;2017;6904;4048.0;162.0;285.0;527.0;452.0;432.0;74.0;257.0;464.0;203.0
883;Total;Remaining production of buildings;2016 3rd quarter;8921;2017;6904;4048.0;162.0;285.0;527.0;452.0;432.0;74.0;257.0;464.0;203.0
884;Total;Remaining production of buildings;2016 October;8893;2017;6876;4021.0;162.0;277.0;493.0;456.0;438.0;73.0;290.0;448.0;219.0
885;Total;Remaining production of buildings;2016 November;8993;1964;7029;4155.0;151.0;308.0;466.0;556.0;409.0;68.0;277.0;426.0;213.0
886;Total;Remaining production of buildings;2016 December;9292;1994;7298;4414.0;150.0;309.0;453.0;554.0;427.0;66.0;268.0;419.0;239.0
887;Total;Remaining production of buildings;2016 4th quarter;9292;1994;7298;4414.0;150.0;309.0;453.0;554.0;427.0;66.0;268.0;419.0;239.0
888;Total;Remaining production of buildings;2016;9292;1994;7298;4414.0;150.0;309.0;453.0;554.0;427.0;66.0;268.0;419.0;239.0
889;Total;Remaining production of buildings;2017 January;9833;2114;7719;4650.0;167.0;371.0;503.0;585.0;432.0;89.0;252.0;423.0;245.0
890;Total;Remaining production of buildings;2017 February;9859;2074;7785;4725.0;152.0;379.0;518.0;589.0;458.0;83.0;235.0;416.0;229.0
891;Total;Remaining production of buildings;2017 March;9584;2014;7570;4576.0;165.0;371.0;485.0;560.0;425.0;76.0;223.0;393.0;294.0
892;Total;Remaining production of buildings;2017 1st quarter;9584;2014;7570;4576.0;165.0;371.0;485.0;560.0;425.0;76.0;223.0;393.0;294.0
893;Total;Remaining production of buildings;2017 April;9884;2051;7833;4746.0;175.0;431.0;501.0;582.0;418.0;86.0;207.0;377.0;310.0
894;Total;Remaining production of buildings;2017 May;10286;1983;8303;5085.0;164.0;449.0;518.0;637.0;395.0;81.0;211.0;360.0;403.0
895;Total;Remaining production of buildings;2017 June;10147;1941;8207;5062.0;156.0;466.0;510.0;608.0;384.0;75.0;226.0;340.0;380.0
896;Total;Remaining production of buildings;2017 2nd quarter;10147;1941;8207;5062.0;156.0;466.0;510.0;608.0;384.0;75.0;226.0;340.0;380.0
897;Total;Remaining production of buildings;2017 July;10123;1894;8229;5085.0;150.0;498.0;520.0;611.0;361.0;71.0;229.0;325.0;379.0
898;Total;Remaining production of buildings;2017 August;11174;2068;9107;5727.0;164.0;531.0;522.0;639.0;354.0;71.0;335.0;338.0;425.0
899;Total;Remaining production of buildings;2017 September;11197;2068;9129;5727.0;166.0;538.0;611.0;644.0;333.0;66.0;322.0;317.0;405.0
900;Total;Remaining production of buildings;2017 3rd quarter;11197;2068;9129;5727.0;166.0;538.0;611.0;644.0;333.0;66.0;322.0;317.0;405.0
901;Total;Remaining production of buildings;2017 October;10940;2032;8908;5647.0;157.0;504.0;571.0;608.0;345.0;60.0;321.0;306.0;389.0
902;Total;Remaining production of buildings;2017 November;10970;2071;8899;5737.0;161.0;522.0;547.0;595.0;324.0;56.0;296.0;289.0;374.0
903;Total;Remaining production of buildings;2017 December;11464;2129;9335;6066.0;155.0;576.0;595.0;626.0;307.0;55.0;282.0;296.0;379.0
904;Total;Remaining production of buildings;2017 4th quarter;11464;2129;9335;6066.0;155.0;576.0;595.0;626.0;307.0;55.0;282.0;296.0;379.0
905;Total;Remaining production of buildings;2017;11464;2129;9335;6066.0;155.0;576.0;595.0;626.0;307.0;55.0;282.0;296.0;379.0
906;Total;Remaining production of buildings;2018 January;11646;2137;9509;6165.0;175.0;622.0;580.0;686.0;282.0;67.0;268.0;293.0;371.0
907;Total;Remaining production of buildings;2018 February;11751;2170;9581;6156.0;171.0;626.0;588.0;701.0;275.0;64.0;261.0;382.0;357.0
908;Total;Remaining production of buildings;2018 March;11775;2189;9586;6223.0;179.0;593.0;608.0;672.0;252.0;61.0;253.0;368.0;379.0
909;Total;Remaining production of buildings;2018 1st quarter;11775;2189;9586;6223.0;179.0;593.0;608.0;672.0;252.0;61.0;253.0;368.0;379.0
910;Total;Remaining production of buildings;2018 April;11727;2204;9523;6164.0;172.0;591.0;581.0;712.0;245.0;57.0;259.0;365.0;376.0
911;Total;Remaining production of buildings;2018 May;11825;2226;9598;6300.0;176.0;605.0;539.0;693.0;250.0;54.0;262.0;344.0;373.0
912;Total;Remaining production of buildings;2018 June;11703;2101;9602;6190.0;162.0;626.0;590.0;676.0;319.0;53.0;259.0;336.0;391.0
913;Total;Remaining production of buildings;2018 2nd quarter;11703;2101;9602;6190.0;162.0;626.0;590.0;676.0;319.0;53.0;259.0;336.0;391.0
914;Total;Remaining production of buildings;2018 July;11800;2063;9737;6213.0;163.0;615.0;690.0;662.0;367.0;49.0;248.0;348.0;383.0
915;Total;Remaining production of buildings;2018 August;12560;2244;10315;6671.0;177.0;660.0;701.0;704.0;361.0;46.0;251.0;358.0;386.0
916;Total;Remaining production of buildings;2018 September;12604;2235;10369;6644.0;165.0;685.0;706.0;729.0;364.0;43.0;260.0;368.0;405.0
917;Total;Remaining production of buildings;2018 3rd quarter;12604;2235;10369;6644.0;165.0;685.0;706.0;729.0;364.0;43.0;260.0;368.0;405.0
918;Total;Remaining production of buildings;2018 October;12322;2172;10150;6527.0;162.0;655.0;666.0;713.0;353.0;38.0;247.0;386.0;402.0
919;Total;Remaining production of buildings;2018 November;12748;2121;10627;6937.0;152.0;658.0;645.0;720.0;336.0;33.0;366.0;391.0;388.0
920;Total;Remaining production of buildings;2018 December;13266;2152;11115;7383.0;150.0;679.0;679.0;699.0;384.0;31.0;349.0;382.0;380.0
921;Total;Remaining production of buildings;2018 4th quarter;13266;2152;11115;7383.0;150.0;679.0;679.0;699.0;384.0;31.0;349.0;382.0;380.0
922;Total;Remaining production of buildings;2018;13266;2152;11115;7383.0;150.0;679.0;679.0;699.0;384.0;31.0;349.0;382.0;380.0
923;Total;Remaining production of buildings;2019 January;13474;2182;11292;7455.0;148.0;711.0;675.0;747.0;375.0;33.0;349.0;417.0;382.0
924;Total;Remaining production of buildings;2019 February;13363;2215;11148;7365.0;142.0;688.0;672.0;754.0;378.0;34.0;339.0;402.0;374.0
925;Total;Remaining production of buildings;2019 March;12868;2123;10745;7041.0;137.0;687.0;689.0;727.0;358.0;31.0;319.0;393.0;362.0
926;Total;Remaining production of buildings;2019 1st quarter;12868;2123;10745;7041.0;137.0;687.0;689.0;727.0;358.0;31.0;319.0;393.0;362.0
927;Total;Remaining production of buildings;2019 April;12746;2147;10599;6939.0;128.0;689.0;685.0;747.0;345.0;31.0;313.0;378.0;343.0
928;Total;Remaining production of buildings;2019 May;12602;2111;10491;6860.0;122.0;663.0;660.0;761.0;365.0;28.0;302.0;389.0;340.0
929;Total;Remaining production of buildings;2019 June;12552;2115;10437;6773.0;116.0;651.0;696.0;797.0;359.0;45.0;294.0;386.0;320.0
930;Total;Remaining production of buildings;2019 2nd quarter;12552;2115;10437;6773.0;116.0;651.0;696.0;797.0;359.0;45.0;294.0;386.0;320.0
931;Total;Remaining production of buildings;2019 July;12203;2051;10151;6518.0;113.0;662.0;659.0;763.0;382.0;42.0;282.0;422.0;308.0
932;Total;Remaining production of buildings;2019 August;13056;2303;10753;7010.0;124.0;674.0;672.0;803.0;398.0;41.0;303.0;426.0;301.0
933;Total;Remaining production of buildings;2019 September;12976;2273;10704;6919.0;121.0;695.0;657.0;801.0;421.0;42.0;304.0;460.0;284.0
934;Total;Remaining production of buildings;2019 3rd quarter;12976;2273;10704;6919.0;121.0;695.0;657.0;801.0;421.0;42.0;304.0;460.0;284.0
935;Total;Remaining production of buildings;2019 October;12514;2239;10276;6590.0;107.0;690.0;634.0;745.0;393.0;46.0;329.0;468.0;273.0
936;Total;Remaining production of buildings;2019 November;12483;2214;10269;6706.0;103.0;700.0;620.0;708.0;388.0;42.0;309.0;447.0;246.0
937;Total;Remaining production of buildings;2019 December;12987;2306;10681;7047.0;105.0;698.0;677.0;740.0;394.0;39.0;304.0;442.0;234.0
938;Total;Remaining production of buildings;2019 4th quarter;12987;2306;10681;7047.0;105.0;698.0;677.0;740.0;394.0;39.0;304.0;442.0;234.0
939;Total;Remaining production of buildings;2019;12987;2306;10681;7047.0;105.0;698.0;677.0;740.0;394.0;39.0;304.0;442.0;234.0
940;Total;Remaining production of buildings;2020 January;13123;2243;10880;7141.0;96.0;783.0;677.0;827.0;376.0;37.0;288.0;436.0;217.0
941;Total;Remaining production of buildings;2020 February;13182;2263;10919;7153.0;95.0;784.0;715.0;811.0;395.0;35.0;274.0;435.0;222.0
942;Total;Remaining production of buildings;2020 March;12820;2220;10600;6996.0;85.0;746.0;679.0;777.0;373.0;31.0;285.0;413.0;216.0
943;Total;Remaining production of buildings;2020 1st quarter;12820;2220;10600;6996.0;85.0;746.0;679.0;777.0;373.0;31.0;285.0;413.0;216.0
944;Total;Remaining production of buildings;2020 April;13029;2364;10665;7026.0;83.0;770.0;660.0;753.0;433.0;29.0;282.0;421.0;207.0
945;Total;Remaining production of buildings;2020 May;13189;2398;10791;7220.0;84.0;754.0;653.0;746.0;424.0;27.0;286.0;403.0;193.0
946;Total;Remaining production of buildings;2020 June;13336;2499;10837;7142.0;84.0;741.0;713.0;810.0;443.0;25.0;302.0;378.0;198.0
947;Total;Remaining production of buildings;2020 2nd quarter;13336;2499;10837;7142.0;84.0;741.0;713.0;810.0;443.0;25.0;302.0;378.0;198.0
948;Total;Remaining production of buildings;2020 July;13484;2523;10961;7249.0;82.0;732.0;698.0;862.0;423.0;24.0;311.0;391.0;191.0
949;Total;Remaining production of buildings;2020 August;14391;2682;11709;7756.0;105.0;822.0;745.0;913.0;418.0;26.0;343.0;389.0;192.0
950;Total;Remaining production of buildings;2020 September;14151;2591;11560;7582.0;113.0;797.0;693.0;1073.0;413.0;26.0;321.0;360.0;182.0
951;Total;Remaining production of buildings;2020 3rd quarter;14151;2591;11560;7582.0;113.0;797.0;693.0;1073.0;413.0;26.0;321.0;360.0;182.0
952;Total;Remaining production of buildings;2020 October;14009;2489;11520;7497.0;105.0;743.0;707.0;1100.0;418.0;25.0;330.0;396.0;200.0
953;Total;Remaining production of buildings;2020 November;14160;2428;11732;7762.0;100.0;699.0;665.0;1100.0;462.0;32.0;330.0;388.0;195.0
954;Total;Remaining production of buildings;2020 December;14617;2472;12144;8097.0;102.0;726.0;655.0;1135.0;467.0;48.0;321.0;401.0;195.0
955;Total;Remaining production of buildings;2020 4th quarter;14617;2472;12144;8097.0;102.0;726.0;655.0;1135.0;467.0;48.0;321.0;401.0;195.0
956;Total;Remaining production of buildings;2020;14617;2472;12144;8097.0;102.0;726.0;655.0;1135.0;467.0;48.0;321.0;401.0;195.0
957;Total;Remaining production of buildings;2021 January;14973;2490;12483;8381.0;178.0;745.0;634.0;1164.0;451.0;44.0;317.0;390.0;179.0
958;Total;Remaining production of buildings;2021 February;15298;2620;12678;8563.0;174.0;742.0;630.0;1124.0;487.0;58.0;333.0;388.0;177.0
959;Total;Remaining production of buildings;2021 March;14910;2552;12357;8281.0;163.0;726.0;637.0;1145.0;459.0;59.0;330.0;390.0;168.0
960;Total;Remaining production of buildings;2021 1st quarter;14910;2552;12357;8281.0;163.0;726.0;637.0;1145.0;459.0;59.0;330.0;390.0;168.0
961;Total;Remaining production of buildings;2021 April;15279;2504;12776;8701.0;173.0;704.0;666.0;1142.0;444.0;56.0;332.0;392.0;164.0
962;Total;Remaining production of buildings;2021 May;15946;2503;13443;9236.0;175.0;754.0;711.0;1164.0;453.0;55.0;344.0;378.0;173.0
963;Total;Remaining production of buildings;2021 June;16079;2554;13525;9316.0;167.0;769.0;664.0;1132.0;432.0;56.0;357.0;440.0;193.0
964;Total;Remaining production of buildings;2021 2nd quarter;16079;2554;13525;9316.0;167.0;769.0;664.0;1132.0;432.0;56.0;357.0;440.0;193.0
965;Total;Remaining production of buildings;2021 July;16065;2469;13597;9439.0;163.0;770.0;633.0;1112.0;405.0;69.0;371.0;423.0;211.0
966;Total;Remaining production of buildings;2021 August;17221;2636;14585;10205.0;174.0;830.0;653.0;1135.0;402.0;84.0;409.0;455.0;237.0
967;Total;Remaining production of buildings;2021 September;16757;2608;14149;9812.0;173.0;801.0;698.0;1158.0;383.0;82.0;397.0;424.0;222.0
968;Total;Remaining production of buildings;2021 3rd quarter;16757;2608;14149;9812.0;173.0;801.0;698.0;1158.0;383.0;82.0;397.0;424.0;222.0
969;Total;Remaining production of buildings;2021 October;16678;2782;13895;9498.0;170.0;825.0;680.0;1125.0;359.0;165.0;385.0;453.0;236.0
970;Total;Remaining production of buildings;2021 November;16491;2749;13742;9440.0;164.0;787.0;719.0;1074.0;371.0;154.0;378.0;432.0;223.0
971;Total;Remaining production of buildings;2021 December;16818;2735;14083;9730.0;171.0;817.0;712.0;1066.0;365.0;151.0;363.0;462.0;245.0
972;Total;Remaining production of buildings;2021 4th quarter;16818;2735;14083;9730.0;171.0;817.0;712.0;1066.0;365.0;151.0;363.0;462.0;245.0
973;Total;Remaining production of buildings;2021;16818;2735;14083;9730.0;171.0;817.0;712.0;1066.0;365.0;151.0;363.0;462.0;245.0
974;Total;Remaining production of buildings;2022 January;17018;2724;14294;9959.0;169.0;864.0;696.0;1061.0;347.0;144.0;354.0;460.0;238.0
975;Total;Remaining production of buildings;2022 February;17026;2676;14350;9968.0;169.0;883.0;741.0;1020.0;333.0;142.0;368.0;486.0;239.0
976;Total;Remaining production of buildings;2022 March;16434;2661;13773;9522.0;164.0;955.0;682.0;978.0;299.0;137.0;350.0;460.0;227.0
977;Total;Remaining production of buildings;2022 1st quarter;16434;2661;13773;9522.0;164.0;955.0;682.0;978.0;299.0;137.0;350.0;460.0;227.0
978;Total;Remaining production of buildings;2022 April;16631;2745;13886;9755.0;162.0;917.0;652.0;956.0;322.0;128.0;332.0;446.0;215.0
979;Total;Remaining production of buildings;2022 May;16509;2687;13823;9722.0;151.0;926.0;625.0;940.0;343.0;132.0;338.0;444.0;202.0
980;Total;Remaining production of buildings;2022 June;16183;2634;13549;9563.0;138.0;880.0;591.0;903.0;319.0;129.0;341.0;455.0;229.0
981;Total;Remaining production of buildings;2022 2nd quarter;16183;2634;13549;9563.0;138.0;880.0;591.0;903.0;319.0;129.0;341.0;455.0;229.0
982;Total;Remaining production of buildings;2022 July;16287;2684;13603;9601.0;143.0;930.0;573.0;927.0;322.0;122.0;324.0;447.0;215.0
983;Total;Remaining production of buildings;2022 August;17532;2901;14631;10325.0;145.0;1107.0;588.0;930.0;331.0;126.0;386.0;456.0;236.0
984;Total;Remaining production of buildings;2022 September;17148;2979;14169;9901.0;146.0;1033.0;602.0;972.0;347.0;119.0;372.0;455.0;221.0
985;Total;Remaining production of buildings;2022 3rd quarter;17148;2979;14169;9901.0;146.0;1033.0;602.0;972.0;347.0;119.0;372.0;455.0;221.0
986;Total;Remaining production of buildings;2022 October;17115;3119;13996;9754.0;130.0;934.0;559.0;1101.0;367.0;111.0;371.0;444.0;225.0
987;Total;Remaining production of buildings;2022 November;16925;2968;13957;9934.0;125.0;859.0;529.0;1065.0;364.0;101.0;347.0;414.0;219.0
988;Total;Remaining production of buildings;2022 December;17449;2971;14478;10178.0;128.0;882.0;631.0;1174.0;407.0;97.0;344.0;413.0;224.0
989;Total;Remaining production of buildings;2022 4th quarter;17449;2971;14478;10178.0;128.0;882.0;631.0;1174.0;407.0;97.0;344.0;413.0;224.0
990;Total;Remaining production of buildings;2022;17449;2971;14478;10178.0;128.0;882.0;631.0;1174.0;407.0;97.0;344.0;413.0;224.0
991;Total;Remaining production of buildings;2023 January;17456;2942;14513;10180.0;123.0;848.0;612.0;1235.0;443.0;91.0;335.0;430.0;216.0
992;Total;Remaining production of buildings;2023 February;17329;2847;14482;9980.0;122.0;826.0;609.0;1337.0;421.0;167.0;325.0;462.0;231.0
993;Total;Remaining production of buildings;2023 March;17061;2815;14247;9652.0;107.0;1022.0;577.0;1300.0;417.0;156.0;325.0;471.0;220.0
