ID;Client;BuildingPhases;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
143;Total;Orders received by contractors;2023 2nd quarter;5265;1121;4145;2787.0;;;;;;;;;
144;Total;Orders received by contractors;2023 July;1527;391;1136;788.0;;;;;;;;;
145;Total;Orders received by contractors;2023 August;1295;388;907;570.0;;;;;;;;;
146;Total;Orders received by contractors;2023 September;1395;288;1108;866.0;;;;;;;;;
147;Total;Orders received by contractors;2023 3rd quarter;4218;1067;3151;2224.0;;;;;;;;;
148;Total;Orders received by contractors;2023 October;2048;414;1634;1110.0;;;;;;;;;
149;Total;Orders received by contractors;2023 November;1572;395;1177;857.0;;;;;;;;;
150;Total;Orders received by contractors;2023 December;1674;375;1299;657.0;;;;;;;;;
151;Total;Orders received by contractors;2023 4th quarter;5295;1184;4110;2624.0;;;;;;;;;
152;Total;Orders received by contractors;2023;19714;4494;15220;9907.0;;;;;;;;;
153;Total;Orders received by contractors;2024 January;1209;316;894;570.0;;;;;;;;;
154;Total;Orders received by contractors;2024 February;1909;408;1501;1122.0;;;;;;;;;
155;Total;Orders received by contractors;2024 March;2351;508;1843;1372.0;;;;;;;;;
156;Total;Orders received by contractors;2024 1st quarter;5469;1231;4238;3064.0;;;;;;;;;
157;Total;Orders received by contractors;2024 April;2398;368;2030;1169.0;;;;;;;;;
158;Total;Orders received by contractors;2024 May;2432;424;2009;1309.0;;;;;;;;;
159;Total;Orders received by contractors;2024 June;1835;298;1536;1039.0;;;;;;;;;
160;Total;Orders received by contractors;2024 2nd quarter;6665;1090;5574;3517.0;;;;;;;;;
161;Total;Orders received by contractors;2024 July;2370;584;1786;1248.0;;;;;;;;;
162;Total;Orders received by contractors;2024 August;1003;234;769;441.0;;;;;;;;;
163;Total;Orders received by contractors;2024 September;1334;251;1083;678.0;;;;;;;;;
164;Total;Orders received by contractors;2024 3rd quarter;4706;1068;3638;2367.0;;;;;;;;;
165;Total;Orders received by contractors;2024 October;2024;336;1688;1198.0;;;;;;;;;
166;Total;Orders received by contractors;2024 November;1722;344;1378;1145.0;;;;;;;;;
167;Total;Orders received by contractors;2024 December;2151;338;1813;1410.0;;;;;;;;;
168;Total;Orders received by contractors;2024 4th quarter;5897;1018;4879;3754.0;;;;;;;;;
169;Total;Orders received by contractors;2024;22738;4408;18329;12701.0;;;;;;;;;
170;Total;Orders received by contractors;2025 January;1204;276;929;608.0;;;;;;;;;
171;Total;Building projects started;2015 January;1083;283;800;565.0;47.0;42.0;46.0;14.0;18.0;1.0;22.0;36.0;8.0
172;Total;Building projects started;2015 February;1070;316;755;448.0;32.0;15.0;37.0;17.0;151.0;3.0;14.0;15.0;24.0
173;Total;Building projects started;2015 March;942;196;746;529.0;35.0;19.0;35.0;18.0;14.0;0.0;18.0;43.0;35.0
174;Total;Building projects started;2015 1st quarter;3095;794;2301;1542.0;114.0;75.0;119.0;49.0;183.0;4.0;54.0;95.0;67.0
175;Total;Building projects started;2015 April;1356;305;1052;804.0;33.0;28.0;60.0;45.0;18.0;0.0;35.0;4.0;26.0
176;Total;Building projects started;2015 May;1563;301;1263;967.0;30.0;67.0;33.0;62.0;21.0;0.0;12.0;48.0;24.0
177;Total;Building projects started;2015 June;1401;302;1098;752.0;35.0;24.0;40.0;22.0;106.0;6.0;65.0;32.0;17.0
178;Total;Building projects started;2015 2nd quarter;4321;908;3413;2522.0;98.0;119.0;132.0;129.0;145.0;6.0;111.0;83.0;67.0
179;Total;Building projects started;2015 July;995;233;762;404.0;26.0;37.0;44.0;122.0;29.0;1.0;59.0;24.0;17.0
180;Total;Building projects started;2015 August;995;259;736;558.0;44.0;21.0;36.0;8.0;41.0;0.0;8.0;7.0;13.0
181;Total;Building projects started;2015 September;905;216;689;409.0;45.0;28.0;22.0;54.0;39.0;2.0;40.0;24.0;28.0
182;Total;Building projects started;2015 3rd quarter;2895;708;2187;1371.0;115.0;86.0;102.0;184.0;109.0;2.0;106.0;54.0;58.0
183;Total;Building projects started;2015 October;1040;253;787;432.0;35.0;15.0;35.0;18.0;167.0;1.0;30.0;38.0;16.0
184;Total;Building projects started;2015 November;890;192;697;497.0;34.0;22.0;51.0;26.0;24.0;1.0;16.0;15.0;11.0
185;Total;Building projects started;2015 December;856;267;589;394.0;25.0;29.0;29.0;17.0;4.0;0.0;13.0;68.0;10.0
186;Total;Building projects started;2015 4th quarter;2786;712;2074;1324.0;94.0;66.0;114.0;61.0;196.0;2.0;59.0;122.0;37.0
187;Total;Building projects started;2015;13097;3122;9975;6759.0;420.0;347.0;466.0;423.0;632.0;15.0;331.0;354.0;229.0
188;Total;Building projects started;2016 January;988;266;722;441.0;21.0;30.0;67.0;33.0;7.0;60.0;28.0;26.0;10.0
189;Total;Building projects started;2016 February;991;216;775;499.0;21.0;26.0;82.0;23.0;28.0;0.0;40.0;35.0;22.0
190;Total;Building projects started;2016 March;832;255;577;383.0;30.0;34.0;13.0;14.0;21.0;1.0;34.0;27.0;22.0
191;Total;Building projects started;2016 1st quarter;2811;736;2075;1322.0;72.0;90.0;161.0;70.0;56.0;61.0;102.0;88.0;53.0
192;Total;Building projects started;2016 April;955;245;710;495.0;34.0;50.0;48.0;28.0;6.0;0.0;21.0;22.0;6.0
193;Total;Building projects started;2016 May;1069;256;813;526.0;45.0;23.0;77.0;58.0;18.0;0.0;21.0;30.0;15.0
194;Total;Building projects started;2016 June;1042;286;755;484.0;45.0;37.0;44.0;22.0;65.0;0.0;27.0;18.0;14.0
195;Total;Building projects started;2016 2nd quarter;3066;788;2279;1506.0;123.0;110.0;169.0;107.0;89.0;0.0;69.0;69.0;36.0
196;Total;Building projects started;2016 July;1193;265;928;607.0;30.0;24.0;69.0;29.0;22.0;3.0;18.0;119.0;6.0
197;Total;Building projects started;2016 August;1156;300;855;562.0;34.0;52.0;70.0;54.0;8.0;1.0;27.0;22.0;25.0
198;Total;Building projects started;2016 September;1131;364;766;568.0;30.0;22.0;23.0;47.0;15.0;0.0;7.0;27.0;25.0
199;Total;Building projects started;2016 3rd quarter;3479;930;2549;1737.0;95.0;99.0;162.0;131.0;44.0;5.0;53.0;168.0;56.0
200;Total;Building projects started;2016 October;1052;278;774;506.0;33.0;26.0;15.0;33.0;41.0;4.0;59.0;20.0;38.0
201;Total;Building projects started;2016 November;1296;255;1041;728.0;24.0;70.0;24.0;134.0;8.0;1.0;17.0;16.0;18.0
202;Total;Building projects started;2016 December;1154;249;905;686.0;25.0;29.0;22.0;23.0;45.0;2.0;10.0;20.0;44.0
203;Total;Building projects started;2016 4th quarter;3502;782;2720;1920.0;82.0;124.0;60.0;191.0;94.0;7.0;85.0;56.0;100.0
204;Total;Building projects started;2016;12859;3236;9623;6485.0;372.0;423.0;553.0;499.0;284.0;72.0;309.0;381.0;246.0
205;Total;Building projects started;2017 January;1352;325;1026;645.0;42.0;89.0;83.0;57.0;30.0;28.0;2.0;30.0;22.0
206;Total;Building projects started;2017 February;1177;250;927;659.0;19.0;48.0;60.0;39.0;63.0;0.0;6.0;27.0;6.0
207;Total;Building projects started;2017 March;1130;287;843;574.0;53.0;41.0;23.0;13.0;11.0;0.0;16.0;19.0;92.0
208;Total;Building projects started;2017 1st quarter;3659;863;2796;1878.0;114.0;179.0;165.0;109.0;105.0;28.0;24.0;75.0;120.0
209;Total;Building projects started;2017 April;1377;297;1080;729.0;41.0;100.0;58.0;54.0;28.0;14.0;4.0;14.0;38.0
210;Total;Building projects started;2017 May;1751;249;1502;1050.0;27.0;70.0;71.0;97.0;20.0;0.0;28.0;18.0;121.0
211;Total;Building projects started;2017 June;1201;264;937;687.0;29.0;70.0;45.0;14.0;29.0;0.0;41.0;15.0;6.0
212;Total;Building projects started;2017 2nd quarter;4329;810;3520;2467.0;96.0;241.0;174.0;166.0;77.0;14.0;73.0;47.0;165.0
213;Total;Building projects started;2017 July;1147;217;930;649.0;24.0;81.0;59.0;42.0;10.0;0.0;26.0;14.0;25.0
214;Total;Building projects started;2017 August;1744;327;1417;1015.0;32.0;63.0;32.0;51.0;12.0;3.0;120.0;30.0;61.0
215;Total;Building projects started;2017 September;1470;321;1149;777.0;39.0;70.0;150.0;52.0;17.0;0.0;17.0;15.0;11.0
216;Total;Building projects started;2017 3rd quarter;4361;864;3496;2441.0;94.0;214.0;241.0;145.0;40.0;3.0;162.0;58.0;97.0
