ID;CompanySize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
0;1 or more employed persons;F Construction;2005 January;;
1;1 or more employed persons;F Construction;2005 February;;
2;1 or more employed persons;F Construction;2005 March;;
3;1 or more employed persons;F Construction;2005 1st quarter;;
4;1 or more employed persons;F Construction;2005 April;;
5;1 or more employed persons;F Construction;2005 May;;
6;1 or more employed persons;F Construction;2005 June;;
7;1 or more employed persons;F Construction;2005 2nd quarter;;
8;1 or more employed persons;F Construction;2005 July;;
9;1 or more employed persons;F Construction;2005 August;;
10;1 or more employed persons;F Construction;2005 September;;
11;1 or more employed persons;F Construction;2005 3rd quarter;;
12;1 or more employed persons;F Construction;2005 October;;
13;1 or more employed persons;F Construction;2005 November;;
14;1 or more employed persons;F Construction;2005 December;;
15;1 or more employed persons;F Construction;2005 4th quarter;;
16;1 or more employed persons;F Construction;2005;;
17;1 or more employed persons;F Construction;2006 January;;
18;1 or more employed persons;F Construction;2006 February;;
19;1 or more employed persons;F Construction;2006 March;;
20;1 or more employed persons;F Construction;2006 1st quarter;;
21;1 or more employed persons;F Construction;2006 April;;
22;1 or more employed persons;F Construction;2006 May;;
23;1 or more employed persons;F Construction;2006 June;;
24;1 or more employed persons;F Construction;2006 2nd quarter;;
25;1 or more employed persons;F Construction;2006 July;;
26;1 or more employed persons;F Construction;2006 August;;
27;1 or more employed persons;F Construction;2006 September;;
28;1 or more employed persons;F Construction;2006 3rd quarter;;
29;1 or more employed persons;F Construction;2006 October;;
30;1 or more employed persons;F Construction;2006 November;;
31;1 or more employed persons;F Construction;2006 December;;
32;1 or more employed persons;F Construction;2006 4th quarter;;
33;1 or more employed persons;F Construction;2006;;
34;1 or more employed persons;F Construction;2007 January;;
35;1 or more employed persons;F Construction;2007 February;;
36;1 or more employed persons;F Construction;2007 March;;
37;1 or more employed persons;F Construction;2007 1st quarter;;
38;1 or more employed persons;F Construction;2007 April;;
39;1 or more employed persons;F Construction;2007 May;;
40;1 or more employed persons;F Construction;2007 June;;
41;1 or more employed persons;F Construction;2007 2nd quarter;;
42;1 or more employed persons;F Construction;2007 July;;
43;1 or more employed persons;F Construction;2007 August;;
44;1 or more employed persons;F Construction;2007 September;;
45;1 or more employed persons;F Construction;2007 3rd quarter;;
46;1 or more employed persons;F Construction;2007 October;;
47;1 or more employed persons;F Construction;2007 November;;
48;1 or more employed persons;F Construction;2007 December;;
49;1 or more employed persons;F Construction;2007 4th quarter;;
50;1 or more employed persons;F Construction;2007;;
51;1 or more employed persons;F Construction;2008 January;;
52;1 or more employed persons;F Construction;2008 February;;
53;1 or more employed persons;F Construction;2008 March;;
54;1 or more employed persons;F Construction;2008 1st quarter;;
55;1 or more employed persons;F Construction;2008 April;;
56;1 or more employed persons;F Construction;2008 May;;
57;1 or more employed persons;F Construction;2008 June;;
58;1 or more employed persons;F Construction;2008 2nd quarter;;
59;1 or more employed persons;F Construction;2008 July;;
60;1 or more employed persons;F Construction;2008 August;;
61;1 or more employed persons;F Construction;2008 September;;
62;1 or more employed persons;F Construction;2008 3rd quarter;;
63;1 or more employed persons;F Construction;2008 October;;
64;1 or more employed persons;F Construction;2008 November;;
65;1 or more employed persons;F Construction;2008 December;;
66;1 or more employed persons;F Construction;2008 4th quarter;;
67;1 or more employed persons;F Construction;2008;;
68;1 or more employed persons;F Construction;2009 January;79.1;
69;1 or more employed persons;F Construction;2009 February;99.1;
70;1 or more employed persons;F Construction;2009 March;122.3;
71;1 or more employed persons;F Construction;2009 1st quarter;100.2;
72;1 or more employed persons;F Construction;2009 April;117.2;
73;1 or more employed persons;F Construction;2009 May;111.3;
74;1 or more employed persons;F Construction;2009 June;123.4;
75;1 or more employed persons;F Construction;2009 2nd quarter;117.3;
76;1 or more employed persons;F Construction;2009 July;114.1;
77;1 or more employed persons;F Construction;2009 August;75.3;
78;1 or more employed persons;F Construction;2009 September;118.8;
79;1 or more employed persons;F Construction;2009 3rd quarter;102.7;
80;1 or more employed persons;F Construction;2009 October;121.7;
81;1 or more employed persons;F Construction;2009 November;116.2;
82;1 or more employed persons;F Construction;2009 December;131.7;
83;1 or more employed persons;F Construction;2009 4th quarter;123.2;
84;1 or more employed persons;F Construction;2009;110.9;
85;1 or more employed persons;F Construction;2010 January;64.4;-18.6
86;1 or more employed persons;F Construction;2010 February;76.8;-22.5
87;1 or more employed persons;F Construction;2010 March;105.4;-13.8
88;1 or more employed persons;F Construction;2010 1st quarter;82.2;-18.0
89;1 or more employed persons;F Construction;2010 April;104.1;-11.2
90;1 or more employed persons;F Construction;2010 May;98.3;-11.7
91;1 or more employed persons;F Construction;2010 June;117.1;-5.1
92;1 or more employed persons;F Construction;2010 2nd quarter;106.5;-9.2
93;1 or more employed persons;F Construction;2010 July;107.4;-5.8
94;1 or more employed persons;F Construction;2010 August;69.6;-7.6
95;1 or more employed persons;F Construction;2010 September;107.9;-9.2
96;1 or more employed persons;F Construction;2010 3rd quarter;95.0;-7.6
97;1 or more employed persons;F Construction;2010 October;112.3;-7.8
98;1 or more employed persons;F Construction;2010 November;116.4;0.1
99;1 or more employed persons;F Construction;2010 December;120.3;-8.6
100;1 or more employed persons;F Construction;2010 4th quarter;116.3;-5.6
101;1 or more employed persons;F Construction;2010;100.0;-9.8
102;1 or more employed persons;F Construction;2011 January;70.9;10.2
103;1 or more employed persons;F Construction;2011 February;90.0;17.2
104;1 or more employed persons;F Construction;2011 March;108.9;3.3
105;1 or more employed persons;F Construction;2011 1st quarter;90.0;9.4
106;1 or more employed persons;F Construction;2011 April;105.2;1.0
107;1 or more employed persons;F Construction;2011 May;114.0;16.0
108;1 or more employed persons;F Construction;2011 June;109.0;-6.9
109;1 or more employed persons;F Construction;2011 2nd quarter;109.4;2.8
110;1 or more employed persons;F Construction;2011 July;102.6;-4.4
111;1 or more employed persons;F Construction;2011 August;73.1;5.1
112;1 or more employed persons;F Construction;2011 September;116.0;7.5
113;1 or more employed persons;F Construction;2011 3rd quarter;97.3;2.4
114;1 or more employed persons;F Construction;2011 October;109.6;-2.4
115;1 or more employed persons;F Construction;2011 November;116.6;0.2
116;1 or more employed persons;F Construction;2011 December;130.8;8.8
117;1 or more employed persons;F Construction;2011 4th quarter;119.0;2.3
118;1 or more employed persons;F Construction;2011;103.9;3.9
119;1 or more employed persons;F Construction;2012 January;66.6;-6.1
120;1 or more employed persons;F Construction;2012 February;78.9;-12.4
121;1 or more employed persons;F Construction;2012 March;99.9;-8.3
122;1 or more employed persons;F Construction;2012 1st quarter;81.8;-9.1
123;1 or more employed persons;F Construction;2012 April;97.0;-7.9
