ID;Periods;Total_1;Age0To15Yrs_2;Age15YrsOrOlder_3;Total_4;AStatus_5;ResidencePermit_6;ProvisionalResidencePermit_7;TemporaryAsylumPermit_8;PermanentAsylumPermit_9;Total_10;DepartureWithNotice_11;Expulsion_12;DepartureUnderSurveillance_13;OtherDepartedPersons_14
0;1975;390;;;;;;;;;;;;;
1;1976;470;;;;;;;;;;;;;
2;1977;580;;;;;;;;;;;;;
3;1978;770;;;;;;;;;;;;;
4;1979;990;;;;;;;;;;;;;
5;1980;1330;;;;;;;;;;;;;
6;1981;750;;;;;;;;;;;;;
7;1982;1210;;;;;;;;;;;;;
8;1983;2020;;;;;;;;;;;;;
9;1984;2600;;;;;;;;;;;;;
10;1985;5640;;;750.0;;;;;;;;;;
11;1986;5870;;;1070.0;;;;;;;;;;
12;1987;13460;;;1130.0;;;;;;;;;;
13;1988;7490;;;1500.0;;;;;;;;;;
14;1989;13900;;;2110.0;;;;;;;;;;
15;1990;21210;;;1540.0;;;;;;;;;;
16;1991;21620;;;2700.0;760.0;1920.0;;;;;;;;
17;1992;20350;5170.0;15180.0;11810.0;4920.0;6890.0;;;;7530.0;4160.0;2250.0;1120.0;
18;1993;35400;8210.0;27190.0;15010.0;10340.0;4670.0;;;;7190.0;3950.0;2160.0;1080.0;
19;1994;52580;12260.0;40320.0;19340.0;6650.0;9240.0;3460.0;;;13290.0;8660.0;2850.0;1790.0;
20;1995;29260;9510.0;19750.0;18500.0;7980.0;6200.0;4320.0;;;14510.0;8790.0;3370.0;2350.0;
21;1996;22860;7800.0;15060.0;23590.0;8810.0;7380.0;7400.0;;;16480.0;11090.0;3550.0;1840.0;
22;1997;34440;11770.0;22680.0;17000.0;6630.0;5180.0;5180.0;;;18870.0;14420.0;3260.0;1190.0;
23;1998;45220;11490.0;33730.0;15100.0;2360.0;3590.0;9150.0;;;14340.0;10640.0;2620.0;1090.0;
24;1999;39300;10360.0;28940.0;13490.0;1510.0;3470.0;8510.0;;;18340.0;11250.0;2520.0;3980.0;590.0
25;2000;43560;11100.0;32460.0;9730.0;1810.0;4790.0;3130.0;;;16620.0;10870.0;2030.0;3190.0;540.0
26;2001;32580;7030.0;25550.0;10580.0;440.0;1570.0;810.0;7230.0;530.0;16020.0;11970.0;2110.0;1250.0;690.0
27;2002;18670;3560.0;15100.0;8820.0;;;;8080.0;750.0;21260.0;16880.0;2280.0;1540.0;570.0
28;2003;13400;2760.0;10650.0;9760.0;;;;8350.0;1410.0;21860.0;17560.0;1710.0;2220.0;370.0
29;2004;9780;2840.0;6940.0;10170.0;;;;6120.0;4050.0;14910.0;10660.0;1490.0;2350.0;410.0
30;2005;12350;3430.0;8910.0;17880.0;;;;11090.0;6790.0;12510.0;8720.0;1470.0;1970.0;360.0
31;2006;14470;3600.0;10860.0;14440.0;;;;7060.0;7380.0;10210.0;7720.0;890.0;1530.0;70.0
