ID;Actoren;Perioden;TotaalUitgavenAanZorg_1;HF11Overheid_2;HF12SocialeVerzekeringen_3;HF2122ParticuliereZorgverzekeringen_4;HF23EigenBetalingen_5;HF242530OverigeFinanciers_6;HC1NLCuratieveZorg_7;HC2NLRevalidatiezorg_8;HC3NLMedischeVerzorging_9;HC4NLOndersteunendeDienstverlening_10;HC5NLMedischeGoederen_11;HC6NLPreventieveZorg_12;HC7NLBeleidEnBeheer_13;SocialeZorg_14;AlleOverigeAktiviteiten_15;ZorgrekeningenInConstantePrijzen_16;IndexcijfersZorgrekInConstPrijzen_17
0;Totaal uitgaven aan zorg;1998;36810;1820;23656;5020;3317;2995;7967;1188;6694;2286;6585;1313;1485;8151;1140;36810.0;100.0
1;Totaal uitgaven aan zorg;1999;39306;1926;24936;5549;3624;3272;8438;1297;7079;2418;7057;1419;1550;8837;1210;;
2;Totaal uitgaven aan zorg;2000;42097;2121;26632;5705;3932;3707;8887;1355;7463;2527;7592;1577;1610;9679;1407;;
3;Totaal uitgaven aan zorg;2001;47128;2420;29950;6252;4298;4208;9904;1534;8751;2936;8420;1777;1660;10568;1579;;
4;Totaal uitgaven aan zorg;2002;53030;2675;33743;7230;4498;4885;11188;1680;9921;3385;9132;2049;1814;12152;1708;;
5;Totaal uitgaven aan zorg;2003;57528;2838;36487;7849;4909;5445;12119;1819;10627;3457;9962;2253;1868;13361;2062;;
6;Totaal uitgaven aan zorg;2004**;59891;2976;37448;8668;5206;5593;12924;1833;11106;3647;10216;2136;1952;13924;2152;;
7;Totaal uitgaven aan zorg;2005*;62742;2850;39371;9170;6647;4703;13697;1960;11812;3795;10600;2126;2131;14409;2212;47374.0;128.7
8;100;1998;23344;1015;13035;4972;2650;1672;7861;876;3504;2286;6328;1142;51;354;943;23344.0;100.0
9;100;1999;24937;1083;13706;5499;2826;1824;8329;975;3704;2414;6815;1242;51;389;1018;;
10;100;2000;26526;1167;14709;5652;3021;1976;8776;1025;3935;2523;7312;1367;92;416;1080;;
11;100;2001;29734;1369;16495;6198;3330;2341;9769;1130;4453;2935;8101;1544;42;465;1294;;
12;100;2002;33192;1537;18340;7162;3464;2690;11035;1221;5004;3380;8800;1777;42;515;1420;;
13;100;2003;35786;1659;19606;7771;3731;3019;11956;1324;5227;3453;9508;1954;31;568;1766;;
14;100;2004**;37203;1791;20038;8594;3832;2947;12759;1334;5500;3641;9751;1844;29;559;1785;;
