ID;BedrijfstakkenBranchesSBI2008;Perioden;Exportindicator_1;OordeelBuitenlandseOmzet_2;VerwachtingBuitenlandseOrderontvangst_3;OordeelBuitenlandseOrderpositie_4;OordeelBuitenlandseConcurrentiepositie_5
0;C Industrie;2012 1e kwartaal;-1.7;2.7;1.3;-9.7;-1.3
1;C Industrie;2012 2e kwartaal;1.3;4.3;10.3;-11.9;2.4
2;C Industrie;2012 3e kwartaal;-0.9;4.2;1.8;-11.7;2.2
3;C Industrie;2012 4e kwartaal;-2.2;1.1;-3.4;-10.9;4.3
4;C Industrie;2013 1e kwartaal;-2.3;0.6;1.3;-12.6;1.7
5;C Industrie;2013 2e kwartaal;-1.2;2.6;4.9;-14.0;1.8
6;C Industrie;2013 3e kwartaal;2.0;8.4;7.3;-10.7;2.8
7;C Industrie;2013 4e kwartaal;5.0;11.2;11.7;-5.6;2.7
8;C Industrie;2014 1e kwartaal;4.8;12.0;7.4;-4.4;4.2
9;C Industrie;2014 2e kwartaal;3.8;10.0;8.6;-6.6;3.3
10;C Industrie;2014 3e kwartaal;4.0;8.9;10.0;-5.6;2.4
11;C Industrie;2014 4e kwartaal;3.4;8.2;10.2;-6.7;2.1
12;C Industrie;2015 1e kwartaal;2.5;5.3;8.4;-7.2;3.4
13;C Industrie;2015 2e kwartaal;3.5;6.8;7.8;-5.7;5.0
14;C Industrie;2015 3e kwartaal;3.8;6.9;10.0;-4.3;2.4
15;C Industrie;2015 4e kwartaal;4.2;8.8;6.8;-2.4;3.5
16;C Industrie;2016 1e kwartaal;3.8;7.8;8.3;-3.1;2.3
17;C Industrie;2016 2e kwartaal;4.3;8.6;9.0;-2.6;2.1
18;C Industrie;2016 3e kwartaal;4.4;9.2;9.1;-2.8;2.2
19;C Industrie;2016 4e kwartaal;3.4;7.5;10.3;-5.4;1.3
20;C Industrie;2017 1e kwartaal;5.8;13.0;10.6;-3.4;3.0
21;C Industrie;2017 2e kwartaal;8.2;14.5;13.9;0.9;3.5
22;C Industrie;2017 3e kwartaal;6.6;9.9;10.9;1.7;3.7
23;C Industrie;2017 4e kwartaal;8.6;15.8;13.7;0.4;4.7
24;C Industrie;2018 1e kwartaal;9.2;14.6;14.2;3.1;5.1
25;C Industrie;2018 2e kwartaal;6.7;11.6;10.3;-0.2;5.3
26;C Industrie;2018 3e kwartaal;7.5;9.8;15.0;-0.4;5.4
27;C Industrie;2018 4e kwartaal;4.5;8.1;4.3;1.2;4.2
28;C Industrie;2019 1e kwartaal;5.6;8.3;9.8;0.3;4.0
29;C Industrie;2019 2e kwartaal;3.2;6.7;4.4;-1.3;2.9
30;C Industrie;2019 3e kwartaal;2.6;4.8;5.6;-2.0;1.8
31;C Industrie;2019 4e kwartaal;0.2;3.5;-1.8;-1.6;0.6
32;C Industrie;2020 1e kwartaal;1.3;1.8;8.2;-4.6;-0.3
33;C Industrie;2020 2e kwartaal;-30.6;-30.5;-58.0;-31.6;-2.3
34;C Industrie;2020 3e kwartaal;-13.9;-18.3;2.5;-33.5;-6.2
35;C Industrie;2020 4e kwartaal;-8.0;-1.2;-7.3;-22.2;-1.3
36;C Industrie;2021 1e kwartaal;-1.2;5.1;3.7;-12.7;-0.9
37;C Industrie;2021 2e kwartaal;6.9;14.7;12.0;0.0;1.0
38;C Industrie;2021 3e kwartaal;9.2;14.9;12.4;7.3;2.3
39;C Industrie;2021 4e kwartaal;11.2;17.4;14.8;9.6;3.0
40;C Industrie;2022 1e kwartaal;9.1;13.3;12.4;9.8;0.9
41;C Industrie;2022 2e kwartaal;8.6;13.2;12.9;9.1;-0.7
42;C Industrie;2022 3e kwartaal;9.0;13.6;12.6;7.5;2.1
43;C Industrie;2022 4e kwartaal;3.9;8.2;1.0;4.0;2.6
44;C Industrie;2023 1e kwartaal;5.6;11.1;9.6;1.8;-0.3
45;C Industrie;2023 2e kwartaal;2.1;7.3;2.3;-2.8;1.5
46;C Industrie;2023 3e kwartaal;-2.0;1.1;2.6;-7.7;-4.0
47;C Industrie;2023 4e kwartaal;-4.9;-0.5;-4.1;-9.8;-5.0
48;46 Groothandel en handelsbemiddeling;2012 1e kwartaal;1.3;5.5;6.6;-10.1;3.3
49;46 Groothandel en handelsbemiddeling;2012 2e kwartaal;-0.1;3.6;4.6;-12.5;4.1
50;46 Groothandel en handelsbemiddeling;2012 3e kwartaal;-2.7;0.3;-0.9;-12.5;2.4
51;46 Groothandel en handelsbemiddeling;2012 4e kwartaal;-2.1;0.6;2.5;-13.7;2.3
52;46 Groothandel en handelsbemiddeling;2013 1e kwartaal;-2.8;1.8;3.5;-17.5;1.1
53;46 Groothandel en handelsbemiddeling;2013 2e kwartaal;-6.9;-1.9;-0.9;-26.8;2.0
54;46 Groothandel en handelsbemiddeling;2013 3e kwartaal;-0.7;4.6;5.7;-17.2;4.2
55;46 Groothandel en handelsbemiddeling;2013 4e kwartaal;1.4;9.1;8.8;-14.8;2.6
56;46 Groothandel en handelsbemiddeling;2014 1e kwartaal;6.0;14.6;13.6;-9.3;5.3
57;46 Groothandel en handelsbemiddeling;2014 2e kwartaal;5.4;12.5;10.9;-7.5;5.6
58;46 Groothandel en handelsbemiddeling;2014 3e kwartaal;5.8;14.5;16.0;-11.6;4.2
59;46 Groothandel en handelsbemiddeling;2014 4e kwartaal;5.7;15.3;12.9;-9.1;3.8
60;46 Groothandel en handelsbemiddeling;2015 1e kwartaal;0.8;6.4;8.3;-14.7;3.1
61;46 Groothandel en handelsbemiddeling;2015 2e kwartaal;3.8;10.8;11.6;-10.9;3.6
62;46 Groothandel en handelsbemiddeling;2015 3e kwartaal;5.0;11.7;13.2;-9.4;4.7
63;46 Groothandel en handelsbemiddeling;2015 4e kwartaal;5.7;12.8;10.5;-6.3;5.8
64;46 Groothandel en handelsbemiddeling;2016 1e kwartaal;7.4;13.0;14.6;-2.5;4.6
65;46 Groothandel en handelsbemiddeling;2016 2e kwartaal;8.8;13.9;14.7;-3.0;9.8
66;46 Groothandel en handelsbemiddeling;2016 3e kwartaal;7.2;15.4;10.7;-2.6;5.5
67;46 Groothandel en handelsbemiddeling;2016 4e kwartaal;12.5;20.0;19.5;0.3;10.3
68;46 Groothandel en handelsbemiddeling;2017 1e kwartaal;10.3;16.4;18.3;-2.2;8.9
69;46 Groothandel en handelsbemiddeling;2017 2e kwartaal;10.7;22.4;19.3;-4.2;5.3
70;46 Groothandel en handelsbemiddeling;2017 3e kwartaal;9.3;16.0;13.6;0.4;7.3
71;46 Groothandel en handelsbemiddeling;2017 4e kwartaal;9.8;14.3;20.3;-1.1;5.5
72;46 Groothandel en handelsbemiddeling;2018 1e kwartaal;13.8;22.6;21.0;4.2;7.4
73;46 Groothandel en handelsbemiddeling;2018 2e kwartaal;11.4;17.7;21.4;-1.5;8.2
74;46 Groothandel en handelsbemiddeling;2018 3e kwartaal;10.1;15.8;17.8;1.1;5.6
75;46 Groothandel en handelsbemiddeling;2018 4e kwartaal;9.4;15.5;16.9;-0.8;6.1
76;46 Groothandel en handelsbemiddeling;2019 1e kwartaal;6.1;12.3;12.5;-3.1;2.6
77;46 Groothandel en handelsbemiddeling;2019 2e kwartaal;6.7;13.9;9.1;-0.1;3.9
78;46 Groothandel en handelsbemiddeling;2019 3e kwartaal;7.1;10.6;14.4;-4.4;7.7
79;46 Groothandel en handelsbemiddeling;2019 4e kwartaal;6.9;13.9;9.0;-0.7;5.3
80;46 Groothandel en handelsbemiddeling;2020 1e kwartaal;7.9;13.7;14.4;-2.5;6.2
81;46 Groothandel en handelsbemiddeling;2020 2e kwartaal;-35.6;-39.6;-61.7;-38.6;-2.4
82;46 Groothandel en handelsbemiddeling;2020 3e kwartaal;-13.0;-18.3;0.2;-35.5;1.5
83;46 Groothandel en handelsbemiddeling;2020 4e kwartaal;-6.1;0.2;-7.3;-21.5;4.0
84;46 Groothandel en handelsbemiddeling;2021 1e kwartaal;-5.4;-6.4;-0.5;-19.1;4.6
85;46 Groothandel en handelsbemiddeling;2021 2e kwartaal;4.8;12.5;10.6;-9.1;5.1
86;46 Groothandel en handelsbemiddeling;2021 3e kwartaal;11.5;20.4;16.7;-0.1;9.1
87;46 Groothandel en handelsbemiddeling;2021 4e kwartaal;15.1;22.7;25.8;1.8;10.1
88;46 Groothandel en handelsbemiddeling;2022 1e kwartaal;7.0;10.4;6.1;2.7;8.8
89;46 Groothandel en handelsbemiddeling;2022 2e kwartaal;13.3;20.2;22.7;2.6;7.8
90;46 Groothandel en handelsbemiddeling;2022 3e kwartaal;5.7;9.7;6.3;-0.5;7.3
91;46 Groothandel en handelsbemiddeling;2022 4e kwartaal;2.6;6.5;0.7;-4.8;7.9
92;46 Groothandel en handelsbemiddeling;2023 1e kwartaal;4.5;12.7;5.0;-2.7;3.0
93;46 Groothandel en handelsbemiddeling;2023 2e kwartaal;3.8;11.8;6.0;-10.3;7.7
94;46 Groothandel en handelsbemiddeling;2023 3e kwartaal;5.1;9.6;12.0;-11.0;10.0
95;46 Groothandel en handelsbemiddeling;2023 4e kwartaal;3.0;5.6;12.9;-8.7;2.3
96;49-96 Diensten (geen handel);2012 1e kwartaal;-5.5;-3.9;-4.5;-12.6;-1.1
97;49-96 Diensten (geen handel);2012 2e kwartaal;0.3;6.7;4.5;-12.0;2.2
98;49-96 Diensten (geen handel);2012 3e kwartaal;1.0;7.2;5.9;-10.6;1.6
99;49-96 Diensten (geen handel);2012 4e kwartaal;0.3;5.5;4.9;-11.0;2.0
100;49-96 Diensten (geen handel);2013 1e kwartaal;-6.8;-7.2;-5.2;-13.0;-1.8
101;49-96 Diensten (geen handel);2013 2e kwartaal;-1.0;1.5;4.8;-14.5;4.0
102;49-96 Diensten (geen handel);2013 3e kwartaal;-0.8;4.6;3.3;-12.7;1.5
103;49-96 Diensten (geen handel);2013 4e kwartaal;-0.3;4.1;2.3;-12.7;4.9
104;49-96 Diensten (geen handel);2014 1e kwartaal;2.9;5.2;8.2;-8.5;6.5
105;49-96 Diensten (geen handel);2014 2e kwartaal;3.2;5.8;10.0;-8.1;5.3
106;49-96 Diensten (geen handel);2014 3e kwartaal;4.1;8.9;9.0;-6.7;5.4
107;49-96 Diensten (geen handel);2014 4e kwartaal;4.0;10.3;5.7;-6.8;6.6
108;49-96 Diensten (geen handel);2015 1e kwartaal;3.4;8.2;7.2;-6.9;5.1
109;49-96 Diensten (geen handel);2015 2e kwartaal;0.9;3.9;4.7;-7.1;1.9
110;49-96 Diensten (geen handel);2015 3e kwartaal;1.9;3.7;8.6;-7.9;3.1
111;49-96 Diensten (geen handel);2015 4e kwartaal;3.6;7.3;10.7;-6.1;2.4
112;49-96 Diensten (geen handel);2016 1e kwartaal;2.2;5.5;7.3;-7.4;3.6
113;49-96 Diensten (geen handel);2016 2e kwartaal;2.0;8.1;2.3;-6.6;4.1
114;49-96 Diensten (geen handel);2016 3e kwartaal;-1.0;2.5;1.0;-10.3;2.9
115;49-96 Diensten (geen handel);2016 4e kwartaal;1.5;5.4;5.4;-6.3;1.7
116;49-96 Diensten (geen handel);2017 1e kwartaal;3.7;11.1;7.0;-6.4;3.2
117;49-96 Diensten (geen handel);2017 2e kwartaal;3.2;8.3;5.1;-6.1;5.4
118;49-96 Diensten (geen handel);2017 3e kwartaal;2.9;7.9;3.6;-2.7;2.8
119;49-96 Diensten (geen handel);2017 4e kwartaal;5.5;11.6;8.1;-1.3;3.8
120;49-96 Diensten (geen handel);2018 1e kwartaal;8.2;15.0;13.5;0.5;4.0
121;49-96 Diensten (geen handel);2018 2e kwartaal;6.6;11.5;6.7;0.8;7.6
122;49-96 Diensten (geen handel);2018 3e kwartaal;5.6;11.4;9.0;-4.1;6.1
123;49-96 Diensten (geen handel);2018 4e kwartaal;5.7;10.1;10.2;-2.5;5.0
124;49-96 Diensten (geen handel);2019 1e kwartaal;3.9;7.7;8.6;-4.5;3.9
125;49-96 Diensten (geen handel);2019 2e kwartaal;5.8;11.0;10.0;-3.0;5.3
126;49-96 Diensten (geen handel);2019 3e kwartaal;5.8;11.8;9.4;-3.4;5.3
127;49-96 Diensten (geen handel);2019 4e kwartaal;2.3;6.8;3.3;-4.7;3.8
128;49-96 Diensten (geen handel);2020 1e kwartaal;1.7;5.3;5.7;-6.1;2.1
129;49-96 Diensten (geen handel);2020 2e kwartaal;-35.6;-39.9;-59.7;-38.5;-4.3
130;49-96 Diensten (geen handel);2020 3e kwartaal;-13.2;-13.1;2.7;-35.9;-6.3
131;49-96 Diensten (geen handel);2020 4e kwartaal;-6.0;-0.6;-2.1;-22.1;0.8
132;49-96 Diensten (geen handel);2021 1e kwartaal;-5.2;0.6;-2.3;-17.9;-1.2
133;49-96 Diensten (geen handel);2021 2e kwartaal;0.2;6.0;6.5;-13.9;2.5
134;49-96 Diensten (geen handel);2021 3e kwartaal;2.9;5.6;7.4;-10.8;9.3
135;49-96 Diensten (geen handel);2021 4e kwartaal;6.6;9.5;13.1;-4.8;8.5
