ID;RegioS;Perioden;LangdurigWerklozen_1
0;Nederland;2001;88
1;Nederland;2002;88
2;Nederland;2003;125
3;Nederland;2004;179
4;Nederland;2005;203
5;Nederland;2006;184
6;Nederland;2007;144
7;Noord-Nederland (LD);2001;13
8;Noord-Nederland (LD);2002;12
9;Noord-Nederland (LD);2003;18
10;Noord-Nederland (LD);2004;22
11;Noord-Nederland (LD);2005;25
12;Noord-Nederland (LD);2006;21
13;Noord-Nederland (LD);2007;20
14;Oost-Nederland (LD);2001;20
15;Oost-Nederland (LD);2002;16
16;Oost-Nederland (LD);2003;24
17;Oost-Nederland (LD);2004;40
18;Oost-Nederland (LD);2005;44
19;Oost-Nederland (LD);2006;39
20;Oost-Nederland (LD);2007;25
21;West-Nederland (LD);2001;38
22;West-Nederland (LD);2002;40
23;West-Nederland (LD);2003;57
24;West-Nederland (LD);2004;79
25;West-Nederland (LD);2005;90
26;West-Nederland (LD);2006;86
27;West-Nederland (LD);2007;67
28;Zuid-Nederland (LD);2001;17
29;Zuid-Nederland (LD);2002;20
30;Zuid-Nederland (LD);2003;26
31;Zuid-Nederland (LD);2004;37
32;Zuid-Nederland (LD);2005;44
33;Zuid-Nederland (LD);2006;38
34;Zuid-Nederland (LD);2007;31
35;Groningen (PV);2001;5
36;Groningen (PV);2002;4
37;Groningen (PV);2003;7
38;Groningen (PV);2004;8
39;Groningen (PV);2005;10
40;Groningen (PV);2006;6
41;Groningen (PV);2007;9
42;Friesland (PV);2001;5
43;Friesland (PV);2002;4
44;Friesland (PV);2003;6
45;Friesland (PV);2004;9
46;Friesland (PV);2005;8
47;Friesland (PV);2006;9
48;Friesland (PV);2007;6
49;Drenthe (PV);2001;4
50;Drenthe (PV);2002;4
51;Drenthe (PV);2003;5
52;Drenthe (PV);2004;6
53;Drenthe (PV);2005;6
54;Drenthe (PV);2006;6
55;Drenthe (PV);2007;5
56;Overijssel (PV);2001;6
57;Overijssel (PV);2002;5
58;Overijssel (PV);2003;6
59;Overijssel (PV);2004;13
60;Overijssel (PV);2005;16
61;Overijssel (PV);2006;13
62;Overijssel (PV);2007;9
63;Flevoland (PV);2001;2
64;Flevoland (PV);2002;2
65;Flevoland (PV);2003;5
66;Flevoland (PV);2004;6
67;Flevoland (PV);2005;6
68;Flevoland (PV);2006;7
69;Flevoland (PV);2007;4
70;Gelderland (PV);2001;12
71;Gelderland (PV);2002;9
72;Gelderland (PV);2003;14
73;Gelderland (PV);2004;21
74;Gelderland (PV);2005;21
75;Gelderland (PV);2006;20
76;Gelderland (PV);2007;13
77;Utrecht (PV);2001;3
78;Utrecht (PV);2002;6
79;Utrecht (PV);2003;6
80;Utrecht (PV);2004;9
81;Utrecht (PV);2005;10
82;Utrecht (PV);2006;9
83;Utrecht (PV);2007;9
84;Noord-Holland (PV);2001;12
85;Noord-Holland (PV);2002;12
86;Noord-Holland (PV);2003;20
87;Noord-Holland (PV);2004;29
88;Noord-Holland (PV);2005;35
89;Noord-Holland (PV);2006;30
90;Noord-Holland (PV);2007;21
91;Zuid-Holland (PV);2001;21
92;Zuid-Holland (PV);2002;21
93;Zuid-Holland (PV);2003;29
94;Zuid-Holland (PV);2004;38
95;Zuid-Holland (PV);2005;41
96;Zuid-Holland (PV);2006;43
97;Zuid-Holland (PV);2007;34
98;Zeeland (PV);2001;2
99;Zeeland (PV);2002;2
100;Zeeland (PV);2003;2
101;Zeeland (PV);2004;3
102;Zeeland (PV);2005;4
103;Zeeland (PV);2006;3
104;Zeeland (PV);2007;3
105;Noord-Brabant (PV);2001;10
106;Noord-Brabant (PV);2002;12
107;Noord-Brabant (PV);2003;17
108;Noord-Brabant (PV);2004;22
109;Noord-Brabant (PV);2005;27
110;Noord-Brabant (PV);2006;24
111;Noord-Brabant (PV);2007;18
112;Limburg (PV);2001;8
113;Limburg (PV);2002;8
114;Limburg (PV);2003;9
115;Limburg (PV);2004;15
116;Limburg (PV);2005;17
117;Limburg (PV);2006;14
118;Limburg (PV);2007;13
