ID;Geslacht;Leeftijd;Herkomst;Onderwijsniveau;Onderwijsrichting;Perioden;TotaleBevolking15Tot65Jaar_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;WerklozeBeroepsbevolking_4;NietBeroepsbevolking_5;BrutoArbeidsparticipatie_6;NettoArbeidsparticipatie_7;Werkloosheidspercentage_8
0;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2000;10729.0;7187.0;6917.0;270.0;3542.0;67.0;64.5;3.8
1;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2001;10801.0;7273.0;7021.0;252.0;3528.0;67.3;65.0;3.5
2;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2002;10863.0;7337.0;7035.0;302.0;3526.0;67.5;64.8;4.1
3;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2003;10903.0;7401.0;7001.0;399.0;3502.0;67.9;64.2;5.4
4;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2004;10925.0;7398.0;6919.0;479.0;3527.0;67.7;63.3;6.5
5;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2005;10943.0;7401.0;6918.0;483.0;3542.0;67.6;63.2;6.5
6;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2006;10964.0;7486.0;7074.0;413.0;3478.0;68.3;64.5;5.5
7;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2000;3646.0;1792.0;1684.0;108.0;1854.0;49.2;46.2;6.0
8;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2001;3645.0;1784.0;1680.0;104.0;1861.0;48.9;46.1;5.8
9;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2002;3577.0;1740.0;1623.0;117.0;1837.0;48.6;45.4;6.7
10;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2003;3480.0;1705.0;1561.0;144.0;1775.0;49.0;44.9;8.4
11;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2004;3408.0;1660.0;1498.0;161.0;1748.0;48.7;44.0;9.7
12;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2005;3324.0;1589.0;1427.0;162.0;1735.0;47.8;42.9;10.2
13;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2006;3276.0;1567.0;1429.0;138.0;1709.0;47.8;43.6;8.8
14;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2000;485.0;360.0;352.0;9.0;125.0;74.3;72.5;2.4
15;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2001;474.0;358.0;348.0;10.0;116.0;75.6;73.5;2.7
16;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2002;488.0;379.0;372.0;7.0;109.0;77.6;76.2;1.8
17;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2003;494.0;374.0;366.0;8.0;120.0;75.7;74.0;2.2
18;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2004;517.0;392.0;375.0;17.0;125.0;75.8;72.5;4.3
19;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2005;503.0;384.0;371.0;13.0;119.0;76.4;73.7;3.5
20;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2006;511.0;404.0;393.0;12.0;107.0;79.1;76.8;2.9
21;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2000;447.0;366.0;353.0;13.0;81.0;81.9;78.9;3.7
22;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2001;456.0;370.0;356.0;13.0;86.0;81.1;78.1;3.6
23;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2002;466.0;374.0;358.0;16.0;92.0;80.3;76.8;4.3
24;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2003;521.0;413.0;387.0;26.0;108.0;79.3;74.4;6.2
25;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2004;516.0;409.0;383.0;26.0;107.0;79.2;74.3;6.2
26;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2005;552.0;422.0;388.0;34.0;129.0;76.5;70.3;8.1
27;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2006;558.0;431.0;409.0;22.0;127.0;77.3;73.2;5.2
28;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;5;2000;1478.0;1159.0;1124.0;36.0;319.0;78.4;76.0;3.1
29;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;5;2001;1497.0;1192.0;1161.0;31.0;305.0;79.6;77.5;2.6
30;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;5;2002;1551.0;1234.0;1185.0;49.0;317.0;79.6;76.4;4.0
31;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;5;2003;1575.0;1261.0;1200.0;62.0;313.0;80.1;76.2;4.9
32;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;5;2004;1449.0;1154.0;1089.0;65.0;296.0;79.6;75.1;5.6
33;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;5;2005;1472.0;1172.0;1108.0;65.0;300.0;79.6;75.2;5.5
34;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;5;2006;1515.0;1214.0;1157.0;57.0;302.0;80.1;76.3;4.7
35;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;6;2000;247.0;213.0;208.0;4.0;34.0;86.2;84.4;2.1
36;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;6;2001;260.0;226.0;221.0;4.0;35.0;86.7;85.0;2.0
37;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;6;2002;255.0;221.0;216.0;4.0;35.0;86.4;84.7;2.0
38;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;6;2003;274.0;240.0;233.0;6.0;35.0;87.4;85.0;2.7
39;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;6;2004;257.0;224.0;215.0;8.0;33.0;87.1;83.9;3.6
40;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;6;2005;274.0;233.0;223.0;10.0;41.0;85.0;81.5;4.1
41;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;6;2006;282.0;243.0;236.0;7.0;39.0;86.3;83.7;3.0
42;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;7;2000;231.0;197.0;192.0;5.0;35.0;85.0;82.8;2.6
43;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;7;2001;208.0;175.0;170.0;5.0;33.0;84.1;81.7;2.9
44;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;7;2002;217.0;185.0;178.0;7.0;32.0;85.3;82.0;3.9
45;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;7;2003;231.0;194.0;182.0;12.0;37.0;84.0;78.8;6.2
46;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;7;2004;218.0;178.0;170.0;9.0;40.0;81.6;77.7;4.8
47;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;7;2005;246.0;201.0;188.0;12.0;45.0;81.6;76.5;6.2
48;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;7;2006;233.0;192.0;184.0;9.0;40.0;82.6;78.9;4.5
49;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;8;2000;1766.0;1466.0;1437.0;30.0;299.0;83.0;81.4;2.0
50;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;8;2001;1780.0;1488.0;1462.0;27.0;292.0;83.6;82.1;1.8
51;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;8;2002;1775.0;1481.0;1444.0;37.0;294.0;83.4;81.4;2.5
52;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;8;2003;1757.0;1454.0;1397.0;56.0;303.0;82.7;79.5;3.9
53;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;8;2004;1726.0;1402.0;1335.0;67.0;324.0;81.2;77.3;4.8
54;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;8;2005;1688.0;1395.0;1331.0;64.0;293.0;82.6;78.9;4.6
55;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;8;2006;1652.0;1367.0;1321.0;46.0;286.0;82.7;79.9;3.3
56;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;9;2000;283.0;240.0;235.0;5.0;43.0;84.7;83.0;2.0
57;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;9;2001;270.0;230.0;225.0;5.0;39.0;85.5;83.6;2.2
58;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;9;2002;283.0;236.0;230.0;6.0;47.0;83.2;81.2;2.4
59;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;9;2003;268.0;225.0;219.0;7.0;43.0;84.0;81.5;2.9
60;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;9;2004;273.0;232.0;223.0;9.0;42.0;84.8;81.6;3.8
61;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;9;2005;274.0;229.0;221.0;8.0;45.0;83.6;80.7;3.5
62;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;9;2006;282.0;237.0;229.0;8.0;45.0;84.2;81.3;3.5
63;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Gezondheidszorg, sociale dienstverlening;2000;1719.0;1068.0;1021.0;47.0;652.0;62.1;59.4;4.4
64;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Gezondheidszorg, sociale dienstverlening;2001;1753.0;1089.0;1048.0;41.0;664.0;62.1;59.8;3.8
65;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Gezondheidszorg, sociale dienstverlening;2002;1782.0;1126.0;1082.0;44.0;656.0;63.2;60.7;3.9
66;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Gezondheidszorg, sociale dienstverlening;2003;1776.0;1132.0;1078.0;54.0;645.0;63.7;60.7;4.8
67;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Gezondheidszorg, sociale dienstverlening;2004;1710.0;1123.0;1062.0;61.0;586.0;65.7;62.1;5.4
68;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Gezondheidszorg, sociale dienstverlening;2005;1772.0;1143.0;1082.0;61.0;629.0;64.5;61.1;5.4
69;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Gezondheidszorg, sociale dienstverlening;2006;1829.0;1215.0;1151.0;63.0;614.0;66.4;62.9;5.2
70;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Horeca, recreatie, transport, logistiek;2000;277.0;229.0;222.0;7.0;48.0;82.6;80.1;3.0
71;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Horeca, recreatie, transport, logistiek;2001;310.0;259.0;252.0;6.0;51.0;83.4;81.4;2.4
72;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Horeca, recreatie, transport, logistiek;2002;323.0;266.0;254.0;12.0;57.0;82.3;78.7;4.4
73;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Horeca, recreatie, transport, logistiek;2003;338.0;279.0;265.0;15.0;59.0;82.6;78.3;5.2
74;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Horeca, recreatie, transport, logistiek;2004;381.0;313.0;294.0;19.0;68.0;82.1;77.1;6.1
75;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Horeca, recreatie, transport, logistiek;2005;375.0;308.0;291.0;17.0;67.0;82.1;77.6;5.4
76;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Horeca, recreatie, transport, logistiek;2006;365.0;305.0;292.0;13.0;60.0;83.6;80.0;4.3
77;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Onbekend;2000;148.0;96.0;90.0;7.0;52.0;65.2;60.6;7.1
78;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Onbekend;2001;148.0;103.0;98.0;5.0;46.0;69.3;66.1;4.6
79;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Onbekend;2002;147.0;97.0;93.0;4.0;50.0;65.9;63.1;4.4
80;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Onbekend;2003;188.0;123.0;114.0;9.0;65.0;65.4;60.6;7.4
81;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Onbekend;2004;469.0;312.0;274.0;38.0;157.0;66.6;58.4;12.3
82;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;Onbekend;2005;463.0;324.0;288.0;36.0;139.0;70.1;62.2;11.2
