ID;Vermogensklasse;Perioden;TotaleInzet_1;AardgasInzet_2;StookolieInzet_3;OverigeBrandstoffenInzet_4;TotaleInzet_5;AardgasInzet_6;StookolieInzet_7;OverigeBrandstoffenInzet_8;TotaleProductie_9;ProductieElektriciteit_10;ProductieStoomWarmWater_11;TotaleProductie_12;ProductieElektriciteit_13;ProductieStoomWarmWater_14;ElektrischVermogen_15;ThermischVermogen_16;AantalInstallaties_17
0;Totaal vermogensklassen;1998;56321;1717849;814.0;1918;56321;54370;33;1918;46179;5206390;27436;46179;18743;27436;1487;8016728;3677
1;Totaal vermogensklassen;1999;59046;1802698;951.0;1952;59046;57055;39;1952;48008;5429222;28463;48008;19545;28463;1550;8341797;3758
2;Totaal vermogensklassen;2000;59493;1821318;674.0;1821;59493;57645;28;1821;48206;5525016;28316;48206;19890;28316;1583;8495172;3767
3;Totaal vermogensklassen;2001;56715;1730285;111.0;1947;56715;54764;5;1947;45591;5226224;26776;45591;18814;26776;1558;8332882;3668
4;Totaal vermogensklassen;2002;56136;1708487;0.0;2063;56136;54074;0;2063;45148;5180561;26498;45148;18650;26498;1541;8206157;3573
5;0-100 kWe;1998;956;23966;;197;956;759;0;197;706;76956;429;706;277;429;18;106516;265
6;0-100 kWe;1999;952;23654;;203;952;749;0;203;713;77281;435;713;278;435;18;105271;264
7;0-100 kWe;2000;840;21489;;160;840;680;0;160;643;69420;393;643;250;393;18;105721;262
8;0-100 kWe;2001;817;20599;;165;817;652;0;165;623;66931;382;623;241;382;18;106026;265
9;0-100 kWe;2002;763;18836;;166;763;596;0;166;589;64009;359;589;230;359;18;103665;260
10;101-200 kWe;1998;5081;145055;;490;5081;4591;0;490;4075;439933;2491;4075;1584;2491;111;657299;672
11;101-200 kWe;1999;5013;143974;;457;5013;4557;0;457;4031;435251;2464;4031;1567;2464;112;665576;682
12;101-200 kWe;2000;4841;140613;;391;4841;4450;0;391;3890;427059;2353;3890;1537;2353;112;660594;678
13;101-200 kWe;2001;4577;130229;;455;4577;4122;0;455;3571;389896;2168;3571;1404;2168;110;649156;666
14;101-200 kWe;2002;4472;126697;;462;4472;4010;0;462;3536;391719;2126;3536;1410;2126;107;633110;650
15;201-300 kWe;1998;7515;232863;;145;7515;7370;0;145;6190;682850;3731;6190;2458;3731;204;1193213;731
16;201-300 kWe;1999;7770;241553;;124;7770;7645;0;124;6408;706260;3865;6408;2543;3865;204;1191199;731
17;201-300 kWe;2000;7117;221443;;109;7117;7009;0;109;5785;651820;3438;5785;2347;3438;199;1165239;715
18;201-300 kWe;2001;6896;214237;0.0;115;6896;6781;0;115;5622;634338;3339;5622;2284;3339;191;1113769;685
19;201-300 kWe;2002;6928;215113;;120;6928;6808;0;120;5647;636707;3355;5647;2292;3355;181;1058423;653
20;301-400 kWe;1998;10512;326731;;171;10512;10341;0;171;8689;966165;5211;8689;3478;5211;280;1602179;840
21;301-400 kWe;1999;11001;342064;;175;11001;10826;0;175;9063;1003406;5450;9063;3612;5450;283;1616584;848
22;301-400 kWe;2000;10025;312015;;150;10025;9875;0;150;8187;927857;4846;8187;3340;4846;281;1603938;839
23;301-400 kWe;2001;9683;299785;;195;9683;9488;0;195;7814;880209;4645;7814;3169;4645;265;1513513;791
24;301-400 kWe;2002;9143;282418;;205;9143;8939;0;205;7461;842858;4427;7461;3034;4427;254;1454484;760
25;401-500 kWe;1998;5781;176272;;202;5781;5579;0;202;4767;534835;2842;4767;1925;2842;148;815472;316
26;401-500 kWe;1999;5904;180554;;190;5904;5715;0;190;4833;544828;2872;4833;1961;2872;152;834922;326
27;401-500 kWe;2000;5471;166711;;194;5471;5276;0;194;4423;507013;2598;4423;1825;2598;153;839192;328
28;401-500 kWe;2001;5020;152478;;194;5020;4826;0;194;3997;464790;2323;3997;1673;2323;146;796142;312
29;401-500 kWe;2002;4910;148320;;216;4910;4694;0;216;3968;455054;2330;3968;1638;2330;139;756009;297
30;501-600 kWe;1998;5370;158815;126.0;338;5370;5026;5;338;4520;499076;2724;4520;1797;2724;150;826460;271
31;501-600 kWe;1999;5634;166896;122.0;347;5634;5282;5;347;4674;522483;2793;4674;1881;2793;153;843795;277
32;501-600 kWe;2000;5670;168599;0.0;333;5670;5336;0;333;4706;527043;2809;4706;1897;2809;152;836570;276
33;501-600 kWe;2001;4914;145241;0.0;317;4914;4597;0;317;4064;453463;2432;4064;1632;2432;149;817388;270
34;501-600 kWe;2002;5105;153717;0.0;240;5105;4865;0;240;4234;474033;2528;4234;1707;2528;143;791276;261
35;601-700 kWe;1998;4823;150184;;70;4823;4753;0;70;4126;451835;2499;4126;1627;2499;129;709171;197
36;601-700 kWe;1999;5064;157406;;82;5064;4982;0;82;4169;468726;2482;4169;1687;2482;133;731185;203
37;601-700 kWe;2000;5056;155182;16.0;144;5056;4912;1;144;4143;469149;2454;4143;1689;2454;133;731841;203
38;601-700 kWe;2001;4699;143998;;142;4699;4558;0;142;3848;437176;2275;3848;1574;2275;133;730197;203
39;601-700 kWe;2002;4600;140862;;142;4600;4458;0;142;3744;423106;2221;3744;1523;2221;130;716592;199
40;701-800 kWe;1998;1805;56900;;4;1805;1801;0;4;1517;169211;908;1517;609;908;51;279344;66
41;701-800 kWe;1999;2080;65378;;11;2080;2069;0;11;1722;192553;1029;1722;693;1029;58;320572;76
42;701-800 kWe;2000;2292;71660;;24;2292;2268;0;24;1882;214574;1110;1882;772;1110;64;345579;83
43;701-800 kWe;2001;2268;70773;;28;2268;2240;0;28;1842;205807;1101;1842;741;1101;63;339458;82
44;701-800 kWe;2002;2078;64734;;29;2078;2049;0;29;1669;190562;983;1669;686;983;64;343252;83
45;801-900 kWe;1998;1239;39162;;0;1239;1239;0;0;1039;118002;614;1039;425;614;40;214072;46
46;801-900 kWe;1999;1089;34405;;0;1089;1089;0;0;902;101360;537;902;365;537;38;211272;44
47;801-900 kWe;2000;1197;37819;;0;1197;1197;0;0;1018;114981;604;1018;414;604;34;191459;40
48;801-900 kWe;2001;1038;32786;;0;1038;1038;0;0;849;96593;502;849;348;502;31;175223;36
49;801-900 kWe;2002;1152;32026;;139;1152;1014;0;139;857;99952;497;857;360;497;32;178658;37
50;901-1000 kWe;1998;3184;91123;;300;3184;2884;0;300;2585;293767;1527;2585;1058;1527;75;380425;79
51;901-1000 kWe;1999;3236;92264;;316;3236;2920;0;316;2594;292874;1540;2594;1054;1540;77;391017;81
52;901-1000 kWe;2000;3953;114931;;316;3953;3638;0;316;3183;357476;1896;3183;1287;1896;92;474098;97
53;901-1000 kWe;2001;4432;129425;;336;4432;4096;0;336;3579;408609;2108;3579;1471;2108;94;484053;99
54;901-1000 kWe;2002;4620;135071;;345;4620;4275;0;345;3678;419224;2169;3678;1509;2169;95;488755;100
55;Groter dan 1000 kWe;1998;10054;316778;688.0;0;10054;10026;28;0;7967;973760;4462;7967;3506;4462;282;1232577;194
56;Groter dan 1000 kWe;1999;11303;354550;829.0;48;11303;11222;34;48;8899;1084200;4996;8899;3903;4996;321;1430404;226
57;Groter dan 1000 kWe;2000;13031;410856;658.0;0;13031;13004;27;0;10346;1258624;5815;10346;4531;5815;344;1540941;246
58;Groter dan 1000 kWe;2001;12371;390734;111.0;0;12371;12367;5;0;9781;1188412;5503;9781;4278;5503;359;1607957;259
59;Groter dan 1000 kWe;2002;12365;390693;0.0;0;12365;12365;0;0;9765;1183337;5505;9765;4260;5505;378;1681933;273
