ID;Perioden;KortlopendeSchuldenTotaal_1;DutchTreasuryCertificates_2;AndereSchuldenOpKorteTermijn_3;KortlopendeVorderingen_4;NettoVlottendeSchuld_5
0;1999 1e kwartaal;17300;9321;7979;4088;13213
1;1999 2e kwartaal;18265;10986;7279;7775;10490
2;1999 3e kwartaal;16719;8693;8026;10585;6134
3;1999 4e kwartaal;16301;5078;11223;3646;12655
4;2000 1e kwartaal;22855;13478;9376;7063;15792
5;2000 2e kwartaal;27180;10422;16758;10192;16988
6;2000 3e kwartaal;25915;11617;14298;13800;12115
7;2000 4e kwartaal;30263;5540;24722;4246;26017
8;2001 1e kwartaal;42829;14348;28481;7270;35558
9;2001 2e kwartaal;38020;14891;23129;12163;25857
10;2001 3e kwartaal;36576;13479;23097;16180;20396
11;2001 4e kwartaal;37484;5802;31682;4797;32687
