ID;VrachtautoSTrekkersLaadvermogenLV;LeeftijdVoertuig;Perioden;TotaalKilometersInNederland_1;KilometersDoorNederlandseVoertuigen_2;KilometersDoorBuitenlandseVoertuigen_3;TotaalKilometers_4;KilometersInNederland_5;KilometersInHetBuitenland_6;TotaalGemiddeldJaarkilometrage_7;GemiddeldJaarkilometrageInNederland_8;GemiddeldJaarkilometrageInBuitenland_9;NederlandseVrachtvoertuigenInGebruik_10
0;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;1990;5477.0;5040.0;437.0;7640.0;5040.0;2600.0;;;;
1;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;1991;5792.0;5320.0;472.0;8160.0;5320.0;2840.0;;;;
2;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;1992;6132.0;5650.0;482.0;8640.0;5650.0;2990.0;;;;
3;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;1993;6097.0;5610.0;487.0;8700.0;5610.0;3090.0;;;;
4;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;1994;6096.0;5606.0;490.0;8800.0;5606.0;3195.0;;;;
5;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;1995;6345.0;5851.0;494.0;9218.0;5851.0;3366.0;;;;
6;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;1996;6273.0;5780.0;493.0;9167.0;5780.0;3387.0;;;;
7;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;1997;6348.0;5859.0;489.0;9317.0;5859.0;3459.0;;;;
8;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;1998;6419.0;5928.0;491.0;9494.0;5928.0;3566.0;;;;
9;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;1999;6878.0;6390.0;488.0;10287.0;6390.0;3897.0;;;;
10;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;2000;6765.0;6241.0;524.0;10118.0;6241.0;3877.0;;;;
11;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;2001;6592.0;6015.0;578.0;9870.0;6015.0;3855.0;;;;
12;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;2002;6600.8;5999.6;601.1;9973.7;5999.6;3974.1;59846.0;36000.0;23846.0;166657.0
13;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;2003;6610.0;6025.4;584.6;10026.9;6025.4;4001.5;61150.0;36746.0;24403.0;163974.0
14;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;2004;6684.5;6060.0;624.5;10070.7;6060.0;4010.7;61637.0;37090.0;24547.0;163387.0
