ID;Geslacht;Bewonerscategorieen;Perioden;AantalBewoners_1;AandeelInBevolkingsgroep_2
0;Mannen en vrouwen;1;1995;117491.0;
1;Mannen en vrouwen;1;1996;113033.0;
2;Mannen en vrouwen;1;1997;111719.0;
3;Mannen en vrouwen;1;1998;107806.0;
4;Mannen en vrouwen;1;1999;107065.0;
5;Mannen en vrouwen;1;2000;104113.0;
6;Mannen en vrouwen;1;2001;102920.0;
7;Mannen en vrouwen;1;2002;102088.0;
8;Mannen en vrouwen;1;2003;100799.0;
9;Mannen en vrouwen;1;2004;100213.0;
10;Mannen en vrouwen;1;2005;98673.0;
11;Mannen en vrouwen;2;1995;455.0;
12;Mannen en vrouwen;2;1996;469.0;
13;Mannen en vrouwen;2;1997;482.0;
14;Mannen en vrouwen;2;1998;475.0;
15;Mannen en vrouwen;2;1999;206.0;
16;Mannen en vrouwen;2;2000;227.0;
17;Mannen en vrouwen;2;2001;262.0;
18;Mannen en vrouwen;2;2002;344.0;
19;Mannen en vrouwen;2;2003;366.0;
20;Mannen en vrouwen;2;2004;382.0;
21;Mannen en vrouwen;2;2005;425.0;
22;Mannen en vrouwen;20;1995;117036.0;5.8
23;Mannen en vrouwen;20;1996;112564.0;5.5
24;Mannen en vrouwen;20;1997;111238.0;5.3
25;Mannen en vrouwen;20;1998;107331.0;5.1
26;Mannen en vrouwen;20;1999;106859.0;5.0
27;Mannen en vrouwen;20;2000;103886.0;4.8
28;Mannen en vrouwen;20;2001;102658.0;4.7
29;Mannen en vrouwen;20;2002;101744.0;4.6
30;Mannen en vrouwen;20;2003;100433.0;4.5
31;Mannen en vrouwen;20;2004;99831.0;4.4
32;Mannen en vrouwen;20;2005;98248.0;4.3
33;Mannen en vrouwen;3;1995;1721.0;0.3
34;Mannen en vrouwen;3;1996;1634.0;0.3
35;Mannen en vrouwen;3;1997;1602.0;0.3
36;Mannen en vrouwen;3;1998;1444.0;0.2
37;Mannen en vrouwen;3;1999;1284.0;0.2
38;Mannen en vrouwen;3;2000;1233.0;0.2
39;Mannen en vrouwen;3;2001;1249.0;0.2
40;Mannen en vrouwen;3;2002;1222.0;0.2
41;Mannen en vrouwen;3;2003;1163.0;0.2
42;Mannen en vrouwen;3;2004;1204.0;0.2
43;Mannen en vrouwen;3;2005;1245.0;0.2
44;Mannen en vrouwen;4;1995;5834.0;1.0
45;Mannen en vrouwen;4;1996;5674.0;1.0
46;Mannen en vrouwen;4;1997;5455.0;1.0
47;Mannen en vrouwen;4;1998;4964.0;0.9
48;Mannen en vrouwen;4;1999;4728.0;0.9
49;Mannen en vrouwen;4;2000;4538.0;0.8
50;Mannen en vrouwen;4;2001;4469.0;0.8
51;Mannen en vrouwen;4;2002;4430.0;0.8
52;Mannen en vrouwen;4;2003;4437.0;0.8
53;Mannen en vrouwen;4;2004;4567.0;0.8
54;Mannen en vrouwen;4;2005;4577.0;0.8
55;Mannen en vrouwen;5;1995;15105.0;4.0
56;Mannen en vrouwen;5;1996;14304.0;3.6
57;Mannen en vrouwen;5;1997;13884.0;3.4
58;Mannen en vrouwen;5;1998;13193.0;3.1
59;Mannen en vrouwen;5;1999;13409.0;3.0
60;Mannen en vrouwen;5;2000;12891.0;2.8
61;Mannen en vrouwen;5;2001;12623.0;2.8
62;Mannen en vrouwen;5;2002;12468.0;2.7
63;Mannen en vrouwen;5;2003;12349.0;2.7
64;Mannen en vrouwen;5;2004;11897.0;2.6
65;Mannen en vrouwen;5;2005;11766.0;2.6
66;Mannen en vrouwen;6;1995;31355.0;11.5
67;Mannen en vrouwen;6;1996;29883.0;10.9
68;Mannen en vrouwen;6;1997;29041.0;10.5
69;Mannen en vrouwen;6;1998;27017.0;9.7
70;Mannen en vrouwen;6;1999;25806.0;9.4
71;Mannen en vrouwen;6;2000;25071.0;9.1
72;Mannen en vrouwen;6;2001;24719.0;8.6
73;Mannen en vrouwen;6;2002;24649.0;8.2
74;Mannen en vrouwen;6;2003;25024.0;8.0
75;Mannen en vrouwen;6;2004;24965.0;7.7
76;Mannen en vrouwen;6;2005;24295.0;7.2
77;Mannen en vrouwen;7;1995;36498.0;25.5
78;Mannen en vrouwen;7;1996;34814.0;24.0
79;Mannen en vrouwen;7;1997;34753.0;23.7
80;Mannen en vrouwen;7;1998;34036.0;22.7
81;Mannen en vrouwen;7;1999;34239.0;22.3
82;Mannen en vrouwen;7;2000;33348.0;21.3
83;Mannen en vrouwen;7;2001;33198.0;21.0
84;Mannen en vrouwen;7;2002;32453.0;20.3
85;Mannen en vrouwen;7;2003;30629.0;19.1
86;Mannen en vrouwen;7;2004;30279.0;19.1
87;Mannen en vrouwen;7;2005;29916.0;18.7
88;Mannen en vrouwen;8;1995;20951.0;42.3
89;Mannen en vrouwen;8;1996;20521.0;40.0
90;Mannen en vrouwen;8;1997;20549.0;39.2
91;Mannen en vrouwen;8;1998;20579.0;38.2
92;Mannen en vrouwen;8;1999;21237.0;38.3
93;Mannen en vrouwen;8;2000;20796.0;36.9
