ID;Citizenship;Periods;TotalRegularResidencePermits_1;TemporaryResidencePermits_2;PermanentResidencePermits_3
0;85;2005;69930;66020;3910
1;85;2006;89880;64560;25325
2;85;2007;98595;47985;50610
3;85;2008;80220;53690;26530
4;85;2009;68935;51070;17870
5;85;2010;58850;48180;10670
6;85;2011;60105;50445;9655
7;59;2005;690;660;35
8;59;2006;1020;890;135
9;59;2007;1005;855;150
10;59;2008;1055;975;75
11;59;2009;955;890;65
12;59;2010;1015;970;40
13;59;2011;920;890;35
14;43;2005;935;905;25
15;43;2006;990;895;95
16;43;2007;1090;940;150
17;43;2008;1470;1325;145
18;43;2009;1380;1240;145
19;43;2010;1245;1195;50
20;43;2011;1265;1200;65
21;28;2005;520;475;45
22;28;2006;495;440;55
23;28;2007;1545;1465;80
24;28;2008;3660;3575;85
25;28;2009;2215;2080;135
26;28;2010;1685;1570;110
27;28;2011;1445;1350;95
28;44;2005;605;575;25
29;44;2006;935;785;150
30;44;2007;1120;925;195
31;44;2008;1165;1060;105
32;44;2009;1035;950;85
33;44;2010;1075;1030;45
34;44;2011;1010;965;40
35;China;2005;4005;3840;160
36;China;2006;3800;3390;410
37;China;2007;4280;3790;490
38;China;2008;5215;4600;620
39;China;2009;5860;5195;665
40;China;2010;4915;4645;270
41;China;2011;5685;5515;170
42;India;2005;1345;1265;80
43;India;2006;2340;2195;145
44;India;2007;2910;2720;190
45;India;2008;4005;3800;200
46;India;2009;3705;3575;135
47;India;2010;3585;3550;35
48;India;2011;4220;4185;35
49;Indonesia;2005;1540;1365;175
50;Indonesia;2006;1930;1240;690
51;Indonesia;2007;2245;1380;865
52;Indonesia;2008;1935;1435;500
53;Indonesia;2009;1880;1305;575
54;Indonesia;2010;1520;1315;200
55;Indonesia;2011;1645;1405;240
56;Japan;2005;1290;1240;50
57;Japan;2006;1645;1460;190
58;Japan;2007;1575;1355;220
59;Japan;2008;1565;1435;130
60;Japan;2009;1335;1240;95
61;Japan;2010;1140;1080;60
62;Japan;2011;1205;1170;40
63;Morocco;2005;4425;3690;735
64;Morocco;2006;8780;3750;5030
65;Morocco;2007;10485;2380;8105
66;Morocco;2008;5300;2540;2760
67;Morocco;2009;4340;2380;1960
68;Morocco;2010;2800;2110;690
69;Morocco;2011;3130;2305;825
70;Philippines;2005;655;630;25
71;Philippines;2006;715;635;80
72;Philippines;2007;855;750;110
73;Philippines;2008;1390;1285;105
74;Philippines;2009;1305;1200;105
75;Philippines;2010;1070;1050;20
76;Philippines;2011;935;920;15
77;29;2005;760;695;60
78;29;2006;890;765;125
79;29;2007;1395;1250;145
80;29;2008;1725;1605;120
81;29;2009;1300;1120;180
82;29;2010;1220;1115;100
83;29;2011;1260;1185;75
84;31;2005;1030;930;105
85;31;2006;1070;930;140
86;31;2007;1085;900;185
87;31;2008;1305;1095;215
88;31;2009;1255;1065;190
89;31;2010;1115;1050;65
90;31;2011;1280;1215;65
91;42;2005;1810;1785;25
92;42;2006;1390;1230;160
93;42;2007;1305;1145;160
94;42;2008;1570;1485;90
95;42;2009;1435;1355;80
96;42;2010;1175;1140;35
97;42;2011;1065;1015;50
98;34;2005;5665;4590;1080
99;34;2006;11695;4750;6945
100;34;2007;14215;3680;10540
101;34;2008;9950;4665;5285
102;34;2009;8505;4695;3810
103;34;2010;5725;4335;1390
104;34;2011;5385;3990;1400
105;41;2005;2920;2770;145
106;41;2006;4320;3730;585
107;41;2007;4900;4135;765
108;41;2008;4950;4495;455
109;41;2009;4445;4090;355
110;41;2010;4290;4120;170
111;41;2011;4530;4360;170
112;57;2005;1465;1440;25
113;57;2006;2710;2490;220
114;57;2007;2315;2000;315
115;57;2008;2220;2060;160
116;57;2009;2010;1940;70
117;57;2010;2005;1955;50
118;57;2011;2025;1925;105
119;Other citizenships;2005;40275;39165;1110
120;Other citizenships;2006;45150;34990;10160
121;Other citizenships;2007;46265;18315;27950
122;Other citizenships;2008;31725;16245;15480
123;Other citizenships;2009;25970;16750;9220
124;Other citizenships;2010;23270;15940;7330
125;Other citizenships;2011;23100;16870;6230
