ID;GeneratieVanBeidePartners;HerkomstgroeperingVrouw;Huwelijksjaar;TotaalMannen_1;ManAutochtoon_2;TotaalMannenNietWesters_3;ManMarokko_4;ManNederlandseAntillenEnAruba_5;ManSuriname_6;ManTurkije_7;ManOverigNietWesters_8;ManWestersExclusiefAutochtoon_9
225;Man autochtoon, vrouw 2e generatie al...;Vrouw: Marokko;2004 (Twee jaar getrouwd);43.0;43.0;;;;;;;
226;Man autochtoon, vrouw 2e generatie al...;Vrouw: Marokko;2005 (Eén jaar getrouwd);33.0;33.0;;;;;;;
227;Man autochtoon, vrouw 2e generatie al...;Vrouw: Marokko;2006 (Nog geen jaar getrouwd);39.0;39.0;;;;;;;
228;Man autochtoon, vrouw 2e generatie al...;Vrouw: Nederlandse Antillen en Aruba;2004 (Twee jaar getrouwd);119.0;119.0;;;;;;;
229;Man autochtoon, vrouw 2e generatie al...;Vrouw: Nederlandse Antillen en Aruba;2005 (Eén jaar getrouwd);103.0;103.0;;;;;;;
230;Man autochtoon, vrouw 2e generatie al...;Vrouw: Nederlandse Antillen en Aruba;2006 (Nog geen jaar getrouwd);93.0;93.0;;;;;;;
231;Man autochtoon, vrouw 2e generatie al...;Vrouw: Suriname;2004 (Twee jaar getrouwd);178.0;178.0;;;;;;;
232;Man autochtoon, vrouw 2e generatie al...;Vrouw: Suriname;2005 (Eén jaar getrouwd);179.0;179.0;;;;;;;
233;Man autochtoon, vrouw 2e generatie al...;Vrouw: Suriname;2006 (Nog geen jaar getrouwd);157.0;157.0;;;;;;;
234;Man autochtoon, vrouw 2e generatie al...;Vrouw: Turkije;2004 (Twee jaar getrouwd);48.0;48.0;;;;;;;
235;Man autochtoon, vrouw 2e generatie al...;Vrouw: Turkije;2005 (Eén jaar getrouwd);50.0;50.0;;;;;;;
236;Man autochtoon, vrouw 2e generatie al...;Vrouw: Turkije;2006 (Nog geen jaar getrouwd);44.0;44.0;;;;;;;
237;Man autochtoon, vrouw 2e generatie al...;Vrouw: overig niet-westers;2004 (Twee jaar getrouwd);152.0;152.0;;;;;;;
238;Man autochtoon, vrouw 2e generatie al...;Vrouw: overig niet-westers;2005 (Eén jaar getrouwd);133.0;133.0;;;;;;;
239;Man autochtoon, vrouw 2e generatie al...;Vrouw: overig niet-westers;2006 (Nog geen jaar getrouwd);141.0;141.0;;;;;;;
240;Man autochtoon, vrouw 2e generatie al...;Vrouw: westers (exclusief autochtoon);2004 (Twee jaar getrouwd);2673.0;2673.0;;;;;;;
241;Man autochtoon, vrouw 2e generatie al...;Vrouw: westers (exclusief autochtoon);2005 (Eén jaar getrouwd);2628.0;2628.0;;;;;;;
242;Man autochtoon, vrouw 2e generatie al...;Vrouw: westers (exclusief autochtoon);2006 (Nog geen jaar getrouwd);2623.0;2623.0;;;;;;;
243;Beiden 2e generatie allochtoon;Totaal vrouwen;2004 (Twee jaar getrouwd);935.0;;594.0;134.0;12.0;118.0;296.0;34.0;341.0
244;Beiden 2e generatie allochtoon;Totaal vrouwen;2005 (Eén jaar getrouwd);1031.0;;657.0;178.0;11.0;112.0;317.0;39.0;374.0
245;Beiden 2e generatie allochtoon;Totaal vrouwen;2006 (Nog geen jaar getrouwd);969.0;;656.0;154.0;12.0;131.0;306.0;53.0;313.0
246;Beiden 2e generatie allochtoon;Vrouw: autochtoon;2004 (Twee jaar getrouwd);;;;;;;;;
247;Beiden 2e generatie allochtoon;Vrouw: autochtoon;2005 (Eén jaar getrouwd);;;;;;;;;
248;Beiden 2e generatie allochtoon;Vrouw: autochtoon;2006 (Nog geen jaar getrouwd);;;;;;;;;
249;Beiden 2e generatie allochtoon;Totaal vrouwen niet-westers;2004 (Twee jaar getrouwd);614.0;;553.0;130.0;3.0;99.0;292.0;29.0;61.0
250;Beiden 2e generatie allochtoon;Totaal vrouwen niet-westers;2005 (Eén jaar getrouwd);681.0;;615.0;173.0;4.0;101.0;309.0;28.0;66.0
251;Beiden 2e generatie allochtoon;Totaal vrouwen niet-westers;2006 (Nog geen jaar getrouwd);675.0;;615.0;147.0;6.0;121.0;298.0;43.0;60.0
252;Beiden 2e generatie allochtoon;Vrouw: Marokko;2004 (Twee jaar getrouwd);139.0;;132.0;120.0;1.0;2.0;6.0;3.0;7.0
253;Beiden 2e generatie allochtoon;Vrouw: Marokko;2005 (Eén jaar getrouwd);177.0;;170.0;158.0;0.0;2.0;8.0;2.0;7.0
254;Beiden 2e generatie allochtoon;Vrouw: Marokko;2006 (Nog geen jaar getrouwd);165.0;;158.0;141.0;1.0;8.0;2.0;6.0;7.0
255;Beiden 2e generatie allochtoon;Vrouw: Nederlandse Antillen en Aruba;2004 (Twee jaar getrouwd);15.0;;8.0;2.0;1.0;4.0;0.0;1.0;7.0
256;Beiden 2e generatie allochtoon;Vrouw: Nederlandse Antillen en Aruba;2005 (Eén jaar getrouwd);24.0;;8.0;1.0;1.0;5.0;1.0;0.0;16.0
257;Beiden 2e generatie allochtoon;Vrouw: Nederlandse Antillen en Aruba;2006 (Nog geen jaar getrouwd);20.0;;9.0;0.0;4.0;3.0;2.0;0.0;11.0
258;Beiden 2e generatie allochtoon;Vrouw: Suriname;2004 (Twee jaar getrouwd);107.0;;83.0;2.0;1.0;76.0;1.0;3.0;24.0
259;Beiden 2e generatie allochtoon;Vrouw: Suriname;2005 (Eén jaar getrouwd);120.0;;100.0;4.0;2.0;87.0;3.0;4.0;20.0
260;Beiden 2e generatie allochtoon;Vrouw: Suriname;2006 (Nog geen jaar getrouwd);128.0;;113.0;1.0;0.0;102.0;2.0;8.0;15.0
261;Beiden 2e generatie allochtoon;Vrouw: Turkije;2004 (Twee jaar getrouwd);295.0;;287.0;0.0;0.0;2.0;284.0;1.0;8.0
262;Beiden 2e generatie allochtoon;Vrouw: Turkije;2005 (Eén jaar getrouwd);312.0;;304.0;4.0;0.0;2.0;296.0;2.0;8.0
263;Beiden 2e generatie allochtoon;Vrouw: Turkije;2006 (Nog geen jaar getrouwd);308.0;;298.0;2.0;0.0;5.0;290.0;1.0;10.0
264;Beiden 2e generatie allochtoon;Vrouw: overig niet-westers;2004 (Twee jaar getrouwd);58.0;;43.0;6.0;0.0;15.0;1.0;21.0;15.0
265;Beiden 2e generatie allochtoon;Vrouw: overig niet-westers;2005 (Eén jaar getrouwd);48.0;;33.0;6.0;1.0;5.0;1.0;20.0;15.0
266;Beiden 2e generatie allochtoon;Vrouw: overig niet-westers;2006 (Nog geen jaar getrouwd);54.0;;37.0;3.0;1.0;3.0;2.0;28.0;17.0
267;Beiden 2e generatie allochtoon;Vrouw: westers (exclusief autochtoon);2004 (Twee jaar getrouwd);321.0;;41.0;4.0;9.0;19.0;4.0;5.0;280.0
268;Beiden 2e generatie allochtoon;Vrouw: westers (exclusief autochtoon);2005 (Eén jaar getrouwd);350.0;;42.0;5.0;7.0;11.0;8.0;11.0;308.0
269;Beiden 2e generatie allochtoon;Vrouw: westers (exclusief autochtoon);2006 (Nog geen jaar getrouwd);294.0;;41.0;7.0;6.0;10.0;8.0;10.0;253.0
