ID;Plaatsnamen;Gemeentecode_1;Gemeentenaam_2;EGGCode_3;EGGNaam_4;Provinciecode_5;ProvincienaamAfkorting_6;PlaatsnaamPTTWoonplaatsnaam_7;PlaatsnaamGemeentenaam_8;Plaatsnaam_9;PlaatsnaamVolgnummer_10
0;Aa en Hunze;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;nee;ja ;Aa en Hunze                ;5713
1;Aa, De;1724;Bergeijk                   ;116;Kempenland                              ;30;NB. ;nee;nee;Aa, De                     ;6133
2;Aadorp;141;Almelo                     ;24;Overige gemeenten in Twente             ;23;O.  ;ja ;nee;Aadorp                     ;1043
3;Aagtdorp;373;Bergen                     ;55;Noord-Kennemerland                      ;27;NH. ;nee;nee;Aagtdorp                   ;2518
4;Aagtekerke;717;Veere                      ;96;Overige gemeenten Walcheren             ;29;Z.  ;ja ;nee;Aagtekerke                 ;3837
5;Aalbeek;951;Nuth                       ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee;Aalbeek                    ;5111
6;Aalburg;738;Aalburg                    ;105;Land van Altena                         ;30;NB. ;nee;ja ;Aalburg                    ;3915
7;890;109;Coevorden                  ;18;Zuiddrents randgebied                   ;22;D.  ;ja ;nee;Aalden                     ;890
8;Aalderinkshoek;141;Almelo                     ;24;Overige gemeenten in Twente             ;23;O.  ;nee;nee;Aalderinkshoek             ;1044
9;Aaldonk;907;Gennep                     ;120;Noord-Limburg                           ;31;L.  ;nee;nee;Aaldonk                    ;4833
10;Aalsmeer;358;Aalsmeer                   ;62;Noordhollandse Meerlanden               ;27;NH. ;ja ;ja ;Aalsmeer                   ;2443
11;Aalsmeerderbrug;394;Haarlemmermeer             ;62;Noordhollandse Meerlanden               ;27;NH. ;ja ;nee;Aalsmeerderbrug            ;2603
12;Aalst;297;Zaltbommel                 ;42;Bommelerwaard                           ;25;Gld.;ja ;nee;Aalst                      ;2156
13;Aalst;866;Waalre                     ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Aalst                      ;4616
14;Aalst;214;Buren                      ;37;Oostelijke Betuwe                       ;25;Gld.;nee;nee;Aalst                      ;1640
15;Aalst, Ter;826;Oosterhout                 ;104;Gebied om Breda                         ;30;NB. ;nee;nee;Aalst, Ter                 ;4338
16;501;58;Dongeradeel                ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee;Aalsum                     ;501
17;473;56;Zuidhorn                   ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;nee;nee;Aalsum                     ;473
18;Aalten;197;Aalten                     ;30;Overige gemeenten oostelijke Achterhoek ;25;Gld.;ja ;ja ;Aalten                     ;1494
19;Aam;1734;Overbetuwe                 ;37;Oostelijke Betuwe                       ;25;Gld.;nee;nee;Aam                        ;6282
20;Aanschot;848;Son en Breugel             ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Aanschot                   ;4446
21;Aanwas;873;Woensdrecht                ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;nee;nee;Aanwas                     ;4660
22;Aar, Ter;480;Ter Aar                    ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;ja ;ja ;Aar, Ter                   ;2923
23;876;106;Assen                      ;17;Drentse zandgronden                     ;22;D.  ;ja ;nee;Aard, Ter                  ;876
24;Aardam;480;Ter Aar                    ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;nee;nee;Aardam                     ;2924
25;Aardenburg;1698;Sluis-Aardenburg           ;98;West-Zeeuwsch-Vlaanderen                ;29;Z.  ;ja ;nee;Aardenburg                 ;5888
26;Aardhuis;200;Apeldoorn                  ;33;Apeldoorn                               ;25;Gld.;nee;nee;Aardhuis                   ;1511
27;Aardswoud;432;Opmeer                     ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;ja ;nee;Aardswoud                  ;2738
28;Aarlanderveen;484;Alphen aan den Rijn        ;73;Rijnstreek Zuid-Holland                 ;28;ZH. ;ja ;nee;Aarlanderveen              ;2941
29;Aarle;753;Best                       ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Aarle                      ;3966
30;Aarle;1659;Laarbeek                   ;115;Industriegebied Helmond                 ;30;NB. ;nee;nee;Aarle                      ;5493
31;Aarle-Rixtel;1659;Laarbeek                   ;115;Industriegebied Helmond                 ;30;NB. ;ja ;nee;Aarle-Rixtel               ;5494
32;Aast;1507;Horst aan de Maas          ;120;Noord-Limburg                           ;31;L.  ;nee;nee;Aast                       ;5356
33;Aasterberg;902;Echt                       ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;nee;nee;Aasterberg                 ;4804
34;Abbega;683;Wymbritseradiel            ;10;Fries weidegebied                       ;21;F.  ;ja ;nee;Abbega                     ;3596
35;Abbegaesterketting;683;Wymbritseradiel            ;10;Fries weidegebied                       ;21;F.  ;nee;nee;Abbegaesterketting         ;3597
36;Abbekerk;529;Noorder-Koggenland         ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;ja ;nee;Abbekerk                   ;3058
37;Abbekinderen;664;Goes                       ;97;Noord- en Zuid-Beveland                 ;29;Z.  ;nee;nee;Abbekinderen               ;3520
38;Abbenbroek;568;Bernisse                   ;91;Voorne-Putten en Rozenburg              ;28;ZH. ;ja ;nee;Abbenbroek                 ;3172
39;Abbenes;394;Haarlemmermeer             ;62;Noordhollandse Meerlanden               ;27;NH. ;ja ;nee;Abbenes                    ;2604
40;Abbestede;476;Zijpe                      ;52;Overige gemeenten Kop van Noord-Holland ;27;NH. ;nee;nee;Abbestede                  ;2864
41;Abcoude;305;Abcoude                    ;48;Vechtstreek en Plassengebied in Utrecht ;26;U.  ;ja ;ja ;Abcoude                    ;2209
42;Abcoven;785;Goirle                     ;108;Gebied om Tilburg                       ;30;NB. ;nee;nee;Abcoven                    ;4155
43;Abdissenbosch;882;Landgraaf                  ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee;Abdissenbosch              ;4724
44;Absdale;677;Hulst                      ;100;Overige gem.  Oost-Zeeuwsch-Vlaanderen  ;29;Z.  ;nee;nee;Absdale                    ;3574
45;Absdalepolder;677;Hulst                      ;100;Overige gem.  Oost-Zeeuwsch-Vlaanderen  ;29;Z.  ;nee;nee;Absdalepolder              ;3575
46;Abtswoude;503;Delft                      ;82;Delft                                   ;28;ZH. ;nee;nee;Abtswoude                  ;3007
47;596;70;Franekeradeel              ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee;Achlum                     ;596
48;Acht;772;Eindhoven                  ;113;Eindhoven                               ;30;NB. ;nee;nee;Acht                       ;4096
49;Achter-Lindt;642;Zwijndrecht                ;87;Oostelijk IJsselmonde                   ;28;ZH. ;nee;nee;Achter-Lindt               ;3440
50;43;9;Ten Boer                   ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;nee;nee;Achter-Thesinge            ;43
51;Achterberg;340;Rhenen                     ;44;Utrechtse Heuvelrug                     ;26;U.  ;nee;nee;Achterberg                 ;2363
52;Achterbos;736;De Ronde Venen             ;48;Vechtstreek en Plassengebied in Utrecht ;26;U.  ;nee;nee;Achterbos                  ;3870
53;Achterbosch;743;Asten                      ;118;Brabantse Peel                          ;30;NB. ;nee;nee;Achterbosch                ;3927
54;Achterbosch;1659;Laarbeek                   ;115;Industriegebied Helmond                 ;30;NB. ;nee;nee;Achterbosch                ;5495
55;Achterbroek;847;Someren                    ;118;Brabantse Peel                          ;30;NB. ;nee;nee;Achterbroek                ;4434
56;Achterbroek;491;Bergambacht                ;75;Krimpenerwaard                          ;28;ZH. ;nee;nee;Achterbroek                ;2962
57;154;18;Hoogezand-Sappemeer        ;4;Groninger Veenkoloniën                  ;20;Gr. ;nee;nee;Achterdiep                 ;154
58;Achterdijk;1709;Moerdijk                   ;101;Zeekleigebied in Noord-Brabant          ;30;NB. ;nee;nee;Achterdijk                 ;6012
59;Achterdrempt;256;Hummelo en Keppel          ;27;Oude-IJsselgebied (westelijk deel)      ;25;Gld.;nee;nee;Achterdrempt               ;1876
60;Achtereind;866;Waalre                     ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Achtereind                 ;4617
61;Achterhoek;840;Rucphen                    ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;nee;nee;Achterhoek                 ;4377
62;969;118;Hoogeveen                  ;18;Zuiddrents randgebied                   ;22;D.  ;nee;nee;Achterom                   ;969
