ID;Persoonskenmerken;Perioden;AdoptieDoorHomosexueleParen_1;MeerGeldAanOntwikkelingshulp_2;TurkijeLidEuropeseUnie_3;GroteBedrijvenDreigingDemocratie_4;BelastingVerlagen_5;WinkelsOpZondagGesloten_6;IllegalenMoetenKunnenBlijven_7;AfschaffenHypotheekaftrek_8;VerbodGenManipulatiePlanten_9;KomstVanMoslimsStopzetten_10;MensenMetPensioenMeebetalenAOW_11;HomohuwelijkVerbieden_12;TerechtMilitairenNaarUruzgan_13;EuthanasieMoetMogelijkZijn_14;InkomensverschillenVerkleinen_15;AsielzoekersTerugsturen_16;HardOptredenTegenCriminaliteit_17;NietKerncentralesBouwen_18;AllochtonenZichGeheelAanpassen_19;EuropeseEenwordingTeVer_20;AltijdMilitairenLeveren_21;PartijenLosVanGodsdienst_22;ScholenLosVanGodsdienst_23;ReligieAlsWegwijzerInPolitiek_24;LinksRechtsScore_25
0;10000;2006;68.0;47.0;41.0;36.0;23.0;35.0;53.0;18.0;36.0;38.0;39.0;15.0;61.0;85.0;67.0;52.0;87.0;54.0;68.0;55.0;60.0;50.0;37.0;34.0;5.2
1;10000;2010;80.0;28.0;43.0;35.0;24.0;30.0;43.0;23.0;30.0;36.0;35.0;8.0;57.0;84.0;63.0;49.0;85.0;47.0;64.0;47.0;52.0;;;;5.2
2;10000;2012;71.0;22.0;;32.0;27.0;;42.0;32.0;;;39.0;12.0;;82.0;58.0;57.0;87.0;61.0;61.0;48.0;50.0;;45.0;24.0;5.2
3;15400;2006;60.0;48.0;42.0;38.0;24.0;32.0;49.0;21.0;33.0;35.0;38.0;19.0;67.0;85.0;63.0;54.0;87.0;45.0;69.0;55.0;64.0;49.0;40.0;35.0;5.3
4;15400;2010;75.0;25.0;44.0;35.0;23.0;28.0;38.0;27.0;25.0;35.0;36.0;9.0;60.0;84.0;59.0;54.0;84.0;39.0;65.0;44.0;56.0;;;;5.4
5;15400;2012;65.0;18.0;;33.0;25.0;;37.0;38.0;;;39.0;14.0;;80.0;57.0;63.0;88.0;54.0;62.0;47.0;54.0;;48.0;24.0;5.3
6;15450;2006;76.0;47.0;40.0;35.0;22.0;38.0;58.0;15.0;39.0;41.0;39.0;12.0;55.0;85.0;72.0;50.0;88.0;63.0;67.0;56.0;55.0;51.0;35.0;34.0;5.2
7;15450;2010;85.0;31.0;42.0;35.0;24.0;32.0;48.0;19.0;35.0;37.0;35.0;8.0;54.0;83.0;66.0;44.0;86.0;54.0;63.0;49.0;48.0;;;;4.9
8;15450;2012;76.0;26.0;;31.0;28.0;;48.0;27.0;;;38.0;11.0;;84.0;59.0;52.0;87.0;68.0;59.0;48.0;46.0;;43.0;23.0;5.1
9;20930;2006;76.0;71.0;49.0;22.0;26.0;16.0;43.0;16.0;23.0;30.0;31.0;12.0;75.0;80.0;61.0;53.0;87.0;51.0;64.0;40.0;63.0;48.0;28.0;28.0;5.1
10;20930;2010;88.0;43.0;59.0;25.0;31.0;16.0;33.0;21.0;25.0;28.0;23.0;5.0;65.0;78.0;50.0;53.0;83.0;45.0;58.0;41.0;50.0;;;;5.4
11;20930;2012;84.0;35.0;;23.0;31.0;;43.0;32.0;;;34.0;9.0;;77.0;48.0;46.0;85.0;52.0;47.0;38.0;47.0;;46.0;30.0;5.0
12;20940;2006;74.0;56.0;48.0;36.0;23.0;25.0;49.0;9.0;27.0;29.0;34.0;11.0;65.0;82.0;61.0;47.0;90.0;53.0;67.0;46.0;62.0;50.0;39.0;27.0;5.1
13;20940;2010;81.0;30.0;53.0;30.0;24.0;20.0;41.0;17.0;25.0;23.0;26.0;8.0;67.0;82.0;58.0;47.0;88.0;49.0;56.0;44.0;60.0;;;;5.2
14;20940;2012;83.0;21.0;;30.0;22.0;;37.0;23.0;;;38.0;9.0;;84.0;59.0;54.0;87.0;60.0;47.0;52.0;43.0;;47.0;14.0;5.0
15;20950;2006;75.0;41.0;41.0;36.0;24.0;31.0;48.0;13.0;31.0;32.0;39.0;10.0;66.0;89.0;64.0;53.0;87.0;56.0;68.0;57.0;63.0;51.0;39.0;25.0;5.3
16;20950;2010;82.0;26.0;48.0;33.0;25.0;27.0;42.0;21.0;28.0;25.0;32.0;9.0;62.0;86.0;61.0;50.0;86.0;48.0;60.0;43.0;53.0;;;;5.3
17;20950;2012;78.0;19.0;;32.0;22.0;;41.0;27.0;;;41.0;11.0;;87.0;61.0;60.0;88.0;65.0;59.0;48.0;51.0;;46.0;22.0;5.2
18;20960;2006;75.0;47.0;40.0;39.0;20.0;34.0;54.0;24.0;40.0;31.0;37.0;11.0;58.0;87.0;67.0;48.0;81.0;58.0;65.0;60.0;57.0;52.0;41.0;32.0;4.8
19;20960;2010;88.0;28.0;44.0;36.0;19.0;31.0;45.0;24.0;31.0;30.0;37.0;5.0;58.0;88.0;65.0;45.0;81.0;45.0;60.0;45.0;50.0;;;;4.9
20;20960;2012;70.0;22.0;;31.0;30.0;;38.0;35.0;;;38.0;15.0;;83.0;58.0;54.0;87.0;62.0;64.0;53.0;53.0;;47.0;19.0;5.3
21;20970;2006;64.0;39.0;41.0;39.0;26.0;41.0;56.0;22.0;44.0;48.0;42.0;17.0;57.0;87.0;72.0;56.0;90.0;50.0;70.0;60.0;60.0;49.0;37.0;42.0;5.2
22;20970;2010;81.0;29.0;34.0;38.0;22.0;36.0;45.0;22.0;33.0;44.0;39.0;5.0;47.0;86.0;71.0;47.0;84.0;47.0;64.0;56.0;48.0;;;;5.0
23;20970;2012;68.0;19.0;;37.0;23.0;;42.0;38.0;;;36.0;8.0;;81.0;65.0;65.0;87.0;63.0;63.0;47.0;48.0;;47.0;24.0;5.1
24;20980;2006;50.0;39.0;31.0;42.0;19.0;54.0;65.0;22.0;49.0;56.0;46.0;29.0;52.0;86.0;73.0;53.0;90.0;52.0;74.0;62.0;56.0;59.0;42.0;46.0;5.8
25;20980;2010;65.0;23.0;30.0;41.0;24.0;43.0;42.0;28.0;29.0;55.0;46.0;15.0;53.0;85.0;66.0;54.0;89.0;44.0;81.0;50.0;55.0;;;;5.4
26;20980;2012;55.0;17.0;;34.0;26.0;;44.0;31.0;;;39.0;15.0;;84.0;53.0;63.0;88.0;61.0;71.0;41.0;52.0;;43.0;24.0;5.4
27;20990;2006;43.0;41.0;34.0;40.0;25.0;55.0;67.0;28.0;44.0;60.0;44.0;34.0;49.0;78.0;77.0;60.0;90.0;57.0;78.0;60.0;52.0;44.0;30.0;55.0;5.9
28;20990;2010;63.0;21.0;28.0;49.0;22.0;39.0;56.0;31.0;42.0;67.0;50.0;14.0;42.0;74.0;65.0;51.0;87.0;47.0;78.0;50.0;43.0;;;;5.2
29;20990;2012;51.0;27.0;;36.0;39.0;;62.0;46.0;;;44.0;22.0;;73.0;59.0;56.0;88.0;58.0;78.0;50.0;56.0;;36.0;46.0;5.8
30;16650;2006;77.0;58.0;49.0;33.0;26.0;22.0;51.0;19.0;27.0;29.0;36.0;9.0;67.0;87.0;64.0;47.0;85.0;53.0;64.0;48.0;61.0;51.0;34.0;27.0;5.0
31;16650;2010;87.0;34.0;53.0;30.0;26.0;19.0;39.0;23.0;25.0;27.0;28.0;6.0;62.0;85.0;57.0;49.0;83.0;51.0;57.0;44.0;52.0;;;;5.2
32;16650;2012;83.0;28.0;;29.0;23.0;;44.0;35.0;;;38.0;6.0;;86.0;59.0;50.0;85.0;59.0;47.0;47.0;46.0;;51.0;17.0;4.9
33;16700;2006;64.0;45.0;39.0;38.0;22.0;41.0;53.0;17.0;38.0;39.0;38.0;18.0;60.0;84.0;67.0;53.0;88.0;53.0;70.0;57.0;60.0;49.0;39.0;38.0;5.3
34;16700;2010;78.0;26.0;41.0;36.0;22.0;36.0;43.0;23.0;32.0;37.0;39.0;9.0;56.0;83.0;65.0;49.0;87.0;44.0;66.0;47.0;53.0;;;;5.1
35;16700;2012;64.0;17.0;;32.0;27.0;;40.0;30.0;;;36.0;15.0;;81.0;57.0;63.0;88.0;61.0;66.0;47.0;53.0;;42.0;26.0;5.5
36;16800;2006;77.0;36.0;39.0;32.0;25.0;28.0;55.0;19.0;42.0;42.0;41.0;12.0;57.0;92.0;72.0;57.0;89.0;66.0;65.0;69.0;54.0;56.0;36.0;25.0;5.1
37;16800;2010;73.0;25.0;30.0;38.0;23.0;21.0;48.0;25.0;29.0;40.0;37.0;9.0;48.0;86.0;62.0;45.0;79.0;46.0;60.0;50.0;47.0;;;;5.1
38;16800;2012;76.0;25.0;;36.0;33.0;;46.0;40.0;;;49.0;14.0;;79.0;62.0;54.0;89.0;68.0;58.0;48.0;45.0;;46.0;23.0;4.9
39;16750;2006;54.0;41.0;28.0;40.0;23.0;47.0;60.0;26.0;49.0;62.0;49.0;21.0;52.0;78.0;79.0;60.0;90.0;57.0;78.0;60.0;60.0;52.0;34.0;42.0;5.7
40;16750;2010;73.0;26.0;30.0;48.0;30.0;42.0;57.0;20.0;37.0;64.0;40.0;12.0;51.0;81.0;68.0;52.0;87.0;45.0;81.0;51.0;45.0;;;;5.1
41;16750;2012;58.0;26.0;;46.0;35.0;;55.0;31.0;;;50.0;19.0;;77.0;58.0;55.0;86.0;62.0;83.0;52.0;46.0;;40.0;39.0;5.2
42;12600;2006;70.0;45.0;40.0;36.0;23.0;37.0;53.0;18.0;35.0;39.0;39.0;15.0;62.0;86.0;69.0;53.0;88.0;52.0;70.0;55.0;61.0;48.0;36.0;34.0;5.3
43;12600;2010;81.0;26.0;41.0;36.0;22.0;31.0;42.0;23.0;29.0;38.0;37.0;8.0;58.0;85.0;62.0;51.0;86.0;44.0;65.0;47.0;52.0;;;;5.3
44;12600;2012;73.0;19.0;;32.0;25.0;;41.0;33.0;;;38.0;10.0;;85.0;58.0;60.0;87.0;61.0;63.0;47.0;51.0;;46.0;22.0;5.3
45;12650;2006;72.0;49.0;43.0;35.0;21.0;31.0;55.0;19.0;40.0;38.0;38.0;12.0;60.0;89.0;58.0;51.0;80.0;62.0;74.0;57.0;57.0;58.0;42.0;33.0;5.2
46;12650;2010;81.0;31.0;48.0;34.0;25.0;29.0;39.0;16.0;18.0;32.0;25.0;8.0;57.0;89.0;68.0;50.0;82.0;50.0;68.0;42.0;57.0;;;;5.3
47;12650;2012;69.0;31.0;;34.0;32.0;;52.0;31.0;;;39.0;13.0;;76.0;63.0;43.0;89.0;56.0;57.0;43.0;43.0;;41.0;31.0;5.0
48;13000;2006;43.0;74.0;57.0;38.0;31.0;20.0;53.0;15.0;43.0;28.0;36.0;30.0;57.0;65.0;52.0;41.0;90.0;65.0;40.0;58.0;49.0;66.0;44.0;32.0;4.5
49;13000;2010;66.0;51.0;58.0;30.0;43.0;17.0;61.0;28.0;46.0;16.0;29.0;16.0;43.0;64.0;62.0;31.0;75.0;65.0;43.0;43.0;42.0;;;;4.0
50;13000;2012;50.0;47.0;;32.0;44.0;;51.0;29.0;;;45.0;29.0;;59.0;58.0;45.0;87.0;67.0;44.0;52.0;45.0;;41.0;32.0;4.7
51;18710;2006;53.0;39.0;29.0;38.0;39.0;50.0;61.0;31.0;56.0;76.0;43.0;29.0;55.0;77.0;80.0;63.0;92.0;69.0;82.0;63.0;55.0;57.0;31.0;48.0;5.4
52;18710;2010;66.0;28.0;35.0;57.0;38.0;41.0;57.0;27.0;42.0;59.0;39.0;11.0;42.0;77.0;74.0;50.0;85.0;67.0;80.0;70.0;43.0;;;;4.6
53;18710;2012;54.0;24.0;;42.0;41.0;;47.0;28.0;;;41.0;22.0;;69.0;67.0;67.0;92.0;58.0;79.0;66.0;51.0;;34.0;42.0;5.8
54;18719;2006;63.0;35.0;38.0;48.0;34.0;46.0;51.0;17.0;41.0;61.0;38.0;19.0;57.0;86.0;73.0;65.0;94.0;53.0;82.0;68.0;64.0;52.0;35.0;38.0;5.5
55;18719;2010;78.0;26.0;45.0;34.0;31.0;41.0;37.0;19.0;37.0;56.0;35.0;12.0;55.0;84.0;70.0;60.0;89.0;51.0;78.0;55.0;56.0;;;;5.3
