ID;Nationaliteit;Perioden;DerdelandersVerplichtingTotVertrek_1;DerdelandersAantoonbaarVertrek_2
0;Totaal nationaliteit;2008;33200.0;9350.0
1;Totaal nationaliteit;2009;35575.0;8980.0
2;Totaal nationaliteit;2010;29870.0;10355.0
3;Totaal nationaliteit;2011;29500.0;9475.0
4;Totaal nationaliteit;2012;27265.0;9635.0
5;Totaal nationaliteit;2013;32435.0;8010.0
6;Totaal nationaliteit;2014;33735.0;8000.0
7;300;2008;1110.0;75.0
8;300;2009;1375.0;75.0
9;300;2010;1805.0;125.0
10;300;2011;2120.0;180.0
11;300;2012;1650.0;335.0
12;300;2013;1390.0;225.0
13;300;2014;1070.0;110.0
14;50;2008;90.0;125.0
15;50;2009;165.0;115.0
16;50;2010;110.0;85.0
17;50;2011;105.0;115.0
18;50;2012;65.0;210.0
19;50;2013;115.0;210.0
20;50;2014;130.0;260.0
21;100;2008;295.0;125.0
22;100;2009;250.0;50.0
23;100;2010;170.0;50.0
24;100;2011;125.0;30.0
25;100;2012;60.0;55.0
26;100;2013;135.0;70.0
27;100;2014;90.0;50.0
28;Amerikaans ;2008;640.0;355.0
29;Amerikaans ;2009;560.0;175.0
30;Amerikaans ;2010;415.0;215.0
31;Amerikaans ;2011;415.0;170.0
32;Amerikaans ;2012;605.0;220.0
33;Amerikaans ;2013;1050.0;150.0
34;Amerikaans ;2014;990.0;180.0
35;101;2008;615.0;185.0
36;101;2009;490.0;105.0
37;101;2010;245.0;90.0
38;101;2011;235.0;60.0
39;101;2012;180.0;60.0
40;101;2013;375.0;40.0
41;101;2014;245.0;70.0
42;40;2008;425.0;90.0
43;40;2009;490.0;70.0
44;40;2010;610.0;90.0
45;40;2011;745.0;95.0
46;40;2012;740.0;195.0
47;40;2013;950.0;155.0
48;40;2014;980.0;140.0
49;400;2008;165.0;5.0
50;400;2009;110.0;15.0
51;400;2010;100.0;25.0
52;400;2011;75.0;45.0
53;400;2012;95.0;20.0
54;400;2013;180.0;15.0
55;400;2014;175.0;15.0
56;39;2008;420.0;40.0
57;39;2009;275.0;30.0
58;39;2010;255.0;30.0
59;39;2011;270.0;30.0
60;39;2012;285.0;35.0
61;39;2013;455.0;45.0
62;39;2014;245.0;25.0
63;345;2008;70.0;5.0
64;345;2009;65.0;5.0
65;345;2010;45.0;10.0
66;345;2011;55.0;10.0
67;345;2012;60.0;15.0
68;345;2013;70.0;20.0
69;345;2014;30.0;10.0
70;29;2008;230.0;50.0
71;29;2009;195.0;45.0
72;29;2010;115.0;55.0
73;29;2011;140.0;60.0
74;29;2012;165.0;45.0
75;29;2013;220.0;90.0
76;29;2014;220.0;100.0
77;253;2008;210.0;410.0
78;253;2009;235.0;535.0
79;253;2010;180.0;580.0
80;253;2011;140.0;510.0
81;253;2012;175.0;485.0
82;253;2013;360.0;375.0
83;253;2014;280.0;285.0
84;104;2008;280.0;50.0
85;104;2009;325.0;30.0
86;104;2010;240.0;25.0
87;104;2011;205.0;30.0
88;104;2012;185.0;30.0
89;104;2013;170.0;20.0
90;104;2014;165.0;10.0
91;204;2008;150.0;60.0
92;204;2009;120.0;35.0
93;204;2010;95.0;45.0
