ID;Buurtkenmerken;Cijfersoort;Perioden;WelEens_1;Vaak_2;WelEens_3;Vaak_4;VoeltZichSAvondsInBuurtOnveilig_5;VoeltZichSAvondsNietOpGemak_6;RondomUitgaansgelegenheden_7;RondomPlekkenWaarJongerenRondhangen_8;InHetCentrum_9;WinkelcentrumEigenBuurt_10;InHetOpenbaarVervoer_11;BijHetTreinstation_12;InEigenHuis_13;KansOpWoninginbraak_14;KansOpMishandeling_15;KansOpPortemonneediefstal_16;DoetSAvondsNietOpen_17;RijdtOfLooptOm_18;KinderenMogenErgensNietNaarToe_19
0;1100;Waarde;2008;25.5;2.1;15.4;1.8;4.0;2.5;22.7;43.2;22.4;13.6;17.7;26.0;5.3;5.3;1.5;5.5;8.3;4.0;3.6
1;1100;Waarde;2009;25.8;2.4;17.0;2.0;4.3;2.4;25.2;45.5;23.2;15.0;19.2;26.3;6.6;5.8;1.7;5.3;10.0;4.0;4.0
2;1100;Betrouwbaarheidsmarge;2008;0.7;0.2;0.6;0.2;0.3;0.3;0.8;0.9;0.8;0.6;0.7;0.8;0.4;0.4;0.2;0.3;0.4;0.4;0.4
3;1100;Betrouwbaarheidsmarge;2009;0.4;0.1;0.3;0.1;0.2;0.2;0.6;0.6;0.6;0.5;0.5;0.6;0.3;0.2;0.1;0.2;0.3;0.2;0.2
4;10020;Waarde;2008;33.9;3.9;25.3;3.4;7.3;3.2;28.8;51.8;32.0;18.1;28.2;35.3;6.3;8.4;3.0;9.0;13.5;5.9;5.1
5;10020;Waarde;2009;34.9;4.3;26.1;3.8;7.7;3.4;30.8;54.5;30.8;18.0;30.6;35.6;8.1;8.4;3.0;8.5;13.5;6.5;4.9
6;10020;Betrouwbaarheidsmarge;2008;1.2;0.4;1.1;0.4;0.7;0.5;2.0;2.2;2.1;1.7;2.0;2.1;1.0;0.8;0.4;0.7;1.0;0.6;0.7
7;10020;Betrouwbaarheidsmarge;2009;0.9;0.3;0.8;0.3;0.6;0.4;1.7;1.9;1.7;1.4;1.7;1.8;1.0;0.5;0.3;0.5;0.7;0.6;0.4
8;10030;Waarde;2008;28.5;2.5;17.8;2.1;4.8;3.0;25.4;48.5;25.9;16.9;20.0;28.3;6.3;6.2;1.8;6.2;9.4;5.3;4.5
9;10030;Waarde;2009;28.8;2.8;20.1;2.4;5.5;2.7;29.7;50.6;28.3;20.3;21.4;29.7;7.3;6.2;2.0;5.7;12.0;4.6;4.9
10;10030;Betrouwbaarheidsmarge;2008;1.5;0.5;1.3;0.5;0.8;0.7;1.7;1.9;1.7;1.4;1.6;1.7;1.0;0.9;0.5;0.8;1.0;0.9;1.0
11;10030;Betrouwbaarheidsmarge;2009;0.9;0.3;0.7;0.3;0.5;0.3;1.2;1.3;1.2;1.1;1.1;1.2;0.7;0.4;0.3;0.4;0.7;0.4;0.5
12;10040;Waarde;2008;25.6;1.9;14.1;1.5;3.8;2.7;24.2;45.7;25.1;15.5;16.1;25.5;4.9;4.9;1.1;5.2;7.7;4.2;3.7
13;10040;Waarde;2009;24.6;1.8;15.5;1.5;3.3;2.2;25.7;47.4;24.2;16.0;17.8;26.4;5.9;5.5;1.2;4.8;8.9;4.0;3.8
14;10040;Betrouwbaarheidsmarge;2008;1.7;0.5;1.4;0.5;0.9;0.8;1.7;2.1;1.8;1.5;1.5;1.8;0.9;0.9;0.5;0.9;1.1;1.0;0.9
15;10040;Betrouwbaarheidsmarge;2009;1.0;0.3;0.8;0.2;0.4;0.4;1.1;1.3;1.1;0.9;0.9;1.1;0.6;0.5;0.2;0.5;0.7;0.5;0.5
16;10060;Waarde;2008;20.4;0.9;10.1;0.8;1.8;1.3;18.9;38.8;15.9;9.9;12.7;22.0;4.0;2.6;0.8;3.6;6.1;2.4;2.4
17;10060;Waarde;2009;21.2;1.5;11.5;1.1;2.5;1.8;20.8;41.1;18.2;11.1;13.9;21.2;5.6;4.3;1.2;4.1;8.2;2.6;3.2
18;10060;Betrouwbaarheidsmarge;2008;1.5;0.3;1.1;0.4;0.5;0.5;1.6;2.0;1.5;1.2;1.4;1.7;0.8;0.5;0.3;0.6;0.9;0.6;0.6
19;10060;Betrouwbaarheidsmarge;2009;0.9;0.3;0.7;0.3;0.4;0.3;1.0;1.3;1.0;0.8;0.9;1.0;0.6;0.4;0.3;0.4;0.7;0.4;0.4
20;10070;Waarde;2008;17.6;1.2;8.6;1.0;1.9;1.8;14.8;28.6;11.4;6.0;10.1;17.4;4.7;4.0;0.9;3.2;3.9;1.7;1.8
21;10070;Waarde;2009;17.8;1.2;10.1;1.0;1.9;1.7;16.7;31.1;11.7;7.2;10.7;16.6;5.8;4.5;0.8;3.2;6.6;1.7;2.6
22;10070;Betrouwbaarheidsmarge;2008;1.4;0.3;1.1;0.4;0.6;0.5;1.3;1.7;1.2;0.9;1.2;1.5;0.9;0.7;0.3;0.6;0.7;0.6;0.5
23;10070;Betrouwbaarheidsmarge;2009;0.9;0.2;0.7;0.2;0.3;0.3;1.0;1.2;0.8;0.7;0.8;0.9;0.6;0.5;0.2;0.4;0.6;0.4;0.4
24;20700;Waarde;2008;27.7;3.7;19.4;3.1;7.3;3.5;21.7;42.4;23.2;15.2;20.0;27.5;9.2;6.5;2.1;6.3;12.6;6.8;5.6
25;20700;Waarde;2009;;;;;;;;;;;;;;;;;;;
26;20700;Betrouwbaarheidsmarge;2008;1.8;0.7;1.6;0.7;1.2;0.8;2.2;2.5;2.2;2.0;2.2;2.3;1.7;1.0;0.4;0.8;1.3;1.2;1.2
27;20700;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
28;20701;Waarde;2008;24.5;2.3;15.5;1.9;4.9;3.2;21.7;41.5;23.0;14.7;15.2;21.7;5.3;4.7;1.8;5.7;10.3;4.5;4.5
29;20701;Waarde;2009;;;;;;;;;;;;;;;;;;;
30;20701;Betrouwbaarheidsmarge;2008;1.7;0.5;1.4;0.4;0.9;0.8;1.8;2.1;1.9;1.6;1.6;1.8;0.9;0.8;0.5;0.8;1.2;0.9;1.0
31;20701;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
32;20702;Waarde;2008;24.1;2.0;15.0;1.6;3.3;2.4;22.8;43.5;22.2;13.7;17.4;26.8;4.5;4.9;1.5;5.7;7.7;3.4;3.4
33;20702;Waarde;2009;;;;;;;;;;;;;;;;;;;
34;20702;Betrouwbaarheidsmarge;2008;1.4;0.5;1.2;0.4;0.6;0.6;1.6;2.0;1.6;1.3;1.5;1.8;0.8;0.8;0.5;0.8;0.9;0.7;0.7
35;20702;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
36;20703;Waarde;2008;25.0;1.5;14.5;1.4;3.2;2.2;23.7;44.2;22.2;13.3;17.2;25.8;4.4;5.1;1.5;5.2;6.3;3.2;2.6
37;20703;Waarde;2009;;;;;;;;;;;;;;;;;;;
38;20703;Betrouwbaarheidsmarge;2008;1.4;0.3;1.2;0.4;0.6;0.6;1.6;1.9;1.6;1.3;1.4;1.6;0.8;0.8;0.4;0.7;0.8;0.7;0.6
39;20703;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
40;20704;Waarde;2008;26.2;1.5;13.6;1.1;2.3;1.4;23.0;44.0;21.6;11.6;18.8;27.9;4.1;5.4;1.0;4.9;5.6;2.7;2.4
41;20704;Waarde;2009;;;;;;;;;;;;;;;;;;;
42;20704;Betrouwbaarheidsmarge;2008;1.3;0.3;0.9;0.2;0.4;0.4;1.5;1.8;1.5;1.1;1.4;1.6;0.7;0.6;0.2;0.6;0.7;0.5;0.5
43;20704;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
44;20800;Waarde;2008;34.6;3.7;29.5;5.0;12.1;5.0;26.8;51.8;33.9;24.3;29.9;34.8;11.8;13.7;3.7;9.9;11.0;9.0;7.1
45;20800;Waarde;2009;39.6;7.5;33.5;7.1;12.6;6.2;26.8;53.8;28.2;22.8;32.3;30.9;12.1;13.8;6.0;11.4;18.3;9.0;9.3
46;20800;Betrouwbaarheidsmarge;2008;7.7;1.9;7.2;3.7;5.6;3.2;5.3;5.8;5.7;5.1;5.4;5.5;3.9;5.6;3.1;4.6;4.7;5.0;4.7
47;20800;Betrouwbaarheidsmarge;2009;1.6;0.9;1.6;0.8;1.4;1.0;3.9;4.6;4.1;3.8;4.3;4.2;3.0;1.2;0.8;1.0;1.4;1.0;1.4
48;20810;Waarde;2008;23.5;1.6;12.9;1.3;3.2;2.2;22.3;42.3;21.5;12.8;16.1;24.9;4.9;4.2;1.2;4.7;7.1;3.5;3.1
49;20810;Waarde;2009;25.1;2.1;16.2;1.7;3.9;2.2;25.1;45.2;23.0;14.6;18.6;26.1;6.4;5.4;1.5;5.0;9.6;3.7;3.7
50;20810;Betrouwbaarheidsmarge;2008;0.9;0.3;0.7;0.2;0.4;0.3;0.8;1.0;0.8;0.7;0.7;0.9;0.4;0.5;0.2;0.4;0.5;0.4;0.4
51;20810;Betrouwbaarheidsmarge;2009;0.4;0.1;0.3;0.1;0.2;0.2;0.6;0.6;0.5;0.4;0.5;0.6;0.3;0.2;0.1;0.2;0.3;0.2;0.2
52;20820;Waarde;2008;;;;;;;;;;;;;;;;;;;
53;20820;Waarde;2009;;;;;;;;;;;;;;;;;;;
54;20820;Betrouwbaarheidsmarge;2008;;;;;;;;;;;;;;;;;;;
55;20820;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
56;20830;Waarde;2008;;;;;;;;;;;;;;;;;;;
57;20830;Waarde;2009;;;;;;;;;;;;;;;;;;;
58;20830;Betrouwbaarheidsmarge;2008;;;;;;;;;;;;;;;;;;;
59;20830;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
60;20840;Waarde;2008;;;;;;;;;;;;;;;;;;;
61;20840;Waarde;2009;;;;;;;;;;;;;;;;;;;
62;20840;Betrouwbaarheidsmarge;2008;;;;;;;;;;;;;;;;;;;
63;20840;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
64;20850;Waarde;2008;;;;;;;;;;;;;;;;;;;
