ID;TypeOfBankruptcy;Periods;PronouncedBankruptcies_1
0;Total legal forms all nationalities;1981 January;509
1;Total legal forms all nationalities;1981 February;588
2;Total legal forms all nationalities;1981 March;567
3;Total legal forms all nationalities;1981 1st quarter;1664
4;Total legal forms all nationalities;1981 April;607
5;Total legal forms all nationalities;1981 May;530
6;Total legal forms all nationalities;1981 June;557
7;Total legal forms all nationalities;1981 2nd quarter;1694
8;Total legal forms all nationalities;1981 July;667
9;Total legal forms all nationalities;1981 August;496
10;Total legal forms all nationalities;1981 September;725
11;Total legal forms all nationalities;1981 3rd quarter;1888
12;Total legal forms all nationalities;1981 October;702
13;Total legal forms all nationalities;1981 November;648
14;Total legal forms all nationalities;1981 December;692
15;Total legal forms all nationalities;1981 4th quarter;2042
16;Total legal forms all nationalities;1981;7288
17;Total legal forms all nationalities;1982 January;674
18;Total legal forms all nationalities;1982 February;722
19;Total legal forms all nationalities;1982 March;870
20;Total legal forms all nationalities;1982 1st quarter;2266
21;Total legal forms all nationalities;1982 April;695
22;Total legal forms all nationalities;1982 May;555
23;Total legal forms all nationalities;1982 June;748
24;Total legal forms all nationalities;1982 2nd quarter;1998
25;Total legal forms all nationalities;1982 July;690
26;Total legal forms all nationalities;1982 August;613
27;Total legal forms all nationalities;1982 September;797
28;Total legal forms all nationalities;1982 3rd quarter;2100
29;Total legal forms all nationalities;1982 October;736
30;Total legal forms all nationalities;1982 November;789
31;Total legal forms all nationalities;1982 December;755
32;Total legal forms all nationalities;1982 4th quarter;2280
33;Total legal forms all nationalities;1982;8644
34;Total legal forms all nationalities;1983 January;726
35;Total legal forms all nationalities;1983 February;674
36;Total legal forms all nationalities;1983 March;884
37;Total legal forms all nationalities;1983 1st quarter;2284
38;Total legal forms all nationalities;1983 April;629
39;Total legal forms all nationalities;1983 May;637
40;Total legal forms all nationalities;1983 June;720
41;Total legal forms all nationalities;1983 2nd quarter;1986
42;Total legal forms all nationalities;1983 July;521
43;Total legal forms all nationalities;1983 August;635
44;Total legal forms all nationalities;1983 September;648
45;Total legal forms all nationalities;1983 3rd quarter;1804
46;Total legal forms all nationalities;1983 October;540
47;Total legal forms all nationalities;1983 November;602
48;Total legal forms all nationalities;1983 December;475
49;Total legal forms all nationalities;1983 4th quarter;1617
50;Total legal forms all nationalities;1983;7691
51;Total legal forms all nationalities;1984 January;571
52;Total legal forms all nationalities;1984 February;659
53;Total legal forms all nationalities;1984 March;623
54;Total legal forms all nationalities;1984 1st quarter;1853
55;Total legal forms all nationalities;1984 April;453
56;Total legal forms all nationalities;1984 May;560
57;Total legal forms all nationalities;1984 June;491
58;Total legal forms all nationalities;1984 2nd quarter;1504
59;Total legal forms all nationalities;1984 July;423
60;Total legal forms all nationalities;1984 August;563
61;Total legal forms all nationalities;1984 September;481
62;Total legal forms all nationalities;1984 3rd quarter;1467
63;Total legal forms all nationalities;1984 October;567
64;Total legal forms all nationalities;1984 November;473
65;Total legal forms all nationalities;1984 December;360
66;Total legal forms all nationalities;1984 4th quarter;1400
67;Total legal forms all nationalities;1984;6224
68;Total legal forms all nationalities;1985 January;560
69;Total legal forms all nationalities;1985 February;458
70;Total legal forms all nationalities;1985 March;542
71;Total legal forms all nationalities;1985 1st quarter;1560
72;Total legal forms all nationalities;1985 April;446
73;Total legal forms all nationalities;1985 May;494
74;Total legal forms all nationalities;1985 June;424
75;Total legal forms all nationalities;1985 2nd quarter;1364
76;Total legal forms all nationalities;1985 july;439
77;Total legal forms all nationalities;1985 August;385
78;Total legal forms all nationalities;1985 September;398
79;Total legal forms all nationalities;1985 3rd quarter;1222
80;Total legal forms all nationalities;1985 October;493
81;Total legal forms all nationalities;1985 November;418
82;Total legal forms all nationalities;1985 December;321
83;Total legal forms all nationalities;1985 4th quarter;1232
84;Total legal forms all nationalities;1985;5378
85;Total legal forms all nationalities;1986 January;370
86;Total legal forms all nationalities;1986 February;319
87;Total legal forms all nationalities;1986 March;397
88;Total legal forms all nationalities;1986 1st quarter;1086
89;Total legal forms all nationalities;1986 April;399
90;Total legal forms all nationalities;1986 May;362
91;Total legal forms all nationalities;1986 June;395
92;Total legal forms all nationalities;1986 2nd quarter;1156
93;Total legal forms all nationalities;1986 July;364
94;Total legal forms all nationalities;1986 August;351
95;Total legal forms all nationalities;1986 September;396
96;Total legal forms all nationalities;1986 3rd quarter;1111
97;Total legal forms all nationalities;1986 October;378
98;Total legal forms all nationalities;1986 November;395
99;Total legal forms all nationalities;1986 December;322
100;Total legal forms all nationalities;1986 4th quarter;1095
101;Total legal forms all nationalities;1986;4448
102;Total legal forms all nationalities;1987 January;330
103;Total legal forms all nationalities;1987 February;341
104;Total legal forms all nationalities;1987 March;345
105;Total legal forms all nationalities;1987 1st quarter;1016
106;Total legal forms all nationalities;1987 April;338
107;Total legal forms all nationalities;1987 May;280
108;Total legal forms all nationalities;1987 June;273
109;Total legal forms all nationalities;1987 2nd quarter;891
110;Total legal forms all nationalities;1987 July;354
111;Total legal forms all nationalities;1987 August;259
112;Total legal forms all nationalities;1987 September;358
113;Total legal forms all nationalities;1987 3rd quarter;971
114;Total legal forms all nationalities;1987 October;314
115;Total legal forms all nationalities;1987 November;283
116;Total legal forms all nationalities;1987 December;311
117;Total legal forms all nationalities;1987 4th quarter;908
118;Total legal forms all nationalities;1987;3786
119;Total legal forms all nationalities;1988 January;287
120;Total legal forms all nationalities;1988 February;347
121;Total legal forms all nationalities;1988 March;368
122;Total legal forms all nationalities;1988 1st quarter;1002
123;Total legal forms all nationalities;1988 April;288
124;Total legal forms all nationalities;1988 May;330
125;Total legal forms all nationalities;1988 June;367
126;Total legal forms all nationalities;1988 2nd quarter;985
127;Total legal forms all nationalities;1988 July;288
128;Total legal forms all nationalities;1988 August;305
129;Total legal forms all nationalities;1988 September;302
130;Total legal forms all nationalities;1988 3rd quarter;895
131;Total legal forms all nationalities;1988 October;333
132;Total legal forms all nationalities;1988 November;372
133;Total legal forms all nationalities;1988 December;262
134;Total legal forms all nationalities;1988 4th quarter;967
135;Total legal forms all nationalities;1988;3849
