ID;RegioS;Perioden;TotaalAlleDoodsoorzaken_1;Nieuwvormingen_2;ZiektenVanHartEnVaatstelsel_3;UitwendigeDoodsoorzaken_4;OverigeDoodsoorzaken_5;Gemeente_6;Landsdeel_7;Provincie_8;COROPGebied_9;GrootstedelijkeAgglomeratie_10;Stadsgewest_11
0;Totaal Nederland;1990;128824.0;35815.0;51620.0;5306.0;36083.0;    ; ;  ;  ;  ;  
1;Totaal Nederland;1991;129958.0;36467.0;51879.0;5445.0;36167.0;    ; ;  ;  ;  ;  
2;Totaal Nederland;1992;129887.0;37002.0;51570.0;5424.0;35891.0;    ; ;  ;  ;  ;  
3;Totaal Nederland;1993;137795.0;37359.0;54317.0;5220.0;40899.0;    ; ;  ;  ;  ;  
4;Totaal Nederland;1994;133471.0;37318.0;51680.0;5277.0;39196.0;    ; ;  ;  ;  ;  
5;Totaal Nederland;1995;135675.0;37339.0;52098.0;5173.0;41065.0;    ; ;  ;  ;  ;  
6;Totaal Nederland;1996;137561.0;38271.0;51313.0;5309.0;42668.0;    ; ;  ;  ;  ;  
7;Totaal Nederland;1997;135783.0;38087.0;49761.0;5148.0;42787.0;    ; ;  ;  ;  ;  
8;Totaal Nederland;1998;137482.0;38361.0;49826.0;4914.0;44381.0;    ; ;  ;  ;  ;  
9;Totaal Nederland;1999;140487.0;39129.0;49594.0;5189.0;46575.0;    ; ;  ;  ;  ;  
10;Totaal Nederland;2000;140527.0;38805.0;49191.0;5169.0;47362.0;    ; ;  ;  ;  ;  
11;Totaal Nederland;2001;140377.0;39013.0;47643.0;5444.0;48277.0;    ; ;  ;  ;  ;  
12;Totaal Nederland;2002;142355.0;39677.0;47992.0;5318.0;49368.0;    ; ;  ;  ;  ;  
13;Totaal Nederland;2003;141936.0;39867.0;46942.0;5404.0;49723.0;    ; ;  ;  ;  ;  
14;Totaal Nederland;2004;136553.0;40300.0;44638.0;5226.0;46389.0;    ; ;  ;  ;  ;  
15;Totaal Nederland;2005;136402.0;40373.0;43350.0;5343.0;47336.0;    ; ;  ;  ;  ;  
16;Totaal Nederland;2006;135372.0;40563.0;41720.0;5354.0;47735.0;    ; ;  ;  ;  ;  
17;Aa en Hunze;1990;;;;;;;;;;;
18;Aa en Hunze;1991;;;;;;;;;;;
19;Aa en Hunze;1992;;;;;;;;;;;
20;Aa en Hunze;1993;;;;;;;;;;;
21;Aa en Hunze;1994;;;;;;;;;;;
22;Aa en Hunze;1995;;;;;;;;;;;
23;Aa en Hunze;1996;;;;;;;;;;;
24;Aa en Hunze;1997;;;;;;;;;;;
25;Aa en Hunze;1998;242.0;66.0;96.0;3.0;77.0;1680;1;22;07;  ;  
26;Aa en Hunze;1999;227.0;70.0;82.0;13.0;62.0;1680;1;22;07;  ;  
27;Aa en Hunze;2000;225.0;80.0;65.0;7.0;73.0;1680;1;22;07;00;00
28;Aa en Hunze;2001;218.0;69.0;72.0;7.0;70.0;1680;1;22;07;00;00
29;Aa en Hunze;2002;251.0;77.0;88.0;8.0;78.0;1680;1;22;07;00;00
30;Aa en Hunze;2003;241.0;78.0;78.0;8.0;77.0;1680;1;22;07;00;00
31;Aa en Hunze;2004;221.0;74.0;66.0;10.0;71.0;1680;1;22;07;00;00
32;Aa en Hunze;2005;231.0;70.0;70.0;7.0;84.0;1680;1;22;07;00;00
33;Aa en Hunze;2006;212.0;62.0;65.0;8.0;77.0;1680;1;22;07;00;00
34;Aalburg;1990;88.0;24.0;37.0;4.0;23.0;0738;4;30;34;  ;  
35;Aalburg;1991;78.0;26.0;31.0;3.0;18.0;0738;4;30;34;  ;  
36;Aalburg;1992;68.0;20.0;26.0;6.0;16.0;0738;4;30;34;  ;  
37;Aalburg;1993;98.0;21.0;46.0;4.0;27.0;0738;4;30;34;  ;  
38;Aalburg;1994;74.0;27.0;30.0;3.0;14.0;0738;4;30;34;  ;  
39;Aalburg;1995;93.0;23.0;44.0;7.0;19.0;0738;4;30;34;  ;  
40;Aalburg;1996;99.0;28.0;39.0;5.0;27.0;0738;4;30;34;  ;  
41;Aalburg;1997;86.0;22.0;38.0;4.0;22.0;0738;4;30;34;  ;  
42;Aalburg;1998;86.0;26.0;39.0;4.0;17.0;0738;4;30;34;  ;  
43;Aalburg;1999;76.0;21.0;25.0;4.0;26.0;0738;4;30;34;  ;  
44;Aalburg;2000;75.0;22.0;28.0;3.0;22.0;0738;4;30;34;00;00
45;Aalburg;2001;82.0;16.0;36.0;8.0;22.0;0738;4;30;34;00;00
46;Aalburg;2002;101.0;28.0;31.0;7.0;35.0;0738;4;30;34;00;00
47;Aalburg;2003;97.0;37.0;32.0;3.0;25.0;0738;4;30;34;00;00
48;Aalburg;2004;100.0;32.0;36.0;1.0;31.0;0738;4;30;34;00;00
49;Aalburg;2005;95.0;21.0;36.0;10.0;28.0;0738;4;30;34;00;00
50;Aalburg;2006;72.0;18.0;34.0;1.0;19.0;0738;4;30;34;00;00
51;Aalsmeer;1990;150.0;50.0;65.0;3.0;32.0;0358;3;27;23;  ;  
52;Aalsmeer;1991;144.0;38.0;65.0;5.0;36.0;0358;3;27;23;  ;  
53;Aalsmeer;1992;156.0;55.0;58.0;6.0;37.0;0358;3;27;23;  ;  
54;Aalsmeer;1993;152.0;46.0;69.0;4.0;33.0;0358;3;27;23;  ;  
55;Aalsmeer;1994;175.0;58.0;64.0;11.0;42.0;0358;3;27;23;  ;  
56;Aalsmeer;1995;170.0;51.0;65.0;7.0;47.0;0358;3;27;23;  ;  
57;Aalsmeer;1996;196.0;61.0;72.0;11.0;52.0;0358;3;27;23;  ;  
58;Aalsmeer;1997;174.0;52.0;54.0;5.0;63.0;0358;3;27;23;  ;  
59;Aalsmeer;1998;176.0;55.0;70.0;2.0;49.0;0358;3;27;23;  ;  
60;Aalsmeer;1999;170.0;50.0;56.0;5.0;59.0;0358;3;27;23;  ;  
61;Aalsmeer;2000;193.0;51.0;58.0;7.0;77.0;0358;3;27;23;00;00
62;Aalsmeer;2001;202.0;55.0;55.0;7.0;85.0;0358;3;27;23;00;00
63;Aalsmeer;2002;171.0;53.0;49.0;6.0;63.0;0358;3;27;23;00;00
64;Aalsmeer;2003;181.0;53.0;52.0;3.0;73.0;0358;3;27;23;00;00
65;Aalsmeer;2004;214.0;64.0;76.0;7.0;67.0;0358;3;27;23;00;00
66;Aalsmeer;2005;184.0;53.0;50.0;5.0;76.0;0358;3;27;23;00;00
67;Aalsmeer;2006;173.0;65.0;59.0;6.0;43.0;0358;3;27;23;00;00
68;Aalten;1990;151.0;44.0;45.0;11.0;51.0;0197;2;25;14;  ;  
69;Aalten;1991;167.0;52.0;64.0;7.0;44.0;0197;2;25;14;  ;  
70;Aalten;1992;140.0;31.0;54.0;7.0;48.0;0197;2;25;14;  ;  
71;Aalten;1993;194.0;58.0;72.0;5.0;59.0;0197;2;25;14;  ;  
72;Aalten;1994;163.0;46.0;57.0;10.0;50.0;0197;2;25;14;  ;  
73;Aalten;1995;164.0;55.0;60.0;7.0;42.0;0197;2;25;14;  ;  
74;Aalten;1996;159.0;48.0;67.0;5.0;39.0;0197;2;25;14;  ;  
75;Aalten;1997;157.0;56.0;47.0;5.0;49.0;0197;2;25;14;  ;  
76;Aalten;1998;143.0;43.0;61.0;7.0;32.0;0197;2;25;14;  ;  
77;Aalten;1999;189.0;51.0;71.0;9.0;58.0;0197;2;25;14;  ;  
78;Aalten;2000;147.0;38.0;56.0;5.0;48.0;0197;2;25;14;00;00
79;Aalten;2001;149.0;58.0;42.0;2.0;47.0;0197;2;25;14;00;00
80;Aalten;2002;164.0;51.0;62.0;5.0;46.0;0197;2;25;14;00;00
81;Aalten;2003;178.0;60.0;57.0;6.0;55.0;0197;2;25;14;00;00
82;Aalten;2004;166.0;53.0;66.0;3.0;44.0;0197;2;25;14;00;00
83;Aalten;2005;235.0;81.0;73.0;12.0;69.0;0197;2;25;14;00;00
84;Aalten;2006;223.0;66.0;85.0;6.0;66.0;0197;2;25;14;00;00
85;Ter Aar;1990;56.0;12.0;19.0;2.0;23.0;0480;3;28;28;  ;  
86;Ter Aar;1991;47.0;14.0;19.0;0.0;14.0;0480;3;28;28;  ;  
87;Ter Aar;1992;40.0;16.0;12.0;3.0;9.0;0480;3;28;28;  ;  
88;Ter Aar;1993;48.0;10.0;20.0;1.0;17.0;0480;3;28;28;  ;  
89;Ter Aar;1994;54.0;19.0;14.0;3.0;18.0;0480;3;28;28;  ;  
90;Ter Aar;1995;51.0;9.0;23.0;1.0;18.0;0480;3;28;28;  ;  
91;Ter Aar;1996;55.0;19.0;19.0;2.0;15.0;0480;3;28;28;  ;  
92;Ter Aar;1997;58.0;16.0;24.0;3.0;15.0;0480;3;28;28;  ;  
93;Ter Aar;1998;59.0;16.0;18.0;0.0;25.0;0480;3;28;28;  ;  
94;Ter Aar;1999;57.0;19.0;23.0;0.0;15.0;0480;3;28;28;  ;  
95;Ter Aar;2000;43.0;14.0;17.0;2.0;10.0;0480;3;28;28;00;00
96;Ter Aar;2001;46.0;13.0;24.0;2.0;7.0;0480;3;28;28;00;00
97;Ter Aar;2002;55.0;14.0;18.0;3.0;20.0;0480;3;28;28;00;00
98;Ter Aar;2003;48.0;16.0;12.0;4.0;16.0;0480;3;28;28;00;00
99;Ter Aar;2004;61.0;22.0;17.0;1.0;21.0;0480;3;28;28;00;00
100;Ter Aar;2005;60.0;12.0;25.0;1.0;22.0;0480;3;28;28;00;00
101;Ter Aar;2006;52.0;16.0;13.0;2.0;21.0;0480;3;28;28;00;00
102;Aardenburg;1990;45.0;11.0;21.0;0.0;13.0;0648;3;29;31;  ;  
103;Aardenburg;1991;46.0;14.0;16.0;0.0;16.0;0648;3;29;31;  ;  
104;Aardenburg;1992;45.0;10.0;19.0;2.0;14.0;0648;3;29;31;  ;  
105;Aardenburg;1993;36.0;8.0;13.0;0.0;15.0;0648;3;29;31;  ;  
106;Aardenburg;1994;40.0;9.0;11.0;3.0;17.0;0648;3;29;31;  ;  
107;Aardenburg;1995;;;;;;;;;;;
108;Aardenburg;1996;;;;;;;;;;;
109;Aardenburg;1997;;;;;;;;;;;
110;Aardenburg;1998;;;;;;;;;;;
111;Aardenburg;1999;;;;;;;;;;;
112;Aardenburg;2000;;;;;;;;;;;
113;Aardenburg;2001;;;;;;;;;;;
114;Aardenburg;2002;;;;;;;;;;;
115;Aardenburg;2003;;;;;;;;;;;
116;Aardenburg;2004;;;;;;;;;;;
117;Aardenburg;2005;;;;;;;;;;;
118;Aardenburg;2006;;;;;;;;;;;
119;Aarle-Rixtel;1990;42.0;15.0;14.0;3.0;10.0;0739;4;30;36;  ;  
120;Aarle-Rixtel;1991;50.0;15.0;22.0;2.0;11.0;0739;4;30;36;  ;  
121;Aarle-Rixtel;1992;60.0;19.0;23.0;3.0;15.0;0739;4;30;36;  ;  
122;Aarle-Rixtel;1993;41.0;14.0;14.0;2.0;11.0;0739;4;30;36;  ;  
123;Aarle-Rixtel;1994;50.0;10.0;26.0;0.0;14.0;0739;4;30;36;  ;  
124;Aarle-Rixtel;1995;58.0;15.0;28.0;1.0;14.0;0739;4;30;36;  ;  
125;Aarle-Rixtel;1996;59.0;23.0;18.0;2.0;16.0;0739;4;30;36;  ;  
126;Aarle-Rixtel;1997;;;;;;;;;;;
