ID;Perioden;LedentalVakcentralesTotaal_1;FNVTotaal_2;FNVBondgenoten_3;FNVBondgenotenZZP_4;ABVAKABOFNV_5;FNVBouw_6;FNVBouwZBO_7;AlgemeneOnderwijsbondAOb_8;FNVKiem_9;FNVKiemZZP_10;FNVHorecabond_11;AFMP_12;NederlandsePolitiebondNPB_13;Marechausseevereniging_14;KappersbondFNVFNVSchoonheidsverz_15;NVJ_16;FNVVrouwenbond_17;FWZ_18;FNVSport_19;VerenigingVanContractspelersVVCS_20;CNVTotaal_21;CNVBedrijvenBond_22;CNVPubliekeZaak_23;OnderwijsbondCNV_24;HoutEnBouwbondCNV_25;CNVDienstenbond_26;PolitievakorganisatieACP_27;ACOM_28;Marechausseevereniging_29;CNVJongerenorganisatie_30;CNVKunstenbond_31;CNVKostersbond_32;BKM_33;RechtstreekseLeden_34;MHPTotaal_35;UOV_36;CMHF_37;VHP_38;VNV_39;BBV_40
0;1999 1 januari;1814.2;1237.6;499.3;0.0;359.4;160.0;0.0;72.2;48.1;0.0;27.7;20.0;19.4;0.0;8.6;6.9;7.4;6.3;1.5;0.8;358.1;86.1;85.6;57.7;50.7;34.0;18.6;15.4;5.2;;3.3;0.8;0.3;0.4;218.5;142.3;49.8;24.6;;1.8
1;1999 1 april;1821.0;1240.6;498.4;0.0;360.2;160.0;0.0;74.7;47.9;0.0;28.2;19.6;19.5;0.0;9.1;7.0;7.3;6.3;1.6;0.9;361.0;86.8;85.8;59.3;50.8;34.2;18.7;15.5;5.2;;3.3;0.8;0.2;0.4;219.4;140.9;49.3;24.7;2.5;2.0
2;1999 1 juli;1821.0;1241.4;498.1;0.0;361.0;160.8;0.0;74.7;47.7;0.0;28.1;19.5;19.5;0.0;9.0;7.1;7.3;6.3;1.6;0.9;362.1;87.3;85.8;59.6;51.1;34.2;18.6;15.4;5.3;;3.3;0.8;0.2;0.4;217.5;140.7;49.3;23.0;2.5;2.0
3;1999 1 oktober;1812.0;1237.2;491.2;0.0;360.9;160.0;0.0;74.7;51.4;0.0;28.1;19.3;19.5;0.0;9.0;7.2;7.2;6.3;1.6;0.9;357.1;87.9;85.7;59.7;51.0;34.2;18.6;15.3;;;3.3;0.8;0.2;0.4;217.7;140.7;49.3;23.1;2.6;2.0
4;2000 1 januari;1796.9;1233.9;490.3;0.0;360.0;159.6;0.0;73.3;51.4;0.0;28.1;19.1;19.8;0.0;9.1;7.3;7.1;6.3;1.6;0.9;356.1;87.9;85.9;57.8;51.4;34.4;18.6;15.4;;;3.3;0.8;0.2;0.4;206.9;151.4;51.0;;2.6;2.0
5;2000 1 april;1795.2;1231.6;488.7;0.0;360.1;158.9;0.0;73.5;51.2;0.0;28.2;18.9;19.9;0.0;9.2;7.4;7.0;6.3;1.5;0.9;357.0;87.7;85.8;58.9;51.4;34.4;18.8;15.1;;;3.4;0.8;0.2;0.4;206.7;151.1;51.0;;2.6;2.0
6;2000 1 juli;1809.7;1236.3;495.0;0.0;359.3;158.2;0.0;73.6;51.1;0.0;28.3;18.6;19.9;0.0;9.3;7.4;6.9;6.3;1.6;0.9;355.6;87.8;85.6;57.7;51.4;34.4;18.9;15.0;;;3.5;0.8;0.2;0.4;217.8;159.1;54.0;;2.6;2.0
7;2000 1 oktober;1806.8;1234.2;494.7;0.0;358.6;157.6;0.0;73.3;51.1;0.0;28.2;18.5;20.0;0.0;9.3;7.5;6.9;6.3;1.5;0.9;354.5;87.5;85.3;57.4;51.3;34.4;19.0;14.8;;;3.5;0.8;0.2;0.4;218.1;159.4;54.0;;2.6;2.0
8;2001 1 januari;1799.7;1226.6;488.8;0.0;357.9;157.6;0.0;72.0;50.8;0.0;28.2;18.5;20.3;0.0;9.6;7.5;6.8;6.3;1.5;0.9;354.3;88.1;84.9;56.8;51.6;34.2;19.2;14.6;;;3.6;0.8;0.2;0.3;218.9;160.2;54.0;;2.6;2.0
9;2001 1 april;1803.6;1229.1;490.4;0.0;357.2;158.2;0.0;72.7;50.6;0.0;28.5;18.4;20.5;0.0;9.7;7.6;6.7;6.3;1.5;0.9;355.5;88.6;84.6;56.9;52.0;34.3;19.4;14.4;;;4.1;0.8;0.2;0.3;218.9;160.2;54.0;;2.6;2.0
10;2001 1 juli;1804.0;1229.4;490.7;0.0;358.2;157.9;0.0;72.9;50.2;0.0;28.5;18.3;20.6;0.0;9.7;7.5;6.6;6.3;1.5;0.9;355.9;88.8;84.4;56.8;52.3;34.4;19.5;14.2;;;4.3;0.8;0.2;0.3;218.7;160.0;54.0;;2.6;2.0
11;2001 1 oktober;1800.5;1226.0;488.3;0.0;358.2;156.8;0.0;72.9;50.0;0.0;28.3;18.4;20.7;0.0;9.8;7.5;6.5;6.3;1.5;0.9;355.9;88.9;84.2;56.7;52.3;34.5;19.7;14.0;;;4.3;0.8;0.2;0.3;218.7;160.0;54.0;;2.7;2.0
12;2002 1 januari;1781.3;1230.0;486.5;0.0;361.5;155.0;0.0;72.1;49.7;0.0;28.1;24.1;20.9;0.0;9.8;7.5;6.4;6.2;1.4;0.8;351.4;88.0;84.2;56.3;52.7;34.4;19.9;13.9;;;0.6;0.8;0.2;0.3;199.9;138.0;57.2;;2.7;2.0
13;2002 1 april;1785.7;1231.4;483.6;0.0;363.8;155.7;0.0;72.3;49.8;0.0;28.5;24.5;21.2;0.0;9.9;7.5;6.4;6.2;1.4;0.8;354.4;88.3;84.0;56.2;53.5;34.5;20.1;13.8;;2.0;0.6;0.7;0.2;0.3;199.9;138.0;57.2;;2.7;2.0
14;2002 1 juli;1787.3;1233.4;486.6;0.0;362.9;156.2;0.0;72.3;49.4;0.0;28.3;24.5;21.3;0.0;9.9;7.4;6.3;6.2;1.4;0.8;354.9;88.3;83.8;56.3;53.8;34.6;20.4;13.9;;1.9;0.6;0.7;0.2;0.3;199.0;137.1;57.2;;2.7;2.0
15;2002 1 oktober;1777.5;1226.0;482.8;0.0;362.2;154.6;0.0;72.2;48.8;0.0;27.8;24.3;21.3;0.0;9.9;7.4;6.3;6.1;1.4;0.8;355.2;88.3;83.6;56.4;53.8;34.6;20.6;14.1;;1.9;0.6;0.7;0.2;0.3;196.3;134.4;57.2;;2.7;2.0
16;2003 1 januari;1750.9;1225.8;481.6;0.0;361.9;156.6;0.0;71.6;48.5;0.0;27.6;18.8;21.5;5.7;10.1;7.4;6.1;6.1;1.5;0.8;355.5;88.6;83.2;56.2;54.0;34.6;21.0;14.0;;1.8;0.6;0.7;0.4;0.3;169.7;105.6;58.6;;2.8;2.7
17;2003 1 april;1748.9;1224.6;475.9;4.1;362.2;153.1;2.4;72.3;41.2;6.8;27.6;20.1;21.6;5.8;10.0;7.3;6.1;6.0;1.5;0.8;355.5;88.4;83.1;56.0;54.0;34.9;21.4;14.0;;1.7;0.6;0.7;0.4;0.3;168.8;105.4;57.9;;2.8;2.7
18;2003 1 juli;1744.0;1220.4;472.6;4.3;361.7;152.2;2.5;72.6;41.8;5.4;27.6;20.4;21.9;5.8;9.9;7.3;6.1;6.0;1.4;0.8;354.8;88.5;83.0;56.0;53.0;35.2;21.5;14.0;;1.7;0.6;0.7;0.4;0.3;168.8;105.3;57.9;;2.8;2.8
19;2003 1 oktober;1744.1;1221.0;470.7;5.2;363.6;151.1;2.6;73.2;41.9;5.5;27.5;20.6;22.0;5.9;9.9;7.3;5.9;5.9;1.5;0.8;354.3;88.4;82.8;55.9;52.9;35.4;21.5;13.8;;1.7;0.6;0.7;0.4;0.3;168.8;105.3;57.9;;2.8;2.8
