ID;SBI;Grootteklasse;TotaleBedrijfslasten_1;Personeelskosten_2;Afschrijvingen_3;Huisvestingskosten_4;KostenVervoermiddelenExternTransport_5;AndereBedrijfslasten_6;Bedrijfsresultaat_7;FinancieelResultaat_8;ResultaatVoorBelasting_9;Bedrijfsopbrengsten_10;WerkzamePersonen_11;OpbrengstPerFullTimeWerkzamePersoon_12;LoonkostenPerFullTimeWerknemer_13
0;60211 Openbaar personenvervoer;alle bedrijven;92.7;52.4;10.3;2.3;14.6;13.2;7.3;-3.7;3.9;79265.0;1160.0;73.0;36.0
1;60211 Openbaar personenvervoer;tot 10 werknemers;;;;;;;;;;;;;
2;60211 Openbaar personenvervoer;10 en meer werknemers;;;;;;;;;;;;;
3;60211 Openbaar personenvervoer;10 tot 100 werknemers;;;;;;;;;;;;;
4;60211 Openbaar personenvervoer;100 en meer werknemers;;;;;;;;;;;;;
5;60212 Geregeld besloten personenvervoer;alle bedrijven;95.5;47.6;10.4;2.0;25.9;9.6;4.5;-2.1;3.8;1129.0;27.0;53.0;25.0
6;60212 Geregeld besloten personenvervoer;tot 10 werknemers;;;;;;;;;;;;;
7;60212 Geregeld besloten personenvervoer;10 en meer werknemers;;;;;;;;;;;;;
8;60212 Geregeld besloten personenvervoer;10 tot 100 werknemers;;;;;;;;;;;;;
9;60212 Geregeld besloten personenvervoer;100 en meer werknemers;;;;;;;;;;;;;
10;6023 Ongeregeld besloten personenvervoer;alle bedrijven;95.8;44.5;11.5;2.2;28.7;8.9;4.2;-2.5;3.1;1317.0;29.0;61.0;27.0
11;6023 Ongeregeld besloten personenvervoer;tot 10 werknemers;;;;;;;;;;;;;
12;6023 Ongeregeld besloten personenvervoer;10 en meer werknemers;;;;;;;;;;;;;
13;6023 Ongeregeld besloten personenvervoer;10 tot 100 werknemers;;;;;;;;;;;;;
14;6023 Ongeregeld besloten personenvervoer;100 en meer werknemers;;;;;;;;;;;;;
15;6022 Taxibedrijven;alle bedrijven;88.2;48.6;9.3;2.0;18.5;9.8;11.8;-1.5;10.5;317.0;14.0;35.0;21.0
16;6022 Taxibedrijven;tot 10 werknemers;68.9;23.9;10.5;1.5;21.7;11.3;31.1;-1.7;29.6;91.0;4.0;32.0;17.0
17;6022 Taxibedrijven;10 en meer werknemers;94.3;56.5;8.9;2.2;17.5;9.3;5.7;-1.5;4.3;1493.0;67.0;36.0;21.0
18;6022 Taxibedrijven;10 tot 100 werknemers;;;;;;;;;;;;;
19;6022 Taxibedrijven;100 en meer werknemers;;;;;;;;;;;;;
20;60241 Verhuisbedrijven;alle bedrijven;87.1;51.5;6.9;5.8;10.3;12.7;12.9;-1.4;12.5;740.0;14.0;60.0;31.0
21;60241 Verhuisbedrijven;tot 10 werknemers;;;;;;;;;;;;;
