ID;Wegbeheerders;LandEnWaterwegen;Perioden;TotaleUitgaven_1;Investeringen_2;Onderhoudskosten_3;Kapitaallasten_4
0;0;Landwegen;1992;3413.0;1335.0;1486.0;592.0
1;0;Landwegen;1993;3531.0;1382.0;1525.0;624.0
2;0;Landwegen;1994;3692.0;1482.0;1611.0;598.0
3;0;Landwegen;1995;3918.0;1597.0;1688.0;634.0
4;0;Landwegen;1996;4085.0;1685.0;1757.0;643.0
5;0;Landwegen;1997;4463.0;1932.0;1892.0;639.0
6;0;Landwegen;1998;5110.0;2479.0;1939.0;691.0
7;0;Landwegen;1999;5238.0;2536.0;2028.0;674.0
8;0;Landwegen;2000;5268.0;2490.0;2109.0;669.0
9;0;Landwegen;2001;5848.0;2858.0;2305.0;685.0
10;0;Waterwegen;1992;367.0;125.0;227.0;15.0
11;0;Waterwegen;1993;394.0;133.0;246.0;15.0
12;0;Waterwegen;1994;405.0;132.0;259.0;15.0
13;0;Waterwegen;1995;423.0;137.0;270.0;15.0
14;0;Waterwegen;1996;422.0;117.0;290.0;16.0
15;0;Waterwegen;1997;482.0;132.0;334.0;16.0
16;0;Waterwegen;1998;541.0;163.0;361.0;17.0
17;0;Waterwegen;1999;523.0;166.0;386.0;16.0
18;0;Waterwegen;2000;577.0;142.0;418.0;18.0
19;0;Waterwegen;2001;597.0;144.0;439.0;14.0
20;1;Landwegen;1992;793.0;379.0;379.0;
21;1;Landwegen;1993;817.0;420.0;413.0;
22;1;Landwegen;1994;913.0;507.0;397.0;
23;1;Landwegen;1995;949.0;533.0;406.0;
24;1;Landwegen;1996;1076.0;633.0;443.0;
25;1;Landwegen;1997;1168.0;673.0;495.0;
26;1;Landwegen;1998;1610.0;1110.0;501.0;
27;1;Landwegen;1999;1548.0;1019.0;529.0;
28;1;Landwegen;2000;1382.0;840.0;542.0;
29;1;Landwegen;2001;1738.0;1092.0;646.0;
30;1;Waterwegen;1992;284.0;110.0;173.0;
31;1;Waterwegen;1993;313.0;116.0;196.0;
32;1;Waterwegen;1994;314.0;113.0;201.0;
33;1;Waterwegen;1995;314.0;106.0;208.0;
34;1;Waterwegen;1996;304.0;92.0;212.0;
35;1;Waterwegen;1997;365.0;110.0;255.0;
36;1;Waterwegen;1998;409.0;133.0;276.0;
37;1;Waterwegen;1999;418.0;128.0;290.0;
38;1;Waterwegen;2000;417.0;102.0;314.0;
39;1;Waterwegen;2001;430.0;99.0;331.0;
40;2;Landwegen;1992;452.0;115.0;138.0;199.0
41;2;Landwegen;1993;492.0;111.0;164.0;217.0
42;2;Landwegen;1994;453.0;109.0;173.0;171.0
43;2;Landwegen;1995;483.0;104.0;179.0;200.0
44;2;Landwegen;1996;479.0;94.0;177.0;207.0
45;2;Landwegen;1997;484.0;123.0;173.0;188.0
46;2;Landwegen;1998;541.0;154.0;186.0;201.0
47;2;Landwegen;1999;562.0;167.0;218.0;178.0
48;2;Landwegen;2000;565.0;166.0;221.0;177.0
49;2;Landwegen;2001;592.0;214.0;223.0;155.0
50;2;Waterwegen;1992;54.0;10.0;36.0;9.0
51;2;Waterwegen;1993;50.0;8.0;34.0;9.0
52;2;Waterwegen;1994;53.0;8.0;36.0;9.0
53;2;Waterwegen;1995;71.0;22.0;40.0;9.0
54;2;Waterwegen;1996;77.0;14.0;54.0;9.0
55;2;Waterwegen;1997;73.0;10.0;54.0;9.0
56;2;Waterwegen;1998;83.0;15.0;59.0;9.0
57;2;Waterwegen;1999;103.0;27.0;68.0;8.0
58;2;Waterwegen;2000;109.0;28.0;72.0;9.0
59;2;Waterwegen;2001;108.0;31.0;73.0;4.0
60;3;Landwegen;1992;2043.0;815.0;873.0;356.0
61;3;Landwegen;1993;2124.0;836.0;913.0;374.0
62;3;Landwegen;1994;2225.0;855.0;976.0;393.0
63;3;Landwegen;1995;2377.0;942.0;1031.0;404.0
64;3;Landwegen;1996;2415.0;927.0;1078.0;410.0
65;3;Landwegen;1997;2686.0;1094.0;1163.0;430.0
66;3;Landwegen;1998;2837.0;1204.0;1184.0;448.0
67;3;Landwegen;1999;3010.0;1338.0;1216.0;457.0
68;3;Landwegen;2000;3191.0;1470.0;1268.0;453.0
69;3;Landwegen;2001;3368.0;1539.0;1346.0;483.0
70;3;Waterwegen;1992;26.0;4.0;15.0;6.0
71;3;Waterwegen;1993;28.0;7.0;14.0;6.0
72;3;Waterwegen;1994;34.0;10.0;19.0;5.0
73;3;Waterwegen;1995;34.0;9.0;20.0;5.0
74;3;Waterwegen;1996;38.0;10.0;22.0;6.0
75;3;Waterwegen;1997;42.0;11.0;24.0;7.0
76;3;Waterwegen;1998;44.0;14.0;24.0;7.0
77;3;Waterwegen;1999;43.0;10.0;25.0;7.0
78;3;Waterwegen;2000;46.0;10.0;28.0;8.0
79;3;Waterwegen;2001;50.0;11.0;30.0;9.0
80;4;Landwegen;1992;74.0;20.0;34.0;20.0
81;4;Landwegen;1993;59.0;13.0;28.0;18.0
82;4;Landwegen;1994;54.0;9.0;27.0;19.0
83;4;Landwegen;1995;58.0;9.0;33.0;16.0
84;4;Landwegen;1996;61.0;12.0;33.0;16.0
85;4;Landwegen;1997;59.0;10.0;33.0;16.0
86;4;Landwegen;1998;68.0;9.0;39.0;19.0
87;4;Landwegen;1999;67.0;11.0;38.0;18.0
88;4;Landwegen;2000;74.0;14.0;40.0;20.0
89;4;Landwegen;2001;72.0;12.0;41.0;19.0
90;4;Waterwegen;1992;3.0;1.0;2.0;0.0
91;4;Waterwegen;1993;4.0;2.0;2.0;0.0
92;4;Waterwegen;1994;5.0;2.0;3.0;0.0
93;4;Waterwegen;1995;4.0;1.0;2.0;0.0
94;4;Waterwegen;1996;3.0;0.0;2.0;0.0
95;4;Waterwegen;1997;3.0;0.0;2.0;0.0
96;4;Waterwegen;1998;5.0;0.0;3.0;1.0
97;4;Waterwegen;1999;4.0;0.0;3.0;1.0
98;4;Waterwegen;2000;6.0;1.0;4.0;1.0
