ID;Geslacht;Leeftijdsgroep;Herkomstgroepering;Pleegcarriere;Perioden;AantalVerdachten_1;VerdachtenPer1000Inwoners_2
0;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten;1999;139330;10
1;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten;2000;138110;10
2;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten;2001;149270;11
3;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten;2002;164220;12
4;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten;2003;184020;13
5;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten;2004;199180;14
6;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten;2005;209350;15
7;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten;2006;214320;15
8;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten;2007;216790;15
9;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten;2008;202850;14
10;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten;2009;187780;13
11;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten;2010;167700;12
12;Totaal mannen en vrouwen;12 jaar of ouder;0;First offender;1999;60980;5
13;Totaal mannen en vrouwen;12 jaar of ouder;0;First offender;2000;60080;4
14;Totaal mannen en vrouwen;12 jaar of ouder;0;First offender;2001;65550;5
15;Totaal mannen en vrouwen;12 jaar of ouder;0;First offender;2002;71620;5
16;Totaal mannen en vrouwen;12 jaar of ouder;0;First offender;2003;80290;6
17;Totaal mannen en vrouwen;12 jaar of ouder;0;First offender;2004;85830;6
18;Totaal mannen en vrouwen;12 jaar of ouder;0;First offender;2005;89540;6
19;Totaal mannen en vrouwen;12 jaar of ouder;0;First offender;2006;89700;6
20;Totaal mannen en vrouwen;12 jaar of ouder;0;First offender;2007;89390;6
21;Totaal mannen en vrouwen;12 jaar of ouder;0;First offender;2008;80880;6
22;Totaal mannen en vrouwen;12 jaar of ouder;0;First offender;2009;70890;5
23;Totaal mannen en vrouwen;12 jaar of ouder;0;First offender;2010;63060;4
24;Totaal mannen en vrouwen;12 jaar of ouder;0;Meerpleger;1999;58440;4
25;Totaal mannen en vrouwen;12 jaar of ouder;0;Meerpleger;2000;58510;4
26;Totaal mannen en vrouwen;12 jaar of ouder;0;Meerpleger;2001;63100;5
27;Totaal mannen en vrouwen;12 jaar of ouder;0;Meerpleger;2002;70630;5
28;Totaal mannen en vrouwen;12 jaar of ouder;0;Meerpleger;2003;80210;6
29;Totaal mannen en vrouwen;12 jaar of ouder;0;Meerpleger;2004;88630;6
30;Totaal mannen en vrouwen;12 jaar of ouder;0;Meerpleger;2005;94420;7
31;Totaal mannen en vrouwen;12 jaar of ouder;0;Meerpleger;2006;98610;7
32;Totaal mannen en vrouwen;12 jaar of ouder;0;Meerpleger;2007;100880;7
33;Totaal mannen en vrouwen;12 jaar of ouder;0;Meerpleger;2008;95490;7
34;Totaal mannen en vrouwen;12 jaar of ouder;0;Meerpleger;2009;90900;6
35;Totaal mannen en vrouwen;12 jaar of ouder;0;Meerpleger;2010;80430;6
36;Totaal mannen en vrouwen;12 jaar of ouder;0;Veelpleger;1999;19900;1
37;Totaal mannen en vrouwen;12 jaar of ouder;0;Veelpleger;2000;19510;1
38;Totaal mannen en vrouwen;12 jaar of ouder;0;Veelpleger;2001;20630;2
39;Totaal mannen en vrouwen;12 jaar of ouder;0;Veelpleger;2002;21980;2
40;Totaal mannen en vrouwen;12 jaar of ouder;0;Veelpleger;2003;23530;2
41;Totaal mannen en vrouwen;12 jaar of ouder;0;Veelpleger;2004;24720;2
42;Totaal mannen en vrouwen;12 jaar of ouder;0;Veelpleger;2005;25390;2
43;Totaal mannen en vrouwen;12 jaar of ouder;0;Veelpleger;2006;26020;2
44;Totaal mannen en vrouwen;12 jaar of ouder;0;Veelpleger;2007;26530;2
45;Totaal mannen en vrouwen;12 jaar of ouder;0;Veelpleger;2008;26480;2
46;Totaal mannen en vrouwen;12 jaar of ouder;0;Veelpleger;2009;25980;2
47;Totaal mannen en vrouwen;12 jaar of ouder;0;Veelpleger;2010;24210;2
48;Totaal mannen en vrouwen;12 jaar of ouder;1;Totaal verdachten;1999;88430;8
49;Totaal mannen en vrouwen;12 jaar of ouder;1;Totaal verdachten;2000;86710;8
50;Totaal mannen en vrouwen;12 jaar of ouder;1;Totaal verdachten;2001;93520;8
51;Totaal mannen en vrouwen;12 jaar of ouder;1;Totaal verdachten;2002;102740;9
52;Totaal mannen en vrouwen;12 jaar of ouder;1;Totaal verdachten;2003;115070;10
53;Totaal mannen en vrouwen;12 jaar of ouder;1;Totaal verdachten;2004;124810;11
54;Totaal mannen en vrouwen;12 jaar of ouder;1;Totaal verdachten;2005;132440;12
55;Totaal mannen en vrouwen;12 jaar of ouder;1;Totaal verdachten;2006;135360;12
56;Totaal mannen en vrouwen;12 jaar of ouder;1;Totaal verdachten;2007;137200;12
57;Totaal mannen en vrouwen;12 jaar of ouder;1;Totaal verdachten;2008;126810;11
58;Totaal mannen en vrouwen;12 jaar of ouder;1;Totaal verdachten;2009;115150;10
59;Totaal mannen en vrouwen;12 jaar of ouder;1;Totaal verdachten;2010;102010;9
60;Totaal mannen en vrouwen;12 jaar of ouder;1;First offender;1999;42410;4
61;Totaal mannen en vrouwen;12 jaar of ouder;1;First offender;2000;40870;4
62;Totaal mannen en vrouwen;12 jaar of ouder;1;First offender;2001;44750;4
63;Totaal mannen en vrouwen;12 jaar of ouder;1;First offender;2002;48780;4
64;Totaal mannen en vrouwen;12 jaar of ouder;1;First offender;2003;54880;5
65;Totaal mannen en vrouwen;12 jaar of ouder;1;First offender;2004;58780;5
66;Totaal mannen en vrouwen;12 jaar of ouder;1;First offender;2005;61810;5
