ID;ArbeidspositieEindePeriode;Persoonskenmerken;Perioden;BeginPeriodeTotaal15Tot65Jaar_1;BeginPeriodeWerkzameBeroepsbevolking_2;BeginPeriodeWerklozeBeroepsbevolking_3;BeginPeriodeNietBeroepsbevolking_4
0;1;3;2003;10903.0;6969.0;396.0;3537.0
1;1;3;2004;10925.0;6941.0;476.0;3508.0
2;1;3;2005;10940.0;6973.0;482.0;3485.0
3;1;3;2006;10951.0;7097.0;410.0;3444.0
4;1;3;2007;10968.0;7309.0;344.0;3315.0
5;1;3;2008;10997.0;7501.0;300.0;3196.0
6;1;3;2009;11013.0;7469.0;377.0;3167.0
7;1;3;2010;11017.0;7391.0;426.0;3200.0
8;1;3;2011;10994.0;7392.0;419.0;3183.0
9;1;3;2012;10993.0;7387.0;507.0;3099.0
10;1;1;2003;5512.0;4138.0;205.0;1168.0
11;1;1;2004;5516.0;4095.0;235.0;1186.0
12;1;1;2005;5517.0;4078.0;230.0;1210.0
13;1;1;2006;5517.0;4121.0;186.0;1209.0
14;1;1;2007;5521.0;4192.0;164.0;1165.0
15;1;1;2008;5533.0;4285.0;141.0;1107.0
16;1;1;2009;5537.0;4217.0;184.0;1135.0
17;1;1;2010;5533.0;4121.0;214.0;1198.0
18;1;1;2011;5517.0;4125.0;211.0;1180.0
19;1;1;2012;5520.0;4083.0;247.0;1190.0
20;1;2;2003;5391.0;2831.0;191.0;2369.0
21;1;2;2004;5409.0;2846.0;241.0;2322.0
22;1;2;2005;5423.0;2896.0;252.0;2275.0
23;1;2;2006;5434.0;2976.0;224.0;2235.0
24;1;2;2007;5447.0;3117.0;180.0;2150.0
25;1;2;2008;5464.0;3215.0;159.0;2089.0
26;1;2;2009;5476.0;3252.0;193.0;2032.0
27;1;2;2010;5485.0;3270.0;212.0;2002.0
28;1;2;2011;5477.0;3267.0;208.0;2002.0
29;1;2;2012;5474.0;3304.0;260.0;1910.0
30;1;4;2003;1921.0;812.0;88.0;1020.0
31;1;4;2004;1929.0;751.0;115.0;1063.0
32;1;4;2005;1937.0;740.0;102.0;1095.0
33;1;4;2006;1944.0;764.0;85.0;1096.0
34;1;4;2007;1957.0;804.0;74.0;1079.0
35;1;4;2008;1978.0;829.0;69.0;1080.0
36;1;4;2009;1996.0;794.0;103.0;1099.0
37;1;4;2010;2006.0;732.0;110.0;1164.0
38;1;4;2011;2010.0;732.0;97.0;1181.0
39;1;4;2012;2023.0;727.0;120.0;1176.0
40;1;5;2003;4870.0;3860.0;203.0;807.0
41;1;5;2004;4809.0;3798.0;223.0;788.0
42;1;5;2005;4744.0;3782.0;234.0;728.0
43;1;5;2006;4673.0;3787.0;180.0;707.0
44;1;5;2007;4600.0;3813.0;141.0;646.0
45;1;5;2008;4534.0;3850.0;114.0;570.0
46;1;5;2009;4467.0;3764.0;146.0;557.0
47;1;5;2010;4399.0;3686.0;174.0;539.0
48;1;5;2011;4341.0;3618.0;177.0;546.0
49;1;5;2012;4319.0;3575.0;202.0;542.0
50;1;6;2003;4113.0;2297.0;105.0;1710.0
51;1;6;2004;4187.0;2392.0;137.0;1658.0
52;1;6;2005;4260.0;2451.0;146.0;1663.0
53;1;6;2006;4334.0;2546.0;146.0;1642.0
54;1;6;2007;4411.0;2692.0;129.0;1590.0
55;1;6;2008;4484.0;2821.0;117.0;1546.0
56;1;6;2009;4550.0;2910.0;128.0;1511.0
57;1;6;2010;4612.0;2972.0;142.0;1498.0
58;1;6;2011;4642.0;3042.0;145.0;1455.0
59;1;6;2012;4651.0;3086.0;185.0;1380.0
60;1;7;2003;8785.0;5746.0;258.0;2782.0
61;1;7;2004;8774.0;5713.0;315.0;2746.0
62;1;7;2005;8766.0;5739.0;315.0;2712.0
63;1;7;2006;8760.0;5841.0;264.0;2655.0
