ID;LeeftijdMoederOp31December;Perioden;TotaalLevendgeboren_1;k_1eKind_2;k_2eKind_3;k_3eKind_4;k_4eOfVolgendeKind_5;AlleRangnummers_6;k_1eKind_7;k_2eKind_8;k_3eKind_9;k_4eOfVolgendeKind_10
0;Totaal alle leeftijden;2014;174573;81209;63915;21267;8184;1.70658;0.79146;0.62662;0.2088;0.0797
1;Totaal alle leeftijden;2015;177520;82972;65142;21344;8066;1.72517;0.802;0.63539;0.209;0.07878
2;Totaal alle leeftijden;2016;180330;84605;66097;21493;8132;1.7389;0.81;0.64;0.2095;0.0794
3;Totaal alle leeftijden;2017;182530;85974;66690;21688;8178;1.74458;0.815;0.64;0.21;0.07958
4;Totaal alle leeftijden;2018;184531;87287;67210;21745;8282;1.74819;0.82;0.63902;0.20902;0.08015
5;Totaal alle leeftijden;2019;186353;88082;67851;22030;8391;1.75059;0.82072;0.63921;0.21001;0.08066
6;Totaal alle leeftijden;2020;187485;88345;68460;22237;8444;1.74799;0.81754;0.63957;0.21025;0.08063
7;Totaal alle leeftijden;2021;188671;88801;68958;22417;8496;1.74791;0.81753;0.63955;0.21024;0.08059
8;Totaal alle leeftijden;2022;189813;89331;69382;22575;8524;1.74903;0.81919;0.63932;0.21018;0.08034
9;Totaal alle leeftijden;2023;190822;89782;69759;22708;8570;1.75049;0.82094;0.63929;0.21002;0.08024
10;Totaal alle leeftijden;2024;191530;89967;70093;22850;8619;1.7505;0.82066;0.63954;0.21013;0.08017
11;Totaal alle leeftijden;2025;192051;90050;70360;22968;8672;1.75005;0.81998;0.63978;0.21014;0.08015
12;Totaal alle leeftijden;2026;192523;90189;70558;23063;8712;1.75016;0.81998;0.6399;0.21014;0.08015
13;Totaal alle leeftijden;2027;192899;90308;70704;23138;8754;1.75031;0.82014;0.63993;0.21011;0.08013
14;Totaal alle leeftijden;2028;193177;90364;70827;23195;8788;1.75037;0.82019;0.63998;0.21008;0.08013
15;Totaal alle leeftijden;2029;193310;90311;70935;23246;8813;1.7502;0.82002;0.64001;0.21007;0.0801
16;Totaal alle leeftijden;2030;193274;90145;70997;23284;8837;1.75007;0.81993;0.64001;0.21005;0.08008
17;Totaal alle leeftijden;2031;193029;89852;71007;23312;8857;1.75007;0.81998;0.64;0.21004;0.08006
