ID;BedrijfstakkenBranchesSBI2008;Bedrijfsgrootte;Perioden;TotaalUitgavenEigenRD_1;Totaal_2;BrutoLoonkosten_3;OverigeExploitatiekosten_4;Totaal_5;Gebouwen_6;OverigeInvesteringen_7;Totaal_8;Onderzoekers_9;Assistenten_10;OverigPersoneel_11;TotaalVrouwen_12;Onderzoekers_13;Assistenten_14;OverigPersoneel_15;ArbeidsjarenTotaal_16;Onderzoekers_17;Assistenten_18;OverigPersoneel_19;BedrijvenMetEigenRD_20
0;Bedrijven, totaal;Totaal (10 en meer) werkzame personen;2008;5263.0;;;;;;;64343.0;31490.0;21269.0;11585.0;;;;;48019.0;24910.0;16250.0;6859.0;3186.0
1;Bedrijven, totaal;Totaal (10 en meer) werkzame personen;2009;4900.0;4562.0;3283.0;1279.0;320.0;130.0;191.0;52027.0;24212.0;19489.0;8331.0;9037.0;3430.0;3409.0;2199.0;42336.0;20477.0;15983.0;5876.0;2471.0
2;Bedrijven, totaal;Totaal (10 en meer) werkzame personen;2010;5218.0;;;;;;;72799.0;33479.0;24410.0;14910.0;;;;;54139.0;26588.0;19401.0;8150.0;4603.0
3;Bedrijven, totaal;10 tot 50 werkzame personen;2008;390.0;;;;;;;11889.0;6546.0;2824.0;2519.0;;;;;7496.0;4422.0;1829.0;1244.0;1737.0
4;Bedrijven, totaal;10 tot 50 werkzame personen;2009;411.0;386.0;310.0;76.0;26.0;5.0;20.0;8232.0;4430.0;2380.0;1422.0;1214.0;490.0;322.0;397.0;5435.0;3245.0;1461.0;729.0;1199.0
5;Bedrijven, totaal;10 tot 50 werkzame personen;2010;542.0;;;;;;;16530.0;7850.0;3962.0;4717.0;;;;;10467.0;5976.0;2573.0;1917.0;2755.0
6;Bedrijven, totaal;50 tot 250 werkzame personen;2008;862.0;;;;;;;14456.0;6895.0;4647.0;2915.0;;;;;10647.0;5435.0;3391.0;1821.0;1052.0
7;Bedrijven, totaal;50 tot 250 werkzame personen;2009;945.0;882.0;633.0;249.0;62.0;22.0;41.0;13780.0;5875.0;5178.0;2730.0;2329.0;782.0;940.0;610.0;10339.0;4693.0;3961.0;1684.0;948.0
8;Bedrijven, totaal;50 tot 250 werkzame personen;2010;1110.0;;;;;;;19888.0;8234.0;6603.0;5051.0;;;;;13770.0;6317.0;5011.0;2442.0;1392.0
9;Bedrijven, totaal;250 en meer werkzame personen;2008;4012.0;;;;;;;37998.0;18048.0;13798.0;6151.0;;;;;29877.0;15053.0;11029.0;3794.0;396.0
10;Bedrijven, totaal;250 en meer werkzame personen;2009;3543.0;3294.0;2340.0;954.0;232.0;103.0;130.0;30016.0;13906.0;11931.0;4179.0;5494.0;2158.0;2147.0;1192.0;26562.0;12539.0;10561.0;3463.0;324.0
11;Bedrijven, totaal;250 en meer werkzame personen;2010;3566.0;;;;;;;36380.0;17395.0;13844.0;5141.0;;;;;29903.0;14295.0;11817.0;3791.0;456.0
12;C Industrie;Totaal (10 en meer) werkzame personen;2008;3758.0;;;;;;;39420.0;18018.0;14824.0;6579.0;;;;;31760.0;15024.0;12346.0;4391.0;1645.0
13;C Industrie;Totaal (10 en meer) werkzame personen;2009;3555.0;3315.0;2355.0;960.0;240.0;103.0;137.0;33604.0;14132.0;14371.0;5104.0;5446.0;2178.0;2119.0;1151.0;28590.0;12607.0;12443.0;3539.0;1367.0
14;C Industrie;Totaal (10 en meer) werkzame personen;2010;3541.0;;;;;;;39996.0;17089.0;15183.0;7724.0;;;;;31522.0;14651.0;12589.0;4282.0;1907.0
15;C Industrie;10 tot 50 werkzame personen;2008;108.0;;;;;;;4412.0;2141.0;1147.0;1124.0;;;;;2289.0;1298.0;589.0;401.0;687.0
16;C Industrie;10 tot 50 werkzame personen;2009;134.0;123.0;100.0;23.0;11.0;2.0;9.0;3208.0;1531.0;1114.0;562.0;305.0;113.0;118.0;69.0;1978.0;1072.0;645.0;261.0;508.0
17;C Industrie;10 tot 50 werkzame personen;2010;161.0;;;;;;;5163.0;1836.0;1408.0;1919.0;;;;;2823.0;1384.0;875.0;565.0;850.0
18;C Industrie;50 tot 250 werkzame personen;2008;424.0;;;;;;;7612.0;3183.0;2663.0;1766.0;;;;;5564.0;2634.0;1894.0;1037.0;705.0
19;C Industrie;50 tot 250 werkzame personen;2009;454.0;425.0;311.0;114.0;29.0;8.0;20.0;6897.0;2792.0;2492.0;1615.0;816.0;335.0;276.0;208.0;5099.0;2355.0;1911.0;832.0;634.0
20;C Industrie;50 tot 250 werkzame personen;2010;431.0;;;;;;;8370.0;3143.0;3119.0;2108.0;;;;;5844.0;2624.0;2311.0;909.0;797.0
21;C Industrie;250 en meer werkzame personen;2008;3226.0;;;;;;;27396.0;12694.0;11014.0;3688.0;;;;;23907.0;11092.0;9862.0;2953.0;252.0
22;C Industrie;250 en meer werkzame personen;2009;2967.0;2766.0;1944.0;822.0;200.0;92.0;108.0;23500.0;9808.0;10765.0;2926.0;4326.0;1730.0;1724.0;874.0;21513.0;9180.0;9887.0;2446.0;225.0
