ID;NederlandseEconomie;Energiedragers;Perioden;Winning_1;IntermediairEnHuishoudelijkVerbruik_2;Invoer_3;Productie_4;NettoEnergieverbruik_5;Uitvoer_6
0;Nederlandse economie totaal;Totaal energiedragers;2000;;6990.2;5274.2;5664.2;3641.6;3939.1
1;Nederlandse economie totaal;Totaal energiedragers;2001;;7101.7;5652.2;5840.9;3735.4;4471.6
2;Nederlandse economie totaal;Totaal energiedragers;2002;;6769.7;5326.8;5694.2;3504.7;4371.1
3;Nederlandse economie totaal;Totaal energiedragers;2003;;7043.6;5561.9;5739.1;3653.8;4333.5
4;Nederlandse economie totaal;Totaal energiedragers;2004;;7249.3;5828.7;6301.4;3679.4;4932.2
5;Nederlandse economie totaal;Totaal energiedragers;2005;;7284.9;5779.5;6132.4;3640.8;4672.5
6;Nederlandse economie totaal;Totaal energiedragers;2006;;7147.1;6092.1;6023.5;3566.8;5053.7
7;Nederlandse economie totaal;Totaal energiedragers;2007;;7117.6;5927.7;5978.8;3569.3;4898.0
8;Nederlandse economie totaal;Totaal energiedragers;2008;2691.3;7058.0;6047.4;6216.3;3533.6;5199.6
9;Nederlandse economie totaal;Totaal energiedragers;2009;2479.4;7001.0;6151.8;6008.7;3472.2;5257.8
10;Nederlandse economie totaal;Totaal energiedragers;2010;2818.5;7466.2;6456.2;6612.5;3672.7;5736.8
11;Nederlandse economie totaal;Totaal energiedragers;2011;2614.2;7139.2;6527.1;6280.1;3473.8;5825.4
12;Nederlandse economie totaal;Totaal energiedragers;2012;2579.7;7275.7;6918.3;6344.0;3512.0;6102.7
13;Nederlandse economie totaal;Totaal energiedragers;2013;2728.6;7199.9;6859.1;6467.6;3461.4;6315.2
14;Nederlandse economie totaal;Totaal energiedragers;2014;2309.0;7169.2;6808.3;6152.7;3326.1;5969.2
15;Nederlandse economie totaal;Totaal energiedragers;2015;1792.3;7506.2;7888.4;5885.2;3430.0;6318.4
16;Nederlandse economie totaal;Totaal energiedragers;2016;1716.9;7722.8;8204.0;5999.4;3456.1;6737.7
17;Nederlandse economie totaal;Totaal energiedragers;2017;1497.8;7784.7;8578.4;5836.5;3461.7;6909.8
18;Nederlandse economie totaal;Totaal energiedragers;2018;1314.5;8033.1;8719.0;5955.4;3402.7;6789.6
19;Nederlandse economie totaal;Totaal energiedragers;2019;1152.4;8274.4;8368.3;6108.5;3329.5;6300.1
20;Nederlandse economie totaal;Totaal energiedragers;2020;899.7;7419.2;7659.3;5153.2;3180.2;5549.8
21;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2000;2290.5;;;;;
22;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2001;2450.2;;;;;
23;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2002;2404.0;;;;;
24;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2003;2319.4;;;;;
25;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2004;2703.7;;;;;
26;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2005;2454.8;;;;;
27;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2006;2407.0;;;;;
28;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2007;2392.2;;;;;
29;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2008;2648.8;;;;;
30;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2009;2432.8;;;;;
31;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2010;2771.9;;;;;
32;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2011;2566.7;;;;;
33;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2012;2527.3;;;;;
34;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2013;2673.5;;;;;
35;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2014;2257.4;;;;;
36;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2015;1730.8;;;;;
37;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2016;1649.9;;;;;
38;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2017;1418.4;;;;;
39;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2018;1212.4;;;;;
40;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2019;1041.0;;;;;
41;Nederlandse economie totaal;Inputs fossiele niet- hernieuw.  Energie;2020;759.9;;;;;
42;Nederlandse economie totaal;Kernenergie;2000;;42.4;42.4;0.0;;0.0
43;Nederlandse economie totaal;Kernenergie;2001;;42.9;42.9;0.0;;0.0
44;Nederlandse economie totaal;Kernenergie;2002;;42.3;42.3;0.0;;0.0
45;Nederlandse economie totaal;Kernenergie;2003;;43.4;43.4;0.0;;0.0
46;Nederlandse economie totaal;Kernenergie;2004;;41.3;41.3;0.0;;0.0
47;Nederlandse economie totaal;Kernenergie;2005;;43.2;43.2;0.0;;0.0
48;Nederlandse economie totaal;Kernenergie;2006;;37.5;37.5;0.0;;0.0
49;Nederlandse economie totaal;Kernenergie;2007;;45.4;45.4;0.0;;0.0
50;Nederlandse economie totaal;Kernenergie;2008;;45.0;45.0;0.0;;0.0
51;Nederlandse economie totaal;Kernenergie;2009;;45.9;45.9;0.0;;0.0
52;Nederlandse economie totaal;Kernenergie;2010;;42.9;42.9;0.0;;0.0
53;Nederlandse economie totaal;Kernenergie;2011;;44.7;44.7;0.0;;0.0
54;Nederlandse economie totaal;Kernenergie;2012;;42.3;42.3;0.0;;0.0
55;Nederlandse economie totaal;Kernenergie;2013;;31.2;31.2;0.0;;0.0
56;Nederlandse economie totaal;Kernenergie;2014;;44.2;44.2;0.0;;0.0
57;Nederlandse economie totaal;Kernenergie;2015;;44.0;44.0;0.0;;0.0
58;Nederlandse economie totaal;Kernenergie;2016;;42.8;42.8;0.0;;0.0
59;Nederlandse economie totaal;Kernenergie;2017;;36.7;36.7;0.0;;0.0
60;Nederlandse economie totaal;Kernenergie;2018;;38.0;38.0;0.0;;0.0
61;Nederlandse economie totaal;Kernenergie;2019;;42.2;42.2;0.0;;0.0
62;Nederlandse economie totaal;Kernenergie;2020;;44.1;44.1;0.0;;0.0
63;Nederlandse economie totaal;Waterkracht;2000;0.5;;;;;
64;Nederlandse economie totaal;Waterkracht;2001;0.4;;;;;
65;Nederlandse economie totaal;Waterkracht;2002;0.4;;;;;
66;Nederlandse economie totaal;Waterkracht;2003;0.3;;;;;
67;Nederlandse economie totaal;Waterkracht;2004;0.3;;;;;
68;Nederlandse economie totaal;Waterkracht;2005;0.3;;;;;
69;Nederlandse economie totaal;Waterkracht;2006;0.4;;;;;
70;Nederlandse economie totaal;Waterkracht;2007;0.4;;;;;
71;Nederlandse economie totaal;Waterkracht;2008;0.4;;;;;
72;Nederlandse economie totaal;Waterkracht;2009;0.4;;;;;
73;Nederlandse economie totaal;Waterkracht;2010;0.4;;;;;
74;Nederlandse economie totaal;Waterkracht;2011;0.2;;;;;
75;Nederlandse economie totaal;Waterkracht;2012;0.4;;;;;
76;Nederlandse economie totaal;Waterkracht;2013;0.4;;;;;
77;Nederlandse economie totaal;Waterkracht;2014;0.4;;;;;
78;Nederlandse economie totaal;Waterkracht;2015;0.3;;;;;
79;Nederlandse economie totaal;Waterkracht;2016;0.4;;;;;
80;Nederlandse economie totaal;Waterkracht;2017;0.2;;;;;
81;Nederlandse economie totaal;Waterkracht;2018;0.3;;;;;
82;Nederlandse economie totaal;Waterkracht;2019;0.3;;;;;
83;Nederlandse economie totaal;Waterkracht;2020;0.2;;;;;
84;Nederlandse economie totaal;Windenergie;2000;3.0;;;;;
85;Nederlandse economie totaal;Windenergie;2001;3.0;;;;;
86;Nederlandse economie totaal;Windenergie;2002;3.4;;;;;
87;Nederlandse economie totaal;Windenergie;2003;4.8;;;;;
88;Nederlandse economie totaal;Windenergie;2004;6.7;;;;;
89;Nederlandse economie totaal;Windenergie;2005;7.4;;;;;
90;Nederlandse economie totaal;Windenergie;2006;9.8;;;;;
91;Nederlandse economie totaal;Windenergie;2007;12.4;;;;;
