ID;Leeftijd;Jaar;Jongens_1;Meisjes_2
0;0 dagen;1995/1996;0.0018;0.00134
1;0 dagen;1996/1997;0.0021;0.0017
2;0 dagen;1997/1998;0.00158;0.00124
3;0 dagen;1998/1999;0.0019;0.00152
4;0 dagen;1999/2000;0.00178;0.00169
5;0 dagen;1995/1996-1999/2000;0.00183;0.0015
6;1 dag;1995/1996;0.00071;0.00047
7;1 dag;1996/1997;0.00044;0.00046
8;1 dag;1997/1998;0.00063;0.0004
9;1 dag;1998/1999;0.00048;0.00044
10;1 dag;1999/2000;0.00067;0.00044
11;1 dag;1995/1996-1999/2000;0.00059;0.00044
12;2 dagen;1995/1996;0.0003;0.00027
13;2 dagen;1996/1997;0.00038;0.00033
14;2 dagen;1997/1998;0.00027;0.00028
15;2 dagen;1998/1999;0.0004;0.00021
16;2 dagen;1999/2000;0.00027;0.00028
17;2 dagen;1995/1996-1999/2000;0.00032;0.00027
18;3 dagen;1995/1996;0.00032;0.00027
19;3 dagen;1996/1997;0.00028;0.00028
20;3 dagen;1997/1998;0.00029;0.00024
21;3 dagen;1998/1999;0.00026;0.00016
22;3 dagen;1999/2000;0.00027;0.00019
23;3 dagen;1995/1996-1999/2000;0.00028;0.00023
24;4 dagen;1995/1996;0.00013;0.00014
25;4 dagen;1996/1997;0.00013;0.00014
26;4 dagen;1997/1998;0.00014;0.00015
27;4 dagen;1998/1999;0.00026;0.00014
28;4 dagen;1999/2000;0.00013;0.00019
29;4 dagen;1995/1996-1999/2000;0.00016;0.00015
30;5 dagen;1995/1996;0.00012;9e-05
31;5 dagen;1996/1997;0.00022;0.00014
32;5 dagen;1997/1998;8e-05;0.00014
33;5 dagen;1998/1999;7e-05;9e-05
34;5 dagen;1999/2000;0.00014;0.00015
35;5 dagen;1995/1996-1999/2000;0.00012;0.00012
36;6 dagen;1995/1996;0.00011;5e-05
37;6 dagen;1996/1997;8e-05;0.00015
38;6 dagen;1997/1998;0.00011;0.00012
39;6 dagen;1998/1999;0.0001;4e-05
40;6 dagen;1999/2000;0.00016;8e-05
41;6 dagen;1995/1996-1999/2000;0.00011;9e-05
42;7- 9 dagen;1995/1996;0.00027;0.00018
43;7- 9 dagen;1996/1997;0.00023;0.00024
44;7- 9 dagen;1997/1998;0.00024;0.00028
45;7- 9 dagen;1998/1999;0.00028;0.0002
46;7- 9 dagen;1999/2000;0.0002;0.00016
47;7- 9 dagen;1995/1996-1999/2000;0.00025;0.00021
48;10-13 dagen;1995/1996;0.00023;0.0001
49;10-13 dagen;1996/1997;0.00026;0.00014
50;10-13 dagen;1997/1998;0.00019;0.00019
51;10-13 dagen;1998/1999;0.00021;0.00021
52;10-13 dagen;1999/2000;0.00029;0.00022
53;10-13 dagen;1995/1996-1999/2000;0.00024;0.00017
54;14-16 dagen;1995/1996;0.00011;9e-05
55;14-16 dagen;1996/1997;0.00012;7e-05
56;14-16 dagen;1997/1998;0.00014;0.0001
57;14-16 dagen;1998/1999;0.00014;8e-05
58;14-16 dagen;1999/2000;7e-05;0.00011
59;14-16 dagen;1995/1996-1999/2000;0.00012;9e-05
60;17-20 dagen;1995/1996;0.00023;5e-05
61;17-20 dagen;1996/1997;0.00011;7e-05
62;17-20 dagen;1997/1998;0.00013;6e-05
63;17-20 dagen;1998/1999;0.00014;0.00012
64;17-20 dagen;1999/2000;0.0001;0.00017
65;17-20 dagen;1995/1996-1999/2000;0.00014;0.0001
66;21-27 dagen;1995/1996;0.00015;9e-05
67;21-27 dagen;1996/1997;0.00024;9e-05
68;21-27 dagen;1997/1998;0.00012;0.00014
69;21-27 dagen;1998/1999;0.00013;0.00012
70;21-27 dagen;1999/2000;0.00018;0.00012
71;21-27 dagen;1995/1996-1999/2000;0.00016;0.00011
72;28 dagen tot 2 maanden;1995/1996;0.00041;0.0004
73;28 dagen tot 2 maanden;1996/1997;0.00038;0.00032
74;28 dagen tot 2 maanden;1997/1998;0.00046;0.00032
75;28 dagen tot 2 maanden;1998/1999;0.00041;0.00025
76;28 dagen tot 2 maanden;1999/2000;0.00033;0.00025
77;28 dagen tot 2 maanden;1995/1996-1999/2000;0.0004;0.0003
78;2 maanden;1995/1996;0.00011;0.00014
79;2 maanden;1996/1997;0.00016;0.00016
80;2 maanden;1997/1998;0.00018;0.00013
81;2 maanden;1998/1999;0.0003;0.00015
82;2 maanden;1999/2000;0.00016;0.00026
83;2 maanden;1995/1996-1999/2000;0.00019;0.00017
84;3 maanden;1995/1996;0.0002;0.00023
85;3 maanden;1996/1997;0.00016;0.0001
86;3 maanden;1997/1998;0.00016;0.00015
87;3 maanden;1998/1999;0.00015;0.00017
88;3 maanden;1999/2000;0.00016;0.00013
89;3 maanden;1995/1996-1999/2000;0.00017;0.00016
90;4 maanden;1995/1996;0.0002;0.00013
91;4 maanden;1996/1997;0.00017;0.00012
92;4 maanden;1997/1998;0.00017;0.0001
93;4 maanden;1998/1999;0.00015;0.00012
94;4 maanden;1999/2000;0.0001;0.0001
95;4 maanden;1995/1996-1999/2000;0.00016;0.00011
96;5 maanden;1995/1996;0.00015;0.00012
97;5 maanden;1996/1997;0.00014;7e-05
98;5 maanden;1997/1998;0.00014;0.00013
99;5 maanden;1998/1999;0.00012;0.0001
100;5 maanden;1999/2000;0.00012;9e-05
101;5 maanden;1995/1996-1999/2000;0.00013;0.0001
102;6 maanden;1995/1996;0.00016;3e-05
103;6 maanden;1996/1997;0.00011;0.00015
104;6 maanden;1997/1998;7e-05;6e-05
105;6 maanden;1998/1999;9e-05;7e-05
106;6 maanden;1999/2000;8e-05;8e-05
107;6 maanden;1995/1996-1999/2000;0.0001;8e-05
108;7 maanden;1995/1996;0.00022;6e-05
109;7 maanden;1996/1997;0.00011;9e-05
110;7 maanden;1997/1998;0.00012;6e-05
111;7 maanden;1998/1999;5e-05;5e-05
112;7 maanden;1999/2000;7e-05;8e-05
113;7 maanden;1995/1996-1999/2000;0.00011;7e-05
114;8 maanden;1995/1996;7e-05;0.00011
115;8 maanden;1996/1997;9e-05;0.0001
116;8 maanden;1997/1998;0.0001;3e-05
117;8 maanden;1998/1999;9e-05;6e-05
118;8 maanden;1999/2000;0.00012;7e-05
119;8 maanden;1995/1996-1999/2000;9e-05;7e-05
120;9 maanden;1995/1996;0.00012;8e-05
121;9 maanden;1996/1997;8e-05;7e-05
122;9 maanden;1997/1998;6e-05;7e-05
123;9 maanden;1998/1999;6e-05;5e-05
124;9 maanden;1999/2000;5e-05;5e-05
125;9 maanden;1995/1996-1999/2000;7e-05;6e-05
126;10 maanden;1995/1996;6e-05;3e-05
127;10 maanden;1996/1997;3e-05;3e-05
128;10 maanden;1997/1998;2e-05;3e-05
129;10 maanden;1998/1999;9e-05;0.0
130;10 maanden;1999/2000;4e-05;8e-05
131;10 maanden;1995/1996-1999/2000;5e-05;4e-05
132;11 maanden;1995/1996;6e-05;5e-05
133;11 maanden;1996/1997;6e-05;4e-05
134;11 maanden;1997/1998;5e-05;3e-05
135;11 maanden;1998/1999;5e-05;2e-05
136;11 maanden;1999/2000;6e-05;5e-05
137;11 maanden;1995/1996-1999/2000;6e-05;4e-05
138;12 maanden;1995/1996;4e-05;4e-05
139;12 maanden;1996/1997;7e-05;3e-05
140;12 maanden;1997/1998;5e-05;2e-05
141;12 maanden;1998/1999;4e-05;2e-05
142;12 maanden;1999/2000;5e-05;3e-05
143;12 maanden;1995/1996-1999/2000;5e-05;3e-05
144;13 maanden;1995/1996;6e-05;5e-05
145;13 maanden;1996/1997;7e-05;4e-05
146;13 maanden;1997/1998;5e-05;2e-05
147;13 maanden;1998/1999;6e-05;5e-05
148;13 maanden;1999/2000;6e-05;2e-05
149;13 maanden;1995/1996-1999/2000;6e-05;4e-05
150;14 maanden;1995/1996;3e-05;4e-05
151;14 maanden;1996/1997;3e-05;3e-05
152;14 maanden;1997/1998;3e-05;2e-05
153;14 maanden;1998/1999;5e-05;3e-05
154;14 maanden;1999/2000;3e-05;6e-05
