ID;Leeftijd;Jaar;Jongens_1;Meisjes_2
155;14 maanden;1995/1996-1999/2000;3e-05;4e-05
156;15 maanden;1995/1996;6e-05;3e-05
157;15 maanden;1996/1997;3e-05;3e-05
158;15 maanden;1997/1998;6e-05;4e-05
159;15 maanden;1998/1999;5e-05;5e-05
160;15 maanden;1999/2000;2e-05;5e-05
161;15 maanden;1995/1996-1999/2000;4e-05;4e-05
162;16 maanden;1995/1996;6e-05;0.0001
163;16 maanden;1996/1997;4e-05;3e-05
164;16 maanden;1997/1998;2e-05;4e-05
165;16 maanden;1998/1999;7e-05;3e-05
166;16 maanden;1999/2000;7e-05;7e-05
167;16 maanden;1995/1996-1999/2000;5e-05;6e-05
168;17 maanden;1995/1996;2e-05;3e-05
169;17 maanden;1996/1997;4e-05;1e-05
170;17 maanden;1997/1998;3e-05;2e-05
171;17 maanden;1998/1999;3e-05;0.0
172;17 maanden;1999/2000;1e-05;4e-05
173;17 maanden;1995/1996-1999/2000;3e-05;2e-05
174;18 maanden;1995/1996;2e-05;2e-05
175;18 maanden;1996/1997;3e-05;4e-05
176;18 maanden;1997/1998;2e-05;2e-05
177;18 maanden;1998/1999;3e-05;2e-05
178;18 maanden;1999/2000;6e-05;7e-05
179;18 maanden;1995/1996-1999/2000;3e-05;4e-05
180;19 maanden;1995/1996;1e-05;2e-05
181;19 maanden;1996/1997;2e-05;1e-05
182;19 maanden;1997/1998;4e-05;4e-05
183;19 maanden;1998/1999;2e-05;3e-05
184;19 maanden;1999/2000;2e-05;3e-05
185;19 maanden;1995/1996-1999/2000;2e-05;3e-05
186;20 maanden;1995/1996;6e-05;4e-05
187;20 maanden;1996/1997;7e-05;5e-05
188;20 maanden;1997/1998;6e-05;3e-05
189;20 maanden;1998/1999;5e-05;0.0
190;20 maanden;1999/2000;2e-05;2e-05
191;20 maanden;1995/1996-1999/2000;5e-05;3e-05
192;21 maanden;1995/1996;3e-05;2e-05
193;21 maanden;1996/1997;7e-05;6e-05
194;21 maanden;1997/1998;3e-05;6e-05
195;21 maanden;1998/1999;2e-05;0.0
196;21 maanden;1999/2000;3e-05;4e-05
197;21 maanden;1995/1996-1999/2000;4e-05;4e-05
198;22 maanden;1995/1996;4e-05;2e-05
199;22 maanden;1996/1997;6e-05;6e-05
200;22 maanden;1997/1998;4e-05;2e-05
201;22 maanden;1998/1999;2e-05;2e-05
202;22 maanden;1999/2000;5e-05;0.0
203;22 maanden;1995/1996-1999/2000;4e-05;3e-05
204;23 maanden;1995/1996;4e-05;5e-05
205;23 maanden;1996/1997;5e-05;3e-05
206;23 maanden;1997/1998;4e-05;4e-05
207;23 maanden;1998/1999;3e-05;2e-05
208;23 maanden;1999/2000;8e-05;4e-05
209;23 maanden;1995/1996-1999/2000;5e-05;4e-05
