ID;Geslacht;Leeftijd;OpleidingsrichtingEnSector;Herkomstgroepering;Arbeidsmarktpositie;Perioden;TotaalMboGediplomeerdeSchoolverlaters_1;BolVoltijd_2;Bbl_3;Niveau1_4;Niveau2_5;Niveau3_6;Niveau4_7;BolVoltijdNiveau1_8;BolVoltijdNiveau2_9;BolVoltijdNiveau3_10;BolVoltijdNiveau4_11;BblNiveau1_12;BblNiveau2_13;BblNiveau3_14;BblNiveau4_15
0;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;0;2007/'08;74740;38060.0;36680;5000;20620;21040;28080;1720;7300;8670;20370;3280;13320;12370;7710
1;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;0;2008/'09;76980;36160.0;40820;4700;21640;22230;28410;1300;7150;8010;19710;3410;14490;14220;8710
2;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;1;2007/'08;66330;31470.0;34850;3850;17940;19330;25220;900;5440;7430;17710;2940;12510;11900;7510
3;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;1;2008/'09;66390;28470.0;37920;3500;17940;20110;24840;570;4890;6580;16430;2930;13060;13530;8410
4;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;2;2007/'08;3290;1350.0;1940;1160;1200;430;500;330;470;220;330;830;730;210;170
5;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;2;2008/'09;5290;1820.0;3470;1480;2100;890;810;330;600;320;560;1150;1500;570;250
6;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;3;2007/'08;64550;30980.0;33570;3120;17380;19100;24940;820;5290;7330;17540;2310;12090;11770;7400
7;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;3;2008/'09;63820;27890.0;35940;2590;17040;19700;24490;490;4720;6460;16210;2100;12320;13240;8270
8;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;4;2007/'08;1510;860.0;660;440;640;200;230;240;320;120;170;200;320;90;60
9;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;4;2008/'09;2720;1240.0;1480;570;1200;490;460;250;440;210;340;320;760;280;120
10;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;5;2007/'08;1780;490.0;1290;720;560;220;280;90;140;100;160;640;410;130;110
11;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;5;2008/'09;2570;590.0;1980;910;900;410;350;80;160;120;220;830;740;290;130
12;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;6;2007/'08;6900;5720.0;1170;720;2040;1510;2640;570;1540;1130;2490;140;500;380;150
13;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;6;2008/'09;7870;6450.0;1420;630;2500;1630;3110;470;1820;1220;2930;160;680;410;180
14;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;8;2007/'08;65700;31190.0;34510;3840;17770;19100;24990;900;5400;7360;17540;2940;12380;11750;7450
15;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;8;2008/'09;65680;28100.0;37580;3480;17800;19880;24520;570;4860;6490;16190;2910;12950;13390;8330
16;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;9;2007/'08;19540;4230.0;15310;1500;5910;5810;6320;60;440;940;2790;1440;5470;4870;3530
17;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;9;2008/'09;19630;2920.0;16720;1550;5880;6230;5980;40;340;620;1920;1510;5540;5600;4060
18;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;Werknemers, deeltijd werkzaam;2007/'08;46160;26960.0;19200;2330;11870;13290;18670;840;4960;6420;14750;1490;6910;6880;3920
19;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;Werknemers, deeltijd werkzaam;2008/'09;46050;25180.0;20870;1930;11920;13660;18540;530;4520;5870;14270;1410;7400;7780;4270
20;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;Zelfstandigen, totaal;2007/'08;1120;480.0;640;20;290;380;430;0;50;130;290;20;240;250;140
