ID;HerkomstVanUitvoer;Perioden;WaardeInWerkelijkePrijzen_1;WaardePrijsniveau2005_2;VolumemutatieTOVVoorafgaandJaar_3;Prijsindexcijfers_4;WaardeInWerkelijkePrijzen_5;WaardePrijsniveau2005_6;VolumemutatieTOVVoorafgaandJaar_7;Prijsindexcijfers_8;WaardeInWerkelijkePrijzen_9;WaardePrijsniveau2005_10;VolumemutatieTOVVoorafgaandJaar_11;Prijsindexcijfers_12
0;A-U Alle economische activiteiten;1988;89320.0;113608.0;;78.6;70541.0;88723.0;;79.5;18779.0;24859.0;;75.5
1;A-U Alle economische activiteiten;1989;100123.0;122244.0;7.6;81.9;79155.0;94669.0;6.7;83.6;20968.0;27590.0;11.0;76.0
2;A-U Alle economische activiteiten;1990;105002.0;128871.0;5.4;81.5;82683.0;99630.0;5.2;83.0;22319.0;29275.0;6.1;76.2
3;A-U Alle economische activiteiten;1991;110625.0;134742.0;4.6;82.1;85474.0;103115.0;3.5;82.9;25151.0;31755.0;8.5;79.2
4;A-U Alle economische activiteiten;1992;111163.0;137940.0;2.4;80.6;84409.0;104689.0;1.5;80.6;26754.0;33423.0;5.3;80.0
5;A-U Alle economische activiteiten;1993;111733.0;141418.0;2.5;79.0;83089.0;106548.0;1.8;78.0;28644.0;35052.0;4.9;81.7
6;A-U Alle economische activiteiten;1994;118802.0;148669.0;5.1;79.9;88416.0;112363.0;5.5;78.7;30386.0;36513.0;4.2;83.2
7;A-U Alle economische activiteiten;1995;127784.0;157199.0;5.7;81.3;96707.0;120187.0;7.0;80.5;31077.0;37306.0;2.2;83.3
8;A-U Alle economische activiteiten;1996;133610.0;162591.0;3.4;82.2;100328.0;123222.0;2.5;81.4;33282.0;39636.0;6.2;84.0
9;A-U Alle economische activiteiten;1997;146027.0;173222.0;6.5;84.3;108585.0;129243.0;4.9;84.0;37442.0;44201.0;11.5;84.7
10;A-U Alle economische activiteiten;1998;150355.0;180216.0;4.0;83.4;110116.0;133413.0;3.2;82.5;40239.0;47026.0;6.4;85.6
11;A-U Alle economische activiteiten;1999;156805.0;188490.0;4.6;83.2;112989.0;138119.0;3.5;81.8;43816.0;50554.0;7.5;86.7
12;A-U Alle economische activiteiten;2000;183774.0;202481.0;7.4;90.8;134250.0;147183.0;6.6;91.2;49524.0;55427.0;9.6;89.3
13;A-U Alle economische activiteiten;2001;187933.0;202671.0;0.1;92.7;134766.0;145213.0;-1.3;92.8;53167.0;57632.0;4.0;92.3
14;A-U Alle economische activiteiten;2002;189852.0;205390.0;1.3;92.4;135356.0;148265.0;2.1;91.3;54496.0;57294.0;-0.6;95.1
15;A-U Alle economische activiteiten;2003;187814.0;202005.0;-1.6;93.0;132206.0;144648.0;-2.4;91.4;55608.0;57476.0;0.3;96.7
16;A-U Alle economische activiteiten;2004;199920.0;211680.0;4.8;94.4;141449.0;151819.0;5.0;93.2;58471.0;59999.0;4.4;97.5
17;A-U Alle economische activiteiten;2005;216854.0;216854.0;2.4;100.0;152300.0;152300.0;0.3;100.0;64554.0;64554.0;7.6;100.0
18;A-U Alle economische activiteiten;2006;233612.0;224077.0;3.3;104.3;167912.0;158439.0;4.0;106.0;65700.0;65638.0;1.7;100.1
19;A-U Alle economische activiteiten;2007;248722.0;234180.0;4.5;106.2;179872.0;165415.0;4.4;108.7;68850.0;68775.0;4.8;100.1
20;A-U Alle economische activiteiten;2008;266569.0;234760.0;0.2;113.5;189098.0;161842.0;-2.2;116.8;77471.0;73271.0;6.5;105.7
21;A-U Alle economische activiteiten;2009;228386.0;216594.0;-7.7;105.4;152793.0;147958.0;-8.6;103.3;75593.0;69104.0;-5.7;109.4
22;A-U Alle economische activiteiten;2010;259638.0;231954.0;7.1;111.9;180157.0;161059.0;8.9;111.9;79481.0;71543.0;3.5;111.1
23;A-U Alle economische activiteiten;2011;284793.0;236279.0;1.9;120.5;202954.0;164681.0;2.2;123.2;81839.0;72254.0;1.0;113.3
24;A-U Alle economische activiteiten;2012;293616.0;238338.0;0.9;123.2;211557.0;166073.0;0.8;127.4;82059.0;72930.0;0.9;112.5
25;A Landbouw, bosbouw en visserij;1988;6331.0;6723.0;;94.2;6326.0;6720.0;;94.1;5.0;3.0;;
26;A Landbouw, bosbouw en visserij;1989;6936.0;7313.0;8.8;94.8;6935.0;7310.0;8.8;94.9;1.0;3.0;;
27;A Landbouw, bosbouw en visserij;1990;7425.0;7964.0;8.9;93.2;7422.0;7959.0;8.9;93.3;3.0;9.0;;
28;A Landbouw, bosbouw en visserij;1991;8111.0;8636.0;8.4;93.9;8109.0;8632.0;8.5;93.9;2.0;6.0;;
29;A Landbouw, bosbouw en visserij;1992;7925.0;8896.0;3.0;89.1;7923.0;8891.0;3.0;89.1;2.0;9.0;;
30;A Landbouw, bosbouw en visserij;1993;7631.0;8850.0;-0.5;86.2;7629.0;8846.0;-0.5;86.2;2.0;5.0;;
31;A Landbouw, bosbouw en visserij;1994;8340.0;9466.0;7.0;88.1;8337.0;9460.0;6.9;88.1;3.0;7.0;;
32;A Landbouw, bosbouw en visserij;1995;8999.0;9959.0;5.2;90.4;8997.0;9955.0;5.2;90.4;2.0;5.0;;
33;A Landbouw, bosbouw en visserij;1996;9147.0;9824.0;-1.4;93.1;9145.0;9820.0;-1.4;93.1;2.0;5.0;;
34;A Landbouw, bosbouw en visserij;1997;9172.0;9667.0;-1.6;94.9;9169.0;9663.0;-1.6;94.9;3.0;5.0;;
35;A Landbouw, bosbouw en visserij;1998;9618.0;9775.0;1.1;98.4;9615.0;9772.0;1.1;98.4;3.0;3.0;;
36;A Landbouw, bosbouw en visserij;1999;9838.0;10431.0;6.7;94.3;9836.0;10428.0;6.7;94.3;2.0;2.0;;
37;A Landbouw, bosbouw en visserij;2000;10753.0;10761.0;3.2;99.9;10751.0;10759.0;3.2;99.9;2.0;2.0;;
38;A Landbouw, bosbouw en visserij;2001;11106.0;10646.0;-1.1;104.3;11104.0;10644.0;-1.1;104.3;2.0;2.0;;
39;A Landbouw, bosbouw en visserij;2002;11798.0;11228.0;5.5;105.1;11795.0;11225.0;5.5;105.1;3.0;3.0;;
40;A Landbouw, bosbouw en visserij;2003;11660.0;11102.0;-1.1;105.0;11657.0;11098.0;-1.1;105.0;3.0;3.0;;
41;A Landbouw, bosbouw en visserij;2004;11733.0;11886.0;7.1;98.7;11728.0;11881.0;7.1;98.7;5.0;5.0;;
42;A Landbouw, bosbouw en visserij;2005;12038.0;12038.0;1.3;100.0;12033.0;12033.0;1.3;100.0;5.0;5.0;;
43;A Landbouw, bosbouw en visserij;2006;12914.0;12300.0;2.2;105.0;12909.0;12295.0;2.2;105.0;5.0;5.0;;
44;A Landbouw, bosbouw en visserij;2007;13552.0;12449.0;1.2;108.9;13547.0;12442.0;1.2;108.9;5.0;7.0;;
45;A Landbouw, bosbouw en visserij;2008;13237.0;12325.0;-1.0;107.4;13232.0;12319.0;-1.0;107.4;5.0;7.0;;
46;A Landbouw, bosbouw en visserij;2009;12719.0;12776.0;3.7;99.6;12713.0;12768.0;3.7;99.6;6.0;8.0;;
47;A Landbouw, bosbouw en visserij;2010;13805.0;13021.0;1.9;106.0;13798.0;13012.0;1.9;106.0;7.0;10.0;;
48;A Landbouw, bosbouw en visserij;2011;13807.0;12804.0;-1.7;107.8;13797.0;12794.0;-1.7;107.8;10.0;13.0;;
49;A Landbouw, bosbouw en visserij;2012;14636.0;12902.0;0.8;113.4;14626.0;12890.0;0.8;113.5;10.0;14.0;;
50;01 Landbouw;1988;6084.0;6443.0;;94.4;6081.0;6442.0;;94.4;3.0;3.0;;
51;01 Landbouw;1989;6648.0;7012.0;8.8;94.8;6648.0;7010.0;8.8;94.8;0.0;0.0;;
52;01 Landbouw;1990;7130.0;7640.0;9.0;93.3;7130.0;7638.0;9.0;93.3;0.0;0.0;;
53;01 Landbouw;1991;7772.0;8270.0;8.2;94.0;7772.0;8268.0;8.2;94.0;0.0;0.0;;
54;01 Landbouw;1992;7611.0;8564.0;3.6;88.9;7611.0;8562.0;3.6;88.9;0.0;0.0;;
55;01 Landbouw;1993;7326.0;8531.0;-0.4;85.9;7326.0;8529.0;-0.4;85.9;0.0;0.0;;
56;01 Landbouw;1994;7995.0;9074.0;6.4;88.1;7994.0;9071.0;6.3;88.1;1.0;1.0;;
57;01 Landbouw;1995;8617.0;9531.0;5.0;90.4;8617.0;9529.0;5.1;90.4;0.0;0.0;;
58;01 Landbouw;1996;8781.0;9425.0;-1.1;93.2;8781.0;9423.0;-1.1;93.2;0.0;0.0;;
59;01 Landbouw;1997;8802.0;9296.0;-1.4;94.7;8801.0;9294.0;-1.4;94.7;1.0;1.0;;
60;01 Landbouw;1998;9232.0;9388.0;1.0;98.3;9231.0;9387.0;1.0;98.3;1.0;1.0;;
61;01 Landbouw;1999;9426.0;10015.0;6.7;94.1;9426.0;10014.0;6.7;94.1;0.0;0.0;;
62;01 Landbouw;2000;10325.0;10354.0;3.4;99.7;10325.0;10353.0;3.4;99.7;0.0;0.0;;
63;01 Landbouw;2001;10642.0;10215.0;-1.3;104.2;10642.0;10215.0;-1.3;104.2;0.0;0.0;;
64;01 Landbouw;2002;11308.0;10784.0;5.6;104.9;11307.0;10783.0;5.6;104.9;1.0;1.0;;
65;01 Landbouw;2003;11184.0;10646.0;-1.3;105.1;11183.0;10645.0;-1.3;105.1;1.0;1.0;;
66;01 Landbouw;2004;11287.0;11434.0;7.4;98.7;11284.0;11431.0;7.4;98.7;3.0;3.0;;
67;01 Landbouw;2005;11572.0;11572.0;1.2;100.0;11569.0;11569.0;1.2;100.0;3.0;3.0;;
68;01 Landbouw;2006;12449.0;11873.0;2.6;104.9;12446.0;11870.0;2.6;104.9;3.0;3.0;;
69;01 Landbouw;2007;13053.0;11976.0;0.9;109.0;13050.0;11972.0;0.9;109.0;3.0;3.0;;
70;01 Landbouw;2008;12765.0;11871.0;-0.9;107.5;12762.0;11867.0;-0.9;107.5;3.0;3.0;;
71;01 Landbouw;2009;12330.0;12365.0;4.2;99.7;12326.0;12360.0;4.2;99.7;4.0;4.0;;
72;01 Landbouw;2010;13367.0;12577.0;1.7;106.3;13362.0;12571.0;1.7;106.3;5.0;5.0;;
73;01 Landbouw;2011;13358.0;12396.0;-1.4;107.8;13350.0;12388.0;-1.5;107.8;8.0;8.0;;
74;01 Landbouw;2012;14158.0;12489.0;0.7;113.4;14150.0;12480.0;0.7;113.4;8.0;8.0;;
75;02 Bosbouw;1988;3.0;3.0;;;3.0;3.0;;;;;;
76;02 Bosbouw;1989;3.0;3.0;;;3.0;3.0;;;;;;
77;02 Bosbouw;1990;3.0;3.0;;;3.0;3.0;;;;;;
78;02 Bosbouw;1991;4.0;4.0;;;4.0;4.0;;;;;;
79;02 Bosbouw;1992;4.0;4.0;;;4.0;4.0;;;;;;
80;02 Bosbouw;1993;2.0;2.0;;;2.0;2.0;;;;;;
81;02 Bosbouw;1994;3.0;3.0;;;3.0;3.0;;;;;;
82;02 Bosbouw;1995;3.0;3.0;;;3.0;3.0;;;;;;
83;02 Bosbouw;1996;4.0;4.0;;;4.0;4.0;;;;;;
84;02 Bosbouw;1997;4.0;4.0;;;4.0;4.0;;;;;;
85;02 Bosbouw;1998;3.0;3.0;;;3.0;3.0;;;;;;
86;02 Bosbouw;1999;4.0;4.0;;;4.0;4.0;;;;;;
87;02 Bosbouw;2000;5.0;5.0;;;5.0;5.0;;;;;;
88;02 Bosbouw;2001;4.0;4.0;;;4.0;4.0;;;;;;
89;02 Bosbouw;2002;3.0;3.0;;;3.0;3.0;;;;;;
90;02 Bosbouw;2003;2.0;2.0;;;2.0;2.0;;;;;;
91;02 Bosbouw;2004;3.0;3.0;;;3.0;3.0;;;;;;
92;02 Bosbouw;2005;3.0;3.0;;;3.0;3.0;;;;;;
93;02 Bosbouw;2006;4.0;4.0;;;4.0;4.0;;;;;;
94;02 Bosbouw;2007;5.0;5.0;;;5.0;5.0;;;;;;
95;02 Bosbouw;2008;4.0;4.0;;;4.0;4.0;;;;;;
96;02 Bosbouw;2009;4.0;4.0;;;4.0;4.0;;;;;;
97;02 Bosbouw;2010;5.0;5.0;;;5.0;5.0;;;;;;
98;02 Bosbouw;2011;6.0;6.0;;;6.0;6.0;;;;;;
99;02 Bosbouw;2012;6.0;6.0;;;6.0;6.0;;;;;;
100;03 Visserij;1988;244.0;275.0;;88.6;242.0;273.0;;88.6;2.0;2.0;;
101;03 Visserij;1989;285.0;298.0;8.2;95.7;284.0;297.0;8.7;95.7;1.0;1.0;;
102;03 Visserij;1990;292.0;321.0;7.7;91.0;289.0;318.0;7.0;91.0;3.0;3.0;;
103;03 Visserij;1991;335.0;365.0;13.7;91.8;333.0;363.0;14.2;91.8;2.0;2.0;;
104;03 Visserij;1992;310.0;332.0;-9.0;93.3;308.0;329.0;-9.3;93.6;2.0;2.0;;
105;03 Visserij;1993;303.0;320.0;-3.5;94.6;301.0;318.0;-3.2;94.6;2.0;2.0;;
106;03 Visserij;1994;342.0;389.0;21.5;87.9;340.0;387.0;21.6;87.8;2.0;2.0;;
107;03 Visserij;1995;379.0;425.0;9.4;89.1;377.0;423.0;9.4;89.0;2.0;2.0;;
108;03 Visserij;1996;362.0;396.0;-6.9;91.4;360.0;394.0;-6.9;91.3;2.0;2.0;;
109;03 Visserij;1997;366.0;368.0;-7.2;99.5;364.0;366.0;-7.2;99.5;2.0;2.0;;
110;03 Visserij;1998;383.0;383.0;4.1;100.0;381.0;381.0;4.1;100.0;2.0;2.0;;
111;03 Visserij;1999;408.0;412.0;7.6;99.1;406.0;410.0;7.6;99.1;2.0;2.0;;
112;03 Visserij;2000;423.0;405.0;-1.7;104.5;421.0;403.0;-1.7;104.5;2.0;2.0;;
