ID;BedrijfstakkenBranchesSBI2008;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaalOpbouwArbeidskosten_6;DirectLoon_7;BijzondereBeloningen_8;LoonVoorNietGewerkteTijd_9;LoonInNatura_10;PremieWIA_11;PremieZVW_12;PremieWW_13;Pensioenpremies_14;OverigePremies_15;LoonBijZiekte_16;Ontslagvergoedingen_17;Opleidingskosten_18;OverigeUitgaven_19;Subsidies_20;PotentieleArbeidsduur_21;VerlofurenEnUrenVanFeestdagen_22;ZiekteUrenVerleturenEnKortVerzuim_23;ZwangerschapsEnBevallingsverlof_24;GewerkteUrenExclOverwerkuren_25;BetaaldeEnOnbetaaldeOverwerkuren_26;GewerkteUren_27
0;A-U Alle economische activiteiten;401.4;63.1;38.11;31.04;1657;100;56.9;11.7;8.6;1.1;4.8;4.2;2.0;7.0;0.4;3.5;0.2;1.1;2.3;-3.7;100;12.2;6.7;0.6;80.5;1.7;82.1
1;A-F Landbouw en nijverheid;74.3;64.9;38.03;31.08;1707;100;58.6;10.2;8.6;1.2;4.9;4.3;2.1;7.2;0.4;3.8;0.1;0.8;1.5;-3.6;100;12.1;7.6;0.3;80.0;3.0;83.0
2;A Landbouw, bosbouw en visserij;3.5;44.0;23.05;19.76;1907;100;60.1;7.2;12.0;1.1;5.1;4.5;2.7;6.0;0.3;2.5;0.0;0.6;1.9;-4.2;100;12.2;3.1;0.3;84.4;3.4;87.7
3;B Delfstoffenwinning;0.9;117.0;66.26;54.68;1766;100;53.0;16.7;5.0;0.6;3.3;2.7;1.4;12.8;0.0;3.2;0.1;0.9;1.7;-1.5;100;12.1;6.8;0.3;80.8;3.0;83.8
4;B-E Nijverheid (geen bouw) en energie;50.7;67.0;39.69;32.47;1689;100;58.2;11.8;8.3;1.0;4.9;4.3;2.0;7.3;0.1;4.0;0.1;0.8;1.5;-4.3;100;12.3;7.3;0.3;80.1;3.0;83.1
5;B-F Nijverheid en energie;70.7;66.5;39.31;32.0;1692;100;58.5;10.4;8.4;1.2;4.8;4.3;2.0;7.2;0.4;3.9;0.1;0.8;1.5;-3.5;100;12.1;7.9;0.3;79.7;2.9;82.6
6;C Industrie;45.2;65.6;39.11;31.87;1678;100;58.5;11.7;8.5;1.0;4.9;4.3;2.1;7.1;0.1;4.1;0.1;0.8;1.5;-4.7;100;12.3;7.5;0.3;79.8;2.8;82.6
7;D Energievoorziening;2.3;90.2;50.95;43.38;1770;100;56.6;13.6;5.7;1.1;4.2;4.0;0.8;7.9;0.0;3.0;0.5;1.4;1.5;-0.2;100;11.0;4.3;0.5;84.3;1.5;85.8
8;E Waterbedrijven en afvalbeheer;2.2;66.8;36.18;31.07;1848;100;55.2;10.1;8.9;0.9;5.2;4.5;1.5;7.8;0.1;4.2;0.4;0.9;1.5;-1.4;100;12.7;5.6;0.3;81.4;8.0;89.4
9;F Bouwnijverheid;20.0;65.1;38.39;30.87;1697;100;59.3;6.8;8.7;1.9;4.8;4.3;2.1;7.0;1.0;3.5;0.0;0.8;1.4;-1.6;100;11.7;9.3;0.3;78.8;2.8;81.6
10;G-I Handel, vervoer en horeca;76.1;50.7;30.8;24.43;1645;100;58.2;10.8;10.7;1.5;5.2;4.5;2.6;6.0;0.1;3.4;0.1;0.9;2.5;-6.5;100;12.2;9.3;0.4;78.1;2.6;80.7
11;G-N Commerciële dienstverlening;191.2;59.9;35.21;28.88;1702;100;58.5;11.3;9.0;1.5;4.7;4.0;2.4;6.7;0.1;2.9;0.1;1.0;2.3;-4.6;100;12.1;6.6;0.5;80.8;2.0;82.9
12;G Handel;51.0;52.8;31.5;25.72;1675;100;56.0;11.3;10.3;1.7;4.9;4.3;2.4;5.7;0.1;3.2;0.0;1.0;2.6;-3.6;100;12.1;6.7;0.5;80.8;1.6;82.4
13;H Vervoer en opslag;18.7;58.4;33.6;26.79;1737;100;61.2;10.5;9.8;1.0;5.4;4.7;2.4;7.9;0.1;4.1;0.1;1.0;1.9;-10.3;100;12.3;10.3;0.3;77.1;6.9;84.0
14;I Horeca;6.3;29.6;21.62;14.69;1368;100;67.3;7.8;16.6;1.3;6.8;5.8;4.0;3.1;0.0;3.0;0.0;0.6;3.0;-19.4;100;12.5;19.3;0.4;67.8;0.3;68.1
15;J Informatie en communicatie;20.9;80.4;45.62;38.58;1762;100;59.4;13.6;7.2;2.0;4.3;3.7;2.1;5.2;0.0;2.3;0.0;0.8;2.1;-2.8;100;12.2;3.3;0.5;84.1;0.7;84.8
16;K Financiële dienstverlening;23.8;100.4;57.47;48.86;1746;100;56.6;11.9;6.0;1.4;2.9;2.6;1.3;11.8;0.0;2.0;0.1;1.3;3.0;-0.7;100;11.5;3.3;0.6;84.6;0.6;85.2
17;L Verhuur en handel van onroerend goed;4.1;73.0;43.67;36.65;1673;100;57.5;10.0;7.9;1.6;4.3;3.7;2.0;9.3;0.0;2.4;0.0;1.4;2.0;-2.1;100;12.1;3.6;0.6;83.7;0.3;84.0
18;M-N Zakelijke dienstverlening;66.3;58.4;33.26;28.02;1757;100;59.4;11.2;8.7;1.4;5.0;4.1;2.9;5.9;0.2;2.9;0.1;0.9;1.9;-4.6;100;12.2;4.6;0.4;82.7;1.9;84.7
19;M Specialistische zakelijke diensten;36.1;80.3;46.01;38.75;1746;100;59.4;12.4;7.5;1.7;3.9;3.4;1.8;8.3;0.0;2.4;0.0;1.1;2.0;-3.8;100;12.3;3.7;0.6;83.4;1.1;84.5
20;N Verhuur en overige zakelijke diensten;30.3;44.1;25.0;21.07;1764;100;59.3;9.8;10.0;1.1;6.5;4.9;4.1;3.1;0.3;3.5;0.1;0.8;1.8;-5.4;100;12.2;5.2;0.3;82.3;2.5;84.8
