ID;Perioden;Bedrijven_1;TotaalNettoOmzetUitHoofdactiviteit_2;AdviseringEnAuditing_3;Detachering_4;OntwikkelenVanInformatiesystemen_5;OpleidingEnTraining_6;SysteemIntegratie_7;AssistentieBijOntwikkelenVanInfo_8;AssistentieBijInvoeringVanInform_9;BeheerEnExploitatieVanSystemen_10;DatabankActiviteiten_11;Gegevensverwerking_12;ReparatieEnOnderhoudScontracten_13;OverigeDienstverleningNietElders_14;TotaalNettoOmzetUitOverigeActiv_15;VerkopenVanZelfvervaardigdeProducten_16;Handel_17;OverigeDienstverleningNietElders_18
0;2002;17560;12332;1515;2332;1857;209;774;732;486;1679;300;364;961;1123;899;154;673;73
1;2003;17790;12204;1304;1942;1956;209;745;547;654;1866;376;360;1000;1246;870;107;704;59
2;2004;18495;13111;745;2441;2357;137;784;397;641;2061;741;376;1097;1334;441;51;349;41
3;2005;17630;14411;874;2642;2346;154;743;733;568;2541;711;392;1505;1201;937;42;809;86
