ID;Regions;Periods;NumberOfOrganisations_1;TheatreHalls_2;StadiumsAndMultiPurposeHalls_3;InTheatreHalls_4;InStadiumsAndMultiPurposeHalls_5;TotalPerformances_6;TheatrePerformances_7;MusicalPerformances_8;DancePerformances_9;MusicTheatrePerformances_10;CabaretPerformances_11;OtherPerformances_12;TotalAttendance_13;TheatrePerformances_14;MusicalPerformances_15;DancePerformances_16;MusicTheatrePerformances_17;CabaretPerformances_18;AttendanceOtherPerformances_19
0;Nederland;1999;334.0;407.0;160.0;164525.0;163964.0;38183.0;12686.0;10421.0;3045.0;3922.0;5589.0;2522.0;14302.0;1987.0;5372.0;1164.0;2390.0;1961.0;1428.0
1;Nederland;2000;330.0;407.0;160.0;165574.0;163964.0;39537.0;13512.0;10664.0;2633.0;3795.0;5460.0;3472.0;14560.0;2073.0;5580.0;943.0;2591.0;1948.0;1424.0
2;Nederland;2001;322.0;421.0;160.0;171987.0;163964.0;41204.0;13065.0;12303.0;2210.0;4125.0;5621.0;3879.0;15667.0;2330.0;6055.0;796.0;2687.0;2052.0;1750.0
3;Nederland;2002;318.0;433.0;164.0;179572.0;164964.0;43373.0;14204.0;12595.0;2784.0;4184.0;5926.0;3680.0;16085.0;2244.0;6137.0;919.0;2979.0;2078.0;1729.0
4;Nederland;2003;309.0;436.0;;187423.0;;46155.0;14037.0;13086.0;3188.0;4817.0;6395.0;4631.0;16024.0;2239.0;6200.0;912.0;3460.0;2194.0;1020.0
5;Nederland;2004;307.0;434.0;;191383.0;;45998.0;13565.0;14365.0;2742.0;4258.0;7018.0;4049.0;15604.0;1988.0;6637.0;726.0;2979.0;2412.0;861.0
6;Nederland;2005;336.0;502.0;136.0;240481.0;308822.0;53785.0;14462.0;17697.0;3327.0;5474.0;8437.0;4389.0;18387.0;2359.0;7543.0;746.0;4033.0;2684.0;1022.0
7;Nederland;2006;338.0;499.0;134.0;248762.0;284337.0;54796.0;14810.0;18182.0;3310.0;5914.0;8418.0;4162.0;19054.0;2141.0;8105.0;990.0;4258.0;2553.0;1007.0
8;Nederland;2007;341.0;533.0;164.0;262301.0;298054.0;57391.0;15912.0;18250.0;3476.0;6007.0;8806.0;4940.0;19317.0;2220.0;8424.0;788.0;3815.0;2697.0;1373.0
9;Nederland;2008;340.0;511.0;120.0;267869.0;312276.0;58179.0;16855.0;18888.0;2787.0;6881.0;8470.0;4297.0;20291.0;2247.0;8216.0;778.0;4570.0;2725.0;1756.0
10;Nederland;2009;339.0;522.0;134.0;249374.0;212183.0;58364.0;16092.0;21399.0;3384.0;5842.0;7501.0;4146.0;19581.0;2503.0;8623.0;663.0;3810.0;2474.0;1509.0
11;Nederland;2010;343.0;528.0;104.0;255544.0;217195.0;55933.0;17264.0;18218.0;2461.0;5638.0;7317.0;5035.0;19149.0;2593.0;7896.0;757.0;3572.0;2386.0;1944.0
12;Nederland;2011;350.0;537.0;101.0;237792.0;175606.0;59004.0;18654.0;18684.0;2777.0;5731.0;8261.0;4897.0;19204.0;2584.0;7928.0;700.0;3447.0;2483.0;2062.0
13;Nederland;2012;345.0;530.0;99.0;259093.0;188868.0;54880.0;17371.0;17755.0;2225.0;5057.0;7525.0;4947.0;17064.0;2435.0;7588.0;573.0;2853.0;2121.0;1493.0
14;Nederland;2013;336.0;522.0;112.0;251785.0;198418.0;50692.0;14115.0;18041.0;2295.0;4460.0;7847.0;3934.0;17685.0;2554.0;8257.0;702.0;2398.0;2281.0;1493.0
15;Nederland;2014;339.0;543.0;99.0;265645.0;194340.0;51883.0;13169.0;17796.0;2386.0;4627.0;7595.0;6310.0;17358.0;2268.0;8092.0;742.0;2432.0;2035.0;1789.0
16;Nederland;2015;337.0;542.0;99.0;259987.0;186331.0;52104.0;13617.0;18320.0;2316.0;4752.0;7499.0;5600.0;18172.0;2295.0;8459.0;819.0;2629.0;2142.0;1827.0
17;Nederland;2016;335.0;556.0;103.0;274005.0;231580.0;51947.0;11905.0;20069.0;2371.0;4751.0;7539.0;5312.0;18086.0;1980.0;8750.0;755.0;2829.0;2221.0;1552.0
18;Nederland;2017;333.0;546.0;100.0;266128.0;242130.0;52675.0;11388.0;20071.0;2548.0;5315.0;7836.0;5516.0;18466.0;1846.0;9138.0;699.0;3026.0;2281.0;1475.0
19;Nederland;2018;335.0;570.0;104.0;266063.0;249811.0;53583.0;11135.0;20218.0;2364.0;6017.0;8183.0;5667.0;18848.0;1742.0;9461.0;666.0;3304.0;2451.0;1224.0
20;Nederland;2019;339.0;595.0;109.0;265957.0;245296.0;54052.0;11306.0;19836.0;2486.0;6440.0;8498.0;5488.0;19379.0;1712.0;9348.0;701.0;3641.0;2742.0;1235.0
21;Nederland;2020;327.0;554.0;93.0;265138.0;232238.0;25571.0;6027.0;8104.0;1391.0;3143.0;4536.0;2370.0;5350.0;717.0;2381.0;257.0;731.0;968.0;296.0
22;Nederland;2021;334.0;574.0;80.0;281672.0;89118.0;24421.0;4710.0;7006.0;1676.0;2476.0;3842.0;4710.0;4122.0;523.0;1670.0;177.0;716.0;634.0;401.0
23;Nederland;2022;344.0;585.0;103.0;272489.0;229958.0;50311.0;8904.0;20138.0;2879.0;5745.0;7425.0;5220.0;16961.0;1200.0;9568.0;696.0;2378.0;2092.0;1027.0
24;Nederland;2023;338.0;584.0;113.0;267747.0;223447.0;56552.0;10015.0;22019.0;2566.0;6854.0;8125.0;6973.0;20422.0;1541.0;11083.0;899.0;3253.0;2371.0;1275.0
25;Noord-Nederland (LD);1999;30.0;38.0;14.0;15344.0;7575.0;3316.0;1195.0;1045.0;195.0;232.0;533.0;116.0;946.0;191.0;364.0;53.0;114.0;189.0;36.0
