ID;Stratum;Reptielen;Perioden;Index_1;TrendGehelePeriode_2;TrendLaatste10Jaar_3
0;Landelijk;521;1994;159.0;.                             ;.                             
1;Landelijk;521;1995;130.0;.                             ;.                             
2;Landelijk;521;1996;151.0;.                             ;.                             
3;Landelijk;521;1997;100.0;.                             ;.                             
4;Landelijk;521;1998;181.0;.                             ;.                             
5;Landelijk;521;1999;170.0;.                             ;.                             
6;Landelijk;521;2000;178.0;.                             ;.                             
7;Landelijk;521;2001;130.0;.                             ;.                             
8;Landelijk;521;2002;143.0;.                             ;.                             
9;Landelijk;521;2003;108.0;.                             ;.                             
10;Landelijk;521;2004;171.0;.                             ;.                             
11;Landelijk;521;2005;175.0;Stabiel                       ;Stabiel                       
12;Landelijk;501;1994;111.0;.                             ;.                             
13;Landelijk;501;1995;142.0;.                             ;.                             
14;Landelijk;501;1996;221.0;.                             ;.                             
15;Landelijk;501;1997;100.0;.                             ;.                             
16;Landelijk;501;1998;278.0;.                             ;.                             
17;Landelijk;501;1999;146.0;.                             ;.                             
18;Landelijk;501;2000;302.0;.                             ;.                             
19;Landelijk;501;2001;273.0;.                             ;.                             
20;Landelijk;501;2002;292.0;.                             ;.                             
21;Landelijk;501;2003;167.0;.                             ;.                             
22;Landelijk;501;2004;188.0;.                             ;.                             
23;Landelijk;501;2005;186.0;Onzeker                       ;Onzeker                       
24;Landelijk;401;1994;112.0;.                             ;.                             
25;Landelijk;401;1995;44.0;.                             ;.                             
26;Landelijk;401;1996;76.0;.                             ;.                             
27;Landelijk;401;1997;100.0;.                             ;.                             
28;Landelijk;401;1998;160.0;.                             ;.                             
29;Landelijk;401;1999;147.0;.                             ;.                             
30;Landelijk;401;2000;161.0;.                             ;.                             
31;Landelijk;401;2001;140.0;.                             ;.                             
32;Landelijk;401;2002;180.0;.                             ;.                             
33;Landelijk;401;2003;109.0;.                             ;.                             
34;Landelijk;401;2004;139.0;.                             ;.                             
35;Landelijk;401;2005;176.0;Onzeker                       ;Onzeker                       
36;Landelijk;412;1994;112.0;.                             ;.                             
37;Landelijk;412;1995;129.0;.                             ;.                             
38;Landelijk;412;1996;80.0;.                             ;.                             
39;Landelijk;412;1997;100.0;.                             ;.                             
40;Landelijk;412;1998;80.0;.                             ;.                             
41;Landelijk;412;1999;90.0;.                             ;.                             
42;Landelijk;412;2000;63.0;.                             ;.                             
43;Landelijk;412;2001;69.0;.                             ;.                             
44;Landelijk;412;2002;61.0;.                             ;.                             
45;Landelijk;412;2003;54.0;.                             ;.                             
46;Landelijk;412;2004;63.0;.                             ;.                             
47;Landelijk;412;2005;71.0;Matige afname                 ;Matige afname                 
48;Landelijk;421;1994;;.                             ;.                             
49;Landelijk;421;1995;;.                             ;.                             
50;Landelijk;421;1996;;.                             ;.                             
51;Landelijk;421;1997;100.0;.                             ;.                             
52;Landelijk;421;1998;172.0;.                             ;.                             
53;Landelijk;421;1999;103.0;.                             ;.                             
54;Landelijk;421;2000;252.0;.                             ;.                             
55;Landelijk;421;2001;165.0;.                             ;.                             
56;Landelijk;421;2002;228.0;.                             ;.                             
57;Landelijk;421;2003;246.0;.                             ;.                             
58;Landelijk;421;2004;419.0;.                             ;.                             
