ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;9501152;100.0;150;99;51
1;1;2653723;27.9;43;26;17
2;2;240953;2.5;4;3;1
3;3;484317;5.1;7;4;3
4;4;9058;0.1;0;0;0
5;5;660692;7.0;10;4;6
6;6;153055;1.6;2;2;0
7;7;1614801;17.0;26;23;3
8;8;2305;0.0;0;0;0
9;9;1436023;15.1;23;12;11
10;PvdT;6393;0.1;0;0;0
11;RVP;63;0.0;0;0;0
12;SGP;163562;1.7;2;2;0
13;SP;560447;5.9;9;5;4
14;VIP/OU;10033;0.1;0;0;0
15;VSP;39005;0.4;0;0;0
16;VVD;1466722;15.4;24;18;6
