ID;PersonalCharacteristics;Periods;PercentageOfYoungPeoplLivingAtHome_1;StillLivingWithAtHome1YrFromNow_2;PleasantFamilyAtmosphere_3;FinancialDependency_4;StillAttendingSchool_5;FeelingTooYoungToLiveOnTheirOwn_6;WellBeingLookedAfterAtHome_7;OtherReasons_8;NoLongerLivingAtHome1YrFromNow_9;WorkingStudyingInAnotherTown_10;BecomeIndependent_11;MarriageLivingTogether_12;OtherReasons_13;OfYoungPeopleLivingOnTheirOwn_14;AverageAgeWhenLeavingHome_15;WorkingStudyingInAnotherTown_16;BecomeIndependent_17;MarriageLivingTogether_18;DomesticStrife_19;OtherReasons_20;Always_21;Sometimes_22;Never_23;Always_24;Sometimes_25;Never_26;Always_27;Sometimes_28;Never_29;Always_30;Sometimes_31;Never_32;Always_33;Sometimes_34;Never_35;Always_36;Sometimes_37;Never_38;Always_39;Sometimes_40;Never_41;Yes_42;No_43;ParentsDoNotHaveEnoughMoney_44;ParentsUnwillingToGiveMoreMoney_45;RegularGirlfriendBoyfriend_46;AllowedToSpendTheNightTogether_47;AllowedToTakeSoftDrugs_48;Always_49;Occasionally_50;Never_51;ImportanceOfSchoolStudyAndHomework_52;DealingWithPocketMoneySaving_53;HelpOutByDoingSmallHouseholdJobs_54;PoliticalAndOrReligiousIssues_55;BoyfriendGirlfriend_56;TimeToComeHomeAtNight_57;SmokingAndDrinking_58;Yes_59;Rather_60;No_61;Yes_62;Rather_63;No_64
0;Total personal characteristics;1997;58.0;73.0;21.0;11.0;21.0;9.0;26.0;13.0;27.0;32.0;44.0;21.0;3.0;42.0;;25.0;26.0;37.0;7.0;4.0;56.0;39.0;5.0;11.0;29.0;60.0;14.0;54.0;32.0;54.0;38.0;8.0;;;;34.0;15.0;51.0;76.0;21.0;3.0;;;;;40.0;75.0;12.0;;;;30.0;29.0;39.0;14.0;14.0;35.0;20.0;;;;;;
1;Total personal characteristics;2001;59.0;68.0;18.0;9.0;24.0;11.0;26.0;13.0;32.0;23.0;47.0;27.0;3.0;41.0;20.0;28.0;28.0;32.0;7.0;5.0;56.0;38.0;6.0;13.0;32.0;54.0;16.0;59.0;26.0;56.0;38.0;6.0;22.0;54.0;24.0;31.0;16.0;53.0;76.0;21.0;4.0;80.0;20.0;9.0;91.0;41.0;79.0;14.0;;20.0;80.0;35.0;31.0;46.0;12.0;15.0;34.0;22.0;83.0;15.0;2.0;82.0;14.0;4.0
2;Total personal characteristics;2003;61.0;77.0;15.0;15.0;25.0;12.0;19.0;13.0;23.0;22.0;49.0;25.0;4.0;39.0;22.0;30.0;28.0;30.0;7.0;5.0;60.0;32.0;7.0;13.0;29.0;58.0;15.0;58.0;27.0;56.0;37.0;7.0;24.0;50.0;27.0;30.0;13.0;57.0;74.0;22.0;4.0;81.0;19.0;12.0;88.0;37.0;80.0;15.0;2.0;18.0;80.0;32.0;33.0;45.0;12.0;16.0;35.0;20.0;85.0;14.0;1.0;81.0;14.0;5.0
3;Men;1997;62.0;76.0;14.0;11.0;19.0;11.0;32.0;14.0;24.0;34.0;49.0;14.0;3.0;38.0;;26.0;31.0;30.0;7.0;5.0;56.0;39.0;5.0;11.0;29.0;59.0;11.0;53.0;36.0;51.0;41.0;9.0;;;;37.0;13.0;50.0;74.0;22.0;4.0;;;;;33.0;78.0;14.0;;;;32.0;32.0;37.0;14.0;12.0;34.0;22.0;;;;;;
4;Men;2001;64.0;72.0;16.0;9.0;19.0;10.0;31.0;15.0;28.0;25.0;54.0;18.0;4.0;36.0;21.0;29.0;32.0;27.0;5.0;7.0;58.0;35.0;7.0;15.0;35.0;49.0;13.0;61.0;26.0;56.0;39.0;5.0;25.0;55.0;21.0;33.0;15.0;53.0;73.0;23.0;4.0;78.0;22.0;11.0;89.0;33.0;79.0;18.0;;21.0;79.0;38.0;34.0;44.0;14.0;12.0;33.0;23.0;84.0;14.0;2.0;84.0;13.0;3.0
5;Men;2003;66.0;80.0;15.0;16.0;22.0;11.0;22.0;12.0;20.0;22.0;53.0;20.0;4.0;34.0;23.0;31.0;33.0;24.0;6.0;7.0;61.0;32.0;8.0;14.0;30.0;56.0;13.0;60.0;27.0;56.0;37.0;7.0;28.0;48.0;25.0;31.0;13.0;56.0;71.0;25.0;5.0;79.0;21.0;13.0;87.0;34.0;80.0;18.0;2.0;18.0;80.0;34.0;37.0;45.0;14.0;15.0;35.0;22.0;87.0;13.0;1.0;82.0;13.0;4.0
6;Women;1997;54.0;69.0;31.0;10.0;23.0;6.0;17.0;12.0;31.0;30.0;39.0;28.0;3.0;46.0;;25.0;22.0;43.0;7.0;3.0;57.0;39.0;4.0;11.0;28.0;61.0;17.0;56.0;27.0;58.0;35.0;7.0;;;;31.0;17.0;52.0;79.0;19.0;3.0;;;;;50.0;72.0;9.0;;;;28.0;24.0;43.0;14.0;16.0;36.0;18.0;;;;;;
7;Women;2001;53.0;63.0;20.0;9.0;31.0;12.0;18.0;11.0;37.0;21.0;39.0;37.0;3.0;47.0;20.0;27.0;25.0;36.0;8.0;4.0;54.0;40.0;6.0;11.0;29.0;60.0;18.0;56.0;26.0;56.0;38.0;6.0;18.0;54.0;28.0;29.0;17.0;53.0;78.0;18.0;4.0;82.0;18.0;8.0;92.0;51.0;79.0;8.0;1.0;19.0;80.0;32.0;28.0;49.0;10.0;19.0;37.0;21.0;82.0;17.0;2.0;80.0;15.0;5.0
8;Women;2003;56.0;73.0;16.0;13.0;30.0;14.0;13.0;14.0;27.0;22.0;45.0;30.0;3.0;44.0;22.0;29.0;24.0;35.0;8.0;3.0;60.0;33.0;7.0;12.0;28.0;60.0;16.0;56.0;27.0;55.0;38.0;7.0;19.0;52.0;29.0;29.0;13.0;59.0;78.0;18.0;4.0;82.0;18.0;10.0;90.0;42.0;80.0;11.0;2.0;18.0;80.0;29.0;27.0;44.0;9.0;17.0;35.0;18.0;84.0;15.0;1.0;81.0;15.0;5.0
9;12-17 yrs;1997;99.0;88.0;14.0;10.0;39.0;15.0;16.0;7.0;12.0;;;;;1.0;;;;;;;52.0;43.0;5.0;7.0;27.0;66.0;13.0;54.0;32.0;53.0;38.0;9.0;;;;27.0;15.0;57.0;75.0;22.0;4.0;;;;;32.0;58.0;5.0;;;;35.0;27.0;44.0;13.0;13.0;46.0;21.0;;;;;;
10;12-17 yrs;2001;100.0;85.0;13.0;8.0;35.0;20.0;18.0;5.0;15.0;;;;;;;;;;;;52.0;42.0;7.0;8.0;31.0;62.0;15.0;57.0;27.0;52.0;41.0;7.0;24.0;54.0;22.0;22.0;18.0;61.0;73.0;22.0;4.0;80.0;20.0;9.0;91.0;30.0;67.0;5.0;1.0;25.0;74.0;40.0;30.0;51.0;10.0;14.0;47.0;23.0;83.0;15.0;2.0;;;
11;12-17 yrs;2003;100.0;94.0;10.0;15.0;34.0;23.0;15.0;2.0;6.0;;;;;;;;;;;;57.0;36.0;8.0;8.0;27.0;65.0;15.0;57.0;28.0;53.0;39.0;8.0;26.0;51.0;23.0;21.0;14.0;65.0;72.0;23.0;5.0;81.0;19.0;12.0;88.0;29.0;60.0;5.0;2.0;24.0;74.0;36.0;31.0;48.0;11.0;16.0;47.0;22.0;83.0;16.0;1.0;;;
12;18-24 yrs;1997;62.0;71.0;23.0;12.0;16.0;8.0;28.0;14.0;29.0;31.0;43.0;23.0;3.0;38.0;;29.0;27.0;31.0;8.0;4.0;86.0;13.0;1.0;42.0;44.0;14.0;17.0;55.0;28.0;64.0;34.0;3.0;;;;87.0;9.0;4.0;87.0;12.0;1.0;;;;;48.0;82.0;20.0;;;;27.0;31.0;36.0;15.0;16.0;22.0;20.0;;;;;;
13;18-24 yrs;2001;63.0;69.0;18.0;9.0;23.0;9.0;28.0;13.0;31.0;21.0;49.0;27.0;3.0;37.0;19.0;33.0;27.0;25.0;8.0;6.0;83.0;11.0;5.0;47.0;43.0;10.0;17.0;66.0;17.0;81.0;19.0;0.0;9.0;52.0;39.0;89.0;7.0;4.0;89.0;11.0;1.0;;;;;47.0;83.0;22.0;;14.0;85.0;32.0;34.0;42.0;14.0;17.0;22.0;23.0;84.0;14.0;1.0;82.0;15.0;3.0
14;18-24 yrs;2003;64.0;74.0;18.0;15.0;23.0;7.0;20.0;17.0;26.0;22.0;49.0;24.0;4.0;36.0;21.0;34.0;28.0;25.0;8.0;6.0;86.0;11.0;2.0;46.0;40.0;14.0;14.0;66.0;21.0;73.0;24.0;3.0;10.0;40.0;50.0;87.0;10.0;3.0;86.0;13.0;1.0;;;;;44.0;85.0;26.0;1.0;15.0;83.0;29.0;36.0;42.0;13.0;16.0;21.0;18.0;88.0;11.0;1.0;84.0;11.0;5.0
15;25-29 yrs;1997;12.0;57.0;24.0;8.0;4.0;;37.0;28.0;43.0;;;;;88.0;;23.0;26.0;40.0;6.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;36.0;;24.0;;;;10.0;23.0;19.0;14.0;10.0;11.0;13.0;;;;;;
16;25-29 yrs;2001;12.0;43.0;;;;;;;57.0;15.0;46.0;37.0;2.0;88.0;21.0;26.0;29.0;35.0;6.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;47.0;84.0;34.0;0.0;13.0;87.0;13.0;21.0;24.0;23.0;9.0;11.0;15.0;77.0;20.0;2.0;81.0;14.0;5.0
17;25-29 yrs;2003;12.0;46.0;23.0;9.0;2.0;2.0;26.0;39.0;54.0;4.0;58.0;38.0;;88.0;23.0;28.0;28.0;33.0;6.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;30.0;98.0;38.0;3.0;15.0;82.0;16.0;28.0;31.0;14.0;9.0;10.0;21.0;89.0;11.0;1.0;80.0;16.0;4.0
18;0-14 yrs;1997;100.0;;;;;;;;;;;;;0.0;;;;;;;32.0;60.0;9.0;1.0;15.0;83.0;9.0;52.0;38.0;45.0;44.0;11.0;;;;5.0;10.0;85.0;64.0;31.0;5.0;;;;;;;2.0;;;;32.0;25.0;43.0;11.0;9.0;42.0;14.0;;;;;;
19;0-14 yrs;2001;100.0;;;;;;;;;;;;;0.0;;;;;;;32.0;57.0;11.0;1.0;19.0;80.0;10.0;57.0;33.0;41.0;49.0;10.0;29.0;54.0;17.0;4.0;10.0;86.0;65.0;28.0;6.0;80.0;20.0;9.0;91.0;;;1.0;;31.0;68.0;36.0;27.0;52.0;8.0;12.0;45.0;20.0;83.0;15.0;2.0;;;
20;0-14 yrs;2003;100.0;;;;;;;;;;;;;;;;;;;;38.0;50.0;12.0;1.0;16.0;83.0;12.0;55.0;33.0;43.0;46.0;11.0;36.0;49.0;16.0;4.0;6.0;90.0;60.0;32.0;8.0;81.0;19.0;12.0;88.0;;;1.0;1.0;25.0;73.0;30.0;30.0;50.0;10.0;14.0;44.0;14.0;82.0;16.0;1.0;;;
21;15-24 yrs;1997;75.0;75.0;20.0;11.0;22.0;10.0;25.0;12.0;25.0;37.0;40.0;20.0;3.0;25.0;;29.0;27.0;31.0;9.0;4.0;74.0;24.0;2.0;18.0;38.0;43.0;17.0;56.0;27.0;61.0;33.0;6.0;;;;56.0;18.0;26.0;85.0;13.0;2.0;;;;;41.0;74.0;14.0;;;;32.0;31.0;40.0;15.0;16.0;35.0;23.0;;;;;;
22;15-24 yrs;2001;74.0;71.0;17.0;9.0;25.0;11.0;26.0;11.0;29.0;25.0;47.0;24.0;4.0;26.0;19.0;33.0;27.0;25.0;8.0;6.0;75.0;22.0;3.0;23.0;43.0;34.0;20.0;60.0;20.0;69.0;29.0;2.0;15.0;54.0;30.0;53.0;21.0;26.0;84.0;14.0;2.0;;;;;40.0;78.0;17.0;;16.0;84.0;37.0;34.0;46.0;13.0;17.0;32.0;24.0;84.0;15.0;1.0;82.0;15.0;3.0
23;15-24 yrs;2003;75.0;80.0;15.0;15.0;27.0;13.0;18.0;12.0;20.0;26.0;47.0;22.0;5.0;25.0;21.0;34.0;28.0;25.0;8.0;6.0;78.0;19.0;3.0;22.0;39.0;38.0;17.0;61.0;22.0;66.0;30.0;4.0;14.0;51.0;35.0;51.0;19.0;30.0;85.0;13.0;2.0;;;;;38.0;78.0;19.0;1.0;18.0;81.0;34.0;34.0;44.0;13.0;17.0;33.0;23.0;86.0;13.0;1.0;84.0;11.0;5.0
24;25-44 yrs;1997;12.0;57.0;24.0;8.0;4.0;0.0;37.0;28.0;43.0;;;;;88.0;;23.0;26.0;40.0;6.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;36.0;;24.0;;;;10.0;23.0;19.0;14.0;10.0;11.0;13.0;;;;;;
25;25-44 yrs;2001;12.0;43.0;;;;;;;57.0;15.0;46.0;37.0;2.0;88.0;21.0;26.0;29.0;35.0;6.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;47.0;84.0;34.0;0.0;13.0;87.0;13.0;21.0;24.0;23.0;9.0;11.0;15.0;77.0;20.0;2.0;81.0;14.0;5.0
26;25-44 yrs;2003;12.0;46.0;23.0;9.0;2.0;2.0;26.0;39.0;54.0;4.0;58.0;38.0;;88.0;23.0;28.0;28.0;33.0;6.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;30.0;98.0;38.0;3.0;15.0;82.0;16.0;28.0;31.0;14.0;9.0;10.0;21.0;89.0;11.0;1.0;80.0;16.0;4.0
27;One-person household;1997;;;;;;;;;;;;;;99.0;;40.0;37.0;5.0;9.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;One-person household;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80.0;16.0;4.0
29;One-person household;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;18.0;79.0;;;;;;;;;;;79.0;15.0;6.0
30;Member of a one-parent family;1997;;;;;;;;;;;;;;11.0;;;;;;;63.0;35.0;2.0;17.0;32.0;51.0;19.0;48.0;34.0;61.0;32.0;7.0;;;;42.0;11.0;47.0;79.0;13.0;8.0;;;;;33.0;;22.0;;;;30.0;31.0;45.0;11.0;18.0;30.0;23.0;;;;;;
31;Member of a one-parent family;2001;;;;;;;;;;;;;;;;;;;;;61.0;34.0;5.0;17.0;31.0;53.0;18.0;58.0;23.0;54.0;40.0;6.0;27.0;50.0;23.0;34.0;16.0;50.0;78.0;19.0;3.0;77.0;23.0;;;36.0;83.0;17.0;;19.0;80.0;39.0;34.0;52.0;13.0;17.0;31.0;26.0;82.0;16.0;2.0;;;
32;Member of a one-parent family;2003;;;;;;;;;;;;;;;;;;;;;64.0;29.0;7.0;17.0;26.0;57.0;15.0;56.0;29.0;56.0;40.0;4.0;21.0;43.0;35.0;27.0;10.0;63.0;78.0;17.0;4.0;83.0;17.0;;;35.0;82.0;22.0;4.0;16.0;80.0;29.0;36.0;54.0;11.0;16.0;37.0;23.0;83.0;16.0;2.0;;;
33;Member of a couple without children;1997;;;;;;;;;;;;;;99.0;;23.0;22.0;47.0;6.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Member of a couple without children;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86.0;12.0;2.0
35;Member of a couple without children;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;17.0;82.0;;;;;;;;;;;85.0;12.0;3.0
36;Member of a couple with children;1997;;;;;;;;;;;;;;16.0;;12.0;19.0;61.0;5.0;3.0;55.0;40.0;5.0;11.0;28.0;61.0;13.0;56.0;32.0;53.0;39.0;8.0;;;;34.0;15.0;51.0;76.0;22.0;3.0;;;;;41.0;75.0;10.0;;;;30.0;28.0;39.0;14.0;13.0;36.0;20.0;;;;;;
37;Member of a couple with children;2001;;;;;;;;;;;;;;;;;;;;;55.0;38.0;7.0;13.0;32.0;55.0;15.0;59.0;26.0;56.0;38.0;6.0;21.0;55.0;24.0;30.0;16.0;54.0;75.0;21.0;4.0;80.0;20.0;6.0;94.0;41.0;78.0;13.0;;20.0;79.0;34.0;31.0;45.0;12.0;14.0;35.0;21.0;83.0;15.0;2.0;79.0;15.0;6.0
38;Member of a couple with children;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;19.0;80.0;;;;;;;;;;;80.0;16.0;4.0
39;Very high degree of urbanisation;1997;42.0;65.0;;;;;;;35.0;;;;;58.0;;35.0;34.0;21.0;6.0;4.0;45.0;49.0;6.0;10.0;24.0;66.0;14.0;55.0;31.0;64.0;34.0;2.0;;;;28.0;16.0;56.0;77.0;20.0;3.0;;;;;34.0;;11.0;;;;28.0;27.0;30.0;17.0;20.0;40.0;19.0;;;;;;
