ID;StandaardGoederennomenclatuurSGN;Perioden;InNLGeproduceerdEnAfgezet_1;Uitvoer_2;InBuitenlGeproduceerdInNLAfgezet_3
0;1100000  Kolenmijnbouwproducten;1990;;;100.0
1;1100000  Kolenmijnbouwproducten;Januari   1990;;;105.0
2;1100000  Kolenmijnbouwproducten;Februari  1990;;;104.0
3;1100000  Kolenmijnbouwproducten;Maart     1990;;;104.0
4;1100000  Kolenmijnbouwproducten;April     1990;;;97.0
5;1100000  Kolenmijnbouwproducten;Mei       1990;;;97.0
6;1100000  Kolenmijnbouwproducten;Juni      1990;;;98.0
7;1100000  Kolenmijnbouwproducten;Juli      1990;;;98.0
8;1100000  Kolenmijnbouwproducten;Augustus  1990;;;99.0
9;1100000  Kolenmijnbouwproducten;September 1990;;;99.0
10;1100000  Kolenmijnbouwproducten;Oktober   1990;;;100.0
11;1100000  Kolenmijnbouwproducten;November  1990;;;100.0
12;1100000  Kolenmijnbouwproducten;December  1990;;;101.0
13;1100000  Kolenmijnbouwproducten;1991;;;101.0
14;1100000  Kolenmijnbouwproducten;Januari   1991;;;101.0
15;1100000  Kolenmijnbouwproducten;Februari  1991;;;101.0
16;1100000  Kolenmijnbouwproducten;Maart     1991;;;101.0
17;1100000  Kolenmijnbouwproducten;April     1991;;;99.0
18;1100000  Kolenmijnbouwproducten;Mei       1991;;;100.0
19;1100000  Kolenmijnbouwproducten;Juni      1991;;;100.0
20;1100000  Kolenmijnbouwproducten;Juli      1991;;;100.0
21;1100000  Kolenmijnbouwproducten;Augustus  1991;;;100.0
22;1100000  Kolenmijnbouwproducten;September 1991;;;103.0
23;1100000  Kolenmijnbouwproducten;Oktober   1991;;;104.0
24;1100000  Kolenmijnbouwproducten;November  1991;;;104.0
25;1100000  Kolenmijnbouwproducten;December  1991;;;104.0
26;1100000  Kolenmijnbouwproducten;1992;;;103.0
27;1100000  Kolenmijnbouwproducten;Januari   1992;;;105.0
28;1100000  Kolenmijnbouwproducten;Februari  1992;;;104.0
29;1100000  Kolenmijnbouwproducten;Maart     1992;;;104.0
30;1100000  Kolenmijnbouwproducten;April     1992;;;101.0
