ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;6318152;100.0;150;138;12
1;1;26878;0.4;0;0;0
2;2;542742;8.6;13;12;1
3;4;5739;0.1;0;0;0
4;5;1840;0.0;0;0;0
5;6;21488;0.3;0;0;0
6;7;15137;0.2;0;0;0
7;3;69656;1.1;1;1;0
8;8;399106;6.3;10;9;1
9;9;246569;3.9;6;6;0
10;Democraten 2000;7189;0.1;0;0;0
11;D'66;428067;6.8;11;10;1
12;DS'70;336719;5.3;8;7;1
13;GPV;101790;1.6;2;2;0
14;Kabouters;21982;0.3;0;0;0
15;KVP;1379672;21.8;35;33;2
16;Landelijke Partij voor Bejaarden;1620;0.0;0;0;0
17;Lijst van Velsen;3676;0.1;0;0;0
18;Nederlands Appèl;24376;0.4;0;0;0
19;Nederlandse Middenstands Partij;95706;1.5;2;2;0
20;Nieuwe Roomse Partij;23047;0.4;0;0;0
21;Positief Sociaal Democraten;400;0.0;0;0;0
22;PPR;116049;1.8;2;2;0
23;PSP;90738;1.4;2;2;0
24;PvdA;1554280;24.6;39;35;4
25;Partij van het Recht;477;0.0;0;0;0
26;SGG 18+ t/m 65+;1647;0.0;0;0;0
27;SGP;148192;2.3;3;3;0
28;VVD;653370;10.3;16;14;2
