ID;RegioS;Perioden;TotaalBedrijfsafvalstoffen_1;TotaalProcesafhankelijkAfval_2;OrganischAfval_3;AnorganischAfval_4;Slibafval_5;GevaarlijkAfval_6;OverigAfval_7;GemengdAangeboden_8;TotaalProcesonafhankelijkAfval_9;OrganischAfval_10;AnorganischAfval_11;OverigAfval_12;GemengdAangeboden_13;Hergebruik_14;Eindverwerking_15
0;Totaal Nederland;1996;10225;9170;3872;3018;1146;387;0;749;1055;270;301;119;366;6952;3273
1;Totaal Nederland;1998;11185;9920;3970;3372;1420;432;115;611;1265;303;236;344;382;7776;3408
2;Totaal Nederland;2000;20642;19710;8752;7784;1671;659;165;678;932;312;192;160;268;17745;2896
3;Totaal Nederland;2002;20296;19348;8319;8018;1741;448;255;566;948;380;295;38;235;17156;3140
4;Noord-Nederland;1996;1274;1059;473;199;186;2;0;199;215;22;147;7;39;646;628
5;Noord-Nederland;1998;1310;1084;589;261;149;5;23;57;226;28;28;130;39;762;550
6;Noord-Nederland;2000;2211;2102;914;856;219;13;64;36;115;26;16;44;29;1851;360
7;Noord-Nederland;2002;2185;2061;771;917;268;3;62;38;125;40;56;1;28;1709;477
8;Oost-Nederland;1996;2070;1921;948;450;429;0;0;95;148;48;15;7;76;1558;512
9;Oost-Nederland;1998;2169;1998;843;592;369;0;55;138;170;67;23;4;74;1614;553
10;Oost-Nederland;2000;2538;2362;917;812;405;3;58;166;177;79;17;19;62;1828;710
11;Oost-Nederland;2002;2764;2589;1110;804;433;5;83;153;175;84;35;3;53;1874;889
12;West-Nederland;1996;3360;2921;915;1455;130;151;0;269;439;115;98;88;137;2388;972
13;West-Nederland;1998;3968;3380;982;1467;452;187;0;292;588;87;163;165;172;2676;1291
14;West-Nederland;2000;11260;10875;5048;4352;608;550;4;313;368;93;124;61;87;10163;1092
15;West-Nederland;2002;10539;10150;4595;4395;472;425;65;199;390;132;142;33;83;9545;993
16;Zuid-Nederland;1996;3521;3269;1536;914;400;232;0;185;253;83;41;16;112;2359;1162
17;Zuid-Nederland;1998;3737;3433;1504;1084;450;221;36;140;304;114;30;57;102;2725;1012
18;Zuid-Nederland;2000;4633;4369;1873;1764;437;94;40;163;272;114;35;36;88;3900;733
19;Zuid-Nederland;2002;4805;4548;1842;1902;568;16;46;175;257;123;63;1;71;4028;778
20;Groningen;1996;570;515;296;97;112;0;0;10;55;5;32;6;12;253;317
