ID;Kenmerken;Perioden;TotaalBevolking15Tot65Jaar_1;Totaal15Tot65JaarMetAandoening_2;WelArbeidsgehandicapt_3;NietArbeidsgehandicapt_4
0;100;2000;10729.0;2522.0;1465.0;1057.0
1;100;2001 voor revisie;10801.0;2585.0;1524.0;1061.0
2;100;2001 na revisie;10800.0;2633.0;1568.0;1066.0
3;100;2002;10863.0;2693.0;1797.0;896.0
4;100;2003;10903.0;2718.0;1806.0;912.0
5;100;2004;10925.0;2704.0;1799.0;904.0
6;100;2005;10940.0;2722.0;1764.0;959.0
7;100;2006 ;10948.0;2692.0;1683.0;1009.0
8;100;2007;10968.0;;;
9;100;2008;10997.0;2510.0;;
10;100;2009;11014.0;2559.0;1651.0;905.0
11;100;2010;11017.0;2339.0;1476.0;863.0
12;100;2011;10994.0;2114.0;1384.0;730.0
13;Totaal beroepsbevolking;2000;7187.0;1380.0;808.0;572.0
14;Totaal beroepsbevolking;2001 voor revisie;7273.0;1380.0;811.0;568.0
15;Totaal beroepsbevolking;2001 na revisie;7187.0;1370.0;803.0;566.0
16;Totaal beroepsbevolking;2002;7312.0;1408.0;825.0;583.0
17;Totaal beroepsbevolking;2003;7364.0;1437.0;827.0;610.0
18;Totaal beroepsbevolking;2004;7417.0;1439.0;830.0;609.0
19;Totaal beroepsbevolking;2005;7455.0;1447.0;798.0;649.0
20;Totaal beroepsbevolking;2006 ;7460.0;1439.0;762.0;677.0
21;Totaal beroepsbevolking;2007;7653.0;;;
22;Totaal beroepsbevolking;2008;7801.0;1370.0;;
23;Totaal beroepsbevolking;2009;7847.0;1403.0;769.0;634.0
24;Totaal beroepsbevolking;2010;7817.0;1251.0;641.0;610.0
25;Totaal beroepsbevolking;2011;7811.0;1073.0;563.0;510.0
26;Werkzame beroepsbevolking;2000;6917.0;1302.0;763.0;539.0
27;Werkzame beroepsbevolking;2001 voor revisie;7021.0;1312.0;772.0;540.0
28;Werkzame beroepsbevolking;2001 na revisie;6935.0;1301.0;763.0;538.0
29;Werkzame beroepsbevolking;2002;7010.0;1319.0;768.0;552.0
30;Werkzame beroepsbevolking;2003;6968.0;1329.0;757.0;572.0
31;Werkzame beroepsbevolking;2004;6941.0;1305.0;742.0;563.0
32;Werkzame beroepsbevolking;2005;6973.0;1309.0;712.0;597.0
33;Werkzame beroepsbevolking;2006 ;6994.0;1295.0;667.0;627.0
34;Werkzame beroepsbevolking;2007;7309.0;;;
35;Werkzame beroepsbevolking;2008;7501.0;1285.0;;
36;Werkzame beroepsbevolking;2009;7459.0;1306.0;707.0;599.0
37;Werkzame beroepsbevolking;2010;7391.0;1151.0;577.0;574.0
38;Werkzame beroepsbevolking;2011;7392.0;979.0;505.0;474.0
39;Werkloze beroepsbevolking;2000;270.0;78.0;45.0;33.0
40;Werkloze beroepsbevolking;2001 voor revisie;252.0;67.0;39.0;28.0
41;Werkloze beroepsbevolking;2001 na revisie;252.0;69.0;41.0;28.0
42;Werkloze beroepsbevolking;2002;302.0;89.0;57.0;32.0
43;Werkloze beroepsbevolking;2003;396.0;108.0;70.0;38.0
44;Werkloze beroepsbevolking;2004;476.0;134.0;88.0;47.0
45;Werkloze beroepsbevolking;2005;482.0;138.0;86.0;52.0
46;Werkloze beroepsbevolking;2006 ;466.0;145.0;95.0;49.0
47;Werkloze beroepsbevolking;2007;344.0;;;
48;Werkloze beroepsbevolking;2008;300.0;85.0;;
49;Werkloze beroepsbevolking;2009;388.0;97.0;62.0;35.0
50;Werkloze beroepsbevolking;2010;426.0;100.0;64.0;37.0
51;Werkloze beroepsbevolking;2011;419.0;93.0;58.0;36.0
52;Totaal niet beroepsbevolking;2000;3542.0;1142.0;657.0;485.0
53;Totaal niet beroepsbevolking;2001 voor revisie;3528.0;1205.0;712.0;493.0
54;Totaal niet beroepsbevolking;2001 na revisie;3613.0;1263.0;764.0;499.0
55;Totaal niet beroepsbevolking;2002;3551.0;1285.0;973.0;312.0
56;Totaal niet beroepsbevolking;2003;3539.0;1281.0;979.0;302.0
57;Totaal niet beroepsbevolking;2004;3508.0;1264.0;969.0;295.0
58;Totaal niet beroepsbevolking;2005;3485.0;1276.0;966.0;310.0
59;Totaal niet beroepsbevolking;2006 ;3487.0;1253.0;920.0;332.0
60;Totaal niet beroepsbevolking;2007;3315.0;;;
61;Totaal niet beroepsbevolking;2008;3196.0;1140.0;;
62;Totaal niet beroepsbevolking;2009;3166.0;1156.0;882.0;271.0
63;Totaal niet beroepsbevolking;2010;3200.0;1088.0;835.0;253.0
64;Totaal niet beroepsbevolking;2011;3183.0;1041.0;821.0;220.0
65;117;2000;448.0;165.0;114.0;52.0
66;117;2001 voor revisie;424.0;163.0;124.0;39.0
67;117;2001 na revisie;429.0;167.0;127.0;40.0
68;117;2002;404.0;165.0;125.0;40.0
69;117;2003;463.0;178.0;131.0;46.0
70;117;2004;503.0;191.0;145.0;46.0
71;117;2005;537.0;205.0;150.0;55.0
72;117;2006 ;550.0;213.0;155.0;58.0
73;117;2007;478.0;;;
74;117;2008;451.0;173.0;;
75;117;2009;459.0;171.0;128.0;43.0
76;117;2010;445.0;163.0;127.0;37.0
77;117;2011;386.0;136.0;112.0;24.0
78;118;2000;3084.0;974.0;544.0;431.0
79;118;2001 voor revisie;3092.0;1039.0;588.0;450.0
80;118;2001 na revisie;3172.0;1093.0;637.0;456.0
81;118;2002;3131.0;1114.0;845.0;270.0
82;118;2003;3060.0;1100.0;845.0;255.0
83;118;2004;2984.0;1068.0;821.0;247.0
84;118;2005;2926.0;1062.0;810.0;252.0
85;118;2006 ;2917.0;1033.0;763.0;270.0
86;118;2007;2821.0;;;
87;118;2008;2726.0;961.0;;
88;118;2009;2691.0;981.0;752.0;226.0
89;118;2010;2738.0;921.0;707.0;214.0
90;118;2011;2775.0;901.0;706.0;195.0
91;119;2000;393.0;285.0;259.0;26.0
92;119;2001 voor revisie;453.0;318.0;286.0;32.0
93;119;2001 na revisie;478.0;344.0;310.0;34.0
94;119;2002;502.0;370.0;350.0;20.0
95;119;2003;488.0;364.0;345.0;20.0
96;119;2004;492.0;369.0;347.0;22.0
97;119;2005;506.0;378.0;355.0;23.0
98;119;2006 ;472.0;330.0;307.0;23.0
99;119;2007;471.0;;;
100;119;2008;435.0;322.0;;
101;119;2009;448.0;350.0;328.0;21.0
102;119;2010;331.0;267.0;251.0;16.0
103;119;2011;252.0;219.0;208.0;11.0
104;120;2000;2691.0;689.0;285.0;405.0
105;120;2001 voor revisie;2639.0;721.0;303.0;418.0
106;120;2001 na revisie;2694.0;749.0;327.0;422.0
107;120;2002;2629.0;744.0;494.0;250.0
108;120;2003;2572.0;736.0;500.0;235.0
109;120;2004;2491.0;699.0;474.0;225.0
110;120;2005;2419.0;684.0;455.0;229.0
111;120;2006 ;2445.0;703.0;456.0;247.0
112;120;2007;2350.0;;;
113;120;2008;2291.0;639.0;;
114;120;2009;2242.0;632.0;424.0;205.0
115;120;2010;2406.0;654.0;456.0;198.0
116;120;2011;2523.0;682.0;498.0;184.0
117;121;2000;876.0;183.0;3.0;180.0
118;121;2001 voor revisie;894.0;190.0;5.0;185.0
119;121;2001 na revisie;916.0;194.0;6.0;188.0
120;121;2002;794.0;169.0;92.0;76.0
121;121;2003;712.0;158.0;87.0;72.0
122;121;2004;657.0;144.0;81.0;63.0
123;121;2005;593.0;131.0;74.0;57.0
124;121;2006 ;535.0;120.0;71.0;49.0
125;121;2007;464.0;;;
126;121;2008;413.0;77.0;;
127;121;2009;393.0;79.0;46.0;33.0
128;121;2010;319.0;54.0;28.0;25.0
129;121;2011;312.0;44.0;22.0;23.0
130;122;2000;898.0;90.0;4.0;86.0
131;122;2001 voor revisie;880.0;97.0;3.0;94.0
132;122;2001 na revisie;881.0;94.0;3.0;91.0
133;122;2002;899.0;99.0;36.0;63.0
134;122;2003;908.0;94.0;38.0;57.0
135;122;2004;928.0;96.0;36.0;60.0
136;122;2005;943.0;102.0;39.0;64.0
137;122;2006 ;993.0;99.0;33.0;66.0
138;122;2007;949.0;;;
139;122;2008;938.0;105.0;;
140;122;2009;952.0;117.0;51.0;66.0
141;122;2010;1019.0;92.0;39.0;54.0
142;122;2011;1050.0;87.0;41.0;46.0
143;123;2000;272.0;62.0;;62.0
144;123;2001 voor revisie;299.0;73.0;;72.0
145;123;2001 na revisie;295.0;73.0;;73.0
146;123;2002;366.0;97.0;45.0;52.0
147;123;2003;381.0;109.0;55.0;55.0
148;123;2004;390.0;112.0;58.0;54.0
149;123;2005;381.0;118.0;56.0;63.0
150;123;2006 ;410.0;126.0;57.0;68.0
151;123;2007;367.0;;;
152;123;2008;347.0;99.0;;
153;123;2009;320.0;88.0;39.0;48.0
154;123;2010;416.0;101.0;40.0;61.0
155;123;2011;496.0;119.0;55.0;64.0
156;124;2000;570.0;536.0;534.0;
157;124;2001 voor revisie;612.0;578.0;576.0;
158;124;2001 na revisie;663.0;626.0;624.0;
159;124;2002;686.0;656.0;624.0;32.0
160;124;2003;677.0;641.0;616.0;26.0
161;124;2004;651.0;624.0;598.0;25.0
162;124;2005;648.0;622.0;596.0;26.0
163;124;2006 ;606.0;582.0;549.0;33.0
164;124;2007;627.0;;;
165;124;2008;616.0;583.0;;
166;124;2009;626.0;599.0;565.0;32.0
167;124;2010;637.0;594.0;557.0;37.0
168;124;2011;639.0;595.0;559.0;36.0
169;125;2000;478.0;105.0;2.0;103.0
170;125;2001 voor revisie;420.0;105.0;2.0;102.0
171;125;2001 na revisie;430.0;109.0;3.0;106.0
172;125;2002;402.0;99.0;51.0;48.0
173;125;2003;397.0;101.0;53.0;48.0
174;125;2004;378.0;97.0;50.0;47.0
175;125;2005;382.0;96.0;51.0;45.0
176;125;2006 ;394.0;114.0;56.0;58.0
177;125;2007;431.0;;;
178;125;2008;431.0;102.0;;
179;125;2009;415.0;102.0;53.0;49.0
180;125;2010;363.0;84.0;44.0;39.0
181;125;2011;300.0;60.0;33.0;27.0
182;Werkkring: werknemer;2000;6116.0;1157.0;670.0;487.0
183;Werkkring: werknemer;2001 voor revisie;6256.0;1177.0;683.0;494.0
184;Werkkring: werknemer;2001 na revisie;6111.0;1156.0;666.0;490.0
185;Werkkring: werknemer;2002;6130.0;1169.0;671.0;498.0
186;Werkkring: werknemer;2003;6086.0;1174.0;659.0;514.0
187;Werkkring: werknemer;2004;6025.0;1145.0;640.0;505.0
188;Werkkring: werknemer;2005;6056.0;1143.0;612.0;531.0
189;Werkkring: werknemer;2006 ;6042.0;1146.0;582.0;563.0
190;Werkkring: werknemer;2007;6305.0;;;
191;Werkkring: werknemer;2008;7204.0;1221.0;;
192;Werkkring: werknemer;2009;7169.0;1252.0;667.0;585.0
193;Werkkring: werknemer;2010;7077.0;1098.0;544.0;554.0
194;Werkkring: werknemer;2011;7074.0;946.0;488.0;458.0
195;Werkkring: werkn. vaste arbeidsrelatie;2000;5290.0;1020.0;595.0;425.0
196;Werkkring: werkn. vaste arbeidsrelatie;2001 voor revisie;5452.0;1037.0;607.0;430.0
197;Werkkring: werkn. vaste arbeidsrelatie;2001 na revisie;5317.0;1016.0;591.0;426.0
198;Werkkring: werkn. vaste arbeidsrelatie;2002;5342.0;1029.0;597.0;433.0
199;Werkkring: werkn. vaste arbeidsrelatie;2003;5306.0;1031.0;587.0;444.0
200;Werkkring: werkn. vaste arbeidsrelatie;2004;5229.0;1011.0;570.0;441.0
201;Werkkring: werkn. vaste arbeidsrelatie;2005;5202.0;1001.0;543.0;459.0
202;Werkkring: werkn. vaste arbeidsrelatie;2006 ;5204.0;1000.0;512.0;489.0
203;Werkkring: werkn. vaste arbeidsrelatie;2007;5231.0;;;
204;Werkkring: werkn. vaste arbeidsrelatie;2008;5351.0;937.0;;
205;Werkkring: werkn. vaste arbeidsrelatie;2009;5278.0;946.0;499.0;447.0
206;Werkkring: werkn. vaste arbeidsrelatie;2010;5233.0;839.0;425.0;415.0
207;Werkkring: werkn. vaste arbeidsrelatie;2011;5225.0;729.0;373.0;356.0
208;Werkkring: werkn. flexibele arbeidsrel..;2000;826.0;136.0;75.0;62.0
209;Werkkring: werkn. flexibele arbeidsrel..;2001 voor revisie;804.0;140.0;75.0;64.0
210;Werkkring: werkn. flexibele arbeidsrel..;2001 na revisie;794.0;140.0;75.0;65.0
211;Werkkring: werkn. flexibele arbeidsrel..;2002;789.0;140.0;75.0;65.0
212;Werkkring: werkn. flexibele arbeidsrel..;2003;779.0;142.0;72.0;70.0
213;Werkkring: werkn. flexibele arbeidsrel..;2004;796.0;134.0;70.0;64.0
214;Werkkring: werkn. flexibele arbeidsrel..;2005;854.0;142.0;70.0;72.0
215;Werkkring: werkn. flexibele arbeidsrel..;2006 ;838.0;145.0;71.0;75.0
216;Werkkring: werkn. flexibele arbeidsrel..;2007;1074.0;;;
217;Werkkring: werkn. flexibele arbeidsrel..;2008;1112.0;174.0;;
218;Werkkring: werkn. flexibele arbeidsrel..;2009;1145.0;188.0;105.0;83.0
219;Werkkring: werkn. flexibele arbeidsrel..;2010;1109.0;158.0;67.0;92.0
220;Werkkring: werkn. flexibele arbeidsrel..;2011;1101.0;123.0;60.0;63.0
221;Werkkring: zelfstandige;2000;801.0;146.0;93.0;52.0
222;Werkkring: zelfstandige;2001 voor revisie;765.0;136.0;90.0;46.0
223;Werkkring: zelfstandige;2001 na revisie;824.0;145.0;97.0;48.0
