ID;GeslachtWerknemer;Dienstverband;CaoSector;OverigeKenmerkenWerknemer;Perioden;Banen_1;Arbeidsvolume_2;Uurloon_3;MaandloonInclusiefOverwerk_4;MaandloonExclusiefOverwerk_5;JaarloonInclusiefBijzondereBeloning_6;JaarloonExclusiefBijzondereBeloning_7;BijzondereBeloning_8;BijtellingAutoVanDeZaak_9;PerBaanPerWeekInclusiefOverwerk_10;PerBaanPerWeekExclusiefOverwerk_11;PerBaanPerJaar_12;PerArbeidsjaar_13
0;Totaal;Totaal;Totaal;Totaal;2006;7532.0;5715.0;18.39;2061.0;2027.0;28280.0;24730.0;3550.0;420.0;29.2;28.8;1322.0;1743.0
1;Totaal;Totaal;Totaal;Totaal;2007;7757.0;5904.0;18.9;2104.0;2068.0;28990.0;25250.0;3740.0;440.0;29.3;28.9;1313.0;1725.0
2;Totaal;Totaal;Totaal;Totaal;2008;7881.0;6010.0;19.5;2171.0;2136.0;29960.0;26050.0;3910.0;510.0;29.3;28.9;1314.0;1724.0
3;Totaal;Totaal;Totaal;Totaal;2009;7819.0;5923.0;20.01;2229.0;2198.0;30700.0;26750.0;3950.0;510.0;29.2;28.8;1318.0;1740.0
4;Totaal;Totaal;Totaal;Leeftijd: 0 tot 15 jaar;2006;11.0;2.0;4.01;122.0;122.0;1530.0;1470.0;60.0;0.0;8.1;8.1;364.0;1689.0
5;Totaal;Totaal;Totaal;Leeftijd: 0 tot 15 jaar;2007;12.0;3.0;3.9;115.0;114.0;1430.0;1380.0;50.0;0.0;8.0;8.0;352.0;1637.0
6;Totaal;Totaal;Totaal;Leeftijd: 0 tot 15 jaar;2008;;;;;;;;;;;;;
7;Totaal;Totaal;Totaal;Leeftijd: 0 tot 15 jaar;2009;12.0;2.0;3.67;104.0;104.0;1300.0;1250.0;50.0;0.0;7.4;7.4;339.0;1718.0
8;Totaal;Totaal;Totaal;Leeftijd: 15 tot 20 jaar;2006;514.0;196.0;5.7;326.0;318.0;4230.0;3910.0;320.0;0.0;14.9;14.6;669.0;1751.0
9;Totaal;Totaal;Totaal;Leeftijd: 15 tot 20 jaar;2007;556.0;216.0;5.78;327.0;319.0;4250.0;3930.0;320.0;0.0;14.9;14.7;663.0;1708.0
10;Totaal;Totaal;Totaal;Leeftijd: 15 tot 20 jaar;2008;581.0;225.0;5.98;339.0;332.0;4390.0;4070.0;320.0;0.0;14.9;14.6;665.0;1714.0
