ID;BronTechniek;Energietoepassingen;Perioden;BrutoEindverbruik_1;BrutoEindverbruikRelatief_2;VermedenVerbruik_3;VermedenVerbruikRelatief_4;VermedenEmissie_5;VermedenEmissieRelatief_6
0;Totaal energiebronnen;Totaal energietoepassingen;1990;21772.0;1.2;16708.0;0.59;1051.0;0.64
1;Totaal energiebronnen;Totaal energietoepassingen;1991;22528.0;1.16;18291.0;0.62;1142.0;0.67
2;Totaal energiebronnen;Totaal energietoepassingen;1992;23188.0;1.21;19060.0;0.65;1181.0;0.69
3;Totaal energiebronnen;Totaal energietoepassingen;1993;23930.0;1.2;20182.0;0.67;1255.0;0.73
4;Totaal energiebronnen;Totaal energietoepassingen;1994;24303.0;1.24;20875.0;0.7;1322.0;0.75
5;Totaal energiebronnen;Totaal energietoepassingen;1995;25459.0;1.25;22579.0;0.73;1452.0;0.84
6;Totaal energiebronnen;Totaal energietoepassingen;1996;27993.0;1.27;26629.0;0.82;1721.0;0.94
7;Totaal energiebronnen;Totaal energietoepassingen;1997;30871.0;1.46;29603.0;0.94;1932.0;1.1
8;Totaal energiebronnen;Totaal energietoepassingen;1998;31932.0;1.51;31685.0;1.01;2071.0;1.17
9;Totaal energiebronnen;Totaal energietoepassingen;1999;33301.0;1.6;34480.0;1.11;2243.0;1.31
10;Totaal energiebronnen;Totaal energietoepassingen;2000;34689.0;1.62;37811.0;1.21;2521.0;1.46
11;Totaal energiebronnen;Totaal energietoepassingen;2001;36562.0;1.68;42342.0;1.32;2920.0;1.65
12;Totaal energiebronnen;Totaal energietoepassingen;2002;40076.0;1.85;49790.0;1.54;3508.0;1.99
13;Totaal energiebronnen;Totaal energietoepassingen;2003;40600.0;1.84;51012.0;1.53;;
14;Totaal energiebronnen;Totaal energietoepassingen;2004;47422.0;2.04;62982.0;1.86;;
15;Totaal energiebronnen;Totaal energietoepassingen;2005;57143.0;2.48;83761.0;2.5;;
16;Totaal energiebronnen;Totaal energietoepassingen;2006;63478.0;2.78;91560.0;2.78;;
17;Totaal energiebronnen;Totaal energietoepassingen;2007;74123.0;3.3;97307.0;2.95;;
18;Totaal energiebronnen;Totaal energietoepassingen;2008;82081.0;3.6;114329.0;3.5;;
19;Totaal energiebronnen;Totaal energietoepassingen;2009;93660.0;4.27;131753.0;4.07;8930.0;5.24
20;Totaal energiebronnen;Totaal energietoepassingen;2010;92411.0;3.92;133191.0;3.84;9310.0;5.1
21;Totaal energiebronnen;Totaal energietoepassingen;2011;99256.0;4.53;140106.0;4.33;9733.0;5.75
22;Totaal energiebronnen;Totaal energietoepassingen;2012;102676.0;4.66;148316.0;4.57;10543.0;6.35
23;Totaal energiebronnen;Totaal energietoepassingen;2013;103463.0;4.69;144697.0;4.55;10207.0;6.15
24;Totaal energiebronnen;Totaal energietoepassingen;2014;108835.0;5.42;150280.0;4.94;10357.0;6.52
25;Totaal energiebronnen;Totaal energietoepassingen;2015;117192.0;5.66;166920.0;5.36;11802.0;7.07
26;Totaal energiebronnen;Totaal energietoepassingen;2016;122177.0;5.83;180367.0;5.72;12513.0;7.49
27;Totaal energiebronnen;Totaal energietoepassingen;2017;136815.0;6.46;197281.0;6.22;13534.0;8.21
28;Totaal energiebronnen;Totaal energietoepassingen;2018;156100.0;7.38;218670.0;7.03;14745.0;9.18
29;Totaal energiebronnen;Totaal energietoepassingen;2019;181538.0;8.67;255883.0;8.34;17603.0;11.34
30;Totaal energiebronnen;Elektriciteit;1990;2914.0;0.16;6946.0;0.24;497.0;0.3
31;Totaal energiebronnen;Elektriciteit;1991;3349.0;0.17;8075.0;0.27;562.0;0.33
32;Totaal energiebronnen;Elektriciteit;1992;3534.0;0.18;8441.0;0.29;577.0;0.34
33;Totaal energiebronnen;Elektriciteit;1993;4061.0;0.2;9414.0;0.31;643.0;0.37
34;Totaal energiebronnen;Elektriciteit;1994;4508.0;0.23;10450.0;0.35;730.0;0.42
35;Totaal energiebronnen;Elektriciteit;1995;5123.0;0.25;11808.0;0.38;840.0;0.48
36;Totaal energiebronnen;Elektriciteit;1996;6628.0;0.3;14988.0;0.46;1060.0;0.58
37;Totaal energiebronnen;Elektriciteit;1997;7362.0;0.35;15750.0;0.5;1145.0;0.65
38;Totaal energiebronnen;Elektriciteit;1998;8131.0;0.38;17441.0;0.55;1261.0;0.71
39;Totaal energiebronnen;Elektriciteit;1999;9108.0;0.44;19784.0;0.64;1408.0;0.82
40;Totaal energiebronnen;Elektriciteit;2000;10334.0;0.48;22919.0;0.73;1675.0;0.97
41;Totaal energiebronnen;Elektriciteit;2001;11907.0;0.55;27489.0;0.86;2074.0;1.17
42;Totaal energiebronnen;Elektriciteit;2002;14623.0;0.68;33741.0;1.05;2588.0;1.47
43;Totaal energiebronnen;Elektriciteit;2003;14573.0;0.66;34135.0;1.02;2571.0;1.43
44;Totaal energiebronnen;Elektriciteit;2004;18822.0;0.81;43743.0;1.29;3258.0;1.79
45;Totaal energiebronnen;Elektriciteit;2005;26814.0;1.17;62926.0;1.88;4620.0;2.6
46;Totaal energiebronnen;Elektriciteit;2006;28325.0;1.24;66523.0;2.02;4816.0;2.78
47;Totaal energiebronnen;Elektriciteit;2007;26359.0;1.17;59825.0;1.81;4485.0;2.59
48;Totaal energiebronnen;Elektriciteit;2008;33170.0;1.45;76498.0;2.34;5639.0;3.21
49;Totaal energiebronnen;Elektriciteit;2009;38719.0;1.76;87862.0;2.72;6575.0;3.86
50;Totaal energiebronnen;Elektriciteit;2010;42185.0;1.79;94376.0;2.72;7100.0;3.89
51;Totaal energiebronnen;Elektriciteit;2011;43147.0;1.97;95063.0;2.94;7137.0;4.21
52;Totaal energiebronnen;Elektriciteit;2012;44841.0;2.04;101516.0;3.13;7820.0;4.71
53;Totaal energiebronnen;Elektriciteit;2013;42771.0;1.94;94988.0;2.99;7312.0;4.4
54;Totaal energiebronnen;Elektriciteit;2014;42197.0;2.1;95167.0;3.13;7163.0;4.51
55;Totaal energiebronnen;Elektriciteit;2015;47347.0;2.29;108126.0;3.47;8501.0;5.09
56;Totaal energiebronnen;Elektriciteit;2016;54263.0;2.59;123788.0;3.92;9315.0;5.58
57;Totaal energiebronnen;Elektriciteit;2017;60011.0;2.83;133164.0;4.2;9829.0;5.96
58;Totaal energiebronnen;Elektriciteit;2018;66640.0;3.15;144056.0;4.63;10306.0;6.42
59;Totaal energiebronnen;Elektriciteit;2019;78697.0;3.76;168445.0;5.49;12256.0;7.89
60;Totaal energiebronnen;Warmte;1990;18858.0;1.04;9762.0;0.34;555.0;0.34
61;Totaal energiebronnen;Warmte;1991;19179.0;0.98;10216.0;0.35;580.0;0.34
62;Totaal energiebronnen;Warmte;1992;19654.0;1.02;10619.0;0.36;603.0;0.35
63;Totaal energiebronnen;Warmte;1993;19868.0;1.0;10768.0;0.36;612.0;0.36
64;Totaal energiebronnen;Warmte;1994;19795.0;1.01;10425.0;0.35;592.0;0.34
65;Totaal energiebronnen;Warmte;1995;20335.0;1.0;10771.0;0.35;612.0;0.35
66;Totaal energiebronnen;Warmte;1996;21365.0;0.97;11641.0;0.36;662.0;0.36
67;Totaal energiebronnen;Warmte;1997;23508.0;1.11;13854.0;0.44;787.0;0.45
68;Totaal energiebronnen;Warmte;1998;23801.0;1.12;14244.0;0.45;810.0;0.46
