ID;BurgerlijkeStaat;Geslacht;Privevermogen;TotaalPrivevermogenEuroS_1;TotaalPrivevermogenAantallen_2
0;Totaal burgerlijke staat;Mannen en vrouwen;Totaal privévermogen;9640937;113350
1;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;-52755;1220
2;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;52668;23510
3;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;104829;14240
4;Totaal burgerlijke staat;Mannen en vrouwen;10 000 tot 25 000 euro;387217;23850
5;Totaal burgerlijke staat;Mannen en vrouwen;25 000 tot 50 000 euro;420463;11910
6;Totaal burgerlijke staat;Mannen en vrouwen;50 000 tot 100 000 euro;884090;12030
7;Totaal burgerlijke staat;Mannen en vrouwen;100 000 tot 200 000 euro;1968547;13750
8;Totaal burgerlijke staat;Mannen en vrouwen;200 000 tot 500 000 euro;3029565;10160
9;Totaal burgerlijke staat;Mannen en vrouwen;500 000 euro en meer;2846312;2680
10;Totaal burgerlijke staat;Mannen;Totaal privévermogen;5010401;55780
11;Totaal burgerlijke staat;Mannen;Negatief of nul euro;-35668;780
12;Totaal burgerlijke staat;Mannen;> 0 tot 5 000 euro;23850;11090
13;Totaal burgerlijke staat;Mannen;5 000 tot 10 000 euro;46043;6250
14;Totaal burgerlijke staat;Mannen;10 000 tot 25 000 euro;172851;10630
15;Totaal burgerlijke staat;Mannen;25 000 tot 50 000 euro;204293;5730
16;Totaal burgerlijke staat;Mannen;50 000 tot 100 000 euro;499592;6750
17;Totaal burgerlijke staat;Mannen;100 000 tot 200 000 euro;1131084;7940
18;Totaal burgerlijke staat;Mannen;200 000 tot 500 000 euro;1574045;5330
19;Totaal burgerlijke staat;Mannen;500 000 euro en meer;1394310;1290
20;Totaal burgerlijke staat;Vrouwen;Totaal privévermogen;4630535;57570
21;Totaal burgerlijke staat;Vrouwen;Negatief of nul euro;-17087;440
22;Totaal burgerlijke staat;Vrouwen;> 0 tot 5 000 euro;28818;12420
23;Totaal burgerlijke staat;Vrouwen;5 000 tot 10 000 euro;58785;7990
24;Totaal burgerlijke staat;Vrouwen;10 000 tot 25 000 euro;214366;13220
25;Totaal burgerlijke staat;Vrouwen;25 000 tot 50 000 euro;216170;6190
26;Totaal burgerlijke staat;Vrouwen;50 000 tot 100 000 euro;384498;5280
27;Totaal burgerlijke staat;Vrouwen;100 000 tot 200 000 euro;837463;5820
28;Totaal burgerlijke staat;Vrouwen;200 000 tot 500 000 euro;1455519;4830
29;Totaal burgerlijke staat;Vrouwen;500 000 euro en meer;1452003;1390
30;Ongehuwd;Mannen en vrouwen;Totaal privévermogen;1241403;10300
31;Ongehuwd;Mannen en vrouwen;Negatief of nul euro;-7918;130
32;Ongehuwd;Mannen en vrouwen;> 0 tot 5 000 euro;4613;2290
33;Ongehuwd;Mannen en vrouwen;5 000 tot 10 000 euro;7614;1050
34;Ongehuwd;Mannen en vrouwen;10 000 tot 25 000 euro;28146;1710
35;Ongehuwd;Mannen en vrouwen;25 000 tot 50 000 euro;41764;1180
36;Ongehuwd;Mannen en vrouwen;50 000 tot 100 000 euro;75366;1040
37;Ongehuwd;Mannen en vrouwen;100 000 tot 200 000 euro;169969;1160
38;Ongehuwd;Mannen en vrouwen;200 000 tot 500 000 euro;402042;1310
39;Ongehuwd;Mannen en vrouwen;500 000 euro en meer;519806;440
40;Ongehuwd;Mannen;Totaal privévermogen;605981;5280
41;Ongehuwd;Mannen;Negatief of nul euro;-6440;100
42;Ongehuwd;Mannen;> 0 tot 5 000 euro;2633;1350
43;Ongehuwd;Mannen;5 000 tot 10 000 euro;3840;540
44;Ongehuwd;Mannen;10 000 tot 25 000 euro;13345;830
45;Ongehuwd;Mannen;25 000 tot 50 000 euro;19063;540
46;Ongehuwd;Mannen;50 000 tot 100 000 euro;35947;500
47;Ongehuwd;Mannen;100 000 tot 200 000 euro;84347;580
48;Ongehuwd;Mannen;200 000 tot 500 000 euro;195671;640
49;Ongehuwd;Mannen;500 000 euro en meer;257575;220
50;Ongehuwd;Vrouwen;Totaal privévermogen;635422;5020
51;Ongehuwd;Vrouwen;Negatief of nul euro;-1478;30
52;Ongehuwd;Vrouwen;> 0 tot 5 000 euro;1980;940
53;Ongehuwd;Vrouwen;5 000 tot 10 000 euro;3774;520
54;Ongehuwd;Vrouwen;10 000 tot 25 000 euro;14801;880
55;Ongehuwd;Vrouwen;25 000 tot 50 000 euro;22701;640
56;Ongehuwd;Vrouwen;50 000 tot 100 000 euro;39419;550
57;Ongehuwd;Vrouwen;100 000 tot 200 000 euro;85622;580
