ID;Leeftijd31DecemberBijVerweduwen;HuwelijksduurOp31December;Perioden;VerweduwendeMannenEnVrouwen_1;VerweduwendeMannen_2;VerweduwendeVrouwen_3
0;Totaal;Totaal;1996;59269.0;17237.0;42032.0
1;Totaal;Totaal;1997;57964.0;17022.0;40942.0
2;Totaal;Totaal;1998;58314.0;17315.0;40999.0
3;Totaal;Totaal;1999;58824.0;17728.0;41096.0
4;Totaal;Totaal;2000;58953.0;17890.0;41063.0
5;Totaal;Totaal;2001;58471.0;17882.0;40589.0
6;Totaal;Totaal;2002;58525.0;18058.0;40467.0
7;Totaal;Totaal;2003;58291.0;18051.0;40240.0
8;Totaal;Totaal;2004;56681.0;17761.0;38920.0
9;Totaal;Totaal;2005;56273.0;17660.0;38613.0
10;Totaal;Totaal;2006;55141.0;17252.0;37889.0
11;Totaal;Totaal;2007;54756.0;17152.0;37604.0
12;Totaal;Totaal;2008;54743.0;17638.0;37105.0
13;Totaal;Totaal;2009;54918.0;17465.0;37453.0
14;Totaal;Totaal;2010;55801.0;17947.0;37854.0
15;Totaal;Totaal;2011;54723.0;18053.0;36670.0
16;Totaal;Totaal;2012;56124.0;18203.0;37921.0
17;Totaal;Totaal;2013;56257.0;18360.0;37897.0
18;Totaal;Totaal;2014;55398.0;18441.0;36957.0
19;Totaal;Totaal;2015;57604.0;19128.0;38476.0
20;Totaal;Totaal;2016;58130.0;19406.0;38724.0
21;Totaal;Totaal;2017;58404.0;19583.0;38821.0
22;Totaal;Totaal;2018;59821.0;20326.0;39495.0
23;Totaal;Totaal;2019;59604.0;20231.0;39373.0
24;Totaal;Totaal;2020;65728.0;21413.0;44315.0
25;Totaal;Totaal;2021;66950.0;22022.0;44928.0
26;Totaal;Totaal;2022;64627.0;22208.0;42419.0
27;Totaal;Totaal;2023;63908.0;21951.0;41957.0
28;Totaal;Minder dan 1 jaar;1996;203.0;56.0;147.0
29;Totaal;Minder dan 1 jaar;1997;201.0;57.0;144.0
30;Totaal;Minder dan 1 jaar;1998;219.0;67.0;152.0
31;Totaal;Minder dan 1 jaar;1999;209.0;74.0;135.0
32;Totaal;Minder dan 1 jaar;2000;202.0;61.0;141.0
33;Totaal;Minder dan 1 jaar;2001;241.0;65.0;176.0
34;Totaal;Minder dan 1 jaar;2002;219.0;81.0;138.0
35;Totaal;Minder dan 1 jaar;2003;232.0;73.0;159.0
36;Totaal;Minder dan 1 jaar;2004;241.0;84.0;157.0
37;Totaal;Minder dan 1 jaar;2005;237.0;85.0;152.0
38;Totaal;Minder dan 1 jaar;2006;234.0;73.0;161.0
39;Totaal;Minder dan 1 jaar;2007;243.0;83.0;160.0
40;Totaal;Minder dan 1 jaar;2008;270.0;102.0;168.0
41;Totaal;Minder dan 1 jaar;2009;281.0;96.0;185.0
42;Totaal;Minder dan 1 jaar;2010;261.0;95.0;166.0
43;Totaal;Minder dan 1 jaar;2011;254.0;109.0;145.0
44;Totaal;Minder dan 1 jaar;2012;266.0;87.0;179.0
45;Totaal;Minder dan 1 jaar;2013;255.0;95.0;160.0
46;Totaal;Minder dan 1 jaar;2014;268.0;93.0;175.0
47;Totaal;Minder dan 1 jaar;2015;260.0;99.0;161.0
48;Totaal;Minder dan 1 jaar;2016;280.0;94.0;186.0
49;Totaal;Minder dan 1 jaar;2017;319.0;120.0;199.0
50;Totaal;Minder dan 1 jaar;2018;299.0;115.0;184.0
51;Totaal;Minder dan 1 jaar;2019;305.0;106.0;199.0
52;Totaal;Minder dan 1 jaar;2020;305.0;117.0;188.0
53;Totaal;Minder dan 1 jaar;2021;292.0;110.0;182.0
54;Totaal;Minder dan 1 jaar;2022;334.0;115.0;219.0
55;Totaal;Minder dan 1 jaar;2023;318.0;121.0;197.0
56;Totaal;1 jaar;1996;227.0;59.0;168.0
