ID;RegioS;Perioden;TotaalJeugdreclasseringstrajecten_1;TotaalBegonnenTrajecten_2;TotaalBeeindigdeTrajecten_3;k_0Tot3Maanden_4;k_3Tot6Maanden_5;k_6Tot12Maanden_6;k_1Tot2Jaar_7;k_2JaarOfLanger_8;BeeindigingVolgensPlan_9;TussentijdseOpheffing_10;OvergangNaarVolwassenReclassering_11;Terugmelding_12;NaderBesluitRechter_13;OverlijdenJeugdige_14;TotaalToezEnBegelGedwongenKader_15;TotaalBegonnenTrajecten_16;TotaalBeeindigdeTrajecten_17;k_0Tot3Maanden_18;k_3Tot6Maanden_19;k_6Tot12Maanden_20;k_1Tot2Jaar_21;k_2JaarOfLanger_22;BeeindigingVolgensPlan_23;TussentijdseOpheffing_24;OvergangNaarVolwassenReclassering_25;Terugmelding_26;NaderBesluitRechter_27;OverlijdenJeugdige_28;TotaalToezEnBegeleidingVrijwillig_29;TotaalBegonnenTrajecten_30;TotaalBeeindigdeTrajecten_31;k_0Tot3Maanden_32;k_3Tot6Maanden_33;k_6Tot12Maanden_34;k_1Tot2Jaar_35;k_2JaarOfLanger_36;BeeindigingVolgensPlan_37;TussentijdseOpheffing_38;OvergangNaarVolwassenReclassering_39;Terugmelding_40;NaderBesluitRechter_41;OverlijdenJeugdige_42;TotaalOverig_43;TotaalBegonnenTrajecten_44;TotaalBeeindigdeTrajecten_45;k_0Tot3Maanden_46;k_3Tot6Maanden_47;k_6Tot12Maanden_48;k_1Tot2Jaar_49;k_2JaarOfLanger_50;BeeindigingVolgensPlan_51;TussentijdseOpheffing_52;OvergangNaarVolwassenReclassering_53;Terugmelding_54;NaderBesluitRechter_55;OverlijdenJeugdige_56
0;Nederland;2015 1e kwartaal;9085.0;1410.0;1500.0;210.0;235.0;280.0;240.0;530.0;1485.0;;;;;;7440.0;850.0;955.0;40.0;70.0;125.0;195.0;525.0;940.0;;;;;;1220.0;440.0;410.0;145.0;120.0;105.0;40.0;;405.0;;;;;;425.0;120.0;140.0;25.0;50.0;55.0;;;135.0;;;;;
1;Noord-Nederland (LD);2015 1e kwartaal;940.0;170.0;175.0;35.0;25.0;20.0;15.0;80.0;170.0;;;;;;810.0;105.0;130.0;;15.0;15.0;15.0;80.0;125.0;;;;;;100.0;55.0;40.0;25.0;10.0;;;;40.0;;;;;;25.0;10.0;;;;;;;;;;;;
2;Oost-Nederland (LD);2015 1e kwartaal;1760.0;290.0;280.0;40.0;50.0;55.0;40.0;100.0;280.0;;;;;;1425.0;155.0;175.0;;10.0;25.0;35.0;100.0;175.0;;;;;;275.0;115.0;85.0;25.0;30.0;25.0;;;85.0;;;;;;60.0;20.0;20.0;;10.0;10.0;;;20.0;;;;;
3;West-Nederland (LD);2015 1e kwartaal;4660.0;685.0;750.0;105.0;115.0;140.0;135.0;255.0;745.0;;;;;;3740.0;395.0;475.0;20.0;35.0;60.0;105.0;255.0;470.0;;;;;;630.0;220.0;190.0;65.0;50.0;50.0;25.0;;190.0;;;;;;285.0;70.0;85.0;15.0;30.0;35.0;;;85.0;;;;;
4;Zuid-Nederland (LD);2015 1e kwartaal;1730.0;270.0;295.0;35.0;50.0;65.0;50.0;95.0;290.0;;;;;;1465.0;195.0;175.0;;10.0;25.0;40.0;95.0;175.0;;;;;;215.0;50.0;95.0;30.0;30.0;25.0;10.0;;95.0;;;;;;55.0;25.0;25.0;;;10.0;;;25.0;;;;;
5;Groningen (PV);2015 1e kwartaal;440.0;75.0;85.0;15.0;10.0;10.0;;45.0;85.0;;;;;;375.0;45.0;60.0;;;;;45.0;60.0;;;;;;50.0;25.0;20.0;10.0;;;;;20.0;;;;;;15.0;;;;;;;;;;;;;
6;Friesland (PV);2015 1e kwartaal;255.0;50.0;55.0;10.0;10.0;10.0;;20.0;50.0;;;;;;215.0;30.0;35.0;;;;;20.0;35.0;;;;;;30.0;15.0;15.0;10.0;;;;;15.0;;;;;;10.0;;;;;;;;;;;;;
7;Drenthe (PV);2015 1e kwartaal;245.0;45.0;40.0;;10.0;;;15.0;40.0;;;;;;220.0;35.0;30.0;;;;;15.0;30.0;;;;;;20.0;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
8;Overijssel (PV);2015 1e kwartaal;575.0;105.0;90.0;15.0;20.0;15.0;10.0;35.0;90.0;;;;;;450.0;50.0;50.0;;;;;35.0;50.0;;;;;;100.0;40.0;40.0;10.0;15.0;10.0;;;40.0;;;;;;25.0;10.0;;;;;;;;;;;;
9;Flevoland (PV);2015 1e kwartaal;250.0;35.0;40.0;;;10.0;;15.0;40.0;;;;;;220.0;30.0;25.0;;;;;15.0;25.0;;;;;;20.0;;10.0;;;;;;10.0;;;;;;10.0;;;;;;;;;;;;;
