ID;Overheidssectoren;Perioden;TotaalMannenEnVrouwen_1;Mannen_2;Vrouwen_3;k_25Jaar_4;k_2534Jaar_5;k_3544Jaar_6;k_4554Jaar_7;k_5559Jaar_8;k_59Jaar_9;k_14_10;k_510_11;k_10_12;InclZwangerschapsEnBevallingsverlof_13;ExclZwangerschapsEnBevallingsverlof_14;InclZwangerschapsEnBevallingsverlof_15;TotaalMannenEnVrouwen_16;Mannen_17;Vrouwen_18;k_25Jaar_19;k_2534Jaar_20;k_3544Jaar_21;k_4554Jaar_22;k_5559Jaar_23;k_59Jaar_24;k_14_25;k_510_26;k_10_27;TotaalMannenEnVrouwen_28;Mannen_29;Vrouwen_30;k_25Jaar_31;k_2534Jaar_32;k_3544Jaar_33;k_4554Jaar_34;k_5559Jaar_35;k_59Jaar_36;k_14_37;k_510_38;k_10_39;TotaalMannenEnVrouwen_40;Mannen_41;Vrouwen_42;k_25Jaar_43;k_2534Jaar_44;k_3544Jaar_45;k_4554Jaar_46;k_5559Jaar_47;k_59Jaar_48;k_14_49;k_510_50;k_10_51;TotaalMannenEnVrouwen_52;Mannen_53;Vrouwen_54;k_25Jaar_55;k_2534Jaar_56;k_3544Jaar_57;k_4554Jaar_58;k_5559Jaar_59;k_59Jaar_60;k_14_61;k_510_62;k_10_63;PersonenZonderVerzuim_64;BeeindigdeVerzuimgevallen_65;Tot1Week_66;k_16Weken_67;k_6Weken05Jaar_68;k_05Jaar1Jaar_69;k_115Jaar_70;k_15JaarEnLanger_71
0;Rijk;1992;6.7;;;;;;;;;;;;;;;2.1;;;;;;;;;;;;11.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Rijk;1993;6.7;5.9;9.0;5.7;6.3;6.6;7.2;8.7;7.6;10.0;6.9;3.8;7.2;;;2.1;1.8;2.7;2.9;2.5;2.1;1.7;1.6;1.2;2.6;2.2;1.5;11.9;11.9;11.9;6.8;9.2;11.4;15.3;23.5;28.3;14.2;11.9;9.1;106.1;73.7;32.3;3.2;32.9;37.4;25.9;5.2;1.5;15.7;68.3;22.0;100.9;72.4;28.4;3.1;31.3;35.5;24.8;4.9;1.4;14.1;65.5;21.2;26.0;221.0;77.1;19.1;2.9;0.5;0.2;0.2
2;Rijk;1994;6.0;5.2;7.9;5.3;5.5;5.7;6.4;7.4;7.8;8.8;6.2;3.5;6.3;;;1.9;1.6;2.5;2.6;2.2;1.9;1.6;1.4;1.1;2.4;2.0;1.3;12.4;12.4;12.4;6.6;10.0;11.5;16.0;22.2;28.5;14.8;12.2;10.5;107.3;74.3;33.0;3.0;31.8;38.4;27.0;5.4;1.5;14.8;69.7;22.7;100.4;72.9;27.5;2.9;29.3;35.9;25.7;5.2;1.4;13.0;65.6;21.8;33.0;191.0;79.2;16.6;3.3;0.6;0.2;0.2
3;Rijk;1995;6.2;5.3;8.3;5.6;5.7;6.0;6.4;7.9;6.5;9.0;6.6;3.7;6.6;;;1.9;1.7;2.5;2.4;2.3;2.0;1.6;1.5;1.2;2.3;2.0;1.4;11.2;11.4;11.0;7.3;8.6;10.6;14.5;21.5;25.2;13.5;11.2;9.4;107.6;73.9;33.6;2.6;29.6;39.5;28.8;5.5;1.5;13.0;70.9;23.6;100.2;72.4;27.8;2.4;27.1;36.7;27.3;5.2;1.4;11.3;66.4;22.5;29.0;203.0;78.0;17.7;3.3;0.6;0.2;0.2
4;Rijk;1996;5.9;5.0;7.5;4.3;5.1;5.7;6.2;6.7;6.3;7.9;6.3;3.3;;;;1.7;1.4;2.0;1.5;1.7;1.7;1.5;1.4;1.0;1.7;1.7;1.3;12.3;12.9;13.4;7.7;10.3;12.4;16.2;20.7;23.4;15.7;13.5;10.5;107.7;;;;;;;;;;;;100.3;;;;;;;;;;;;;;;;;;;
5;Rijk;1997;5.7;5.1;7.7;4.2;5.4;5.7;6.3;7.3;6.4;8.0;6.3;3.6;6.3;5.2;5.7;1.6;1.5;2.0;1.6;1.8;1.7;1.5;1.4;1.0;2.0;1.7;1.3;12.2;11.2;12.7;6.8;9.8;11.0;14.7;18.8;22.0;12.5;12.1;10.1;110.0;63.0;32.5;2.5;24.1;36.2;26.2;5.2;1.4;11.0;62.4;22.1;102.6;61.7;27.0;2.3;22.1;33.4;24.8;4.9;1.2;9.5;58.1;21.1;33.0;209.0;75.0;20.6;3.3;0.8;0.2;0.2
6;Rijk;1998;6.4;5.6;8.5;4.8;5.8;6.4;6.8;7.9;6.7;8.5;6.9;4.1;6.9;5.8;6.3;1.7;1.5;2.1;1.8;1.8;1.8;1.6;1.4;1.1;1.9;1.8;1.3;12.8;11.7;13.3;7.3;9.6;11.6;15.0;20.9;23.3;13.4;12.7;10.4;112.4;67.6;33.1;2.5;24.7;36.7;28.4;6.6;1.8;11.1;67.1;22.6;104.9;66.3;28.0;2.4;23.0;33.9;27.0;6.2;1.7;9.7;62.9;21.7;32.0;184.0;74.8;20.7;3.5;0.8;0.2;0.2
7;Rijk;1999;7.0;6.0;9.3;5.3;6.3;6.8;7.4;8.8;8.0;9.7;8.4;4.3;7.5;6.2;6.6;1.7;1.5;2.1;1.7;1.8;1.8;1.6;1.4;1.2;1.9;1.8;1.4;14.3;13.9;15.2;9.0;11.6;13.3;16.7;22.2;23.9;16.9;14.9;12.0;110.8;72.9;37.9;2.0;24.2;39.9;33.7;8.5;2.4;12.1;72.2;26.5;103.3;71.5;31.8;1.9;22.7;36.3;32.0;8.1;2.3;10.6;67.2;25.4;32.0;212.0;73.3;21.6;3.7;1.0;0.3;0.2
8;Rijk;2000;7.7;6.6;10.0;5.3;6.8;7.4;8.2;9.5;8.5;10.6;8.4;4.8;8.1;6.6;7.0;1.9;1.7;2.3;1.8;2.1;2.0;1.7;1.5;1.2;2.1;2.1;1.4;15.1;14.6;15.8;7.7;11.4;14.3;18.1;23.7;24.1;17.0;15.6;12.9;114.7;74.3;40.5;2.5;24.8;40.7;35.1;9.3;2.5;10.1;75.2;29.5;106.8;72.8;34.0;2.3;23.2;36.9;33.2;8.8;2.3;8.8;69.8;28.2;29.0;229.0;72.7;21.9;3.9;1.0;0.2;0.2
9;Rijk;2001;7.8;6.6;10.3;5.7;6.9;7.6;8.3;9.6;8.6;10.7;8.8;5.1;8.3;6.5;7.0;1.9;1.7;2.2;1.9;2.1;2.0;1.7;1.5;1.2;2.1;2.1;1.2;16.7;16.2;17.8;7.5;12.1;15.5;20.1;26.3;28.1;18.8;17.7;13.8;116.2;73.7;42.4;2.9;24.7;39.8;35.4;10.6;2.7;9.3;75.9;31.0;108.0;72.2;35.8;2.8;23.1;36.0;33.5;10.1;2.6;8.1;70.2;29.7;29.0;232.0;74.2;20.0;3.9;1.2;0.3;0.3
10;Rijk;2002;6.8;5.8;8.8;4.7;6.1;6.6;7.2;8.6;7.1;8.9;7.6;4.4;7.3;5.6;6.1;1.8;1.6;2.2;2.2;2.1;1.9;1.7;1.5;1.2;2.1;2.0;1.4;17.3;16.6;17.7;7.6;12.4;16.3;20.6;22.6;27.4;18.2;18.0;14.2;125.1;77.5;47.6;4.6;27.9;41.0;37.0;12.0;2.6;10.1;80.5;34.5;115.7;75.7;40.0;4.3;26.1;36.8;34.8;11.4;2.4;8.8;74.3;32.7;31.0;236.0;77.1;17.2;3.7;1.2;0.3;0.5
11;Rijk;2003;6.4;5.5;8.2;4.7;5.7;6.3;6.7;7.9;6.9;8.4;7.4;4.1;6.9;5.4;5.8;1.9;1.6;2.2;2.3;2.2;2.0;1.7;1.5;1.2;2.1;2.1;1.4;16.8;15.5;17.4;6.8;11.4;15.3;18.7;19.7;28.3;17.3;17.1;12.9;117.8;74.2;43.6;3.7;25.1;38.0;35.6;12.6;3.0;8.3;74.1;35.4;109.5;72.8;36.7;3.5;23.6;34.2;33.5;11.9;2.8;7.3;68.4;33.8;;;;;;;;
12;Provincies;1992;6.1;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Provincies;1993;6.4;5.7;8.3;3.9;5.4;5.7;6.5;8.7;6.4;;;;6.6;;;1.9;1.7;2.9;2.2;2.2;1.9;1.6;1.4;1.2;;;;;;;;;;;;;;;;13.4;;;;;;;;;;;;12.3;9.2;3.2;0.2;2.9;4.0;3.4;0.8;0.2;;;;;;;;;;;
14;Provincies;1994;5.6;4.9;7.6;4.3;5.8;6.0;6.1;7.4;6.3;;;;6.0;;;2.1;1.7;3.1;2.5;1.8;1.3;1.1;1.0;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.9;;;;;;;;;;;;;;;;;;;
15;Provincies;1995;5.6;4.7;7.6;5.3;5.9;5.2;5.8;6.3;5.6;;;;6.0;;;1.9;1.6;2.7;3.5;2.4;1.8;1.6;1.3;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.7;;;0.1;2.5;4.0;3.9;1.0;0.2;;;;;;;;;;;
16;Provincies;1996;5.7;4.9;7.7;3.4;6.1;5.2;5.9;6.0;5.5;;;;6.1;;;1.8;1.6;2.5;2.0;2.4;1.9;1.6;1.4;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.6;;;0.1;2.2;3.9;4.1;1.0;0.2;;;;;;;;;;;
17;Provincies;1997;6.0;5.1;8.1;5.0;5.9;5.7;6.6;7.1;7.3;;;;6.4;;;1.9;1.6;2.5;1.5;2.3;2.1;1.7;1.4;1.4;;;;;;;;;;;;;;;;12.7;;;;;;;;;;;;11.3;;;;;3.8;4.1;1.3;;;;;;;;;;;;
18;Provincies;1998;6.5;5.4;9.2;3.1;6.1;6.5;7.4;7.9;6.3;;;;6.8;6.0;6.3;1.8;1.5;2.4;1.6;2.2;2.0;1.7;1.4;1.3;;;;11.8;11.7;12.1;4.9;9.2;10.7;13.6;16.6;21.6;;;;12.5;;;;;;;;;;;;11.6;8.4;3.2;;;;;;;;;;;;;;;;;
19;Provincies;1999;7.5;5.3;9.2;3.8;6.4;8.7;7.9;9.3;7.6;;;;8.0;6.6;7.0;1.8;1.5;2.2;1.5;2.0;2.1;1.6;1.4;1.0;;;;14.0;13.5;14.7;6.3;7.9;10.5;14.2;19.2;20.7;;;;12.7;;;;;;;;;;;;11.7;;;;;;;;;;;;;;;;;;;
20;Provincies;2000;7.6;6.4;10.7;5.9;8.1;10.2;10.0;9.5;6.6;;;;8.8;6.5;6.9;1.7;1.5;2.3;1.5;2.1;2.0;1.6;1.3;1.1;;;;13.8;13.8;15.0;9.4;10.6;12.5;19.0;26.0;22.4;;;;12.9;8.5;4.4;;;;;;;;;;11.8;8.3;3.5;;;;;;;;;;;;;;;;;
