ID;PolitiekeGroeperingen;TotaalGeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;TotaalMannenEnVrouwen_3;TotaalMannenEnVrouwenRelatief_4;Mannen_5;Vrouwen_6
0;1;4133557;100.0;31;100.0;21;10
1;2;1271855;30.8;10;32.3;7;3
2;3;43299;1.0;0;0.0;0;0
3;4;97206;2.4;0;0.0;0;0
4;5;481843;11.7;4;12.9;3;1
5;6;11547;0.3;0;0.0;0;0
6;7;154547;3.7;1;3.2;0;1
7;8;8844;0.2;0;0.0;0;0
8;9;945869;22.9;8;25.8;5;3
9;10;55311;1.3;0;0.0;0;0
10;11;322793;7.8;2;6.5;2;0
11;12;740443;17.9;6;19.4;4;2
