ID;Opdrachtgever;Eigendom;RegioS;Perioden;BouwkostenGebouwbestemmingWoonsector_1;Woningen_2;Wooneenheden_3;Recreatiewoningen_4
0;Totaal opdrachtgevers;Totaal;Aa en Hunze;2012 1e kwartaal;1638.0;15.0;0.0;4.0
1;Totaal opdrachtgevers;Totaal;Aa en Hunze;2012 2e kwartaal;1292.0;9.0;0.0;0.0
2;Totaal opdrachtgevers;Totaal;Aa en Hunze;2012 3e kwartaal;;1.0;0.0;0.0
3;Totaal opdrachtgevers;Totaal;Aa en Hunze;2012 4e kwartaal;1071.0;4.0;0.0;0.0
4;Totaal opdrachtgevers;Totaal;Aa en Hunze;2013 1e kwartaal;1236.0;5.0;0.0;1.0
5;Totaal opdrachtgevers;Totaal;Aa en Hunze;2013 2e kwartaal;;2.0;0.0;0.0
6;Totaal opdrachtgevers;Totaal;Aa en Hunze;2013 3e kwartaal;960.0;4.0;0.0;0.0
7;Totaal opdrachtgevers;Totaal;Aa en Hunze;2013 4e kwartaal;;4.0;0.0;0.0
8;Totaal opdrachtgevers;Totaal;Aa en Hunze;2014 1e kwartaal;0.0;0.0;0.0;0.0
9;Totaal opdrachtgevers;Totaal;Aa en Hunze;2014 2e kwartaal;;6.0;0.0;0.0
10;Totaal opdrachtgevers;Totaal;Aa en Hunze;2014 3e kwartaal;;5.0;0.0;0.0
11;Totaal opdrachtgevers;Totaal;Aa en Hunze;2014 4e kwartaal;;11.0;0.0;0.0
12;Totaal opdrachtgevers;Totaal;Aa en Hunze;2015 1e kwartaal;1550.0;5.0;0.0;0.0
13;Totaal opdrachtgevers;Totaal;Aa en Hunze;2015 2e kwartaal;;20.0;0.0;0.0
14;Totaal opdrachtgevers;Totaal;Aa en Hunze;2015 3e kwartaal;1190.0;9.0;0.0;0.0
15;Totaal opdrachtgevers;Totaal;Aa en Hunze;2015 4e kwartaal;;1.0;0.0;0.0
16;Totaal opdrachtgevers;Totaal;Aa en Hunze;2016 1e kwartaal;;1.0;0.0;0.0
17;Totaal opdrachtgevers;Totaal;Aa en Hunze;2016 2e kwartaal;998.0;9.0;0.0;0.0
18;Totaal opdrachtgevers;Totaal;Aa en Hunze;2016 3e kwartaal;;35.0;0.0;0.0
19;Totaal opdrachtgevers;Totaal;Aa en Hunze;2016 4e kwartaal;1065.0;6.0;0.0;0.0
20;Totaal opdrachtgevers;Totaal;Aa en Hunze;2017 1e kwartaal;1601.0;9.0;0.0;0.0
21;Totaal opdrachtgevers;Totaal;Aa en Hunze;2017 2e kwartaal;3379.0;19.0;0.0;0.0
22;Totaal opdrachtgevers;Totaal;Aa en Hunze;2017 3e kwartaal;1850.0;6.0;0.0;1.0
23;Totaal opdrachtgevers;Totaal;Aa en Hunze;2017 4e kwartaal;2351.0;17.0;0.0;0.0
24;Totaal opdrachtgevers;Totaal;Aa en Hunze;2018 1e kwartaal;2013.0;11.0;0.0;0.0
25;Totaal opdrachtgevers;Totaal;Aa en Hunze;2018 2e kwartaal;1524.0;12.0;0.0;0.0
26;Totaal opdrachtgevers;Totaal;Aa en Hunze;2018 3e kwartaal;3780.0;21.0;0.0;0.0
27;Totaal opdrachtgevers;Totaal;Aa en Hunze;2018 4e kwartaal;2813.0;13.0;0.0;0.0
28;Totaal opdrachtgevers;Totaal;Aa en Hunze;2019 1e kwartaal;1574.0;6.0;0.0;1.0
29;Totaal opdrachtgevers;Totaal;Aa en Hunze;2019 2e kwartaal;1371.0;8.0;0.0;0.0
30;Totaal opdrachtgevers;Totaal;Aa en Hunze;2019 3e kwartaal;;6.0;0.0;0.0
31;Totaal opdrachtgevers;Totaal;Aa en Hunze;2019 4e kwartaal;2204.0;13.0;0.0;0.0
32;Totaal opdrachtgevers;Totaal;Aa en Hunze;2020 1e kwartaal;2298.0;10.0;0.0;0.0
33;Totaal opdrachtgevers;Totaal;Aa en Hunze;2020 2e kwartaal;4246.0;25.0;0.0;0.0
34;Totaal opdrachtgevers;Totaal;Aa en Hunze;2020 3e kwartaal;;28.0;0.0;1.0
35;Totaal opdrachtgevers;Totaal;Aa en Hunze;2020 4e kwartaal;2099.0;9.0;0.0;0.0
36;Totaal opdrachtgevers;Totaal;Aa en Hunze;2021 1e kwartaal;;40.0;0.0;6.0
37;Totaal opdrachtgevers;Totaal;Aa en Hunze;2021 2e kwartaal;1733.0;7.0;0.0;0.0
38;Totaal opdrachtgevers;Totaal;Aa en Hunze;2021 3e kwartaal;15112.0;14.0;0.0;70.0
39;Totaal opdrachtgevers;Totaal;Aa en Hunze;2021 4e kwartaal;3332.0;15.0;0.0;0.0
40;Totaal opdrachtgevers;Totaal;Aa en Hunze;2022 1e kwartaal;4933.0;21.0;0.0;0.0
41;Totaal opdrachtgevers;Totaal;Aa en Hunze;2022 2e kwartaal;5644.0;18.0;0.0;3.0
42;Totaal opdrachtgevers;Totaal;Aa en Hunze;2022 3e kwartaal;2320.0;13.0;0.0;0.0
43;Totaal opdrachtgevers;Totaal;Aa en Hunze;2022 4e kwartaal;1731.0;5.0;0.0;2.0
44;Totaal opdrachtgevers;Totaal;Aa en Hunze;2023 1e kwartaal;1108.0;4.0;0.0;0.0
