ID;Landen;Perioden;Staatscontrole_1;DigitalePubliekeDiensten_2;BenodigdAantalDagen_3;AantalProcedures_4;ErvarenRegellast_5;EffectiviteitVanDeOverheid_6;AdhocEnSectoraleStaatssteun_7;Vennootschapsbelasting_8
0;Australië;1990;;;;;;;;39.0
1;Australië;1991;;;;;;;;39.0
2;Australië;1992;;;;;;;;39.0
3;Australië;1993;;;;;;;;33.0
4;Australië;1994;;;;;;;;33.0
5;Australië;1995;;;;;;;;36.0
6;Australië;1996;;;;;;90.7;;36.0
7;Australië;1997;;;;;;;;36.0
8;Australië;1998;2.55;;;;;90.2;;36.0
9;Australië;1999;;;;;;;;36.0
10;Australië;2000;;;;;;91.7;;34.0
11;Australië;2001;;;;;;;;30.0
12;Australië;2002;;;;;;91.7;;30.0
13;Australië;2003;1.7;;2.0;2.0;;93.2;;30.0
14;Australië;2004;;;2.0;2.0;5.0;96.6;;30.0
15;Australië;2005;;;2.0;2.0;;95.1;;30.0
16;Australië;2006;;;2.0;2.0;;93.7;;30.0
17;Australië;2007;;;2.0;2.0;;96.1;;30.0
18;Australië;2008;2.07;;2.0;2.0;;96.1;;30.0
19;Australië;2009;;;2.0;2.0;;95.7;;30.0
20;Australië;2010;;;2.0;2.0;;96.2;;30.0
21;Australië;2011;;;2.0;2.0;;95.3;;30.0
22;Australië;2012;;;2.0;2.0;;;;30.0
23;België;1990;;;;;;;0.9;41.0
24;België;1991;;;;;;;1.59;39.0
25;België;1992;;;;;;;0.67;39.0
26;België;1993;;;;;;;0.58;40.2
27;België;1994;;;;;;;0.31;40.2
28;België;1995;;;;;;;0.26;40.2
29;België;1996;;;;;;92.7;0.25;40.2
30;België;1997;;;;;;;0.13;40.2
31;België;1998;3.52;;;;;92.7;0.11;40.2
32;België;1999;;;;;;;0.13;40.2
33;België;2000;;;;;;92.2;0.16;40.2
34;België;2001;;;;;;;0.2;40.2
35;België;2002;;25.0;;;;95.6;0.06;40.2
36;België;2003;2.58;35.0;56.0;7.0;;96.1;0.06;34.0
37;België;2004;;35.0;56.0;7.0;3.7;94.6;0.08;34.0
38;België;2005;;;34.0;4.0;;93.2;0.13;34.0
39;België;2006;;47.0;34.0;4.0;;94.6;0.11;34.0
40;België;2007;;63.0;27.0;4.0;;91.7;0.11;34.0
41;België;2008;2.53;;4.0;3.0;;87.9;0.11;34.0
42;België;2009;;69.0;4.0;3.0;;92.8;0.13;34.0
43;België;2010;;79.0;4.0;3.0;;93.3;0.09;34.0
44;België;2011;;;4.0;3.0;;93.8;;34.0
45;België;2012;;;4.0;3.0;;;;34.0
46;Canada;1990;;;;;;;;41.5
47;Canada;1991;;;;;;;;41.8
48;Canada;1992;;;;;;;;42.5
49;Canada;1993;;;;;;;;42.6
50;Canada;1994;;;;;;;;42.6
51;Canada;1995;;;;;;;;42.9
52;Canada;1996;;;;;;95.1;;42.9
53;Canada;1997;;;;;;;;42.9
54;Canada;1998;1.87;;;;;95.1;;42.9
55;Canada;1999;;;;;;;;42.9
56;Canada;2000;;;;;;95.6;;42.6
57;Canada;2001;;;;;;;;40.5
58;Canada;2002;;;;;;96.1;;38.1
59;Canada;2003;1.69;;3.0;2.0;;97.1;;36.0
60;Canada;2004;;;3.0;2.0;5.1;94.1;;34.4
61;Canada;2005;;;3.0;2.0;;97.6;;34.4
62;Canada;2006;;;3.0;2.0;;97.6;;34.1
63;Canada;2007;;;3.0;2.0;;95.6;;34.1
64;Canada;2008;1.31;;3.0;2.0;;96.6;;31.7
65;Canada;2009;;;5.0;1.0;;97.1;;31.3
66;Canada;2010;;;5.0;1.0;;96.7;;29.5
67;Canada;2011;;;5.0;1.0;;97.2;;16.5
68;Canada;2012;;;5.0;1.0;;;;15.0
69;Denemarken;1990;;;;;;;0.29;40.0
70;Denemarken;1991;;;;;;;0.22;38.0
71;Denemarken;1992;;;;;;;0.16;34.0
72;Denemarken;1993;;;;;;;0.21;34.0
73;Denemarken;1994;;;;;;;0.15;34.0
74;Denemarken;1995;;;;;;;0.21;34.0
75;Denemarken;1996;;;;;;94.6;0.25;34.0
76;Denemarken;1997;;;;;;;0.24;34.0
77;Denemarken;1998;2.46;;;;;97.6;0.23;34.0
78;Denemarken;1999;;;;;;;0.21;32.0
79;Denemarken;2000;;;;;;95.1;0.23;32.0
80;Denemarken;2001;;32.0;;;;;0.23;30.0
81;Denemarken;2002;;61.0;;;;99.5;0.16;30.0
82;Denemarken;2003;1.34;72.0;7.0;5.0;4.7;99.0;0.15;30.0
83;Denemarken;2004;;61.0;7.0;5.0;4.7;100.0;0.18;30.0
84;Denemarken;2005;;;7.0;5.0;;99.5;0.12;28.0
85;Denemarken;2006;;66.0;6.0;4.0;;100.0;0.13;28.0
86;Denemarken;2007;;61.0;6.0;4.0;;100.0;0.14;25.0
87;Denemarken;2008;1.37;;6.0;4.0;;99.5;0.12;25.0
88;Denemarken;2009;;84.0;6.0;4.0;;100.0;0.12;25.0
89;Denemarken;2010;;95.0;6.0;4.0;;99.0;0.1;25.0
90;Denemarken;2011;;;6.0;4.0;;99.5;;25.0
91;Denemarken;2012;;;6.0;4.0;;;;25.0
92;Duitsland;1990;;;;;;;0.89;54.5
93;Duitsland;1991;;;;;;;0.97;56.3
94;Duitsland;1992;;;;;;;1.09;58.2
95;Duitsland;1993;;;;;;;1.45;56.5
96;Duitsland;1994;;;;;;;1.37;52.2
97;Duitsland;1995;;;;;;;0.92;55.1
98;Duitsland;1996;;;;;;94.1;0.73;55.9
99;Duitsland;1997;;;;;;;0.62;56.8
100;Duitsland;1998;3.18;;;;;94.6;0.49;56.0
101;Duitsland;1999;;;;;;;0.39;52.0
102;Duitsland;2000;;;;;;96.1;0.36;52.0
103;Duitsland;2001;;20.0;;;;;0.42;38.9
104;Duitsland;2002;;35.0;;;;92.2;0.58;38.9
