ID;JeugdhulpInNatura;Jeugdbescherming;Jeugdreclassering;RegioS;Perioden;TotaalJongerenMetJeugdzorg_1
16;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Oost-Nederland (LD);30 juni 2022;64760.0
17;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Oost-Nederland (LD);31 december 2022;66480.0
18;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Oost-Nederland (LD);30 juni 2023;67960.0
19;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Oost-Nederland (LD);31 december 2023;68900.0
20;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Oost-Nederland (LD);30 juni 2024;72840.0
21;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;West-Nederland (LD);30 juni 2021;138950.0
22;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;West-Nederland (LD);31 december 2021;139890.0
23;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;West-Nederland (LD);30 juni 2022;142530.0
24;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;West-Nederland (LD);31 december 2022;146005.0
25;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;West-Nederland (LD);30 juni 2023;146420.0
26;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;West-Nederland (LD);31 december 2023;146035.0
27;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;West-Nederland (LD);30 juni 2024;153165.0
28;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuid-Nederland (LD);30 juni 2021;59820.0
29;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuid-Nederland (LD);31 december 2021;60050.0
30;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuid-Nederland (LD);30 juni 2022;60245.0
31;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuid-Nederland (LD);31 december 2022;62090.0
32;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuid-Nederland (LD);30 juni 2023;60975.0
33;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuid-Nederland (LD);31 december 2023;62195.0
34;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuid-Nederland (LD);30 juni 2024;67480.0
35;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Groningen (PV);30 juni 2021;10585.0
36;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Groningen (PV);31 december 2021;10535.0
37;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Groningen (PV);30 juni 2022;11045.0
38;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Groningen (PV);31 december 2022;10990.0
39;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Groningen (PV);30 juni 2023;10920.0
40;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Groningen (PV);31 december 2023;10945.0
41;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Groningen (PV);30 juni 2024;11545.0
42;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Fryslân (PV);30 juni 2021;11045.0
43;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Fryslân (PV);31 december 2021;11245.0
44;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Fryslân (PV);30 juni 2022;11725.0
45;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Fryslân (PV);31 december 2022;11895.0
46;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Fryslân (PV);30 juni 2023;12085.0
47;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Fryslân (PV);31 december 2023;11970.0
48;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Fryslân (PV);30 juni 2024;12175.0
49;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Drenthe (PV);30 juni 2021;9175.0
50;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Drenthe (PV);31 december 2021;9125.0
51;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Drenthe (PV);30 juni 2022;9155.0
52;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Drenthe (PV);31 december 2022;9135.0
53;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Drenthe (PV);30 juni 2023;8815.0
54;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Drenthe (PV);31 december 2023;8940.0
55;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Drenthe (PV);30 juni 2024;9280.0
56;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Overijssel (PV);30 juni 2021;19525.0
57;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Overijssel (PV);31 december 2021;19845.0
58;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Overijssel (PV);30 juni 2022;19895.0
59;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Overijssel (PV);31 december 2022;20010.0
60;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Overijssel (PV);30 juni 2023;20345.0
61;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Overijssel (PV);31 december 2023;20510.0
62;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Overijssel (PV);30 juni 2024;21675.0
63;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Flevoland (PV);30 juni 2021;7490.0
64;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Flevoland (PV);31 december 2021;7680.0
65;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Flevoland (PV);30 juni 2022;7800.0
66;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Flevoland (PV);31 december 2022;7945.0
67;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Flevoland (PV);30 juni 2023;8060.0
68;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Flevoland (PV);31 december 2023;8380.0
69;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Flevoland (PV);30 juni 2024;9010.0
70;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Gelderland (PV);30 juni 2021;37165.0
71;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Gelderland (PV);31 december 2021;37075.0
72;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Gelderland (PV);30 juni 2022;37065.0
73;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Gelderland (PV);31 december 2022;38525.0
74;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Gelderland (PV);30 juni 2023;39560.0
75;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Gelderland (PV);31 december 2023;40010.0
76;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Gelderland (PV);30 juni 2024;42155.0
77;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Utrecht (PV);30 juni 2021;26235.0
78;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Utrecht (PV);31 december 2021;26575.0
79;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Utrecht (PV);30 juni 2022;26440.0
80;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Utrecht (PV);31 december 2022;27990.0
81;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Utrecht (PV);30 juni 2023;27010.0
82;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Utrecht (PV);31 december 2023;27165.0
83;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Utrecht (PV);30 juni 2024;27660.0
84;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Holland (PV);30 juni 2021;45570.0
85;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Holland (PV);31 december 2021;45865.0
86;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Holland (PV);30 juni 2022;47025.0
87;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Holland (PV);31 december 2022;46955.0
88;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Holland (PV);30 juni 2023;48135.0
89;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Holland (PV);31 december 2023;48180.0
90;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Holland (PV);30 juni 2024;50855.0
91;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuid-Holland (PV);30 juni 2021;60170.0
92;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuid-Holland (PV);31 december 2021;60350.0
93;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuid-Holland (PV);30 juni 2022;61885.0
94;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuid-Holland (PV);31 december 2022;63840.0
95;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuid-Holland (PV);30 juni 2023;64080.0
96;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuid-Holland (PV);31 december 2023;63470.0
97;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuid-Holland (PV);30 juni 2024;65900.0
98;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zeeland (PV);30 juni 2021;6970.0
99;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zeeland (PV);31 december 2021;7100.0
100;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zeeland (PV);30 juni 2022;7180.0
101;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zeeland (PV);31 december 2022;7220.0
102;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zeeland (PV);30 juni 2023;7195.0
103;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zeeland (PV);31 december 2023;7220.0
104;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zeeland (PV);30 juni 2024;8755.0
105;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Brabant (PV);30 juni 2021;39855.0
106;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Brabant (PV);31 december 2021;40030.0
107;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Brabant (PV);30 juni 2022;40940.0
108;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Brabant (PV);31 december 2022;43025.0
109;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Brabant (PV);30 juni 2023;42170.0
110;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Brabant (PV);31 december 2023;43510.0
111;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Brabant (PV);30 juni 2024;47240.0
112;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Limburg (PV);30 juni 2021;19965.0
113;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Limburg (PV);31 december 2021;20020.0
114;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Limburg (PV);30 juni 2022;19305.0
115;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Limburg (PV);31 december 2022;19060.0
116;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Limburg (PV);30 juni 2023;18805.0
117;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Limburg (PV);31 december 2023;18690.0
118;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Limburg (PV);30 juni 2024;20245.0
119;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Oost-Groningen (CR);30 juni 2021;2665.0
120;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Oost-Groningen (CR);31 december 2021;2610.0
121;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Oost-Groningen (CR);30 juni 2022;2780.0
122;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Oost-Groningen (CR);31 december 2022;2790.0
123;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Oost-Groningen (CR);30 juni 2023;2775.0
124;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Oost-Groningen (CR);31 december 2023;2790.0
125;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Oost-Groningen (CR);30 juni 2024;2925.0
126;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Delfzijl en omgeving (CR);30 juni 2021;795.0
127;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Delfzijl en omgeving (CR);31 december 2021;760.0
128;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Delfzijl en omgeving (CR);30 juni 2022;780.0
129;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Delfzijl en omgeving (CR);31 december 2022;745.0
130;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Delfzijl en omgeving (CR);30 juni 2023;765.0
131;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Delfzijl en omgeving (CR);31 december 2023;760.0
132;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Delfzijl en omgeving (CR);30 juni 2024;840.0
133;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Overig Groningen (CR);30 juni 2021;7125.0
134;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Overig Groningen (CR);31 december 2021;7170.0
135;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Overig Groningen (CR);30 juni 2022;7485.0
136;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Overig Groningen (CR);31 december 2022;7455.0
137;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Overig Groningen (CR);30 juni 2023;7380.0
138;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Overig Groningen (CR);31 december 2023;7395.0
139;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Overig Groningen (CR);30 juni 2024;7780.0
140;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Friesland (CR);30 juni 2021;5650.0
141;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Friesland (CR);31 december 2021;5815.0
142;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Friesland (CR);30 juni 2022;6095.0
143;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Friesland (CR);31 december 2022;6240.0
144;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Friesland (CR);30 juni 2023;6410.0
145;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Friesland (CR);31 december 2023;6210.0
146;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Friesland (CR);30 juni 2024;6295.0
147;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Friesland (CR);30 juni 2021;2055.0
148;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Friesland (CR);31 december 2021;2110.0
149;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Friesland (CR);30 juni 2022;2230.0
150;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Friesland (CR);31 december 2022;2260.0
151;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Friesland (CR);30 juni 2023;2305.0
152;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Friesland (CR);31 december 2023;2330.0
153;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Friesland (CR);30 juni 2024;2440.0
154;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidoost-Friesland (CR);30 juni 2021;3340.0
155;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidoost-Friesland (CR);31 december 2021;3320.0
156;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidoost-Friesland (CR);30 juni 2022;3395.0
157;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidoost-Friesland (CR);31 december 2022;3400.0
158;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidoost-Friesland (CR);30 juni 2023;3370.0
159;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidoost-Friesland (CR);31 december 2023;3425.0
160;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidoost-Friesland (CR);30 juni 2024;3440.0
161;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Drenthe (CR);30 juni 2021;3755.0
162;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Drenthe (CR);31 december 2021;3840.0
163;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Drenthe (CR);30 juni 2022;3850.0
164;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Drenthe (CR);31 december 2022;3810.0
165;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Drenthe (CR);30 juni 2023;3625.0
166;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Drenthe (CR);31 december 2023;3750.0
167;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Drenthe (CR);30 juni 2024;3910.0
168;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidoost-Drenthe (CR);30 juni 2021;3030.0
169;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidoost-Drenthe (CR);31 december 2021;2940.0
170;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidoost-Drenthe (CR);30 juni 2022;2900.0
171;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidoost-Drenthe (CR);31 december 2022;2875.0
172;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidoost-Drenthe (CR);30 juni 2023;2865.0
173;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidoost-Drenthe (CR);31 december 2023;2875.0
174;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidoost-Drenthe (CR);30 juni 2024;3055.0
175;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Drenthe (CR);30 juni 2021;2390.0
176;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Drenthe (CR);31 december 2021;2345.0
177;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Drenthe (CR);30 juni 2022;2405.0
178;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Drenthe (CR);31 december 2022;2450.0
179;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Drenthe (CR);30 juni 2023;2320.0
180;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Drenthe (CR);31 december 2023;2320.0
181;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Drenthe (CR);30 juni 2024;2315.0
182;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Overijssel (CR);30 juni 2021;6605.0
183;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Overijssel (CR);31 december 2021;6650.0
184;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Overijssel (CR);30 juni 2022;6575.0
185;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Overijssel (CR);31 december 2022;6615.0
186;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Overijssel (CR);30 juni 2023;6660.0
187;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Overijssel (CR);31 december 2023;6605.0
188;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Noord-Overijssel (CR);30 juni 2024;6970.0
189;Wel of geen jeugdhulp in natura;Wel of geen jeugdbescherming;Wel of geen jeugdreclassering;Zuidwest-Overijssel (CR);30 juni 2021;2230.0
