ID;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverChange_2
0;D Electricity and gas supply;2003 January;105.0;
1;D Electricity and gas supply;2003 February;96.4;
2;D Electricity and gas supply;2003 March;89.4;
3;D Electricity and gas supply;2003 1st quarter;97.0;
4;D Electricity and gas supply;2003 April;74.1;
5;D Electricity and gas supply;2003 May;66.7;
6;D Electricity and gas supply;2003 June;62.4;
7;D Electricity and gas supply;2003 2nd quarter;67.7;
8;D Electricity and gas supply;2003 July;58.0;
9;D Electricity and gas supply;2003 August;60.9;
10;D Electricity and gas supply;2003 September;65.5;
11;D Electricity and gas supply;2003 3rd quarter;61.5;
12;D Electricity and gas supply;2003 October;84.9;
13;D Electricity and gas supply;2003 November;92.1;
14;D Electricity and gas supply;2003 December;116.2;
15;D Electricity and gas supply;2003 4th quarter;97.7;
16;D Electricity and gas supply;2003;81.0;
17;D Electricity and gas supply;2004 January;112.8;7.4
18;D Electricity and gas supply;2004 February;105.3;9.3
19;D Electricity and gas supply;2004 March;107.4;20.1
20;D Electricity and gas supply;2004 1st quarter;108.5;11.9
21;D Electricity and gas supply;2004 April;81.5;10.0
22;D Electricity and gas supply;2004 May;75.7;13.6
23;D Electricity and gas supply;2004 June;68.3;9.4
24;D Electricity and gas supply;2004 2nd quarter;75.2;11.0
25;D Electricity and gas supply;2004 July;67.3;15.9
26;D Electricity and gas supply;2004 August;66.4;8.9
27;D Electricity and gas supply;2004 September;73.8;12.8
28;D Electricity and gas supply;2004 3rd quarter;69.2;12.5
29;D Electricity and gas supply;2004 October;82.7;-2.6
30;D Electricity and gas supply;2004 November;98.4;6.9
31;D Electricity and gas supply;2004 December;117.9;1.4
32;D Electricity and gas supply;2004 4th quarter;99.7;2.0
33;D Electricity and gas supply;2004;88.1;8.8
34;D Electricity and gas supply;2005 January;118.5;5.0
35;D Electricity and gas supply;2005 February;108.1;2.6
36;D Electricity and gas supply;2005 March;107.5;0.2
37;D Electricity and gas supply;2005 1st quarter;111.4;2.7
38;D Electricity and gas supply;2005 April;92.6;13.7
39;D Electricity and gas supply;2005 May;86.7;14.4
40;D Electricity and gas supply;2005 June;81.7;19.6
41;D Electricity and gas supply;2005 2nd quarter;87.0;15.7
42;D Electricity and gas supply;2005 July;73.0;8.5
43;D Electricity and gas supply;2005 August;72.0;8.5
44;D Electricity and gas supply;2005 September;83.2;12.7
45;D Electricity and gas supply;2005 3rd quarter;76.1;10.0
46;D Electricity and gas supply;2005 October;97.4;17.7
47;D Electricity and gas supply;2005 November;128.2;30.3
48;D Electricity and gas supply;2005 December;151.2;28.2
49;D Electricity and gas supply;2005 4th quarter;125.6;26.0
50;D Electricity and gas supply;2005;100.0;13.5
51;D Electricity and gas supply;2006 January;163.4;37.9
52;D Electricity and gas supply;2006 February;165.4;53.0
53;D Electricity and gas supply;2006 March;153.3;42.5
54;D Electricity and gas supply;2006 1st quarter;160.7;44.3
55;D Electricity and gas supply;2006 April;119.1;28.6
56;D Electricity and gas supply;2006 May;99.2;14.4
57;D Electricity and gas supply;2006 June;87.2;6.7
58;D Electricity and gas supply;2006 2nd quarter;101.8;17.0
59;D Electricity and gas supply;2006 July;85.1;16.5
60;D Electricity and gas supply;2006 August;87.2;21.1
61;D Electricity and gas supply;2006 September;90.2;8.3
62;D Electricity and gas supply;2006 3rd quarter;87.5;15.0
63;D Electricity and gas supply;2006 October;107.1;10.0
64;D Electricity and gas supply;2006 November;118.9;-7.2
65;D Electricity and gas supply;2006 December;136.9;-9.4
66;D Electricity and gas supply;2006 4th quarter;121.0;-3.6
67;D Electricity and gas supply;2006;117.7;17.7
68;D Electricity and gas supply;2007 January;143.3;-12.3
69;D Electricity and gas supply;2007 February;144.6;-12.6
70;D Electricity and gas supply;2007 March;135.2;-11.8
71;D Electricity and gas supply;2007 1st quarter;141.0;-12.2
72;D Electricity and gas supply;2007 April;99.4;-16.5
73;D Electricity and gas supply;2007 May;95.8;-3.4
74;D Electricity and gas supply;2007 June;91.0;4.4
75;D Electricity and gas supply;2007 2nd quarter;95.4;-6.3
76;D Electricity and gas supply;2007 July;91.0;7.0
77;D Electricity and gas supply;2007 August;90.6;3.9
78;D Electricity and gas supply;2007 September;96.3;6.9
79;D Electricity and gas supply;2007 3rd quarter;92.7;5.9
80;D Electricity and gas supply;2007 October;123.2;15.0
81;D Electricity and gas supply;2007 November;138.5;16.5
82;D Electricity and gas supply;2007 December;155.1;13.3
83;D Electricity and gas supply;2007 4th quarter;138.9;14.8
84;D Electricity and gas supply;2007;117.0;-0.6
85;D Electricity and gas supply;2008 January;137.0;-4.4
86;D Electricity and gas supply;2008 February;162.0;12.0
87;D Electricity and gas supply;2008 March;142.7;5.5
88;D Electricity and gas supply;2008 1st quarter;147.2;4.4
89;D Electricity and gas supply;2008 April;114.4;15.1
90;D Electricity and gas supply;2008 May;104.9;9.5
91;D Electricity and gas supply;2008 June;92.7;1.9
92;D Electricity and gas supply;2008 2nd quarter;104.0;9.0
93;D Electricity and gas supply;2008 July;84.3;-7.4
94;D Electricity and gas supply;2008 August;102.4;13.0
95;D Electricity and gas supply;2008 September;109.9;14.0
96;D Electricity and gas supply;2008 3rd quarter;98.8;6.7
97;D Electricity and gas supply;2008 October;111.5;-9.5
98;D Electricity and gas supply;2008 November;140.5;1.4
99;D Electricity and gas supply;2008 December;161.3;4.0
100;D Electricity and gas supply;2008 4th quarter;137.7;-0.9
101;D Electricity and gas supply;2008;122.0;4.2
102;D Electricity and gas supply;2009 January;157.0;14.6
103;D Electricity and gas supply;2009 February;188.1;16.1
104;D Electricity and gas supply;2009 March;167.8;17.6
105;D Electricity and gas supply;2009 1st quarter;170.9;16.1
106;D Electricity and gas supply;2009 April;126.7;10.7
107;D Electricity and gas supply;2009 May;103.9;-0.9
108;D Electricity and gas supply;2009 June;112.6;21.4
109;D Electricity and gas supply;2009 2nd quarter;114.4;10.0
110;D Electricity and gas supply;2009 July;97.2;15.4
111;D Electricity and gas supply;2009 August;119.5;16.7
112;D Electricity and gas supply;2009 September;110.8;0.8
113;D Electricity and gas supply;2009 3rd quarter;109.2;10.5
114;D Electricity and gas supply;2009 October;131.0;17.5
115;D Electricity and gas supply;2009 November;148.9;6.0
116;D Electricity and gas supply;2009 December;180.3;11.8
117;D Electricity and gas supply;2009 4th quarter;153.4;11.4
118;D Electricity and gas supply;2009;137.0;12.3
119;D Electricity and gas supply;2010 January;155.2;-1.1
120;D Electricity and gas supply;2010 February;153.9;-18.2
121;D Electricity and gas supply;2010 March;131.2;-21.8
122;D Electricity and gas supply;2010 1st quarter;146.8;-14.1
123;D Electricity and gas supply;2010 April;101.4;-20.0
124;D Electricity and gas supply;2010 May;97.5;-6.2
125;D Electricity and gas supply;2010 June;88.8;-21.1
